ISBN13,rating,review
9791136264473,10,아직 읽지 않았지만 믿고 보는 히가시노 게이고~
9791136264473,10,"작가의 첫 연재작이라니, 과연 어땠을지 궁금합니다! 히가시노 게이고니까요~ ^^"
9791136264473,10,히가시노 게이고 작가님의 새로운 신작이라니 너무 기대됩니다!!
9791136264473,10,히가시노 게이고의 신작 믿고보는 최고의 작가
9791136264473,10,히가시노 게이고 작가님의 신작이라는 것만으로 기대되요~^^
9791136264473,10,추리 소설 하면 ‘히가시노게이고!‘ 경쾌하고 리듬감 있는 터치의 복고 미스터리라니! 설명 부터 흥미진진해지는 소설! 히가시노 게이고의  <그녀는 다 계획이 있다> 정말 꼭 읽고 싶다!! 엄청 기대가 된다. 생각만해도 흥미진진! 기대가득!
9791136264473,10,히가시노 게이고 소설 정말 넘 좋아해요ㅠㅠ이번 신간 내용이 너무 궁금하고 표지도 취저에요!
9791136264473,10,"히가시노 게이고의 복고 미스터리라...거기다 첫 연재소설이었다니, 궁금하고 기대됩니다^^"
9791136264473,10,"삼류소설같은 죽음뒤에 숨겨진 욕망, 그녀의 계획이였을까... 믿고 보는 히가시노게이고!!"
9791136264473,8,800만엔짜리 보석은 채소한두개사듯 사고싶은 그녀의 욕망을 들여다보고싶다 아아~~나도 그러고싶다ㅎㅎ
9791136264473,10,히가시노게이코 작품은 믿고 보는 도서.이번에도 어떤 반전의 매력을 줄지 기대해봅다.
9791136264473,10,복고 미스테리라.. 궁금하다. 히가시노..그는 실망시키는 법이 없다.
9791136264473,10,"복고 미스테리라고 하는데, 히가시노 게이고 작가 이름만으로도 기대됩니다"
9791136264473,6,1992년 제목 ＇윙크로 건배＇ 좋았는데··· 그래도 출간되니 반갑네요
9791136264473,10,80년대 후반 일본거품경제 시대의 사회경제적 부조리를 히가시노게이고는 어떻게 풀어냈는지 꼭 보고싶어요.
9791136264473,8,히가시노 게이고 기대됩니다 ~~마구읽고싶습니다
9791136264473,8,아.. 표지 그림 얼굴빼고 다 맘에 드네요ㅜㅜ 얼굴 왜 저렇게 그린건지ㅜㅜ 머리카락부터 배경 다 이쁜데 얼굴이 남자도 여자도 아닌 느낌.. 여튼 히가시노 게이고니 무조건 삽니다!
9791136264473,10,아묻따 히가시노 게이고 기대뿜뿜 *^^*
9791136264473,10,오! 요즘 복고 미스터리라니!! 히가시노 게이고 팬은 믿고 봅니다!!!
9791136264473,10,히가시노 게이고 복고미스터리라니! 내용이 너무너무 궁금하네요!!
9791136264473,6,"이제서야 나오는  군뇨, 근데 번역가가 또 양윤옥순간 짜증이 몰려 오는 군뇨!! 최악의 번역가로 오타는 기본이요 말도 안되는 직역이 난무하는 발번역가, 그런데 번역으로 상까지 탔다는 것이 의문?! 차라리 다른 번역가를 쓰는 것이 좋다고 생각함!! 이건 히가시노게이고 작품에 먹칠하는 거 일뿐!!"
9791136264473,10,미출간 작품을 출간해주셔서 감사. 초기작인 1988년 ˝쿄코의 꿈 ― 도우미 살인 사건˝으로 최초 출간된 작품마지막 챕터 이름인 ˝윙크로 건배˝로 1992년 출간.
9791136264473,6,"와우, 1988년 출간 작품이 다 나오네.."
9791196814342,10,나에게는 너무나 충격적인 결말이었다 다시 생각해보면 우미에가 얼마나 힘들었는지 생각이 된다 하지만 이런결말은 너무 잔인하다고 생각을 한다 정말 오랜만에 소름이 돋은 소설이었다
9791196814342,10,나카하라형사랑 나카무라형사는 같은인물인건가요?..
9791196814342,6,"잘 읽히고, 뒷 내용이 궁금해져 손에서 놓을 수 없긴 하지만 그 뿐.반전도 그럭 저럭, 내용도 그냥 저냥."
