ISBN13,rating,review
9791160360561,6,내용이 얕고 개괄적이다. 샤넬 얘기는 적고 주변적 얘기 중심이다.
9791160360561,10,소장용으로 거의 모든 매거진 B는 있는 듯. 편하게 읽기도 좋고. 눈도 즐겁게 해주고. 분위기 좋은 책이랄까.
9791160360707,8,커피라는 미학을 얘기하다보니 인터뷰가 철학적이다.하스피털리티라는둥 마케팅 책 특유의 정체모를 허영에서 나온 vogue 병신체는 실소를 머금게 하지만.
9791160360707,4,관계자들의 뒷얘기 인터뷰는 좋았으나번역체처럼 읽기 힘든 글과 중언부언되는 부분은 지루했다. 칭찬 일색이라 논란이 되는 부분이나 단점 등은 쏙 뺀 기업 홍보책 같았다. 너무 평면적이고 실망스럽다.
9791160360097,10,"매거진B를 처음 알고사고싶어졌을때 나름 신중하게 고른것이 이 ‘무지’편입니다. 원래도 좋아했던 무지라는 브랜드의 철학을 속속들이 알게되니 얼마나 감동도 되고 좋던지요. 한 브랜드의 겉과 속, 과거와 미래까지 다 알려주는 잡지랄까요. 다음엔 ‘서울’편을 사볼까해요!"
9791195720934,8,꽃나무가 되지 못하면 어떤가? 뿌리내린 자리에서 내려주는 비 맞으며 들풀처럼 살아갈 수 있길 바랄 뿐이다.
9791195720934,10,앞으로 자꾸 제주 부동산 시세를 검색하게 될것만 같다...
9788998415839,10,그 어떤 잡지에서 보던 것 보다 충실한 내용과 퀄리티에 감동
9788998415617,10,친구한테 선물했더니 좋아하네요~ 다양한 브랜드를 더 많이 다뤄주길 바라요~
9788998415617,6,광고가 없어서 좋다. 휘황찬란한 글이 없는것도 좋고.
9791160360394,6,좋아요
9791160360394,10,교토 여행 전에 공부하려고 샀습니다. 교토를 브랜딩의 관점에서 담고 있는 책.
9791160360394,4,권말 교토 관련 책 추천란에 임경선의 ‘교토에 다녀왔습니다’가 있다. 자기 감정에 버거워 질척 거리는 모습 밖에 없는 책을 추천한다고? 싹수 노랗다고 생각이 들었다. 암튼 이책은 사진은 너무 크고 글은 너무 작다. 글을 말하자면 쓰다만 글 같다. 짜증난다. 교토 팔이 허접한 책이 너무 많다.
9791160360233,10,‘모노클‘에 대해 전혀 몰랐던 나에게 모노클의 시작부터 현재까지 모든걸 알게 해준 책. 역시 믿고 보는 매거진B.
9788998415778,2,인터뷰만 잔뜩 있고 내가 생각했던 방향의 책이 아니네요. 파타고니아라는 브랜드에 대한 전문적인 내용을 바랬는데  책의 주제가 왜 파타고니아인지 모를 정도 중구난방 ...매거진 b 단행본으로 여러권 사려했는데 많이 안사서 다행.진심 중2병 걸린 책
9788998415778,10,"기업의 목적은 다양하지만, 사회적 가치를 우선으로 두는 제일 모범적 브랜드의 사례."
9788998415778,10,"평소 매거진 B에 대한 관심이 많았습니다.파타고니아 브랜드에 대한 관심이 생겨 구입하게 되었고,브랜드-소비자 사이의 중간 눈높이에서 소개해주는 것 같아 좋아요.크기도 크지 않고, 사진과 길지 않은 텍스트로 이루어져 가볍게 볼 수 있구요.또 좋아하는 브랜드가 생긴다면 구입할 예정입니다."
9788998415594,4,처음 접했던 그때에 비해 점점.... 슬슬
9791195720996,8,"무언가를 알아볼 때 현장에서 뛰는 사람들의 소리보다 더 좋은 조언자는 없지 않을까? 그런 면에서 이 책은 그 역할을 충실하게 해내고 있다. 퇴사 후 자신의 공간을 마련한, 평균나이 36세의 젊은 사장들이 모든 것을 가감없이 진솔하게 이야기 해준다. 이후의 선택은 독자의 몫이다."
9791195720996,10,직장인 누구나 자신이 처한 상황에 대한 불만에서 벗어나려 퇴사를 고민하는 경우과 보통입니다. 고민에 대한 실천을 한 기존 퇴직자들에게 어떤 선택을 했는가에 대한 조언을 접할 수 있는 책이라 퇴사 고민을 하는 많은 직장인들에게 도움이 될만한 책이라 흥미롭군요.
9791160360417,10,이케아가 합본의끝인줄알았는데..
9791160360417,10,위 댓글님! 매거진B는 원래 매월 발간인데 7월 8월것만 합쳐서 나온다고 알고있어요:) 그래서 조금 더 두껍게 나온 대신에 가격이 좀 더 나간답니다!! 방금 주문했는데 매거진B는 언제나 5점~
9791160360417,6,결제 직전 가격 보고 깜놀. 가격 점점 오르네..
9791160360295,10,"매거진 비 시리즈를 많이 읽진 않았지만, 이케아 편은 내라티브의 구성이나 접근 방식, 콘텐츠 모두 훌륭하다는 생각이 드네요. 감사합니다 :)"
9772234411006,10,하나의 브랜드만을 파고드는 매거진 B자신이 좋아하는 브랜드라면 읽어볼만하다러쉬랑 조셉조셉하고 레고를 샀는데 레고는 나보다 칠세 꼬꼬마가 더 좋아하며 봤다이 레고덕후 ㅠㅠ 잡지에 소개된 작품들을 찾아서 동영상까지 찾아봤으니...
9772234411006,6,"기대한 만큼의 퀄리티는 아니지만 어른이 원하는, 레고만을 다룬 점은 높이 산다."
9772234411006,8,매거진B를 정기적으로 보고 싶지만 비싸서 구입을 망설이다가 레고를 정말 좋아해서 한번 구입해봤어요 꾸준히 보기엔 좀 비싸다는 생각이 들지만컨텐츠는 좋네요 레고마니아라면 저도 추천합니다
9772234411006,10,레고를 좋아하는 분이라면 강추! 이런 매거진 너무 좋다~
9772234411006,10,창신동 완구거리을 걸었을 때처럼 설레임을 갖게 하는 책. - 아침 9시10분. 꼬맹이들 사이에서 조조로 레고무비 본 사람 -
9772234411006,10,매거진 B 진리이죠 ㅎ 이번 레고편 역시 기대 이상이에요 ㅎ
9772234411006,10,어릴적 장난감 레고~ 좀더 자세히 알수 있어 좋았다. 갑자기 레고가 다시 구매하고 싶어졌다 ^^
9772234411006,10,까악~~우리 아들이 좋아하는 레고....11살아들에게 좀 더 묵직한 레고스토리를 들려줄수있어서 행복!~
9791160360363,10,정말 가보고 싶은 호시노야 이렇게라도 보게 되니 좋네요.
9791195720927,6,책과 서점을 사랑하는 나로서는 읽지 않고는 못 배길 그런 책이다. 직접 운영하는 사람들의 입에서 나온 말들을 보니 재미있다. 장사라는 것이 무엇인지에 대해서 다시금 생각하게 만든다. 그리고 이 수많은 사람들이 권하는 수많은 책들 중에 과연 어떤 책을 읽을 것인가? 중대한 고민이다.
9788998415716,6,"헬베티카 외의 서체들을 설명할 때, 설명글만 있고 참고 이미지는 없어서 온전히 이해하기 힘들어 아쉬웠습니다."
9791195720910,8,서점을 좋아하는 그래서 서점을 차리고 싶은 독자와 사람에게 추천하고픈 책. 미래가 비관적이지만 ㅠㅠ 서점이 과연 무엇인가에 대한 답을 주는 책이기도 하다.
9791195720910,8,하아~ 실때없는 꿈 중에 책방 주인도 있었는데...
9791195720910,8,핵심은 ‘공급률‘
9791195720910,10,막연하게 나중에 동네 작은 책방을 하면 어떨까? 라는 궁금증과 현실적인 걱정에 많은 해결이 되었다
9791195720910,10,"평균 나이 36세, 회사 재직 기간 7년, 퇴사 후 약 3년 경과, 오픈 2년 내외 퇴사자의 가게들과 인터뷰한 이책은 직했던 분야와 연봉, 성과 남성의 경우 기혼과 미혼 등 상황에 따라 어떤 논리로 퇴사를 결정했는지 퇴사 당시 재정 상황 업종 전문성에 따른 공간 준비 과정을 면밀히 보여준다 무엇보다도 이책은 퇴사 이후 벌이와 형편 만족과 근거를 조목조목 따지고 난후 퇴사에 대한 환상과 현실 사이 가장 큰 괴리퇴사를 고민하는 이들에게 해주고 싶은 말을 통해 무작정 퇴사한후 가게를 차리는 무모함을 저지르지 말라고 당부한다"
