ISBN13,rating,review
9772234815002,10,이승윤이라 예약 고고~~~^^
9772234815002,10,앜~~~~~구매각~~~~~~
9772234815002,10,이승윤이라 예약 고고~~~^^
9772234815002,10,앜~~~~~구매각~~~~~~
9772671893007,10,표지모델이 라비던스라고 해서 5권 주문했는데 당일배송으로 와서 좋아요! 라비던스 화보랑 인터뷰 모두 알차고 에필로그까지 봄선물 받은 기분이에요
9791163641582,10,표지 디자인이 뭔가 다음 레벨로 바뀐 느낌! 이번 필진도 정말 우람하네요=)
9791163641353,10,8호도 너무 예쁘고 알차네요~
9791163641353,10,벌써 일주년호라니!
9791163641162,10,혹시 전자책 발간 계획은 없으신가요? 전자책으로 발간됐으면 정말 좋겠습니다 기다리고 있을게요ㅠㅠ
9791163641162,10,아...색감보소
9791163641162,10,키워드 리스트를 받아놓고 기다리고픈 잡지로세
9771975790005,10,역대급 기획이라고 말할 수 있다. 클라이언트로서 가지고 있는 좁은 시야를 다시 한번 깨닫게 해준 훌륭한 기획이다.
9791163640981,10,5호 언제 나오나여? 이거 필진 어떻게 다 섭외한 걸까여.............대박...
9791163640981,10,4호도 넘 즐겁게 읽었어요! 5호 기다립니다~
9791163640981,10,4호 언제 나오나 기다렸는데 나온 거 보고 허버허버 장바구니에 넣음 ㅠㅠ 이번에 최애 시인 이제니 시인까지 있어서 넘 기대되는데 표지는 액자에 넣어 두고 싶다
9791163640981,10,표지 필진 이번에도 역시 역대급
9791196667443,10,"코로나시대 살아가는 우리가 어떤 고민들을 하며 어떤 방향으로 가고 있는지, 여러가지 서울 브랜드를 볼 수 있었습니다."
9791196667443,10,서울의 스타트업을 알수 있어서 좋아요~!
9791163641247,10,제목 센스에 커버까지 나무랄 데가 없다
9791163641124,10,"중고서점에서 구입했는데, 내용도 좋고 구성도 좋네요"
9791163641124,4,"이미지의 색감을 살릴 수 없는 종이 재질의 잡지인데, 그림과 사진을 왜 이렇게 많이 넣었을까? 색감이 엉망이 된 이미지들이 상당히 짜증을 유발한다. 가독성을 무시한 텍스트 배열도 실망스럽다."
9791163641124,6,발라드에 관한 다양한 읽을거리. 이런 생각까지 하다니 신선하다!
9791163641124,8,위트 넘치는 콘텐츠들과 그 구성 사이사이에 보이는 수많은 고민과 노력의 흔적들.
9791163641124,10,표지 또 압도적!
9791163641124,10,헐 미쳤 이거 필진 다 어떻게 섭외하시는 걸까여... 누구 아시는 분 계신가여..  제가 좋아하는 작가님들 죄다 모아 두심 ㅠㅠㅠㅠㅠㅠㅠㅠㅠ 언유주얼 감사합니당 흥해라 흥 !! 이번 표지 넘나리 예뻐여 ㅠㅠ 텀블벅 하는지 몰랐다가 굿즈를 이렇게 놓칩니당...
9791163641124,10,이번 호도 기대하면서 예약 구입!!! 늘 좋아하는 작가님들이 다 있어서 넘 좋아요
9791189096052,10,하드커버가 폭신폭신하다니 완전 신기해요. 고민을 많이 하고 체계적으로 만든 책인게 느껴지고 디자인 짱이구 표지가 무슨 뜻인지는 아직도 모르겠지만 여튼 예뻐요 와랄랄랄라
9791189096052,10,pH-1 인터뷰와 사진이 너무 좋았어요!!좋은 인터뷰와 사진 감사합니다:-) 3월 28일 HALO도 많이 사랑해주세요
9791163641544,10,이 세상 표지가 아니야
9791163641476,10,언젠가 한번은 다루겠지 했는데 역시!
9791190460057,10,두 달이 지났네요. 이번 호도 예약구매합니다. 21세기 베스트 특별판이라니 기대가 큽니다.
9771975790005,10,역대급 기획이라고 말할 수 있다. 클라이언트로서 가지고 있는 좁은 시야를 다시 한번 깨닫게 해준 훌륭한 기획이다.
9772671546002,8,"이 잡지 글도 좋지만 삽입 일러스트 사진들이 좋네요. 그나저나 고퇴경씬가 처음뵙겠습니다인데, 언뜻보고 슈주 은혁인줄 알았어요 ㅎ"
9772671546002,4,예쁜 잡지. 기대로 펼쳤는데 내 노안엔 글자가 너무 작다ㅜㅜ좋아하는 작가들의 짧은 글들에 부풀어서 보기시작했는데 날이 너무 더웠나? 자꾸 기대가 피시식~빠져간다.구독을 할까했던 마음은 지우고 내 꼰대같은 마음과 노안을 탓한다. 책이 무슨 잘못일까? 자꾸 실망하는 내가 문제지
9772671546002,10,표지가 이쁘고 주제가 웃겨서 사 봤어요 김혜진 작가님 글 궁금
9772671546002,10,인그램에 많이 보이던데 가격이 착해서 사봄
9772671546002,10,어떻에 이렇게 필진을 모을 수 있나요? 담고 싶은 글들도 많고요. 부디 꾸준히 나오는 매거진이 되길...!
9791170370048,10,사진과 글 모두 마음에 든다. 계속 나왔으면!
9791195090099,10,초등학교때부터 애정했던 수많은 잡지들을 떠올리며 변함없이 잡지를 애정해야겠다고 다짐했네요ㅎ
9791195090099,10,책 제본 방식이 특이하고 예쁠 뿐만 아니라 일반 잡지에 비해 넘기기가 쉬웠으며 내용 또한 굉장히 만족스러웠다.
9791170370215,10,보스토크 좋아합니다.
9791163640844,10,준비중ing니다 읽는중ing니다 재미ing습니다
9791163640844,10,대담하고 예쁜 표지! 이번에도 냅다 구매각!
9791163640820,10,일상에서 맞는 가성비 때문에 겪는 이별들우리의 삶과 뗄 수 없는 순간들
9791163640820,10,표지가 늘 이쁜데다 작가진이 연이어 좋아서 구입
9791163640820,10,창간호에 이어 2호도!
9791163640820,10,1권 재밌었어요 예쁘고
9791170370130,10,좋을 뿐더러 너무 고마움 호
9791195950881,10,국내에는 아직까지 사진에 대한 정보를 얻기가 힘든 것 같아 단비 같은 서적인 듯 합니다.
9791195950881,10,아직 못봤어요
9771975790005,10,역대급 기획이라고 말할 수 있다. 클라이언트로서 가지고 있는 좁은 시야를 다시 한번 깨닫게 해준 훌륭한 기획이다.
9771975790005,10,역대급 기획이라고 말할 수 있다. 클라이언트로서 가지고 있는 좁은 시야를 다시 한번 깨닫게 해준 훌륭한 기획이다.
9788997225194,10,CG일을 하고 있는데 다양한 사례를 컬러로 담아 많은 도움이 되고 있어요.막막할 때 그냥 페이지를 넘기며 볼 때 아이디어용으로요.
9788997225194,10,"이 책은 전세계 디자인 시장에서 매일 같이 탄생하는 수많은 작품들 중에서 디자인 업계의 좋은 평판을 받은 작품들을 선정하여 소개하고 있다. 즉, 거대한 하나의 ｀그래픽 디자인 레퍼런스 북｀으로써 디자이너들의 생각과 그들의 작업 방식을 들여다볼 수 있는 창문과 같다."
