ISBN13,rating,review
2561182591000,6,아 이거 사진 못 올리나요ㅡㅡ 사부작즈때매 샀는데 하자가 넘 심해요ㅡㅡ 그렇지만.... 예ㅃㅓ서 꼬옥 안아줬어요...
2561182591000,10,시우민 샤넬 향수 화보에 요정이 빚어낸 아름다운이 어떠한 것인지 깨닫네요
2561182591000,10,그냥 정우가 있으면 결제 갈기는거야
2561182591000,10,"사부작즈 사랑해,,,"
2543972402000,10,김정우가 버블로 사진 보내자마자 새벽에 바로 갈겨버림
2543972402000,10,정우 버블보고 결제합니다잡지 처음사봐서 떨리네여 어서와 사부작즈ㅠㅠ
2542708416007,10,최고중에 촤고 부록 디마르3 바트 로제 선크림
9771599937008,10,윤지성~~~~너무 잘생겼다아~~~베로~~~~귀여워엉~~~~
9771599937008,10,샤이니 꺅
9771739954001,10,내가 원호 나와달라 몇년을 빌었는데.. 창간호때 나올것같더라니.. 드디어 소원성취
9771599937015,8,레드쿠션 두셋트로왔네요 피부타입에 맞는거지만 종류별로왔으면 골고루 써봤을텐데라는 아쉬움이 조금 있네요
9771599937015,6,배송은 빠릅니다.리필까지 들어 있는 쿠션의 사용기한이21년 12월까지 입니다.아쉽게도 제품기한이 짧아요.
9771599937015,10,레드니스 커버쿠션으로 부탁드려요^^
9772288095009,10,영재 굿굿
9772233884009,10,채빈이 미모 봐라!
9772383598009,4,아...웨딩드레스랑 헤어 디자인 정보를 원했는디.뭐 입을 수 있는 드레스가 아니라 걍 패션쇼..ㅠ.특이한거 ㅎ포즈도 줴다쭈구리포즈라  드레스디테일도 제대로 보이지도않음. 것도 다 세미드레스...실용적인 웨딩잡지는 아님..ㅠ 잡지 자체는 이쁜데  워따써. 쇼핑리스트도 할말하않.
9772465892094,10,일본버젼에 비해서 아쉬움이 보이는 구성이지만 아이짱의 화보집을 정식발매버젼으로 구입할수 있다는데 대 만족합니다.종이질도 좋고 내용 구성도 나름 대만족 중입니다.뭐 일본 버젼도 같이 구매할 계획입니다.여러분 ˝아이짱은 사랑입니다..!!˝
9772465892094,10,사랑은 아이입니다
9772465892094,10,최고!시노자키 아이 좋아하시면 사세요.
9772465892094,10,아이쨩은 사랑입니다. 경건한 마음으로 바라보고 있으면 이름 그대로 사랑을 느끼게 됩니다. 아이쨩은 사랑입니다.
9772465892094,10,처음으로 화보집을 구매해보네요 ㅎㅎ 일본판 한국판 고민하다 그냥 한국판 구매했네요. 그리고 이거 구매 하는게 죄도 아닌데 왜 다들 표지에 표시하지 마라는지 ㅎㅎ 전 상관없는데..
9772465892094,8,아이화보라서  일단 구매했는데  조금 다양한 컨셉 과 의상이  부족한 느낌이었고  그동안 봐왔던 화보하고  차별화된 느낌을 못 받았습니다. 한국 지역을배경으로  찍었으면 더  친숙 했을 텐데. 화보  외에 포토 카드나 엽서도  온라인에서  주었으면 좋았을텐데 아쉽네요
9772465892094,10,화보집 사진 맘에 드네요.  다른 리뷰글을 보니 일본판과는 내용이 다른가 보내요 일본판 사러갑니다.
9772465892094,10,너무 좋네요 퀄리티 짱!
9772465892094,10,여기는 yes24처럼 싸인회 이벤트응모 같은거 없나요? 내일 배송 기대합니다 ㅎㅎ
9772465892094,10,완판아닌가부네 예약선물있나요?
9772465892094,10,컴퓨터 부품인지 모르게 시노자키 아이 화보집 한정판 [몽환]이라고 써서 보내주시면 안될까요; ;
9772465892094,10,죄지었나 그냥 사면되는거지;;;
9772465892094,10,배송 올때 책이름 안적거나 ‘성공하는 사람들의 7가지 습관‘ 으로 적어보내주시면 안될까요
9772465892094,10,배송 중에 손상가는 일 없도록 포장 잘해서 보내주세요책등 위쪽이나 아래쪽에 찍혀서 구겨지거나/찢기거나/찍혀뭉개질경우 반품할겁니다
9772465892094,10,상품명 무현-두 도시 이야기 공식 가이드 라고 적어서보내주시면 안될까요
9772465892094,10,시노자키아이의 건전한 생활 이라고 보내주세요 ㅠ
9772465892094,10,노인과 바다라고 상품명 표기해서 보내주세요 ㅠㅠㅠㅠ
9772465892094,10,샀는데요 뽁뽁이로 꼼꼼히 포장해서 보내주세요 책 구겨지거나 손상이 가면 안됩니다
9772465892094,10,2권 예약합니다 아이쨩 최고다!
9772465892094,10,조상님 죄송합니다. 일생에 딱 한번만 친일을 하겠습니다.
9771228140908,10,워너원 기사도 나오고 좋았습니다. 꽤 이전에 발매된 잡지를 다시 보는 신선함도 있는 것 같네요~~
9771228140908,6,철지난 이 잡지를 산 이유는 중학생 딸이 좋아하는 워너원? 맞나요?세븐틴이던가요? 아무튼 아이돌이 나온다고 해서 샀습니다.과거부터 명성있는 쎄씨답게 재미있는 패션잡지라고 생각됩니다.재미있게 읽었어요.
