ISBN13,rating,review
9772765057001,10,정말 간단하고 건강한 레시피가 가득해요^^ 샐러드 팁도 다양하고요.
9791190109000,10,부엌 매거진은 정말 예뻐요
9791190109000,10,요번 주제 맘에 드네요~
9791160360332,10,"소금에 관한 책들은 그책이 그책 같다는 인상을 받을 때가 많았는데, 다른 책에서는 소개되지 않은 소금 생산지를 볼 수 있어서 좋았다. 인터뷰 기사도 좋았고, 사진 한 장 한 장이 눈을 사로잡았다. 구성도 좋고, 내용도 충실하다. 검색하다가 얻어걸렸지만, 이런 잡지를 알게 돼서 기분 좋다."
9791160360332,10,"좋다, 무겁지 않고 소금에 대해 이렇게 가독성높게 글을 쓰다니. 너무 가볍다고 생각 할 수 있으나 나는 전문가가 아닌 것을. 대중성을 높이고  다양한 독자층에 맞는 다고 생각한다. 다양한 소금에 대해 더 알고 싶고 맛보고 싶어진 기분"
9791160360387,4,기사가 엉망. 겨우 끝까지 읽었음. 보기 좋게 만들었지 읽기 좋진 않음.
9772765057001,10,정말 간단하고 건강한 레시피가 가득해요^^ 샐러드 팁도 다양하고요.
9788993461466,10,단순 커피만이 아닌 샌프란시스코 라는 도시의 감성까지 잘 잡은 잡지같습니다. 텍스트뿐이 아닌 감각적인 사진과 함께 풀어낸 드리프트만의 감성 좋습니다~~~
9788993461428,10,생각보다 알찬 내용과 좋은 사진들이 많은게 맘에들어서 다른권도 사려고요.
9788993461428,10,"커피와 인물, 공간에 얽힌 이야기를 감각적으로 담아낸 책이여서 완전 취향저격~!"
9788993461398,10,"우리나라에도 호주식 메뉴와 카페가 주목받는다는데, 그 원점을 확인한 것만 같다"
9788993461381,10,"흔한 음료라고 생각할 수도 있는 커피가 사회, 문화, 사람의 삶을 담아 내는 아이콘이 될 수 있다는 것에 대한 증거와도 같다. 멋진 책이다."
