ISBN13,rating,review
9788948703061,8,책 모서리부분들이 많이 상햇네요
9788928643882,10,참으로 놀라운 책. 그리스도인들이 죽기 전에 읽어야할 최고의 책입니다.
9788928643882,10,시적이고 깊고 단단하다.
9788932114705,10,"""""모든일에는 때가 있다""는 책 제목처럼 이책을 읽고 참 좋다고 느껴지는 때  또한 따로 있겠구나하는 생각 역시 들게되는것같다.  구약성경의 코헬렛서도 찾아 읽어보게 된다."
9788932114705,6,삶의 방향을 제시한다기보다는... 그냥 코헬렛서와 조금 관련이 있는 가톨릭 영성 책이네요.조금 실망이에요..
9788932117577,10,저자인 신부님이 사제로서 자신의 이런 저런 문제 때문에 힘들었고 그 때문에 영성 심리를 공부했다는 내용이 나온다. 그 때문에 이 책이 그저 흔한 자기 계발이 아닌 진실한 위로로 다가오는 듯 하다. 나 스스로도 이 책을 잘 읽었지만 나아가 이 책을 선물하고 싶은 여러 지인들의 얼굴이 떠올랐다.
9788932117577,8,"시작하는 글에 따르면, 신부님은 심리상담을 받으시고 나서부터 오히려 ‘더 높게, 더 많이‘로 바뀌셨다고 한다.일상의 기분은 중요하다.내 삶의 주인이 되기 위해, 더 나은 삶을 살기 위해 거창할 것 없이 주님이 만들어주신 내 모습 그대로 사랑하고, 내가 언제 힘들고 행복한지 돌아봐야겠다."
9788932117577,10,자신의 마음을 잘 돌봐야 한다는 믿고 읽는 홍성남 신부님의 신간심리치료를 받을 것 없이 (받으면 좋지만) 이 책만 읽어도 위로가 되고 조금은 치유가 됩니다.나 자신을 있는 그대로 받아들이기 또 심리적으로 건강해지기 위해 책에 적힌 작은 훈련들을 실천해보면 인생의 큰 도움이 될것 같습니다
9788932117577,10,누구나 느끼고 있을 찌질하고 아픈 감정들에 대해 단지 마음수행에 관한 추상적인 위로를 하는 것이 아니라실질적인 방법을 제시하는 책이다.소제목의 끝자락에 질문이 하나씩 주어지는데 이 질문을 다이어리에 적어 두고 질문들에 깊이 있게 대답해본다면 자존감 회복에 큰 도움이 될 듯 하다.
9788932117577,10,"나의 마음을 가장 잘 아는 사람도 나 자신이지만 종종 그 사실과 나의 마음 아픔을 외면하곤 한다. 이 책은 표지처럼 편안하고 잔잔하게, 그러나 단단하게 나의 마음을 돌아보고 치유할 수 있게 이끌어주는 ‘등대’와 같았다. 책 속에서 우리 삶을 바다 항해에 여러 번 비유하여 설명하고 있다. 추천!"
9788932117577,10,현대인들에게 자존감이란 낱말은 꽤 친숙하면서도 멀다. 자아에 대한 성찰 그리고 나를 사랑하는 행위는 자존감을 높일 수 있는 중요한 요소가 된다. 홍성남 신부님의 자아 시리즈의 3번째 책인 이 책은 성찰을 소재로 하여 우리 자신을 어떻게 아끼고 응원할 수 있는지에 대해 자상하게 설명해주고 있다
9788936506391,10,"종교에 대해 말한다고 생각했지만 사실은 인간에 대해 말하는 책. 여러 각도에서 다양한 인물상을 제시한다. 그리고 신의 존재, 신과 인간과의 관계에 대해서도 결코 깊은 사유 없이는 나올 수 없는 철학적 질문을 던진다."
9788936506391,10,홍성사 책 가운데 백미
9788936506391,10,"‘깊은 강’, ‘바다와 독약’에 이어 세 번째로 읽은 엔도 슈사쿠의 소설. 전부 만족스럽다."
9788936506391,8,신앙뿐 아니라 신념을 지키는 것에 대한 고민을 담고 있다. 신념과 사랑 중 어느 한 쪽을 택해야 한다면 당신은 어느 쪽을 택하겠는가.
9788936506391,4,내용은 좋은데너무나도 아쉽게 책이 손상되어서 왔습니다..
9788936506391,10,내용은 좋은데 중간에 페이지 누락이 있었다. 한 20페이지 정도. 흑흑..
9788936506391,10,"사람은 역경의 그 상황에 처해보지 않고는 남을 비난할 수 없다,하느님은 왜 침묵하고 계시는가! 글속의 주인공 신부의 상황이 아니더라도 그절실함은 지금도 일어나고 생긴다.허나,그분의 침묵에 조용히 수긍할 뿐이다"
9788936506391,10,근 1년동안 읽웄던 소설중에 단연 최고였다.생생한 풍경 긴박한 상황 그리고 철학적인 메세지.새벽까지 나를 이끌고 간다.
9788936506391,10,일본의 대표적인 현대소설가로 평가받는 엔도 슈사쿠의 <침묵> 읽으면서 가슴먹먹한 기운과 긴 여운을 남기게 되는 최고의 소설이었네요. 역사적 사실에 소설적 재미가 곁들여져 진지하면서도 생동감 있게 그려낸 수작이었습니다.
9788936506391,10,신앙을 부인해야만 살 수 있는 절체절명의 상황에서 고민하는 인물들의 내면 묘사를 통해 고난의 순간에 하나님은 어디 계신가?˝란 신학적 문제를 조용하지만 가슴 뜨겁게 그려낸 명작이었습니다
9788936506391,10,역시 일본도 보수적인 경향이 많았군요. 우리처럼 만만치 않았네요. 고난을 헤쳐나가는 모습이 참 멋집니다.
9788936506391,10,"역사적 사실에 소설적 재미가 곁들여져 진지하면서도 생동감 있게 삶의 철학적 이야기가 전개될 것 같아서 기대되는 책입니다! 누구나 살면서 한 번쯤은, 지금 이 순간에도 겪고 있을 신에 대한 물음에 대한 지혜를 담고 있을 것 같은 책이어서 꼭 읽어봐야겠습니다~"
9788936506391,10,종교의 가장 큰 질문 중 하나를 어떤 식으로 풀어나갈지 궁금합니다. 한번 읽어보고 싶습니다.
9788936506391,10,고통 받는 인간 앞에 종교는 어떤 역할을 하는 것인가.. 그 존재 의미는 무엇인가에 대한 화두를 던져주고 있습니다.
9788936506391,10,"[침묵]은 지상에서 살아가는 믿는 이들이 겪는 고통에 대해 아무것도 하지않고,아무 말도 하지않는 하나님의 무응답을 의미하죠. 신이 있다면 악은 존재 하는가?라는 질문과 박해 가운데에서 신앙을 버릴것이냐 지킬 것이냐? 라는 고민에 이르기까지의 과정을 읽는이에게 어떤 판단의 강요없이 자연스럽게 전달해주네요."
9788936506391,10,이 책이 주는 감동에는 특별함이 있다.
9788936506391,10,주인공에 대해 많은것을 생각해볼수 있어 좋아요.
9788936506391,10,우리가 이토록 고통받고 있는데 하느님은 왜 침묵하고 계시는가? 하느님은 어디에 계시는가? 이 책은 처음부터 계속 이 질문을 던집니다. 소설속 로드리고 신부의 선택에 대해 어느 누구도 옳다 그르다를 판단할수 없지만 만약 내가 선택한다면? 나의 신앙은?을 끝없이 물어보고 반추해보는 길고 긴 신앙적 여정의 시간이 내앞에 있는 것으로 보입니다.
9788936506391,10,살다보면 한계 상황에 맞닥뜨렸을때 응답하지 않는 신에 대한 고찰이 담겨있을듯 해서 매우 기대돼요!
9788936506391,10,영화를 보기 전에 미리 읽어보고 싶어서 주문합니다
9788936506391,10,고통에 동참하고 그들의 고통을 덜어주는 것이 진정한 종교인의 자세라는 것을 다시금 일깨워 주는 책입니다
9788936506391,10,마틴스콜세지 감독이 20년간 수없이 반복해서 읽었다는 말이 이해될만큼 깊은 내용을 담고 있네요.
9788936506391,10,선불교로 개종한 17세기 포르투칼 출신 가톨릭 예수회 신부 크리스토 바오 페레이라 선교사의 이야기입니다. 천주교에 대한 온갖 핍박 속에 믿음을 잃지 않는 사람들을 보며 신은 고통의 순간에 어디에 계시는가라는 탄식이 느껴지는 좋은 소설이었던 것 같습니다
9788936506391,10,실화이기에 더욱더 사실감 있는 내용과 묵직한 주제가 신정론에 대해 다시금 생각하게 되었습니다
9788936506391,10,기독교인들이 박해받는 고난의 순간에 종교인이라면 한번쯤 흔들리고 고민할 문제를 낱낱이 파헤쳐서 많은 공감도 가네요. 심리적인 묘사가 잘되어 있어요
9788936506391,10,"절대자의 침묵 속에서 인간의 신앙의 문제는 첨예해진다. ""어떻게 하는 것이 좋은 것인지 알수가 없다. 배운 교리처럼 선과 악을 구분하기가 어렵다.""는 로드리고 신부의 독백은, 이분법적으로 단순화된 기독교 신앙이라는 문제를 다시 생각해 보게 한다."
9788936506391,10,옛날에 힘들게 전도를 하고 다니시던 분들의 고난을 접할 수 있어서 기대됩니다
9788936506391,10,일본의 기독교 박해라는 실화를 사실적이고 섬세하게 잘 표현해서 정말 기대가 됩니다.
9788936506391,8,이 책의 내용을 보니 예전에 보았던 미션이라는 영화가 생각납니다. 책이나 영화를 통해서 그 감동을 느낄수 있겠죠^^
9788936506391,10,고난의 순간에 하나님은 어디에 계신가라는 질문은 우리의 천주교고난사에도 적용되는 말이네요. 진정한 믿음은 무엇인지 다시 생각하게 하는 명작입니다.
9788936506391,10,일본의 대표적인 현대소설가의 작품으로 신앙에 대한 자신의 생각을 밝힘과 동시에 역사적 사실과 작가의 치밀한 상상력을 돋보이는 작품입니다. 현재 자신이 믿고 의지하는 종교에 대한 생각을 재고해보는 책이 되지않을까 싶습니다
9788936506391,10,"극한의 고통속에서 신앙의 힘을 어떻게 키워 나갈수 있을지, 종교에 대한 깊은 생각을 하게 만드는 작품입니다."
9788936506391,10,"여름 휴가때면 홍성사 버전  <침묵>을 들고, 소설 배경이자 엔도의 영혼의 고향인 <나가사키>에  방문했다. 소설에서 배교한 페레이라와 로드리고가 만났고 실제 그의 배교문이 지금도 보관된 사이쇼지. 페레이라 무덤이 있었던 코우타이지. 그곳에서 그네들의 슬픈 침묵의 웅성임을 듣고자했다."
9788936506391,10,일본의 천주교 박해 사건이라는 실화를 바탕으로 믿음을 어떻게 이어나갈지 갈등과 심리묘사가 기대가 되는 작품입니다.
9788936506391,10,"믿음의 길을 걷게 될때 겪는 수많은 물음중 하나. 고난받을때 주님은 어디계신가, 이글을 통해 말씀안에서 주님이 믿음으로 모든상황과 환경앞에 나아가는길이 무엇인지 알게되기를 바라고 우리의 크고작은 일들앞에서도 오직 믿음으로 나아가길 소망해봅니다. 오늘도 세상은 증인을 보고싶어한다..."
9788936506391,10,"내가 믿고 있는 종교와 신념, 믿음이 박해와 고통 앞에서 흔들리게 된다면.. 그리고 가장 필요한 그 때에 하나님의 침묵이 이어진다면.. 그 마음이 어떠할까? 일본 초창기 기독교인들의 모습을 볼 수 있는 책. 그 안에 지금의 나의 모습과 신앙을 비추어볼 수 있게 하는 책."
9788936506391,10,실종된 스승을 찾아 복음을 전파하기 위해 #천주교 박해가 한창인 일본으로 목숨을 걸고 떠난 2명의 선교사의 실화를 다루고 있다는 이야기가 강렬하게 느껴집니다.
9788936506391,10,천주교 박해아래 어렵게 믿음을 이어가는 사람들과의 만남과 믿음 그사이의 이야기 마틴 스콜세지 감독의 웅장산 서사를 직접 느껴보고싶어요
9788936506391,10,종교라는 이름으로 많은이들에게 위안이 되고 힘이 되주기도 하지만 종교의 한계에 갇혀버렸을때의 그 답답함이 절절하게 느껴지는 영화일것같아요
9788936506391,10,일본의 천주교에 관련된 내용을 접한적이 없어서 생소하게 느껴지네요. 실화를 바탕으로 한 작품이라서 관심을 가지게 됩니다.
9788936506391,10,최근 액션영화에서만 줄독 모습을 보엿던 리암리슨의 색다른 모습이 이채롭습니다. 종교 때문에 일본에 가서 어떤 우여곡절을 겪었는지 궁금합니다
9788936506391,10,"와우! 스파이더맨과 헥소고지의 앤드류가필드 , 테이큰의 리암니슨 , 그리고 스타워즈 깨어난포스의 아담드라이버 를 한번에 볼 수있는 영화라니!!! 더군다나 영화계의 거장 마틴스콜세지 감독이 연출한 종교영화 라니 더욱 보고 싶은 영화 사일런스"
9788936506391,10,17세기 실종된 스승을 찾고 복음을 전파하기 위해 천주교에 대한 박해가 한창이던 일본으로 목숨을 걸고 온 두 명의 선교사의 이야기를 담은 대서사 실화 드라마로 더욱 기대가 되는 작품입니다.
9788936506391,10,택시 드라이버’와 ‘성난 황소’부터 시작해 ‘디파티드’와 ‘울프 오브 월스트리트’까지 수많은 걸작을 영화사에 아로 새긴 거장 #마틴스콜세지 감독이 30년 만에 다시 선보이는 종교영화여서 기대가 되는 영화 사일런스!!! 사일런스 응원드려요
9788936506391,10,"종교를 믿는 사람에게든 믿지 않는 사람에게든, 종교의 자유란 소중한 것이다. 오랜 세월 동안 특정 사상이나 종교를 믿는 사람들은 탄핵당했고, 그들은 그 믿음을 숨기며 살아와야 했다. 가혹한 박해를 견디면서도 믿음을 끝까지 져버리지 않은 그들의 절개에 경의를 표한다."
9788936506391,10,"오랜만에 침묵을 다시 펼칩니다. 영화 사일런스의 개봉을 앞두고 있기 때문입니다. 영화가 미션이후의 최고의 종교영화가 될 것이라는 기대가 이어지고 있습니다. 빼어난 원작에 최고의 감독이 연출을 맡았기 때문이기도 할 것입니다. 그러나, 원작이 주는 힘은 쉽게 잊혀지지 않을 것입니다."
9788936506391,10,"일본은 종교가 정말 다양한 다신교의 특징이 있죠. 그래서 그 나라의 기독교 신자들의 믿음은 과연 뜨거울지 의심했습니다. 그런데 곧 개봉하는 사일런스의 영화의 저자가 일본의 작가였군요. 일본의 기독교가 박해받는 과거를 적나라하게 표현하고 책으로 툴간햤군요. 그들의 믿음, 정말 궁금합니다."
9788936506391,10,"엔도 슈사쿠의 <침묵>은 대학시절부터 지금까지 3번은 읽은 제 인생의 책이었습니다. 3월에 후쿠오카를 여행하는데, 자비에르 기념교회도 갈예정인데, 그전에 침묵을 한번더 봐야겠어요"
9788936506391,10,기독교와 일본은 생각도 못했는데..그들의 순교의 역사가 너무 슬프고 아름답네요 ㅠ
9788936506391,8,탄압에도 불구하고 고난을 받아들이는 신부의 이야기가 감동스럽네요
9788936506391,10,영화 사일런스의 원작 소설이 바로 소설 침묵 이군요. 원작을 뛰어넘는 영화가 드물다는 이유때문이라도 일단 소설 침묵을 먼저 꼭 읽어봐야 될것 같네요. 기대되는 책입니다.
9788936506391,10,번역과 편집이 다소 매끄럽지 않아서 거슬렸지만 내용은 좋습니다.
9788936506391,10,역사적으로 신앙측면에서 고난이 닥친 신부의 이야기로서 이 책이 여러 의미에서 다가오게 됩니다. 신앙인으로서 고난을 겪는 사제들의 내면에 대해 엿볼수 있는 책이라 생각되네요.
9788936506391,10,신앙이 박해받던 시절에 신앙인들의 내면의 고뇌를 느낄 수 있습니다.
