ISBN13,rating,review
9788936514716,10,"평소존경하는이재철목사님께서 4명의 아들들의 아버지로서의 목사님의글을 읽어보니, 자식을 키우는입장에서 많은 생각을 하게되었습니다. 그리고 하나님앞에서 나는 어떤 자녀일까? 라는 질문도 하게되었습니다. 절판된책을 많은분들의 문의로 개정판으로 볼수 있어서 감사합니다~"
9791165041854,10,"정독, 정독, 정독...꼭 한번 정독해보세요."
9791185098401,10,이 책은 나자신을 돌아보게한다. 나라면 어땠을까?... 하는 질문속에 예수님을 만났던 사람들을 다시금 생각하게 하면서  내가 잠시 그들이 되어 책 속의 주인공이 되게끔 안내한다. 이 책은 정말 저자의 말처럼 한번 읽고 말 책이 아니다.
9791185098401,10,가룟유다마저 용서해주시는 예수님의 고귀한 사랑을 읽을때는 숨이 멎는듯 아련히 아팠어요 매일이 사순절인양 사는 요즘시대에 필요한 위로가담겨있어요 예수님이만난 평범한 사람들의 이야기는 특별을 넘어 지표를제시합니다
9791165041335,10,"크로노스의 시간에서 나타나지 않은 기도 응답에 대해 낙심했던 나에게, 카이로스의 시공간에 계시는 하나님께 믿음을 가지고 낙심하지 않고 더욱 기도의 자리에 나아가게 해주는 책입니다. 감사드립니다~많은 분들이 읽고 실제적인 믿음으로 나아가는 시간되기 원합니다."
9791165041335,10,고성준 목사님 존경합니다. 실제적이면서 영적으로 설교와 책에 아주 탁월하신 분이십니다. 하나님이 사용하시는 분은 정말 다르신것 같아요. 기대하고 구입하겠습니다.
9791165041335,2,아직도 이런 책이 출판되고 있다는게 이해가 되지 않는다 4차원의 영적 세계를 좀 더 세련되게 포장하고 있을 뿐이다 어찌 한낱 인간이 영적인 세계를 운운할 수 있단 말인가 저자는 종교 사기꾼이거나 위험한 신비주의자일 확률이 높다
9788972979838,10,목차가 없네요...?
9788938814623,10,"삶에 관해서, 새가족 또는 성숙한 그리스도인의 삶에 대해서이보다 더 좋은 책이 있을까? 혼자 읽지 말고 함께읽으며 나눌때 책의 진가를 알게 될 것입니다!"
9788938814623,10,엄마가 필요하셔서 사드린 책. 만족해하셔서 마음에 든다
9788938814623,10,바로바로 읽히지 않는다. 그러한 까닭은 내용이 깊이있기 때문이다. 천천히 곱씹으며 자기 경험에 대입할 수 있다.나는 이 책을 통해 하나님과 더 친밀해졌고 신뢰하게 됐다.그것은 나를 연약함 속에 강하게 한다.
9788938814623,10,목삶을 통해 인생이 변화되고 성장했습니다.
9788938814623,10,기대됩니다
9788938814623,8,아들이 제목이 맘에 들었데요.  읽고보니 잘선택했다고하네요
9788938814623,8,뉴에이지라고 시끄럽게 떠들어대는 말보다는 더 의미있는 메세지를 찾을 수 있는 책.
9788938814623,6,이걸 사는게 옳은건지 ..
9788936513191,10,정말 통찰력 있는 좋은 책입니다 루이스의 책 중에서도 필독서입니다 죄와 유혹에 대해 얼마나 깊이 자신을 관찰하고 성찰했는가를 엿볼  수 있습니다
9788936513191,8,악마의 존재 여부보다 내 행동이나 사고방식을 돌아보게 해준다.
9788936513191,10,"이 책의 작가는 천재다.정말 사탄,악마,마귀가 직접 되어보지 않고는 그 존재들의 속마음을 이렇게까지 디테일하게 나타낼수 있다는게 진심으로 놀랍다."
9788936513191,10,어렵지만 참 좋은 기독교 변증서
9788936513191,10,"청소년들과 독서 토론을 위해 사용하였다.중학생의 경우 조금 어려울 순 있으나, 그 중에도 몇몇 학생들은 책의 내용이 자기 이야기 같다며 깨달음을 쏟아 놓는다. 이 시대를 향한 대적의 전략과 내면을 살피는데 있어서 좋은 책인 것 같다."
9788936513191,10,재밌다
9788936513269,10,1952년 초판 발행 이후 꾸준히 읽히고 있는 최고의 기독교 변증 입문서 가운데 하나입니다. 선입견 없이 진지한 마음으로 읽는다면 적지 않은 자극을 받으실 겁니다. 번역도 나쁘지 않습니다.
9788936513269,10,기독교 변증을 시작하기에 가장 좋은 책
9788936513269,4,번역이 별로예요.명료하고 명확하기로 유명한 변증이 읽다보면 정신없어지네요. 오래전에 다른 출판사에서 출판된 한자 섞여 발행되었던 옛날 얇은 문고판이 차라리 나은 것 같습니다. 번역 좀 다시 해주세요.
9788904167456,10,‘답‘을 찾고자 애쓰는 그리스도인들에게 이것도 답이고 저것도 답인 듯하여 오히려 ‘답답‘함을 갖게 될 때 세상에서는 ‘답 없음‘이 오히려 답이며 오직 하나님 앞에서만 그 답을 구할 수 있음을 이야기합니다.
9788944785054,10,너무좋은개론서입니다
9791186409497,2,신정통주의 중심의 조직신학책. 교묘히 다원주의적이다. 개혁주의를 따르는 분들은 현혹되지 마시길.
9791186409497,10,배송 빠르네요
9791186409497,10,비신자가 읽어도 어려움이나 거부감이 없다. 모두에게 추천
9791186409497,10,"이 책을 찾아 읽으실 정도면,밀리오리의 개론서가 지닌 장점과 혹여나 마음에 걸리는 부분들에 대해서도 모두 다 잘 알고 계시리라 생각이 든다. 하나 아쉬운 점은 바로 ‘색인‘이다. 주요개념어에 대해서는(신학용어해설이 권말에 있긴하나) 성경/인명 색인과 함께 반드시 색인으로 정리되었어야 했다."
9788948703061,8,책 모서리부분들이 많이 상햇네요
9791195543717,10,성경을 알아가기에 너무나 좋은 책입니다^^
9791195543717,6,책의 크기와 페이지 수를 줄여도 될 것 같음
9788982553387,10,"성경연구를 할 수록 원어에 대한 필요가 커지는데, 많은 도움이 될 것 같습니다"
9788982553387,8,헬라어정리가 잘되어 있군요..감사합니다..
9788953139268,2,"새로운 시대에 교회를 변화시켜가자는 말 보다 먼저, 성찰을 가졌으면 좋겠다. 지금 교회는 잘 하고 있는가? 왜 일반 사람들은 교회에 대해 부정적으로 인식하게 되었는가? 다시금 돌아보는 시간이다. 지금은,"
9788953120501,10,"결혼이 주는 친밀감의 정수는 마침내 자신을 정확하게 알고, 자신을 있는 그대로 받아들여 주는 이를 얻게 되는 데 있다. (p.283)"
9788953120501,8,결혼에 대한 성숙한 이해를 할 수 있습니다~
9788953120501,8,결혼한 딸과 사위에게 선물했습니다. 둘이 함께 읽으며 결혼생활의 원칙을 세워가고 있다고 합니다. 선물받고 딸과 사위 모두 만족스러워했습니다.
9788953120501,10,좋아요^^
9788953120501,6,결혼에 대한 책이지만 싱글이었을 때 읽었어도 많은 도움이 되었을 책인 것 같다. 주위에 결혼하지 않은 친구들에게 먼저 더 권하고 싶다. 또 크리스천이라면 많은 공감을 가질 수 있을 것이고 연애와 결혼에 대해 깊은 묵상으로 초대될 것이다. 가장 좋은 친구와 결혼했다는 것을 주님께 감사드린다.
9788953120501,8,팀켈러에게 배우는 결혼에 대한 지혜성경적이네요
