ISBN13,rating,review
9791195522897,10,배송도 빠르고 책 상태도 좋았어요! 좋은 거래 감사함키다!
9791189269760,10,"너무 좋은 책 같아요, 스님에 대한 신문기사를 읽었습니다. 이 책도 꼭 한번 읽어보고 싶어지네요. 중생들의 마음공부를 위해서 노력해주셔 너무 감사합니다. 앞으로도 좋은 책 많이 출간하시기를 기대하겠습니다."
9791189269760,10,사진을 보니 마치 인도에 있는듯한착각이 들게 하고요   글은 부처님의 신심을 더욱 깊게 합니다
9791187297260,8,"재밌어요. 마음 따뜻해 지는 책이랄까, 뭔가 많은 생각을 하게 만드는 것 같아요."
9791187297260,10,법륜스님 사랑해요.항상 건강하세요♡
9791187297260,10,읽어봤는데 너무 재밌어요ㅋㅋ그래서 친구 생일선물로 보내줬어요♡
9791155801574,10,기대가 큽니다. 1972년에 구판이 나온 이후 50년만에 새로운 부처님 말씀이 대중 앞에 선보이는 것입니다. 그간 범어를 공부한 학인들이 많이 배출되었습니다. 그분들의 역경 작업이 충분히 반영되어 대중들이 부처님 말씀에 보다 정확하게 접근할 수 있는 귀한 지침서가 되기를 소망합니다.
9788935700660,8,트윈픽스를 보니 데일 쿠퍼도 이 책을 봤던데?
9788935700660,10,그저 신비주의적인 글로만 볼 것은 아닙니다. 우리 인생의 삶에 등불이 되어 주네요.
9788935700660,6,"영어 중역인데, 번역과 역자 주가 혼동스럽다. deity를 신이라고 번역하거나, 만달라도 오해... 차라리 역주를 덜 달지 그랬나 하는 생각이 많이 들었다. 류시화 시인이야 내공 깊은 수행자일 거라고 생각하지만, 티벳 밀교 공부가 이 책을 번역하고 주을 달 정도는 아닌 듯 한데 자만한 듯..."
9788935700660,10,돌아가신 분께 해드리고 싶은 구원의 방법을 공부하고 싶어 읽어보았다. 실제로 그분께 그 구도를 해드리긴 힘든 어려운 수행법이었지만 내 스스로 힐링이 되는 느낌을 받았다. 그분께 아직도 마음으로 이 책을 바치며 누군가에게 구원을 바라고 있다. 제발 흰 빛을 따라 그 어딘가로 바로 빠져나갔길
9788935700660,8,"독서모임에서 읽은 책. 다들 잘 먹고 잘 사는 것에는 관심이 많으나, 죽음에는 생각조차도 안하는 사람이 대부분이다. 죽음을 생각하는 순간 두번째의 삶이 시작된다. 현생의 부귀영화보다 더 중요한 것은 더이상 환생을 하지 말아야 한다는 것을 깨닫게 해준다. 따라서 지금 착하게 잘 살아야 한"
9788935700660,10,"삶, 죽음, 환생을 거쳐 영원한 자유에 이르는 노정을 해설한 책인데, ｀죽음을 배워야, 삶을 배울 것이고, 그래야만 생과 사의 굴레에서 벗어날 수 있다.｀고 역설한다. 일반인이  읽어서 이해가 쉽지 않지만 죽음을 두려워하기 보단 준비한다는 마음으로 읽다보면 영혼이 정화되고 삶에 감사하게 된다"
9788935700660,10,감동 그 자체
9788935700660,10,"영성에 관한 최고의 고전이라고 할 것인데, 티벳 사자의 서는 서문만 읽어도 인간의 존재에 대해 많은 것을 느낄 수 있습니다. 티벳문화가 생소하여 까다로운 부분도 있지만 이런 부분들은 그냥 통독하고 넘어가시면되고 이 책을 완벽히 이해하려는 부담감은 접고 시간을 가지며 천천히 읽으십시오."
9788935700660,10,"생의 모든 현상은 꿈 같고, 환상 같고, 물거품 같고, 그림자 같고, 반짝이는 이슬 같고, 번갯불 같으니, 그대는 마땅히 그와 같이 명상해야 하리라. (금강경) - 47p"
9788935700660,10,죽음의 기술도 정말 필요한 것인지!!
9788935700660,10,인식의 지평을 '삶/죽음' 너머로 넓혀주는 책입니다. 박상륭 덕후들이라면 꼭 한 번은 읽고 넘어가야 하는 책 같기도 합니다. 저 같은 경우 어떤 해설서보다도 이게 더 큰 도움이 됐거든요. 그냥 그냥 그렇다고요.
9788935700660,10,"이세상을 떠난 사람들의 사후 49일간의 이야기, 정말로 착하게 살아야 하겠습니다"
9788935700660,10,아직 다 읽어 보지 않았지만 좀 어렵네요 죽음의세계~~
9788935700660,10,인간이 누릴 수 있는 마지막 기회가 이것이 아닌지?
9788935700660,10,죽음을 맞이하는 준비는 오늘의 삶을 경건하게 한다.
9788946421158,2,"더이상 본인명으로 된 새로운 글을 출판하지 말아달라,는 말씀을  떡하니 명시하고서는, 말씀을 추려 새로 책을 출판하다니요..스님의 책을 바라는 사람 중 하납니다만, 고인의 뜻에반하는 건 아닌가 하는 생각이 듭니다."
9788946421158,2,이건 아닙니다...
9788946421158,10,행복한 사람은 행복을 만드는 사람♡
9788946421158,2,"출판물을 더 이상 출간하지 말아달라는 스님의 유언 이후 10년 만에 나왔다는 내용의 에세이를 ‘편집장의 선택‘이라며 떡하니 독자에게 보이는 건 무슨 뻔뻔함이고 무례인지요.저자의 말씀, 그것도 유언을 무시한 출간은 정말 너무하십니다."
9788946421158,2,"말빚을 다음 생으로 가져 가지 않으려 하니 부디 내 이름으로출판한 모든 출판물을 더 이상 출간하지 말아주십시오.˝_ 2010년 3월 11일 법정 스님의 입적 이후, 마지막 유언_˝​˝부디.. ˝라고 간절히 말씀하셨다.​일생 무소유를 실천하고 가신 법정 스님의 책이 다시 출판된 이유는 무엇인가요"
