ISBN13,rating,review
9788997396658,10,부모님을 이해하고 나를 이해하기 좋았습니다 감사합니다
9788997396658,10,왜 1위인지 이해가갑니다. 다시한번 나를 생각해보게되고 앞으로 어떻게하면 좋을지 가이드가 되어줄 책입니다. 신랑도 꼭 읽었으면 좋을 그런 책입니다
9788997396658,10,“못참는 아이”에만 포커스를 두고 읽기 시작했다가 “욱하는 부모”가 핵심이라는 결론에 도달. 욱은 하지 말고 사랑을 바탕으로 하지만 단호하게 가르치는 것이 중요. 만3세를 갓 지난 아이를 둔 부모에게 추천할 만한 책
9788997396658,10,진짜   감탄이  절로나와    한권을 외워야겠어요   하나하나가 마음에속 속
9788997396658,2,개인적으로 추천하고 싶은 육아서적은 아닌것 같네요.ㅠㅠ^ 유명하신 분이기에 믿고 구매했는데 잘못된 방법들도 많은것 같아요. 베스트 셀러인 이유를 모르겠네요.. 유명세 때문인건지..ㅠㅠㅠ
9788997396658,10,나는 책을 읽으면서 감명깊은 문장이 있으면 책 모퉁이를 접는데 이건 너무 많이 접어서 책이 더 빵빵해졌다 ㅋ. 문장이 아니라 전반적으로 깔려있는 기조가 맘에 들고 계속해서 나 자신을 다잡아야 한다고 느낀다. 대여섯권 더 사서 아이가 있는 지인에게 나눠줬다. 읽고 또 읽어야 할 책.
9788997396658,10,이거 그냥 바이블....포스트잇 한통을 북마크 하는데 다썼어요~! ㅎㅎ
9788997396658,10,많은 분들이 꼭 읽어보시기를  권해드려요~~
9788997396658,10,욱하지 않은 않는 부모는 없다. 강도의 차이와 표현의 방법이 다를 뿐. 못참는 아이는 이 세상 모든 아이들이 그렇다. 욕구를 숨기거나 억누르는 환경에 따라 어른들이 볼 때는 잘 참는 아이로 보일 뿐이다.
9788997396658,6,'욱'하지 말라고 부모들한테 반복적으로 이야기해주고 있다. 특히 사례들을 보면 남일같지 않아 더욱 집중하게 된다.하지만 뒤로 갈수륵 반복적인 이야기만 나온다. 해결방법은 하나. 욱하지 말자... 내 생각에는 필요한 부분만 빌려읽음 좋을 듯하다
9788997396658,10,참 실용적인 책이라고 생각합니다.우연히 도서관에서 보다가 ˝아 이건 사야겠다˝ 했습니다.왜냐햐면 밑줄을 쫙쫙 긋고 싶은 마음이 솟구쳤기 때문이지요
9788997396658,10,정말 필요한 책이예요 아이에게 화낼 상황때마다 참고 이 책읽어요 요즘은 욱하지 않게 되더라구요^^
