ISBN13,rating,review
9788946414501,10,감동이다. 여운이 깊다. 딥스야 고마워.
9788946414501,10,한아이나 놀이치료베티처럼 부드러운 어체는 아니지만 좋은 책이네요
9788946414501,10,유아교육과 면접준비중인데 도움이 많이 되요 ㅎㅎ
9788946414501,10,내가 먼저읽고나 그 둥둥울리는 마음의 묵직함의 소리를 내 아이와 함께 하기위해 한장씩 천천히 오랜시간 아이에게 읽어줄것이다.
9788994140377,10,이거 구판은 아니지만 플로어타임 처음 소개한 책이 품절되었는데. 중고책 가격이 25만원까지 올라가더라구요 ㅠㅠ... 그나마 중고도 많지 않아서 어렵게 구했는데. 신간이 나오다니 넘 좋네요.
9788994140377,8,"출판된 지 한 달도 안돼서 구매했는데요. 리뷰가 없어서 걱정하며 구매했지만, 보통 발달관련 책보다 적용할만한 내용이나 사례가 많아서 도움이 많이 됐어요!"
9791190888110,10,이 책은 자폐를 가지고 있는 아동의 부모님은 물론이고 어린이집 교사와 원장님들도 꼭 한번은 보셨으면...하는 마음이 생기는 책이다. 이 책을 읽으며 자폐는 대뇌의 신경발달학적 장애이고 후천적인 양육과는 관계
9791190888110,10,"사실 자신의 자녀가 ‘자폐‘진단을 받으면 막막할 것이다.⠀그리고는 어떻게 하면 좋을지 인터넷을 밤새 뒤져서라도 그 방법과, 괜찮은 치료실을 찾느나 애를 쓸 것이다.⠀자폐의 특성상 하루라도 빨리 시작할수록"
9791190888127,10,‘금지하지 않고 행동수정 하는 ABA 육아법’은 ‘문제행동’을 중재하는데 초점이 맞춰진 책이다.ABA 책 대부분이 전문 서적이라 접근하기 어렵다면이 책을 ABA 기본서로 읽으면 좋을 것 같다.  발달장애아동도 비 장애아동의 문제행동을 이해하고 중재하는데 도움이 될 것 같다.
9791190888127,10,"문제행동에 대한 양육자분들의 고민과 해결책을 쉽게 이해가능하도록 쓰여진 책이에요. 꼭 장애아동이 아니어도, 양육하시는 모든 분들이 아이의 행동에대한 고민이있다면 읽어보시길 추천드립니다!!"
9791190888127,10,"정말 쉽게 설명되어있는 책이라서 하루만에 술술 다 읽었어요! 아이와 함께하며 금지하는 말을 정말 많이 하는데, 부정적인 피드백없이도 아이의 행동을 긍정적으로 이끌도록 도와주고 나 자신을 되돌아 보게 하는 책입니다. 자폐 아동이 아니더라도 이건 꼭 읽어보시길 추천드려요!!!"
9791190888127,10,ABA 관련 책은 꼭 찾아보는 언어재활사입니다. 이 책이 포함된 시리즈가 예문아카이브에서 나온 <집에서 하는 ABA 치료 프로그램> 시리즈와 더불어 제일 ABA에 대해 쉽게 풀어서 설명해주고 있다고 생각합니다. 발달장애아동 외에 비장애 아동에게 적용할 수 있는 내용도 있어서 도움이 많이 되었어요.
9788993143300,10,아스퍼거 세아이의 엄마가 쓴 생생스토리. 학교에 다니는 나이의 아스퍼거부모에게 권하고 싶은 책
9788993143300,8,아스퍼거이거나 자폐성장애 범주에 든다는 진단을 받은 어린 자녀를 두신 부모님들의 지침서가 되어 줄만한 책이다.
9788985817899,10,자녀 2명이나 서울대를 보냈다구요? 와 대단하십니다. 아날로그공부법 너무 기대되네요! ^^
9788931590821,10,이제는 진로교육이 우선이 되는 때라 10대 자녀를 둔 부모님이라면 꼭 소장하여야 할 책이다이 책으로 우리 아이들의 진로가 밝게 빛나길~~
9788931590821,10,청소년들이 진로에 대해 고민이 생길 때 들여다 보고 빠져들 수 있는 책
9788931590821,10,10대들이~ 청소년들이~ 진로에 대해 고민해보고 꿈을 생각해보기 위한 첫걸음같은 책^^
9788931590821,10,"예비고등학생 및 열아홉의 꽃다운 청소년들이 10대를 위한 진로 인문학을 통해 긍정적인 에너지를 받고, 앞으로의 ‘나‘를 좀 더 들여다보는 시간을 가졌으면 좋겠다."
9788931590821,8,청소년 진로 수업 가이드북으로 활용할수 있는 책
9788931590821,10,앞으로 어떻게 해야하는지 방법과 생각을 정리하는 법을 배울 수가 있어요.
9788931590821,10,"미래를 위한 진로설계와 준비법, 추천드리며 책을 통해 많이 배웠습니다 :)"
9788931590821,8,청소년 진로에 대한 생각을 할 수 있는 책! 활동지도 있어서 유익하다.
9788952756350,6,자녀 입시와 관련하여 중등과정 중에 준비해야 할 부분들을 정리해놓은 책이라 하겠다. 자녀에게 삶을 누릴 수 있는 기회를 제공하고자 한다면 정보 수집은 필수라 하겠다.
9788952756350,10,"선행에 목매었던 학부모라면 꼭 읽어야 할 필독서, 더 이상 시간을 헛되이 하지 말라. 올바른 선행이란 무엇인지 명쾌하게 알려주는 책입니다."
9788952756350,10,초.중.고 학년과 관계없이 말그대로 무적의 아이템이 잔뜩 담아있는 책이네요. 실천하기 좋은 프로그램이 많아서 앞으로 많은 도움이 될듯합니다. 지금처럼 집콕해야하는 이 시국에 딱 알맞은 책을 구입했어요. 감사합니다~ 권태형형작가님!
9788971420348,8,예전에 읽었을때랑 느낌이 확 다릅니다. 아이가 있을 때 읽는 딥스가 훨씬 마음에 와 닿아요.
9791196223090,10,엄마로서 아이에게 도움을 줄 수 있는 부분과 입시에 대해 도와주어야 할 정보 등을 자세히 알 수 있다. 엄마니까 들려주는 구체적이고 현실적인 이야기들이 마치 옆집 선배 엄마에게 직접 듣는 것 같다. 아무에게도 소개 안해고 나만 보고 싶을 정도로 비법이 가득한 책이다.
9791190282185,10,꼭 필요한 책이 출간되었네요. 우리나라는 예체능 과목에 관련된 책이 없어도 너~~~무 없는것 같습니다. 기대됩니다.
9791190282185,10,아이를 둔 부모라면 꼭 읽어봐야 할 책이네요 ^^ 선생님들이 직접 집필하셔서 유익한 내용이 듬뿍 담겨있습니다.
9791197141379,10,"초등학생을 키우는 부모로서 벌써부터 아이 대입에 대한 걱정, 부담이 생기더라구요. 내가 지금부터 준비해야할 것이 있나, 혹시 남들은 하고 있는데 놓치는 것들이 있지는 않은가 늘 불안했죠. 그래서 프로그램을"
9791197141379,10,"기초적인 학습 자세, 공부법, 부모의 교육법까지 전체적으로 아우르고 있는 교육 책. 교육체계가 복잡하고 빠르게 변화할수록 공부역량을 키우는 기본이 중요하다고 설명하는 책"
