ISBN13,rating,review
9788927747635,10,세살 버릇 여든까지 간다고 했는데 정말 어릴때 부터의 습관이 중요한 것 같습니다~!!^^
9788927747642,2,그냥 매일 활동한걸 적는 노트인지 알았으면안샀을꺼에요 ㅠㅠ
9788960498907,10,"이 책의 제목처럼 나중에 후회하지 않고 아이에게 미안해하지 않는 초등 학부모가 되고 싶다. 초등생을 자녀로 둔 학부모들에게 강력 추천한다. 특히, 선생님과 상담을 앞두고 무엇을 중요하게 생각해야 할지 나와있어 실제적인 도움이 될 것이라 생각한다."
9788960498907,10,초등학교 생활 중 학부모들이 궁금해하는 다양한 것들을 해피이선생님이 풀어주는 책^^
9788960498907,10,"아이가 초1이나 초2 혹은 예비 초딩이라면, 한 번쯤 읽고 도움 충분히 받을 수 있는 책"
9788960498907,10,"아이를 낳으면 많은 사람들이 삐O삐O 119를 구입해서 보는 것 처럼, 초등 부모라면 나중에 후회 없는 초등 학부모 생활 책을 참고하길 추천한다."
9788960498907,10,초등생활의 독서부터 여러 질문들의 궁금증들을 알려줍니다.학부모가 알아두면 좋을 학습방법들과 생활지도의 방법들도 알기 쉽게 설명해줍니다.자녀교육의 지침서이면서 초등생활에 대해 물어보고 싶은 질문들을 속시원히 해결해주는 책이에요.공감되는 내용들과 막막했던 초등학교 생활을 보다 더 잘할 수 있게 용기를 주는 거 같아요.초등학교 관련 정보들을 알 수 있었어요.내용들이 초등생활의 모든 이야기들이라 집중해서 보았고 재미있게 술술 읽을 수 있었어요.든든한 지원군인 초등 학부모 생활의 책이에요.아이에게 미안하지 않은 똑똑한 초등 학부모가 되고 싶네요.
9788960498679,10,저와 아이 둘 다 책을 읽고 큰 도움을 받았습니다.아이 학습에 적용하니 아이의 공부패턴이 달라지며 확습성취도가 매우 높아졌어요.3학년뿐만 아니라 고학년들 역시 안 읽어보신 분들은 꼭 읽어보시기를 바랍니다.엄청난 도움을 받으실거에요^^
9788960498679,10,해피이선생님 말씀 평소에 유익하게 듣고있었는데 책이나와서 구매했어요. 아직 다 읽진 않았지만 많은도움 될거같아요.
9788960498679,10,코로나로 2학년이 흐지부지 되어있는 상태에서 3학년은 막연하기만합니다. 방향을 잡아주시는책이라 많은도움이 되어요.
9788960498679,10,왐초보 초등엄마를 위한 길라잡이.엄마부터 부모부터 알아야 하지 않을까요?부모부터 솔선수범해야하지 않을까요?2학년겨울방학 잘 보내겠습니다.
9788960498679,10,"내아이가 초3되기 전에 보았더라면 더 좋았을 것을.. ㅜㅜ제목은 초3 대상이지만 목차를 보면 마지막 기획인 초5학년을 위해서도 내용이 있어요!!교과과정 내용부터 과목별 체크사항, 도움책, 추천책등 자세한 설명이 있으니 초등 1~5학년 학부모님이시라면 꼭 읽어보시길 추천합니다!"
9788960498679,10,곧 초3이 되는 시점에 불안했는데 어느정도 가이드가 된 책이었어요.
9791161691480,10,우리 아이들이 상처받지 않게 심리적으로 진짜 어른이 되기 위해 이 책을 읽고 아이들의 마음을 들어야겠어요. 아이를 키우는 엄마의 말을 알려주는 고마운 책으로 초등학교 입학을 압 둔 학부모들이 읽으면 의미가 있을 것 같아요.
9791161691480,8,뜨겁지도 차갑지도 않는 미지근한 온도로 내 아이와 교감을 나눈다.
9791197139666,10,이제 고학년인 딸에게 도움이 될까 구매하였는데 설명도 잘 되어있고 내용도 좋네요~~
9791197139666,10,정말 필기바이블 맞네요. 온라인학습 멍하게 하는 아이와함께 보면 도움이 많이될것같아요. 초등고학년부터 중등까지 적용할 내용이 많네요.
9791197139666,10,이제 고학년이 되는 우리아들국어이외에는 교과서에 풀면되다는말충격이었어요.이책을 함께보고 하나씩 자리잡아가렵니다.역시 초등학생을 위한.학부모.선생님을 위한 도서입니다
9791197139666,10,"아직 초등 저학년 아이를 키우고 있지만, 이 책을 지금 읽게되서 너무 좋았던 건, 노트 필기에 관한 내용뿐 아니라 교과서를 볼 때 어느 부분에서 어떤 것을 중요하게 봐야하는지도 상세히 나와있다는 점이다. 초등내내 끼고 볼 책이다."
9791197139666,6,아이가 고학년이상이고 자기주도 학습이 가능한 아이에게 적합할듯
