ISBN13,rating,review
9791196848194,10,명문대전공자답게 수학에 관해 섬세하게 풀어쓴 등대같은책!
9791196848194,8,"책은 분명 도움이 되고, 문제집도 꼭 짚어줘서 가이드가 확실하지만 초등과 중등에도 분명 수포자가 있음에도 그 아이들에 대한 깊은 조언이 없어서 아쉽습니다. 이책은 구입하는 부모들은 분명 그런 수포에 기로에 선 자녀를 둔 부모가 더 많은텐데요..."
9791196848194,10,가려웠던 부분.. 고민하고 있던 부분을 시원하게 해결햐주시네요! 아이가 느려서 자기 학년 수학 따라가기도 힘들어요. 친구들은 선행을 쭉 뺐는데 우리 아이만 뒤쳐진것 같았거든요. 중등 수학 선행하면 초등 심화가 쉬워 진다고들었는데.. 그게 착시 현상이라니...ㅎㅎㅎ 작가님 말씀 속이 넘 후련함
9791196848194,10,이책 너무 괜찮네요.  공부머리 독서법을 읽었을때의 충격과 같은 느낌을 받고있어요.   !!!!!
9788927747635,10,세살 버릇 여든까지 간다고 했는데 정말 어릴때 부터의 습관이 중요한 것 같습니다~!!^^
9788927747642,2,그냥 매일 활동한걸 적는 노트인지 알았으면안샀을꺼에요 ㅠㅠ
9791197139666,10,이제 고학년인 딸에게 도움이 될까 구매하였는데 설명도 잘 되어있고 내용도 좋네요~~
9791197139666,10,정말 필기바이블 맞네요. 온라인학습 멍하게 하는 아이와함께 보면 도움이 많이될것같아요. 초등고학년부터 중등까지 적용할 내용이 많네요.
9791197139666,10,이제 고학년이 되는 우리아들국어이외에는 교과서에 풀면되다는말충격이었어요.이책을 함께보고 하나씩 자리잡아가렵니다.역시 초등학생을 위한.학부모.선생님을 위한 도서입니다
9791197139666,10,"아직 초등 저학년 아이를 키우고 있지만, 이 책을 지금 읽게되서 너무 좋았던 건, 노트 필기에 관한 내용뿐 아니라 교과서를 볼 때 어느 부분에서 어떤 것을 중요하게 봐야하는지도 상세히 나와있다는 점이다. 초등내내 끼고 볼 책이다."
9791197139666,6,아이가 고학년이상이고 자기주도 학습이 가능한 아이에게 적합할듯
9791197139666,10,교육부의 안일한 대처와 기초학력저하라며 연일 떠들고 있는 언론들. 이런 불안과 혼란 속에서 온라인 원격 수업을 통한 자기주도학습에 필요한 학습 방법에 대해 고민하다 접하게 된 책입니다. 선생님들의 친근하고 군더더기 없는 설명과 팁들이 도움이 많이 되네요~요즘 꼭 필요했어요!
9791197139666,10,내용이 알차고 구성이 짜임새있네요.요즘 딱 필요한 책이에요.
9791165214180,10,"제목이 관심을 끌면서도, 제목으로 인해 선택을 거부하게도 만들 수 있다는 점이 안타까웠습니다. 공부방법에 대한 자세한 소개와 다양한 사례. 연구결과 제시까지...정말 많은 도움이 되었습니다. 특히 수학선행을 하는 분들에게 많은 도움이 될듯해요"
9791165214180,10,고대원 원장님의 통찰이 그대로 담겨있네요 중학수학을 중심으로 태도와 마음가짐까지 습관의 최고의 예시를 보여주시는거같습니다 초등고학년의 필수템
9791165214180,10,고대원 선생님의 두번째 책. 아이들이 수학 개념을 탄탄히 숙지하도록 백지개념 공부법을 만드셨네요 수학을 제대로 공부할수 있도록 그동안의 노하우를 이 책에 정성껏 실어주셔서 읽는 동안 많은 도움이 되었어요 학년별 공부법과 자세한 예시들 궁금했던 수학에 관한 설명들이 가득하네요
9791191209020,4,좀 안타깝네요(영어)교육서 많이 읽어봤는데 저자분과 자녀 자랑을 이렇게 시종일관 써 놓은 책은 처음이네요 ;;
9791191209020,2,돈주고 호두잉글리쉬 구입해서했다해서믿음가지고 읽었는데 찾아보니 회사 이사네요 회사홍보책을 돈내고 읽은셈인가요? 황당합니다
9791191209020,10,다른 엄마표영어책과는 다르게 유튜브 컨텐츠를 활용한다는 점과 아이 중심적 사고가 바탕으로 시작되는 에피소드들이 인상적이었습니다.
9791191209020,10,올바른 미디어 노출 영어교육법을 구체적으로 실행해볼수있게 가이드를주는 책이며 단순히 영어만을 위한 영어 교육이 아닌 아이들이 영어를통한 핵심역량개발을 할수있는 평범한 가족의 실제 사례를 통한 실제 방법을 알려주는 유익한 책QR코드를 통해  바로 볼수있는  영상도 수록되어 있어 좋아요
9788988964521,10,"아이가 어릴때, <공부머리 만드는 그림책 일년 열두달> 책도 유용하게 보았는데, 초등학생을 위한 읽기놀이 일년 열두달 책이 나와서 너무 반갑네요. 그림책 일년 열두달 이상으로 알차고 유용한 책이네요. 분량이 꽤 되어서 책상에 두고 짬잠이 들춰 보고 있습니다."
9788988964521,10,너무 좋은 책이라 조카네 집에도 한권 선물하려고요 양도 많고 내용도 좋아서 너무 좋네요
9788988964521,10,"가격때문에 망설이다 평이 좋아서 주문했는데, 너무 유용한 책이네요. 책 소개가 많은 것도 좋지만 어른도 독서 욕구가 생길만큼 글 하나하나 내용이 좋아요. 오래간만에 책값 안아까운 책을 만난 듯."
9788988964521,10,"두툼해서 마음의 준비가 필요했는데, 1부가 아주 흥미로워요. ‘재미있게 읽히라‘에 대한 진짜 답을 찾은 느낌? 2부 놀이에 먼저 빠지면 이거 놓칠 수도ㅎㅎ 아직 다 못 읽었지만  방학 일정에 맞춰 놀이 하나씩 해볼 예정이에요."
