ISBN13,rating,review
9788936458669,10,중학교 작품을 한번 보니 재밌었다
9788965820499,8,인강 쌤이 추천해서 읽었는데 좋네요
9788965820499,10,천천히 읽고있는중이지만 도움이 되는것같습니다. 따로 공부할 필요도 없고 좋네요
9788965820499,6,열심히 읽기.
9788965820499,10,한국 고전 소설은 이 책을 가지고 준비하면 수월하고 재미있습니다. 어렵게 생각하지 말고 어서 공부부터 합시다.
9788965820499,10,수능뿐만아니라 논술이나 교양을 위해서라도 유명한 한국 고전소설 읽어두면 도움이 될 것 같아요
9788965820499,8,고등학교 국어시간에 유용하게 쓰인다 해서 구입했는데 도움이 많이 되는거 같습니다
9788936458812,10,선생님은 ‘인식하지않고 평가하지마라‘고 말씀하셨지만 청년은 사실을 바르게 파악한 다음 평가하는 자세를 잊어서는 안된다.
9788936458690,10,논술 대비로도 부족함이 없다고 생각해요. 천천히 읽어나가며 생각하는 연습을 할 수 있어요.
9788936458690,10,"교과서는 최상의 선택이라 할수있다.클래식에 매력을 느낀다면 굳이 여기저기 기웃거릴 필요가 없다,김유정의 봄,봄만으로도 매력이 있는 바이블, 논술을 준비하는데 전혀 부족함이 없는 소설의 향연이라 할수있다"
9788936458690,10,도움 많이 될것 같네요
9788936458690,10,"학교에서 배웠던 교과서속 소설 작품을 찾다가 발견한 책인데, 수업때 이론적으로만 접근해서 배웠던 소설들을 작품 그 자체로 읽어볼 수 있어서 정말 좋고, 여러 소설작품을 이리저리 찾아보지 않아도 한 책에서 읽을 수 있어서 편리하다."
9788936458690,8,학교부교재로 쓰고있어요 좋아요
9788936458690,8,알찬구성 좋아요
9788936458690,10,고등학교에 입학하는 아들이 읽는다고 사 달라고 해서 구매했어요. 읽어주면 좋을내용이라 만족합니다!
9788936458690,10,개정 국어교과서 작품이 한눈에
9788936458690,10,학교추천(?!)으로 샀는데 책이 좋네요^^
9788936458690,10,방학동안 정말 읽어야 할 좋은 책이 아닐까요
9788936458690,10,중3학생인데 문학작품을 국어실력과연계해보려고 노력하다가 신문광고를보고 구매함.
9788936458706,10,"국어교육의 고등소설은 우리의 근대소설을 압축 집약한 최고의 문학작품들로 학생들이라면 이 소설로 충분한 우리의 근대사를 공부할수 있을것 같다,더불어 수험생들에게는 논술의 경향을 파악하고 준비할수 있는 좋은 수험서라 생각됩니다"
9788936458706,10,학습 및 교양에 도움될 것 같네요
9788936458706,10,고등소설 상과 함께 구입해서 방학동안 고등국어 대비용으로 좋은거 같아요^^
9788936458232,10,시문학 공부 필수!!
9788936458232,10,고등 문학 필수편....문과 이과 공통으로 수능 대비 공부해야 하는 책입니다. 좋아요!!
9788960780439,10,학교다닐때 문학파트에서 시만큼 나를 괴롭히는건 없었다. 그런데 이제 성인으로 편한 관점에서 교양인으로서 시도 읽어보고 싶다는 생각이 들었다. 하지만 무슨시 부터 읽어야 할지 막막했다. 그래! 교과서 시부터 시작하면 되겠다.
9788960780439,10,나이든 사람들도. 교과서에 나오는 책들을 읽을수 있는 기쁨을 누릴수 있음.
9788960780439,10,"시의 출처가 정확하다는 점, 언제 어디에 처음 발표했는지 알 수 있다는 점만으로 만족."
9788960780439,8,잘 받았습니다
9788960780439,8,좋은 책이네요. 입시생들에게도 읽힐 만합니다.
9788960780439,10,교수님추천
9788960780439,10,국어교육 전공생들이라면 필수!!
9788960780439,10,"아는 교수님께서 추천하셔서 읽게 된 책인데, 이해하기 쉽고 좋아요 ^^"
9788960780439,8,편안하게 앉아서 쉽게 읽을 수 있는 책.
9788936459710,8,고등학교 때는 가능한 할 수 있는 범위 안에서 온갖 시조나 문학을 정리했던 것 같다. 비록 수험용 공부였지만 감상하는 기분을 더하면 수능 이후에도 나름 자산이 된다. 아직 내용은 보지 못했지만 이렇게 정리해서 나오는 건 제법 괜찮은 일인 것 같다.
9788964461723,10,자연스럽게 접할수 있어서 좋아요책 읽어야한다는 부담없이 읽을 수있네여
9788963192437,10,청소년들이 읽기에 재밌고 유용한 책이에요.선생님께서 직접 이야기 해주는 듯한 책이라서 강의를 듣는 것 같았네요. 기대 이상으로 좋은 책이었어요. 역사에 관심 있으신 분들께 추천드려요!
9788973433452,8,중학교 2학년 필독이라 아이 읽어보라고 샀어요~
9788973433452,10,읽어야할 단편이 모여있어서 좋았습니다!! 추천하고 싶어요
9788973433452,10,우리 문학작품중 교과서에 실릴 정도면 대단한 거다. 알짜배기라는 생각에 갖고 싶다. 필사도 해보고 싶고 다시 읽고 싶은 내용들이 가득해서 좋다. 청소년들이라면 당연히 읽어야 하는 도서다.
9788973433452,10,현대문학 작품 중 꼭 한번은 읽어야 될 작품들이라는 생각을 갖게 됩니다.
9788996549215,10,이 책으로 우리는 시에 눈뜨고 세상에 눈뜬다. 부스스 눈떠 바라보는 세상은 아름답다
9788996549215,10,"시를 모르는 사람, 시를 좀 안다고 날치는 사람, 모두 다 달려들어야 할 마법같은 책."
9788996549215,10,"독자를 배려한 친절하고 재미있는, 교과서 같지 않은 문학 교과서"
9788936458713,6,"단편형 수필을 모아놓고 해석까지 해주니 책장이 쑥쑥 잘 넘어갔습니다. 고전도 있고, 현대수필도 있어서 더욱 좋았던것같습니다.하지만 배송과 책상태가 양호하지않더군요. 군데군데에 구김과 먼지자국... 새책값을 받으셨으면서 중고같은 책을 보내셔서 당황했습니다."
9788964561935,10,기대가 되네요~미쳐야 공부다 이후로 또 산 책하도 평이 좋길래 시켜봅니다.^^
9788964561935,10,진정 공부법이 필요한이에게는  한번쯤 읽어봐야할책. 공부잘하는 사람들이 공부법을 공개한적이 있던가.. 있지
9788973433421,10,수능대비를 위해 구입해 읽은 책....
9788963707358,10,이 플래너의 좋은점은 생활패턴이라던가 자잘한 조언도 담겨있어서 정말 좋은 것 같습니다.
9788963707358,8,잘읽을께요
9788963707358,10,이제 고등학교 입학하는 언니한테 선물하려고 구매했는데 배송도 빠르고 정말 좋네여
9788963707358,10,공부습관이 잘 잡혀질것 같아요
9788963707358,10,"사실 저는 하루에 공부하는 양을 무시하는 경향이 있는것같았습니다. 하지만 막상 플러내를 이용하고, 계획되로 공부를 시작해보니깐요, 정말 짬짬히 공부할 수 있는 시간이 꽤 많더라고요. 예비고3인데 이걸로 해결"
9788963707358,10,"하루공부법의 공부를 대한 마음가짐과 공부법을 단순히 읽는 것만으로는 ｀아 그렇구나｀ 하고 끝날 수 있지만, 이 스터디플래너를 이용해 공부를 해 나간다면 그것들을 진짜 나의 것으로 만들어 수 있게 도와준다."
