ISBN13,rating,review
9788991319967,10,다니엘학습법 진짜 좋습니다.
9788991319967,10,두번째 읽었다 이책을 통해 우리자녀도 이시대의 다니엘로 키우기를 다짐해본다
9788991319967,10,"청소년들이 공부를 해야 하는 이유, 마음가짐의 올바른 자세를 설명해주는 책이다."
9788991319967,10,청소년들에게 공부가 아닌 사는 목적을 알게하고자 샀어요 ^^!
9788991319967,10,학생들을 키우는 모든 부모님들이 보고 배워야 하는 책임을 알게 해주신다
9788991319967,8,"김동환님의 삶을 엿볼 수 있고, 공부하는 방식과 구체적인 방법까지도 배울 수 있어요"
9788991319967,10,부모님과학생에게 꼭한번 권하고 싶은 책이네요
9788934914297,6,학생때 보고 많은 도전을 받았다..
9788934914297,8,즐겨야 한다는걸 보여주는 책
9788934914297,6,굿굿
9788934914297,10,"언제 읽어도 감동적인 책이다.
공부의 이유, 목적, 그런 것들과 더불어 내삶도 돌아보게하는 그런 책."
9788934914297,10,장승수는 집중력이 대단한 사람이다. 이 글을 읽은 사람도 장승수처럼 집중한다면 반드시 성공할 것이다.
9788934914297,8,저자가 겪은 인생의 목표를 향한 열정의 100만분의 1만이라도 느끼고 행동할수 있다면 그것만으로 읽어볼 가치가 충분한 코리안 드림의 완결판
9788934914297,8,매체에서 장승수씨에 대해 언급되는 것을 보고 구입하게 되었어요. 술술 잘 넘어가더라구요. 살아온 과정과 공부하는 과정등에서 열정이 대단한것 같아요. 하지만 과연 우리 아이들에게도 통하는 말일까? 생각했어요
9788934914297,2,지금과는 맞지 않는 책
9788934914297,10,"공부가 쉽다는 말은 저자가 겪은 일들에 비해 상대적으로 쉽다는 것이지 결코 공부는 쉽지 않다.
공부를 잘하고 싶으면 효율이 떨어지더라도 우선 공부하는시간을 절대적으로 늘려야합니다.!"
9788934914297,10,의욕 돋게 하는 것으론 최고~
9788934914297,10,이 책을 읽으며 저도 할수있다는 용기가 생겼습니다.
9788934914297,10,좋은책인듯합니다.
9788934914297,10,몇년전에 읽은 책이지만 읽었다는 것만으로 자부심이 되는 책! 선물용으로 또 구입!
9788934914297,10,참 대단한 사람~
9788934914297,10,공부가 가장 쉬웠어요...
9788934914297,10,공부 하시는 분이라면 꼭 읽어보세요. 좋은 자극제가 될겁니다. 강추!!
9788934914297,10,좋아요~
9788934914297,6,"오래된 책이긴 하지만, 한번쯤 읽어보고 싶었어요.
희망을 줄 수 있는 책이랍니"
9788934914297,10,"아직 읽어보지는 않았지만..
많은 도움이 될거 같아여"
9788934914297,8,쉽고재미있게읽었습니다!~
9788934914297,10,동생에게 권해주었는데 책을 읽지를 않는다.어떻게 하면 책읽기의재미를 느끼게해줄
9788934914297,10,서울대 수석입학을 어떻게 들어갔는지 알려주는 책...
