ISBN13,rating,review
9788936458669,10,중학교 작품을 한번 보니 재밌었다
9788965820499,8,인강 쌤이 추천해서 읽었는데 좋네요
9788965820499,10,천천히 읽고있는중이지만 도움이 되는것같습니다. 따로 공부할 필요도 없고 좋네요
9788965820499,6,열심히 읽기.
9788965820499,10,한국 고전 소설은 이 책을 가지고 준비하면 수월하고 재미있습니다. 어렵게 생각하지 말고 어서 공부부터 합시다.
9788965820499,10,수능뿐만아니라 논술이나 교양을 위해서라도 유명한 한국 고전소설 읽어두면 도움이 될 것 같아요
9788965820499,8,고등학교 국어시간에 유용하게 쓰인다 해서 구입했는데 도움이 많이 되는거 같습니다
9788936459703,10,안그래도 국어교과서가 바뀐다고 해서 걱정이 많았는데 ‘국어 교과서 작품 읽기‘시리즈와 함께라면 제대로 대비할 수 있을 것 같아 든든합니다
9788936458812,10,선생님은 ‘인식하지않고 평가하지마라‘고 말씀하셨지만 청년은 사실을 바르게 파악한 다음 평가하는 자세를 잊어서는 안된다.
9788936459673,10,중2 되는 딸아이를 위해서 주문했어요.2019년도 개정교과로 개편되서 새로 주문했는데 잘 읽었으면 좋겠어요.^^배송은 주문 다음날 왔습니다.
9791189426903,10,과학쪽도 이렇게 나와주면 좋겠는데
9788980974863,10,"중학생을 위한 교육용 기초한자 900자는 알찬 구성, 학습에 도움이 되는 내용들로 가득하고 깔끔한 편집이 좋았다. 게다가 5000원도 되지 않은 가격에 책을 구입할 수 있다니! 부담없이 구입하여 아이와 같이 공부하기 정말 좋다. 강추한다."
9788980974863,4,아직도 ‘계집‘녀라고 표기하는 한자교육서가 있군요.
9791185203201,10,"아침마다 신문읽는 중학생아들램이 포인트를 잘 잡고 세상을 읽을 수 있게 지도해주는 책 같아서, 기대가 크네요 ;)"
9788965820673,10,초등 6학년 올라가는 아이와 함께 읽고 싶어서 구입!느낌 좋은 구성에 정리된 짜임이 좋다.어려운 소설은 소리내어 읽어주며 겨울방학 알차게!
9788965820673,10,책 내용이 읽기 편해요.. 설명도 충실하고 사진자료 등 이해하기 참 좋은 책이네요.다만 종이 질이 좋다보니 책이 좀 무거운거... 그래도 전 만족합니다 ^^
9788965820673,10,중고생때 감명깊게 읽고 한동안 잊고 있었던 문학작품들이 많아서 좋았다. 그보다는 아들녀석에서 아빠로서 필독을 권하며 미리 읽어보았던 해설을 죽~~해 주었기에 아빠로서의 위신을 세울수 있었다. 세월이 지나도 가시지 않는 감명깊은 소설들~아빠와 아들의 공감대가 형성되는 순간이었다.
9788996851516,10,"홍길동전을 제대로 읽게 해준 책입니다. 민음사에서 나온 한국고전으로서의 홍길동전도 읽어보았지만, 청소년 눈높이에서 더 긴박감 넘치는 삽화와 필체로 풀어쓴 이 홍길동전은 한글소설만의 힘찬 리듬이 느껴지는 책이었습니다. 홍길동전 이야기의 윤곽만 알고 제대로 알고 싶은 분들께 추천합니다."
9788996851516,8,아들녀석 독서 권장 도서로   선정된   책
9788996851516,10,우리가 알고 있지 않던 홍길동에 대한 이야기로 가득차있네요//////////
9788996851516,10,어린아이들에게는 영원한 조선 영웅 홍길동 그의 모습을 조금 더 깊게 알고 싶다면 이 책은 어떨까요? 우리가 몰랐던 홍길동에 관한 내용들이 가득 있습니다. 아이들에게 꼭 읽힐 필요가 있는 책. 어서와서 구입해요
9788996851516,10,"안전하고 빠른배송 감사합니다!!
알고보니 제 친구들도 알라딘을 많이 애용하고있더군요
정말감사하고 잘읽겠습니다 감사합니다 ^ 0^"
9788965820802,8,남녀노소 구분없이 어느 연령대가 읽어도 도움이 되고 재미있는 책이네요
9788965820833,10,베스트 단편소설들을 한권으로 읽을 수 있어서 좋았어요.그리고 인물 구성도를 그림으로 표현하여 쉽게 이해할 수 있었어요.
9788965820833,10,중학생들이 짬날때마다 읽으면 나중에 수능공부할 때 많은 도움이 되겠네요.
9788965820833,10,필수 소설들을 아이들이 쉽게 이해할 수 있는 구성이라 좋은 것 같네요. 요약정리와 본문을 함께 접할 수 있어 도움이 될 것 같네요.
9788960780439,10,학교다닐때 문학파트에서 시만큼 나를 괴롭히는건 없었다. 그런데 이제 성인으로 편한 관점에서 교양인으로서 시도 읽어보고 싶다는 생각이 들었다. 하지만 무슨시 부터 읽어야 할지 막막했다. 그래! 교과서 시부터 시작하면 되겠다.
9788960780439,10,나이든 사람들도. 교과서에 나오는 책들을 읽을수 있는 기쁨을 누릴수 있음.
9788960780439,10,"시의 출처가 정확하다는 점, 언제 어디에 처음 발표했는지 알 수 있다는 점만으로 만족."
9788960780439,8,잘 받았습니다
9788960780439,8,좋은 책이네요. 입시생들에게도 읽힐 만합니다.
9788960780439,10,교수님추천
9788960780439,10,국어교육 전공생들이라면 필수!!
9788960780439,10,"아는 교수님께서 추천하셔서 읽게 된 책인데, 이해하기 쉽고 좋아요 ^^"
9788960780439,8,편안하게 앉아서 쉽게 읽을 수 있는 책.
9791195865468,10,다양한 사례와 비교한 글들이 좋았습니다.역사에 대한 흥미를 높여줄 책입니다.
9791195865468,10,이건 역사 공부를 하는게 아니고 역사 소설을 읽는 기분이다.  전혀 지루하지가 않다. 재밌다. 줄거리를 꿰차게 해주는 작가의 글 솜씨에 저절로 경의를 표하게 된다. 읽고나서 느껴지는게 한마디로 가슴 뿌듯하다. 나의 자존감을 레벨업 시켜준 책 중의 하나로 자리매김 될 것 같다.
9788993460261,8,"4학년 딸아이가 이번 겨울방학에는 고사성어 관련책이 읽고싶다해서 다른책들과 구입해줬는데 적당한 깊이감도있고 재미도 있는 책이라고 하네요.
저도 읽어봐야겠어요*^^*"
9788993460261,10,이야기식으로 되어 있어서 어렵지 않게 고사성어들을 접할 수 있는 것 같네요. 술술 잘 읽혀요~
9788993460261,10,중1 아이방에 슬쩍던져 놓으니 심심풀이 오징어 땅콩 먹듯 쉽게 책장을 넘기네요~
9791195994922,10,딱 원하던 책. 수학 공부도 이렇게 자기주도로 하는 거야.
9791195994922,10,"대부분 예비중.중학생 친구들이 이 책을 보게되겠지만 있는 중학생 멘토링을 준비하고 있는 저에게도 유익한 책이었어요ㅎㅎ 이 책은 엊그제에 동생에게 주었고, 책의 구성이 잘 되어있어서 따로 구입해서 개인소장할 생각이에요~ 저자분의 노트필기가 잘 되어있어서 수학연습장을 마련하고싶어지네요!"
9791188758227,10,아이가 개념을 잊어버릴 때쯤 반복해서 같이 읽어보기에 좋습니다. 학창시절때 이런 식의 개념 설명들을 만났다면 참 좋았을 거란 생각을 많이 해요.
