ISBN13,rating,review
9788935206902,10,어느 시대건 미래를 내다볼 수 있는 혜안이 필요하지요. 그런 시각을 갖는데 도움이 되는 좋은 책입니다. 현실에 급급하지 않고 넓은 시각을 갖게 하는 데 도움이 됩니다.
9788935206902,10,재밌게 잘읽었습니다
9788935206902,10,경제적 지식을 더해 주는 좋은 책이었고 미래를 대비할 수 있어서 좋았습니다.
9788935206902,8,유익한 책이군요
9788935206902,10,천재적인 미래학자 '앨빈토플러'. 그가 쓴 정말 대단한 책이다.
9788935206902,10,강추에요
9788935206902,8,그제 부터 읽기 시작했는데 책 내용 좋은 것 같아요^^
9788935206902,8,학교에서 읽으라고 해서 읽은 건데 그냥 읽을만 해요
9788935206902,8,청소년이 읽기 쉽게 부의미래라는 책을 그림과 함께 설명해놓은 것이 좋았어요
9788935206902,2,책상태가 불량해요 금방이라도 떨어질것같아 정말 실망임..반품할수도 없고..
9788935206902,10,"어른용이 너무 부담스러워 묵혀뒀습니다.
이책은 편하게 읽을수 있네요"
9788935206902,10,청소년 분아니라 성인도 필동인듯싶다 추가로 한권더 구입해서 친구에게 선물했다
9788935206902,10,청소년들에게 세계를 바라보는 시각을 넓고 깊게 주는 책
9788935206902,8,제목은 '청소년'부의 미래이지만 다양한 연령층이 읽어도 유익한 책.
9788935206902,10,내용이 재밌고 쉽게 볼 수 있어서 좋아요.어른들에게도 유용합니다^^재밌어요~
9788935206902,6,솔직히 별로재미는없다
9788935206902,8,"책 잘받았습니다.
이번에는 배송기일이 좀걸렸네요.
감사합니다."
9788994478517,10,논술샘의 추천으로  아이가 읽게 된 책입니다....아이 교과서의 경제부분에서 흥미가 많고 이해를 잘 하는것 같아 기쁜맘으로(?) 사서 읽습니다.
9788965745853,10,어렵게만 느껴졌던 경제학을 이해하기 쉽도록 친근한 사례를 통해 제대로 설명해 주고 있네요~ 경제적 사고력을 키우기에 적합한 책입니다!!
9788965745853,10,재밌게 읽으며 공부가 되는것 같습니다
9788965745853,10,돈을 많이 벌고 싶어서 경제학에 대해서 공부해보고 싶은데 궁금해할 법한 다양하고 재미있는 사례를 통해서 알려준다고 하니 재밌게 읽어볼 수 있을 거 같아서 구매해서 읽어봐야겠습니다.
9788965745853,10,"우리 주변의 복잡하고 어려운 사회현상도 경제학적 시각을 통해 세상을 보는 눈을 길러주는 책!! 실생활에서 자주 접할 수 있는 일이나 사건에 대해 경제적인 개념들을 살짝 부각시켜 놓아서 어려움이 없이 쉽게 읽어나갔고, 거부감이 있던 경제가 더 친근하게 느껴졌다."
9788965745853,10,청소년에게 있을수 있는 상황을 경제학으로 풀어내니 아이가 이해하기에 훨씬 수월하고 시장 경제의 원리를 쉽게 가르칠수 있어 좋았습니다 더불어 국가 경제 이슈까지 설명한 챕터가 있어 더욱더 넓은 시각을 가질수 있게 해주네요
9788965745853,10,청소년을 위한 경제학 에세이 기대됩니다
9788965745853,10,청소년들에게 쉽게 이해할 수 있는 경제학 책일것 같습니다
9788965745853,10,"경제학의 용어들이나 원리들이 수학적인 사고를 요하는 게 많아서 다들 어렵다는 선입견을 갖는 것 같아요. 경제학자들의 이야기부터 경제학에서 배우는 그런 개념들을 쉽게 에세이로 풀어냈다니 관심이 가요. 전에 딸아이 친구랑 실생활에서 기회비용이야기 하는 것을 보니 알면 써먹는구나 싶었어요,"
9788965745853,10,청소년들이 경제학의 개념과 원리를 쉽게 터득하기에 참 좋은 책이네요
9788965745853,10,중학생이면 이제 경제관념을 갖고 생산활동과 소비활동에 대한 올바른 시선이 필요할 때이다. 그렇기에 이책의 가치가 중요하다 생각한다.
9788965745853,10,"경제학의 개념과 원리,경제학의 역사는 물론 경제를 이해하는데 가장 중요한‘가격‘과‘시장‘ 및 국가경제에 대해 설명하고 있어요. 청소년들이 어려운 경제학을 다양하고 재밌는 사례를 통해 쉽게 이해할 수 있고 나아가 국가와 세계경제흐름을 파악하고 경제적 사고력을 키우는데 도움이 될 것 같아요"
9788965745853,10,경제학의 개념과 원리를 자연스럽게 터득합니다
9788936458720,10,"금융에 대해 문외한이기에 내용을 평하기는 어렵지만, 청소년 뿐만 아니라 청소년을 자녀로 둔 부모님들이 읽으셔도 아무런 거부감이 없을 정도로 글을 잘 쓰셨습니다."
9788936458720,8,내가 가계 금융에 대해 30대에 공부하고 깨달은 것을 조금 빨리 알았더라면 돈을 컨트롤하며 정신적으로 여유 있게 살았을 텐데 하는 아쉬움이 가득했다. 이런 배경으로 아들에게 금융 공부를 시키고 싶어 참고할 서적을 알아 봤다.이 책은 청소년 뿐 아니라 성인에게도 훌륭한 길라잡이가 되겠다.
9788949190723,8,쉬운 설명으로 어려운 경제원리와 선사시대때부터의 경제역사를 적어냈다
9788949190723,10,경제역사에 대해 배울 수 있는 좋은 책이었어요. 아이들도 쉽게 경제에 접근할 수 있어 추천하고 싶네요.
9788949190723,10,"빠른 감이 없지 않지만 미리 접하게 해주면 도움이 될 것 같아,  책을 좋아하는 초등6학년 딸아이를 위해 구입합니다."
9788949190723,6,윗부분에 약간 눌려져서 배달됬더라고요ㅜㅡ
9788949190723,10,내용도 구성도 너무 매력적!! 학교 추천 도서라 구입합니다
9788949190723,10,쉬운 설명으로 경제의 핵심을 잘 끄집어냈습니다.
9788949190723,10,재미있네요. 읽기 쉽고 이해하기 편하게 잘 쓰여있어요. 대만족!
9788949190723,10,배송이 너무 빠르고 책도 아이가 치기 좋게 구성되어 있어요.. 많이 파세요..
9788949190723,10,이미 읽은 책인데..초등학생 경제사공부에 유익한 것 같아서 구입을 했어요
9788949190723,8,주변분의 권유로 읽어봤는데 의외로 재미있더라구요..
9788949190723,8,학교에선 가르쳐주지 않는 내용들을 다뤄 폭넓은 지식을 갖출 수 있게 되어 유익했다.
9788949190723,8,내용도 꽤 흥미롭게 엮었지만 질문은 더 매력적이잖아.
9791161727332,10,중학생이 읽을 만한 책이네요
9788958074380,10,청소년을 위한 책이라는 저 말이 오히려 독자를 한정한다. 이 책은 소비생활에 대한 일종의 바이블이다. 그리고 저자의 지적은 적확할 뿐 아니라 정확하다. 예컨대 착한 소비나 윤리적 소비가 아니라 ‘친사회적 소비‘라는 말은 이 소비의 의미를 명확히 꿰뚫는다. 필독하시라!!
9788958074380,8,브랜드라는 것을 청소년때 한번 생각해 보라고 구입한 책-브랜드 홍수 속에 한번쯤 브랜드를 생각해본다
9788958074380,8,광고의 홍수속에 빠진 청소년들에게 제대로 된 소비생활을 할 수 있게 도와주는 지침서
9788971849460,10,이완배님 짱이요
9788971849460,8,중.고생 교과서에 나오는 경제 관련 부분을 이해하기 쉽게 풀어 쓴 책이다. 설명 중간중간 배경지식까지 곁들여 있어서 경제 개념을 이해하는데 도움이 될 듯하다. 내 경제 이해 수준은 ‘딴지 시리즈‘  딱 요 정도... 책도 컬러풀하고 만화까지 있어서 지루하지 않게 읽었다.
9791188215140,10,정말 유용한 책이네요. 재미있게 잘 읽었습니다.
9791161727530,10,"사회문제에 관심이 많은 초6 아들에게 사줬는데. 이틀만에 후다닥 읽어버렸다. 무엇보다도 초등학생이 알아들을 수 있게 쉽게 설명을 했다. 성인이 봐도 좋을 내용들이며, 기본소득에 대해서 처음 들어본 사람, 기본소득을 어떻게 설명할지 고민하는 사람들에게 추천하고 싶은 책."
9791188260379,10,앉아서 단숨에 읽었습니다. 청소년들이 읽으면 매우 좋은책입니다.
9788936811563,10,청소년들이나 초보자들이 처음으로 체계적인 경제학 공부를 시작할 때 꼭 필요한 책입니다.^^
9791185435008,10,세계화의 장단점
9788974140366,6,경제학자들의 생애와 함께 경제학의 거시적인 흐름까지 한눈에 볼 수 있는 좋은 책. 그리고 아무래도 유시민님 책인데 나쁜 책이기 힘들겠죠.
9788974140366,10,경제라는게 아무리 알려들어도 뜬구름같았는데..명쾌한 이정표같았네요. 선택은 제 몫이겠죠. ｀진보와 빈곤｀ 사러갑니다.
9788974140366,8,경제학 이론이 풀고자 한 문제와 역사적 정황을 너무나 맛갈지게 풀어낸 수작. 시공간을 넘어서는 불변의 경제이론은 없다. 경제학은 모두 지금 여기의 문제를 풀기 위해 생겼다.
9788974140366,10,그많은 울화통을 어떻게 참으셨을까...
9788974140366,8,"경제학콘서트랑 내용이 겹치네. 이게 더 먼저 나온 걸로 안다.
괜챦은 책이다."
9788974140366,4,너무 오랜 시간이 지났나?
9788974140366,4,대학때 감동적으로 봤는데 이제보니 하일브론너 책을 상당히많이 참고하셨군 ㅋㅋㅋㅋ
9788974140366,10,당신이 돈을 벌 수 있는 마지막 기회 당장 사서볼것을 추천한다.
9788974140366,6,"유시민을 알게해준 고마운 책이지만, 또한 그의 한계도 명확하게 보여주는 책~"
9788974140366,10,"유시민, 이 때만 해도 괜찮았는데..."
9788974140366,8,경제학자들의 사상과 경제이론을 재미있게 설명한 책이네요.
9791196040086,8,경제사를 처음 접하는 청소년들을 위한 경제학 가이드북이다. 경제학자 18명의 주요 사상을 흥미롭게 풀어준다.
9791196040086,8,"경제학에 약한 내겐 청소년 경제 인문서지만 딱이다.18인의 경제학자 이론을 이해하기 쉽게 잘 요약해 놓아 읽기 좋았다.  문득  내게  부족한 점을, 몰랐던 부분들을 일하면서 많이 얻게 된다는 사실을 떠올려 본다."
9788958075837,10,"미시 ㅡ 거시 와 같은 경제학을 잘 이해하기 위해 과감하게 기본 개념 위주로 충실히 설명하면서도, 경제학의 위상, 혁신도 함께 살펴보는, 개론 이전의 개론서"
9788993463453,8,"땅과집에대해 잘모르는 청소년에게 친절하게 알려주는책이다. 청소년으로서 부동산 문제로 고민하는 부모님마음도 이해가고, 왜 사람들이 내집마련이라는 단어를 이야기하는지 알게되었다. 부동산쪽에 관심이있다면 꼭읽어보면 좋겠다. 하지만 관심이 없다면 지루할것같다."
9788993463453,8,정리가 아주 잘되어 있습니다. 청소년 도서지만 성인들에게도 부동산과 주거 문제에 대한 기본적인 개념을 정리하는데 도움이 될 듯. 손낙구씨가 최근 시장에 대한 책을 내주셨으면 좋겠군요.
9788949187020,8,아이에게 경제관념을 심어주는데 도움이 됩니다.
9788949187020,8,아들이 경각심을 갖고읽은 책잼나요
9788949187020,10,작지만 유익한 책
9788949187020,8,신나게 구해줬더니 겁나게 안읽는 딸! 어휴~
9788949187020,8,회계사아빠에게서 딸이 세상을 살아갈수 있도록 자신감을 불어주는 책입니다.
9788949187020,10,공감 백배의 주제들을 편지 형식으로 잘 풀어 놓은 책입니다.
9788990220677,10,경제 상식에 도움이 되고 경제에 대해 좋은 지식을 얻을 수 있어서 좋네요.
9788990220677,10,경제에 재미나게 풀어둔 책.
9791189404253,10,지리교육에서 이렇게 학생들에게도 쉽게 다가올 수 있는 쿨한 책이 계속 생산되었으면 하는 바램입니다.
9788963720791,8,다양한 일들이 있어 재미있었다
9788963720791,10,거대기업들의 문제점과 해결점을 생각해볼수있도록하는 책입니다^^
9788963720791,8,고장나있는지 아는 것이 중요함을 다시금 알려주었다. 무심코 지나치듯 으레 그런것이라 생각한 것들이 어쩌면 고장나있는 것일수도 있음을... 주위를 잘 보며 살아야겠다
9788963720791,10,고장 난 거대기업을 고치겠다고 나선 발칙한 도전! 실은 아주 작은 움직임에서 시작
9788992711883,10,경제학을 이해하기 위해서는 충분한 인내심과 시간이 요구된다. 그리고 복잡한 수식보다는 경제 현상을 바라보는 논쟁적인 관점에 대한 이해가 우선일 것이다. 이 책은 그러한 아쉬움을 채워나가는데 좋은 역할을 해주는 것 같다.
9788993463248,4,돈을 주제로 인문학적 관점에서 바라본 내용을 길담서원 인문학교실에서 다룬 내용을 묶은 책이네요. 청소년이 돈에 대한 진지한 생각을 하게끔 해주는 책입니다. 재미는 그다지 없네요.
9788993463248,10,"돈에 대한 가치를 재발견할 수 있는 좋은 책. ˝청소년인문학교실˝에서 내놓은 책이지만 어른이 읽어도 손색없을 정도로 내용에 짜임새가 있다. 돈에 대한 다양한 이야기, 가치관을 쉽게 접하고 싶다면 추천하고 싶"
9788993912364,10,"꼼꼼한 포장과 사은품까지 받으니 감사합니다.
배송 빨라서 잘 이용하고 있어요"
9788991813472,10,고학년읽기 좋아요. 재밌게 읽었급니다.
9788991813472,10,"초6에서 <빨간양털조끼의 여행>, <우리앞의 세계화> 후에 읽혔다. 균형감이 좋고, 구체성도 충분히 살았고 시야도 넓다. 추천할 만! 무역의 기본 개념들에 대한 이해만 탄탄하면 한국경제 이야기를 해도"
9788991813472,10,초등4학년아이가 조금 어려워 하긴 하는데 유익한 내용이에요
9788995625019,8,다양한 관점에서 알기 쉽게 설명해준다.
9788995625019,10,아이들뿐만 아닌 어른들도 읽어도 좋아요. 정말로 강추해요~
9788995625019,8,"아이들이 쉽게 경제를 이해하도록 
풀어놨네요"
9788995625019,10,5학년에게 경제를 쉽고 재미있게.
9791186650974,10,"경제학이 거창한것이 아니고 정서,건강,교육,경제,과학,예술등이 유기적으로 연동이 될 수 밖에없구나생각했고경제를 따로 언급하지 않더라도가정에서 나름의 경제를  꾸리게 되는것이더라고요.어떤 생산을 내가할 수 있는건가 곰곰히 생각해보면서 읽어내려갔습니다.경제용어부터여러예시까지 읽기쉽게 나와있어서 쓱쓱 편안히 읽었어요~"
9791186650974,10,"진로를 고민하는 고등학생 자녀를 위해 구매했습니다. 처음에는 시큰둥하더니 어느 순간부터 너무 재밌다며, ‘엄마, 여기에도 경제원리가 숨어 있대.‘ 하며 신이 나서 들려줍니다.  경제학에 흥미를 갖게 하는 최고의 책입니다."
9791186650974,10,어쩌면 국영수보다 더 중요한 경제학. 꼭 청소년만 보란 법 있나. 아이 읽히려고 내가 먼저 읽다가 경알못 벗어납니다...
9791190030144,8,"이야기에 남북 언어에 대한 지식을 자연스럽게 녹여내는 솜씨가 돋보인다.  언어에 대한 지식뿐만 아니라 최근 북한 사회의 모습까지 엿볼 수 있다. 우리가 모르는 사이에 남북은 이렇게도 달라졌지만, 의외의 곳에서 다시 닮아가고 있다는 것을 이 책을 통해 알게 됐다."
9791190030144,10,말도 그렇게 천천히 길을 따라 오르고 내리기를 기대해본다.-문화어 수업 63쪽-20가지의 환경과 각 상황에 부딪히는 남한과 북한의 말은 어느 쪽 말이 맞고 틀린  것이 아니라 다르다는 점을 수용해야하며 저자의 글처럼 우리말도 그렇게 천천히 길을 따라 오르고 내리기를 기대해본다.
9791160072488,10,지금의 10대들이 살아가야할 4차 산업혁명시기는 ICT기술을 중심으로 지금까지의 부와는 다른 개념의 부와 화폐그리고 직업적인 의미들이 막연했는데요.그런 부분들은 쉽게 설명해주고 있어요. 화폐의 역사와 시기별 변천사그리고 현재의 가상화폐까지 4차산업혁명시기까지 10대들이 이해하기 용이하게 편안하게 끌어가고 있는게 특징인 책이예요
9791160072488,10,재미있게 잘 보았습니다. 안그래도 다른 책들을 읽어보았는데 너무 어렵더라구요. 정확히 4차 산업에 대해서 잡힐듯 잡히지 않는 뜬구름 이야기가 많았는데 역시 IT 분야에서 일하시는 분들이 쓴 글이 조금더 쉽게 와닿는 듯한 느낌을 받았습니다. 덕분에 개요도 잘 잡고 재미있게 잘 읽었습니다.
9791160800340,10,19세기 1차 산업혁명 때부터 21세기 3차 산업혁명까지 시대의 흐름에 따라 그 흐름을 이리 예견하고 부를 거머진 이들의짧은 자기소개서
9791160800340,10,시리즈로 나오나봐요! 『경제학의 슈퍼스타들』 재밌게 읽어서 이것도 삽니다
9791186592144,10,이제 막 중학생이 되는 아이에게 꼭 필요할것 같네요
9788987527345,8,경제학 용어를 재미있게 설명해줘요!
9788987527345,2,너무 보수적. 한경(상당히 보수적임. 최근에는 매경을 능가함) 기자답다.
9788987527345,10,통섭형 인재를 위한 책입니다.
9788987527345,4,"묘하게 보수논리를 강조한다. 경제학은 보수성이 강하다. 그치만 인문의 경계를 넘어갔다면, 보수성 강한 경제 논리보다, 인문학적 논리가 적용된 사례를 설명해야 하지 않나?  이 책은 인문을 경제 밑으로 집어 넣고 경제논리를 강조한다. 재미있는 사례들이지만, 눈쌀 찌푸려지는 것도 사실이다."
