ISBN13,rating,review
9788936458669,10,중학교 작품을 한번 보니 재밌었다
9788994407166,8,다윈의 종의 기원을 읽기 좋게 쉬운 문장으로 풀이 해놓아서 좋았습니다.
9788935916375,10,중학교 1학년 딸 토론대회 준비용으로 구매해서 충분히 읽고 독서토론 잘 준비하고 있어요. 아이들이 읽기에도 큰 부담은 없으며 코로나 시대와 연계해서 생각해 볼 거리가 많습니다.
9788936459703,10,안그래도 국어교과서가 바뀐다고 해서 걱정이 많았는데 ‘국어 교과서 작품 읽기‘시리즈와 함께라면 제대로 대비할 수 있을 것 같아 든든합니다
9788961671736,10,에밀-장 자크 루소 지음“내가 불행을 경험했기 때문에 남을 돕는 것이다.”-베르길리우스-
9788961671736,2,남성은 자신이 원하는 것을 추진할 수 있어야 하며 여성은 그 일에 협력해야한다. 적어도 저항하지 말아야 한다. 368p ‘부록‘2에 실린 내용입니다. 적어도 부록에서는 현대적 관점으로 비판적으로 봐야 하는 거 아닌가요? 이 책을 인문소양이랍시고 읽어야 하는 여성들이 안타깝습니다.
9788961671736,8,"과거에는 획기적이었지만, 현대에는 글쎄..그래도 자연주의 시초 사상가로서 에밀의 교육학적인 가치는 큰 것 같다."
9788961671736,10,장자크루소.. 본인의 애들은 고아원에 맡겼음에도.. 자연주의로 아이를 키우라고 교육도서를 집필하고. 사랑에 빠져있는 아들에게 그녀를 버리고 .. 떠나자고.. 더 단단해서 돌아오자고..또 틀린말은 안하네.... 좀 혼란스러웠던... 책!
9788961671736,10,글 초반부에 루소는 18세기 유럽을 살면서 '이전에 유럽이 낳은 문화나 예술은 후에 야만적으로 바뀔 것이다'라고 하는 문장에 깊이 와닿았다. 이후에 다윈의 진화론이 사회진화론으로 변질되면서 서유럽열강은 제국주의노선을 걸었고 제국주의는 세계대전을 낳고말았다. 루소에게서 많은걸 배운책이다
9788961671736,6,육아에 도움될 팁이 있을지는 몰라도지금 시대와는 안맞는 편협한 사고가 다소 눈에 거슬림
9788961671736,10,"현대의 교육은 아이들에게 너무 많은 것들을 가르치려 하고, 많은 것을 익히게 만들려고 하는데 여기에서 문제가 발생하는 것 같다. 자연의 본성을 따라 교육하고 아이들이 자연과 더불어 살며 최대한 자신의 기질에 따라 자유롭게 자랄 수 있도록 하자는 루소의 말이 마음에 깊이 남는다...."
9788936458812,10,선생님은 ‘인식하지않고 평가하지마라‘고 말씀하셨지만 청년은 사실을 바르게 파악한 다음 평가하는 자세를 잊어서는 안된다.
9788936459673,10,중2 되는 딸아이를 위해서 주문했어요.2019년도 개정교과로 개편되서 새로 주문했는데 잘 읽었으면 좋겠어요.^^배송은 주문 다음날 왔습니다.
9788961671712,6,프로이트 정신분석학의 기초를 살펴볼 수 있음. 근데 읽다보면 어느순간 꿈을 꾸고 있음.
9788961671712,6,100년전 서양인이 쓴책임에도 인간은 비슷하기에 공감이 잘되는 책이다. 문제는 전혀 공감안되는 해석부분도 있다는거? 고전은 아직 내겐 너무 난해하다
9788961671712,8,꽤 잘된 편역. 초입자가 읽기에 전혀 부담이 없음. 잘된 편역이지만 편역은 편역일 뿐. 이제 정신분석 입문/ 꿈의 해석 번역을 읽어야겠음.
9788961671712,10,"책 이름은 수없이 들어봤지만 정작 읽어보진 못했는데, 이번에｀정신분석입문｀을 읽은 후 읽게됐습니다. 읽을 수록 점점 프로이트의 이론에 끌릴 수 밖에 없게됐고,실제로 내가 꾼 꿈을 책과 연관지어 분석아닌 분석을 해봤는데,분석이라기 보다는 이해(?)랄까 신기하게도 맞는것 같아 신기했습니다"
9788958625131,8,요즘 아이들이 단편 소설을 읽기 힘들어 하는데 아이들의 독서를 도와 줄 멘토 같은 책입니다.
9788966374748,10,정말 잘쓰여지고 유익한 좋은책이에요. 이런책을 내주셔서 고마워요.♥
9788936458690,10,논술 대비로도 부족함이 없다고 생각해요. 천천히 읽어나가며 생각하는 연습을 할 수 있어요.
9788936458690,10,"교과서는 최상의 선택이라 할수있다.클래식에 매력을 느낀다면 굳이 여기저기 기웃거릴 필요가 없다,김유정의 봄,봄만으로도 매력이 있는 바이블, 논술을 준비하는데 전혀 부족함이 없는 소설의 향연이라 할수있다"
