ISBN13,rating,review
9788936452322,10,"고전부터 현대 작품들까지, 또한 일상에서 쉽게 접할 수 있는 모든 미술에 대한 이야기. 친절하고 재미있는 책이었어요. 많은 분들에게 추천하고 싶은 책입니다!"
9788936452322,8,"미술책이지만, 미술 지식 보다는 오히려 미술 자체에 대한 철학적 물음을 하는 책에 가깝습니다. 아름다움이란 무엇인지, 예쁜 것과 아름다움은 어떻게 다른 것인지, 같은 색깔이 왜 다르게 보이는지 등등. 그래서 술술 잘 읽혔습니다. ‘세상을 보는 시각‘에 도움을 주는 책입니다."
9788936452322,10,미술 선생님과 중학생 보라양의 이야기 형식이 우선 마음에 듭니다. 색채감 좋은 인용 그림들도 덤으로 독자의 마음을 풍부하게 합니다. 무엇보다 미학과 철학을 모두 전공하신 작가 선생님의 삶의 깊이가 묻어나는 내용이 독자에게 힘을 줍니다. 적극 추천합니다.
9788943305017,10,예전에 읽었던 책인데 잃어버려서 재구매했다. 다시 읽어도 좋다.
9788943305017,10,어머니께서 가지고 계시는 몇 안되는 책 중 하나입니다. 제게도 읽어보라고 추천하시더라구요. 처음엔 한시라서 거리감을 느꼈었는데 막상 읽어보니 아름답다는 생각이 들 정도로 운치가 있었습니다. 이런 책들이 많이 나왔으면 하는 생각도 드네요.
9788943305017,10,책 읽는 즐거움과 한시가 꼭 어렵지만은 않다는 걸 알게 해 준 책. 오랜만에 다시 읽어보았다.
9788943305017,8,한시가 아름답다는 걸.동양이 추구하는 멋이 이렇게 다테일하고 세련되었다는 것을 이 책을 통해 조금이나마 배운다.아이들을 위해 지은 책이나 성인이 읽기에도 너무 좋다.
9788943305017,10,한시학 개론
9788943305017,10,역작 중의 역작이다. 왜 사람들이 정민 정민하는지 알겠다. 표지만 좀 세련되게 바뀌었으면!
9788943305017,6,재밌어서요
9788943305017,8,고등학교 때 딱딱하게 배운 한시를 쉽게 이해할 수 있게 해 주었고 한시의 아름다움을 알게해 준 책이다.
9788943305017,8,굉장히 어렸을 때 읽었던 책인데 아직도 기억에 남는 책입니다. 책을 잘 읽지 않는 편인데도 불구하고 쉽게 읽고 또 자주 읽었던 기억이 나네요.
9788943305017,8,한시를 마음 편하고 가깝게 느끼게 해 준 정말 좋은 책이었다. 선현경 님의 그림도 너무 따뜻하고 잘 어울린다. 신경써서 잘 만든 책이어서 출판사에게도 고마운 마음이 든다.
9788943305017,10,어렵게 느껴지는 한시 이야기가 쉽게 쓰여져 있습니다
9788943305017,10,어린이들이 읽기 쉽게 한시를 풀어 놓았지요.
9788943305017,10,막연히 어렵다고만 생각했던 한시를 멋지고 쉽게 설명해주셔서 귀로 듣는 듯이 읽었다. 책 속에 삽입된 그림이 좀 작아서 아쉬웠다.
9788943305017,10,붓글씨 연습하시는 아빠에게 드린 선물.
9788943305017,10,어렵다는 느낌이 먼저 들었던 한시가 이렇듯 운치있게 가슴에 와닿다니.. 역시 정민 선생님 입니다
9788943305017,10,표지도 너무 마음에 들고 이 책 탐난다 현대시 보다는 난 한시가 참 좋다
9788943305017,10,아무 느낌도 없던 한자들이 내 마음을 움직이기 시작했다.
9788943305017,10,한시에 빠지면 옛사람들의 일상이 보이기 시작 합니다
9788943305017,10,이런 책들이 많이 나왔으면 좋겠어요.
