ISBN13,rating,review
9788965420774,10,잘 받았습니다 열공할게요!
9788965420774,10,새벽01시에 주문하니 당일로 받아볼 수 있었습니다.빠른배송 감사합니다.가끔 영작하다보면 헷갈릴때가 있는데 그럴 때 마다 길잡이가 되주길 바라는 마음으로 구입했어요다 배웠던 건데 잊고있었던 내용들을 새록새록 떠올리면서 재밌게 보고있네요
9788965420774,10,"시험을 위한 시험서가 아닌,제대로 영문법에 대해 기초부터 알고싶어서 구매하게 되었어요.요령으로 보는 시험이었던지라, 기초를 꼭 다지고 싶었는데 구성에 만족합니다-"
9788965420774,10,"명성 만큼 훌륭합니다, 한국에 있다  미국으로 다시 돌아가는 분들도 격하게 추천하는 분이 있었습니다."
9788965420774,10,"그래머게이트웨이 베이직과 인터미디엇 책 겉에 책 표지부터 열고 싶게 만드는 색감이 예쁜 디자인과 안의 내용은 grammar in use를 연상하게 하는 익숙함이 있고, 실용영어로 자주 쓸수 있는 표현들인 것같아 좋습니다. 인터디디엇이 작년 9월 출간되었으니 고급편- Advanced 편도 나왔으면 해요."
9788965420774,10,현재 그래머게이트웨이 베이직과 인터미디엇을 공부중에 있는데 머리에 쏙쏙 너무나 잘들어옵니다.영어 기초가 부족하신 분들께서 보시면 아주 좋은 책이에요^^
9788965420774,10,다른 책보다 훨씬 도움이 된다. 당연하지만 반복학습하면 더 효과가 있을 것.
9788965420774,8,영어문법 다시 시작
9788965420774,10,"베이직 끝내고 이책으로 공부하시는 분들이 많을것같은데, 영어가 좀 되시는 분들은 바로 이책으로 공부하셔도 될것같아요.ㅎㅎ"
9788965420774,8,"문법을 공부하려는 사람들에게 가장 적합한 책인 것 같습니다. 저도 알라딘에서 이 책을 구매하고 날마다 2장씩공부를 하고 있는데, 이해하기 쉬운 설명과, 관련그림들이 알맞게 들어가 있어서 공부하는 게 지루하지"
9788965420774,10,"간편하고 쉬운 문법 교재 찾던 중, 실용 문법 위주로 구성된 이 책 구매하게 되었습니다. 뭔가 예시도 많고, 책이 실생활에서 쓸 수 있는 문장 위주로 구성되어 있어서 영어를 좀 더 재미있게 배울 수 있을 것 같네요 ^^"
9788965420774,10,엊그제 받았어요~ 1달 안에 문법 정리할 만한 교재 찾고 잇었는데 후기 보니까 이게 문법교재인데도 안지루하고 재밌게 공부할 수 있다고 해서 구매했습니닷! 예문도 다양하고 구성이 쉬워서 문법 다시 한번 짚고 넘어가기 좋을 것 같아요! 낼부터 공부 시작합니닷 ㅋㅋ
9788965420774,8,유학가기전에 실용문법 정리용으로 추천을 많이 받아서 구매했어요. 기대돼요ㅎㅎ
9788965420774,10,베이직 끝내고 다음단계용으로 구매했습니다. 좋아요.
9791188762088,10,중학영어는 이정우 선생님이 최고죠!
9791188762088,10,무료직강이라니... 엄청나게 좋은 자료네요이정우쌤 믿고 따끈따끈한 신간 구매했습니다
9788965420286,10,동영상이랑 같이 보려고 샀어요~
