ISBN13,rating,review
9788996187455,10,전태일 열사 50주기를 맞아 평전을 읽었습니다.아.그토록 어렵고 힘든 상황에서 왜 아름다운 청년이란 수식이 붙는지.그 고운 마음과 자기보다 약자에 대한 애정...그리고 부한세상으로 부터 버려진 사회부조리에 번민과 결정...
9788996187455,10,고 조영래 변호사님이 그립습니다...
9788964960479,8,"어쩌면 이 책의 묘미는 이론 물리학자 한 명을 더 알아가는 데 있는 것이 아니라 그의 삶을 통해 우리가의심하지 않고 당연하게 받아들였던 교육, 인습, 사회 현상을 한번 되돌아보게 하는 일화들이 주는 메세지가 참 인상적이다. 그런 면에서 이 책은 읽을만하다."
9788964960479,10,표지부터가.ㅋㅋㅋ
9791186592205,4,스티브에 대한 찬양만을 한다. 읽기 거북할 정도로.물론 스티브는 생전에 엄청난 일들을 한 것은 맞다.하지만 이 책은 그 일을 매우 부풀려 말하고 있는 느낌이 계속 들었다.
9788957075937,10,최근에 넬슨 만델라 전대통령이 세상 떠나면서 아들과 만델라에 대한 이야기를 나눴습니다. 그의 생애와 업적을 더 깊게 알고 싶어해서 크리스마스선물로 샀습니다.
9788957075937,8,넬슨 만델라에 대한 책들이 많은데 말 그대로 딱 청소년평전이라 쉽고 재미있게 읽히
9788964961636,6,"인물로 한국사의 흐름을 살펴보는 책이다. 각 인물마다 많은 분량을 할애하진 않지만, 시간의 흐름에 따라서 등장하는 인물을 들여다보면 자연스럽게 역사의 흐름을 파악할 수 있다. 인물 중심이라 간혹 간략하게 서술하는 부분도 있지만, 전체적인 역사의 줄기를 만들 때 참고하면 괜찮을 것 같다."
9788936452032,10,박시백의 고종실록과 망국을 함께 읽으면 더 재밌는 책이다. 좋은 책이다. 자유한국당 권장도서.
9788936452032,6,지금의 우리와 너무 같은...그래서 역사는 돌고 도는가..인물의 심리적인 진솔한 묘사가 있었다면 더 좋았을거같고..좀더 깊이있는 관찰로 어른 책이였으면 좋았겠다
9788936452032,10,독서퀴즈대회 준비로 구매해 주었는데  좋은 결과를 보였네요.
9788936452032,10,"조선의 앞날을 고민한 갑신정변의 세 주역 김옥균, 홍영식, 박영효 이야기."
9788936452032,10,멋진책이에요^^~~ 마음이 아프구요
9788936452032,10,3일 천하로 끝난 갑신정변...너무 안타까운 일이네요... 하지만 그럼에도 정갈한 문체에 반했고 생생함도 느꼈습니다. 책만 보는 바보 이후 또 한번 감탄했습니다.^^
9788936452032,10,이 작품처럼 글을쓰자면 얼마나 읽고쓰고 생각하고 조사했을지..책바보와 다산아버님에 버금하는 좋은책이네요. 작가님한번 만나보고싶다는 바람을 가져봐요. 다음책기대할게요. 창비에서나왔네요.
9788936452032,10,안소영 작가의 책이라면 이제 무조건 살 것이다.
9788936452032,10,문장이 간결하고 아름다워요. 아껴 읽었어요.
9788936452032,8,읽고나면 뭔가 허탈하다. 슬픈 말로들이 맘 아프다.
9788936452032,10,역사에 관한 책들이 많이 나오네... 궁금한 책이다
9788936452032,10,근대를 살아간 세친구의 엇갈린 삶 그리고 우정
9788958624448,10,훌륭한 내용과 깔끔한 편집. 정신의 피가되고 살이되는 주옥같은 고전을 읽는다
9788964960288,10,까칠하고 솔직한 인물 이야기
9788964960288,8,IT 분야에서 일하고자 꿈꾸는 청소년들에게 많은 도움이 될 듯하다.
9791190337014,10,"그레타 툰베리의 행보에 대해 항상 눈여겨보고 있는데, 이에 대해 이야기하는 어린이책이나 청소년책이 꽤 출간되고 있는 듯해 좋네요. 작고 가벼운 책이지만 모두가 알아야 할 중요한 사실을 담고 있어 술술 읽고도 여운이 깊이 남았어요."
9788989313359,10,정말 최고
9788989313359,10,"홍정욱이라는 타인의 삶에 대한 열정, 전진하고자 하는 노력, 긍정적인 마음가짐 등에 대한 경외심"
9788989313359,6,대단한 인물. 그러나 평범한 가정환경의 나에겐 너무 다른 세계이야기로 들린다. 공감하기 어렵다.
9788989313359,8,자기계발서로 처음 읽은 책으로 이 책 덕분에 독서에 흥미를 느끼게 되었다.
9788989313359,8,"저자의 노력형 삶의 자세는 배울점 투성이. 그러나 정치로 향할 사람이 언론사주가 됐다는 건, 짚고 넘어가며 생각해야 할 듯. 그 점만은 담백하게 볼 수가 없네요."
9788989313359,10,나의 어린시절 우연히 책장에 꽂힌책을 읽었는대 어느덧 우리아이도 읽고 감동하여 친구 선물을 할 정도로  많은 느낌을 주는 도서로 강력 추천
9788989313359,8,부럽다..이분 지성과 외모까지 준수하니..7막7장 ...부럽다는 생각뿐
9788989313359,8,노력하는 자세를 크게 깨달았습니다.
