ISBN13,rating,review
9791190931281,8,제목 참!제목대로 되길 바라면서 읽기 시작.
9791190931281,10,"격일로 몇 페이지씩 읽는데 특히나 월요일 철학자의 말 대목이나 화요일 용어, 개념 대목 또는 또는 토요일 생각법 대목에서 사색을 이끌어 주는 것만 같다. 조금씩 스며들듯 읽으면 유익한 책이 아닌가 싶다."
9791190931281,10,기대됩니다 아직 독서전이지만 오매불망 기다려요
9791190931281,10,요즘같은  때에 필요한 책인듯 합니다. 정신적으로 위안도 받고 조금은 편안하게 살아갈 수 있겠어요.
9791190931281,8,간단하고 재미있게 읽을 수 있어서 좋았어요
9791190931281,10,철학이 필요한 시기인것 같아요! 자꾸 우울해지려는 마음을 추스리는데엔 인문서가 최고지요.
9791190931281,8,철학이 무엇인지  정확히 알게 해준점그리고  실제로는 항상 우리가 철학을 생각하며 살고 있다는등 인생의 나침판이 되는 점을 높이 쳣어요
9791190931281,10,너무 유익한 1페이지..쌓이는 지식은 1페이지 그 이상이네요
9791190931281,10,하루에 한 페이지씩 읽는 철학 이야기. 어려운 이야기를 쉽게 이해할 수 있어 좋다.
9791190931281,10,부담스럽지 않은 양으로 꼭 알아야 할 내용들이 담겨있어요.
9791190931281,10,쉽기만 했다면 모르겠는데 내공이 만만치 않다. 이 깊이와 양을이렇게 어렵지 않으면서도 밀도 있게 담아내다니. 근래 읽은 인문서 중 최고인 듯.
9791190931281,10,"이 책은 철학의 중요한 장면 365가지를 뽑아서 월화수목금토일, 말, 용어, 철학자, 철학사, 삶과 철학, 생각법, TMI 별로 분류해서 하루에 한 챕터씩 1년동안 배워보자는 컨셉이다."
9791190931281,10,철학책 너무 괜찮네요. 교과서적인 책이 아니라 일상에서 철학을 발견할 수 있는 책! 강추
9791190931281,10,"고등학교 시절 윤리와 사상, 생활과 윤리 공부를 했던 기억도 나면서 재밌게 읽고 있는 책."
9791190931281,10,꺅~~드디어 나왔습니다 철학365..!!!!!
9791190931281,10,매일 조금씩 가까워지는 철학
9791190931281,2,퀴즈대회  대비용인가요?
9788958204145,6,제목만큼 어메이징 하지는 않지만 -_-;어쨌든 만화와 입문서는 사랑입니다. ^^;
9788958204145,10,"3년 전에 봤을 때는 그저 그랬었는데, 지금 보니 알차고 재밌다."
9788958204145,4,만화 철학책이 내용이 충실하기가 힘들다는 것은 알겠다. 그럼에도 불구하고 내용이 부실하다.
9788958204145,10,갓광일
9788958204145,6,"서양철학사를 개괄적으로 담긴 했으나, 전체적으로 페이지가 조금 부족하지 않았나 싶다. 번역은 그냥저냥... 초판 찍기 전에 한번 더 확인했더라면 더 좋은 책이 됐을텐데 아쉽다."
9788958204145,10,"두 시간 동안 철학의 강을 함께 따라가다 보면 서양 철학의 큰 줄기를 쉽게 알 수 있게 된다. 만화 컷 속에 담긴 사소한 대사, 그림도 놓치지 않고 꼼꼼히 봐야 더 재미 있는 책."
9788958204145,10,서양 철학사의 맥락이 보인다. 재밌고 함께 주는 서양철학지도 무지 맘에 든다. 예쁘고 유용하다.
9788958204145,6,"재미있는 만화는 아니지만, 개괄적으로 철학 사상을 훑을 수 있다. 개괄적인 가운데 요점이 잘 드러나있다는 게 장점. 다만 미완인 상태에서 출판한 게 아닐까 싶을 정도로 한국어판에 몇몇 실수들이 보인다."
9788932317663,10,철학을 알고 싶은 이에게
9788932317663,10,고등학교 때 독서인증으로 읽었던 생각이 나네요! 그때는 그다지 재밌다고 생각하지 않았는데.... 지금 읽으니 이렇게 흥미로울 수가 없어요. 철학입문의 정석!
