ISBN13,rating,review
9791160805550,10,"12살이 되면서 감정이 들쑥 날쑥하는  딸아이에게 도움이 될까하여 구매했습니다. 주말동안 읽으면서 딸 아이보다 제 자신의 여러가지 감정들을 정리하고 대처하는 방법을 알았고, 딸아이를 어떻게 도와야 하는지도 많이 배웠습니다. 참 좋은 책입니다. 여러가지 감정을 잘 정의해 준 점이 맘에 듭니다"
9791160802559,10,"초등 중, 고학년이상의 아이에게 추천하는 책입니다."
9791160802559,10,"사춘기 내 몸과 마음의 변화가 잘 나와있고,기차여행에 빗대어서 재미있게 읽었어요"
9791160802559,10,"딸에게 주려고 산 책인데, 주기 전에 제가 먼저 일고 있어요.이 책이 제가 어렸을때도 있었으면 좋았겠다란 생각을 계속하면서 읽고있네요.딸이 이 책을 읽어 자신 몸을 사랑하며 당당하고 멋지게  자라나길 기대해 봅니다~"
9791160802559,10,우리 아이가 궁금해하는 내용을 닮고 있네요~ 아이와 같이 읽고 이야기 나누면 좋을 것 같아요
9791165343088,10,"1년 365일 중 절반을 생리와 관련된 고통을 겪으면서 시도해 본 크고 작은 생리 불편 극복기와 누구도 알려주지 않았던 내돈내산 생리용품 후기까지 정리되어 있답니다.. 이 책은 생리 전 증후군, 생리 중 몸의 상태, 생리 용품들까지 알려주니 초경 시작하는 아이들에게 선물해줘도 좋을 듯 해요~ ^^"
9791165343088,10,"처음 생리를 접하게 된 딸들/생리로 고생 중인 여동생들/남친몬 선물 도서 추천매달 생리통 진통약 먹고 호르몬제 생리 주기 조절 찾아보고 그런 여성으로서, 이렇게 자세한 정보글은 처음 본다! 솔직히 한국에서 이런 정보를 어느 누가 자세하게 알려주나 싶다ㅎ.. 이런 책이 생겨서 다행이다!"
9791165343088,10,읽고 나서 느껴지는 감정은 ‘미안함‘이었다. 주변의 많은 친구들이 PMS라고 말할 때 핑계라고 생각했었다. 시험을 많이 치루며 살았던 사람으로서 시험 때마다 생리를 할까 불안했을 친구들의 아픔을 몰랐다. 남학생들이 많이 읽었으면 좋겠고 생리 때문에 고민이 많은 여성들도 많이 읽기를 바란다!
9791157236039,10,"과연 나는 제대로 다, 알고 있는 것이 맞을까? 궁금증이 드는 나이도 아니지만..."
9791187749011,10,21세기에서 22세기 진짜 돌직구..우리 10대 20대와는 다른 이건 요즘. 트랜드성교육서..
9791187749011,10,"고모가 선물로 줘서 읽었는데, 도움이 많이 됐습니다."
9788963720999,8,"동성애, 트랜스젠더 등 일반적으로 알기가 쉽지 않은 내용을 비교적 잘 정리한 책이다. 성적소수자들 단체들이 여럿 모여서 작성한 책이라 가이드북으로는 유용할 것 같다. 성적소수자에 속하는 10대를 만날 때 참고해볼 만한 책이라 생각한다(추천도서와 연락처도 정리되어 있다)."
9788963720999,10,소수라는 이유로 외면했던 혹은 어찌해야 할지 몰랐던 어른들에게 아주 구체적인 도움을 주는 책! 만약 우리 반 아이가 나에게 상담을 해 온다면 이 <무지개 성 상담소>를 참고하시길~
9788958284758,10,아이가 커갈수록 난 모르는 것 투성이. 도움을 받을까 싶어서 읽었는데 초등4학년이 되려는 딸에게도 나에게도 도움이 많이 되었습니다.
9788958284758,8,"딸 둘 키우는 엄마이다보니 요즘 세상이 너무 험악해서 아이들은 어리지만 일찍 성교육을 시켜야지 하던차 사서교사의 추천으로 구입해보았어요
중학생의 눈으로 궁금한 성에 관련된 질문들을 풀어놓았는데 좀 한계도 있고 공감하는 부분도 있지만 아이가 좀 더 자라면 같이 읽고 이야기해보면 좋을듯~"
9788958284758,10,6학년  진짜^^10대가 되기전에 읽어두면 더 좋을듯
9788992448932,10,올해 최고의 책.
9788992448932,10,"읽다가 몇 번이고 눈물이 나는 책.청소년 성소수자들을 위하는 띵동이란 단체의 존재에 감사합니다.가슴 아픈 현실에서 시작했지만 모두가 행복한 삶으로 나아갈 수 있길.단체의 역사에 대해 잘 알 수 있었고, 중간중간 있는 상담 팁 또한 도움이 되었습니다."
9788964964149,10,작가는 훌라후프 가장 많이 돌리기 개인 부문과 하이힐 스케이트 1백미터 기록등 7개의 세계 신기록 보유와 현재는 훌라후프 공연단에서 일하고 있다함)재미있는 사진들이 많아요
9788966377763,10,곧 십대가 될 연년생남매를 키우는 엄마입니다. 아이들의 사춘기에 대한 예습이라도 한 듯 책을 읽는 내내 다가올 시간을 잘 헤쳐나가보자 다짐하게 됩니다. 내가 자라올 때와는 다른 요즘 사춘기에 대해 자세하게 다루어주셔서 많은 도움이 되었습니다!
