ISBN13,rating,review
9788958074656,8,10대 소녀가 품은 비전이 이렇게나 아름답다니... 청소년은 물론 꿈과 비전을 놓고 고민하는 이들에게 좋은 힌트를 줄 것 같다.
9788958074656,8,열 살의 딸에게 꿈을 준 책이다. 이 책을 통해서 적정기술을 이해한 것은 물론이고 꿈꾸는 것은 이룰 수 있다는 희망을 보았다. 고마운 책이다.
9788988151938,8,청심중의 최고로 잘 나가는 학생들만을 선정하여 글을 쓰도록 한 것이 조금 아쉬운점.그리고 너무 학교의 좋은점만을 홍보하려는 목적이 드러나는 듯하여 마음이 좀 불편하였다. 그러나 학교의 시스템의 모양과 흐름이 잘 느껴지는 좋은 내용도 많았다고 여겨진다.
9788988151938,10,청심중학교 학생들이 쓴 청심이야기~
9791158771720,10,"필사는 작가를 다른 삶으로 변화시켰다고 한다.첫째, 사춘기 극복에 많은 도움을 주었다.둘째, 반항심이 줄어들었고 생각이 긍정적으로 변했다.셋째, 효.신의.예절.의리 등에 대한 내용도 논어를 통해 배웠다."
9791158771720,10,학생이 쓴 책독서 모임 논어중3 미국 단기 유학 중 논어 필사캐나다 토론토 대학교 합격.부모와 아들 특히 아버지와의 관계맺기와 여러 나라의 세계여행과 독서모임.경험을 굉장히 중요하게 생각하는 부분과 자신이 자율적으로 해 나가는 모습이 멋지고  학생들에게 논어 필사와 사기 필사 추천
9791158771720,10,"제 개인적인 생각은 우리 아이들이 20살 전에 책 한권은 만들면 좋을것같아요. 이런 꿈을 실천한 좋은 사례가 될 것같아요. 이 책은 학생이 읽기에도 도움되지만, 부모들에게도 큰 도움이 된다. 부모-자녀 교육을 자녀의 시각에서 볼 수 있는 기회가 될 수 있다. https://r22dd.blog.me/222041647069"
9791158771720,10,"논어 필사를 통해 성장해 나가는 모습이 담겨 있다. 독서를 통해 사춘기를 슬기롭게 극복하는데, 사실 이는 혼자하는게 아니다. 주변의 모든 사람들이 한 사람을 끊임없이 격려해주어야 가능한 일인 것이다. 우리가 함께 그길로 갈 수 있도록 부모님께 안내하고, 친절한 이웃이 되어줄 것을 말해준다."
9791158771720,10,"중학교 첫 시험에서 자신의 낯선 성적을 마주하며 자존감하락하던 사춘기 소년이 아버지와 함께 독서, 논어필사, 여행을 하며 겪게 되는 성장스토리!  ‘논어‘ 에 관심이 있어 아이에게 어떻게 적용해 볼까 궁금하던 차에 만나게 된 책, 하지만 그 성장스토리에는 꼬드김의 대가 아버지의 노력이 있었다"
9791158771720,10,논어필사란 논어의 문장을 적고 나의 생각을 적어보는 것이다. 이것을 청소년에게 적용하면 자기에게 어떤일 생겼을 때 나는 어떻게 할까?를 생각하게 된다. 이 책은 논어 필사를 한 중학생이 논어 필사를 통해 얻은 지혜를 10대 삶의 전반에 적용해본 이야기 이다. 읽는데 스릴도 있다.
9791158771720,10,청소년이 썻지만 대한민국 이 땅의 모든 부모님들에게 추천하는 책. 중2병을 날려버린 그 시작은 독서와 논어필사. 고전독서법은 사색하는 힘을 길러 주었다. 책을 읽으면 어떻게 변할 수 있는지 저자의 경험담이 앚 잘 담긴 책이었다!
9788965550433,10,그동안 비밀에 쌓여 있던 청심국제중의 교육시스템을 잘 알 수 있게되어 무척 흥미진진하게 읽었습니다. 지난 9년간의 변화된 모습도 잘 담겨져있구요. 국제중을 꿈꾸는 분들에게 좋은 가이드가 될 것입니다.
9788984281219,8,중학생 34명의 사람 냄새 나는 이야기들. 90년대에 중학생이었던 이 친구들은 당시의 나보다 어렸는데 삶의 마디마디에서 훨씬 성숙한 모습들을 보여준다. 아무에게도 하지 못했던 그네들의 속 이야기
9788984281219,10,"내밀함이 내밀함을 불러 모으는 것일까? 이상은 ˝사람이 비밀이 없다는 것은 재산이 없는 것처럼 가난하고 허전한 일˝이라 했지만, 이 글을 읽고 나면 거지가 될지라도 비밀을 털어놓고 싶을 테니 죽을 만큼 아프다면, 그런 내밀함을 가졌다면, 이 책을 샀다하더라도 읽지는 말 것. 가지고만 있을 것"
9788984281219,10,나에게도 이런 때가 있었지. 아무에게도 하지 못한 말을 간직한.. 중학생 때.
9788984281219,8,좋은정보가 많이 담겨 진 책입니다
9788984281219,10,이 책을 읽으니 중딩 아들이 보인다. 내가 읽으니 아이도 따라서 본다. 같이 웃었다.
9788984281219,8,중1 여학생인 딸 아이 보라고 주문했다.딸 아이 역시 흡족해 했다.
