ISBN13,rating,review
9791185578132,10,암호학을 처음 배우기 시작한다면 이 책을 추천합니다
9788996094036,10,설명도 알기 쉽고 자세하고 소켓 프로그래밍 입문서로 딱입니다. 처음 소켓프로그래밍을 독학으로 공부하려는 사람들에게 최적의 책이라고 생각합니다.
9788996094036,10,참고용 책으로 정말 좋아요
9788996094036,10,윤성우씨의 책은 대체로 설명이 읽기 귀찮을 정도로 자세해서 좋습니다.
9788996094036,10,소켓프로그래밍을 쉽지만 심도있게 배울 수 있습니다.
9788996094036,10,TCP/IP에 대해 알고싶어 구매했는데 내용도 탄탄하고 예제도 좋더군요
9788996094036,10,100페이지 넘게 읽었는데 이해가 너무 잘 됩니다
9788996094036,10,독학용으로 샀는데 만족스럽습니다.
9788996094036,10,매우 좋았어요^^
9788996094036,8,여러가지 소켓 통신 모델에 대해서 설명하고 있습니다. 하지만 TCP/IP 네트워크 자체적인 이론에 대해서는 조금 부족한 점이 있으며 IPv6에 대해서도 어느정도 다뤄줬으면하는 아쉬움이 있습니다.
9788996094036,8,"배송이 매우 늦은 데다가 책이 여기저기 찢어져있네요.
불만입니다."
9791156642770,6,내용은 둘째 치고 실습 환경 구성에 대한 설명이 너무 부실하다. 가상화에 대해 숙지해야 이 책의 내용을 실습할 수 있을 것 같다. 그런 성의가 필요할까?
9791156642770,10,개념정리 깔끔하고 보기 편합니다.
9791161754598,10,시중의 모든 잡설을 논리적으로 깨끗이 정리해 줍니다.
9788931589191,4,이 책 전체에 깔려있는 고질적 문제점 ---1+1=2입니다. (여기서 여러분은 왜 정답이 2인지 아직 이해하실 필요가 없습니다.) 다음 내용 >>> 1+1-1=1입니다. 계속 이런식. 앞에 내용에서 제대로 이해가 안되는데 뒷내용이 이해가 갈리가 있을까요. 왜 이런 답답한 전개를 채택했는지 저랑은 안맞네요.
9791163032014,10,진짜 맥북 초보러에게 많은 도움을 주는 것 같아요초반에 어떻게해야할지 정말 많이 막막했는데.도움이 많이 되네요!! 계속해서 차근차근알아보려고 합니다 굳굳
9791163032014,10,도움이 많이 되는 책이에요 ! 강추합니당
9791163032014,10,"아이폰을 시작으로 아이패드, 맥북 모두 들였지만 그 좋다던 iOS 나는 잘 활용하고있나 하는 생각이 들었어요. 그냥 예쁜 기계 모음으로만 보기에는 너무 비싸잖아요? 이번에 이 책으로 차근차근 공부해보고 있어요. 맥으로 넷플릭스만 보고 계신분께 추천드려요! 대상은 초보자입니다!"
9791163032014,10,"윈도우만 수십년 동안 사용해온 저에게 맥북은 휠 방향부터 키보드 배열, 단축키 모두 다른 생소한 세계였습니다. 몇달동안 하나하나 검색해서야 알 수 있었던 맥북 활용 방법들이 체계적으로 정리되어있어서 낯선 macos 환경에서 적응해 나갈 수 있는 책이에요! #맥북사용시곁에두고볼책"
9791163032014,10,"맥북은 윈도우하고 달라도 너무너무 달라서 윈도우만 쓰시던 분들 맥 처음 쓰시면 나 컴맹이였니? 이 소리가 저절로 나옵니다 딱 한시간만 읽어보세요! 초보 뗄 수 있습니다. 계속 쓰시던 분들도 각종 꿀팁, 유용한 앱, 단축키 사용법이나 아이폰,아이패드와 함께 사용하는 법도 나와 있어요! 만족!"
9791163032014,10,"맥북 유저로서 맥북을 잘 사용하고 있는지 몰랐는데, 책을 통해서 맥북에 한 걸음 가까워진 기분이 듭니다.1. 맥북의 처음부터 알고 싶은 분, 2. 맥북을 사용하고 있지만 활용을 못하시는 분에게 추천드립니다!"
9791190665209,10,특성화고 소프트웨어과를 졸업 예정인 고3 아들에게 읽으라고 권했습니다. 특성화고의 커리큘럼에 기본적인 인프라 개념을 잡아주는 게 없더라구요. 쉬운 설명과 그림에 조금은 이해가 된 것 같다는 서평을 내 놓았어요.
9791190665209,10,IT 종사자라면 알아야 할 기초적인 내용을 잘 담은 책입니다. 쉬운 비유와 그림을 통해 기초적인 인프라 개념을 설명하고 있어 주니어급도 이해하기 좋았습니다. 인프라 구축 뼈대를 다지기위한 교과서로 추천합니다.
9791190665209,10,"외국 번역 책인데도 불구하고, 이해하기 쉽게 잘 읽을 수 있습니다.IT 관련 업무를 하시거나, 혹은 관심이 있으신분은 이 책을 추천드립니다. 인프라에 대해 자세히, 비교적 쉽게 설명되어 있있습니다전반적인 인프라 개념 잡는데 도움이 됩니다."
9791190665209,10,IT 입문자부터 중급이상에 이르기까지 정말 유익한 도서라고 생각됩니다. 자세한 설명을 알기 쉬운 그림과 함께 개념을 잡아주는 것이 이 책이 주는 가장 큰 장점이라고 할 수 있겠습니다. 갓 입문한 신입부터 상급에 이르는 사람들까지 개념을 정리하고 한번쯤 다시 읽어봐도 좋을 내용이예요.
