ISBN13,rating,review
9788931463217,6,솔직히 그냥 뻔한 말 뿐임. 그림 잘그리라는 조언엔 누구든지 별 다를게 없음. 존내 많이 그려라. 존내 많이 따라그려라. 끝. 그럼에도 제가 이 책을 산건 요즘 너무 방황중이었기에...
9788931463217,10,"이 책의 진정한 가치는 그림을 그리는 기술을 알려주는 데에 있지 않다. 이 책은 그림을 그리는 자세와 마음가짐에 대한 책이다. 따뜻한 말씨로 조금 더 노력하면 될 거라고, 너가 잘 못 된 게 아니라 너의 방법이 잘 못 되었을 뿐이라고, 힘들어도 다시 한 번 해보자고 다독여주는 책이다. 꼭 사라."
9788931463217,10,"드로잉, 인체, 디자인 등은 넷상에서도 충분히 질좋은 정보를 얻을 수 있기에테크닉에 대한 부분만 일차원적으로 다루는, 하루 보고 다시 안 읽을 책만 쏟아져나오는 도태된 시장이라고 생각했으나이 책은 그런 가뭄 중 단비같은 책 입니다. 마음가짐을 알려주는 책 입니다. 두고두고 읽을 책 입니다"
9788931463217,8,얼마나 노력하느냐보다 어떻게 노력하는것이 중요하다라는걸 알려주는 책입니다. 저는 개인적으로 읽어보면서 그림그리다가 막힌부분을 시원하게 답변해주는 느낌이라 좋았는데 불호평이 있는걸보면 사람마다 차이가 있는것 같네요. 프로급 실력의 상급자보단 초중급자분들이 읽으시면 좋을것 같습니다
9788931463217,10,"그림에 취미를 가지면서 오는 자신의 단점들을 미리 케치 할 수 있고, 진행 하면서 문제점을 이책을 통해서 해결 해나갈 수 있어 좋을 것 같네요"
9788931463217,10,인터넷에 떠도는글 중에 해부학해라 크로키해라 모작해라 실사해라 등의 이야기는 널렸지만 각 공부의 장점과 어떻게 균형을 맞출지에 대한 명쾌한 해답은 없었는데 이책에서 확실히 알게되었네요. 이 책의 최종 지향점은 독자가 스스로 그림 공부 방향을 잡도록 이끌어주기 같습니다.
9788931463217,10,"목차를 보자마자 ""이책은 진짜다""라고 생각해서 구매했다. 애니메이션감독이자 일본 학원계에서 경력을 쌓고 학생들을 프로로 성장시키면서 얻은 노하우가 말도안되게 담겨있다. 오늘 아침에 정말 그림을 잘 그리는 중학생을 만났는데 실력이 정체되어 있는 고민이 있어 이 책을 추천했다."
9788931463217,8,첨삭 해설과 옆페이지 설명과 매치가 안되서 좀 아쉽네요. 수준별로 정리했으면 더 좋았을 듯요
9788931463217,10,저자 하나 보고!!!! 솔직히 제목이 맘에 들어요큐앤에이 부분도 은근 재밌는 내용 많고구성도 괜찮았습니다 첨삭 해설도  진짜 첨삭 그대로 보는 거 같아서 좋았어요 그림을 그리는 기법이나 작화에 대한 내용보다는 정말 ‘그림‘ 자체에 대한 전반적인 시선을 바꿔주는 책이라고 봅니다
9788931463217,10,트위터 탐라 떠도는 거 보고 구매했어요. 저자 전 도서를 아직도 잘 보고 있어서 믿고 구매했는데 두고 두고 보기 좋은 책인듯 ㅋㅋ 그리고 목차부터 뼈때려서..맴찢.. 내 그림이 왜 이 모냥인지 알수있음;;
9788931463217,6,저자의 다른 작법서가 굉장히 마음에 들어서 구매했습니다.내용을 주욱 읽어보니 일단 페이지 곳곳마다 첨삭이 들어있는데 덕분에 통일감이 없어 가독성이 떨어지고 지리멸렬한 느낌을 받았습니다. 내용이 크게 와닿지도 않았네요. 차라리 인터넷에 떠도는 글이 더 나을 것 같네요.
9791156644507,10,좋아요
9788931459715,10,애니메이션에 관심이 많아서 작화에 대화 궁금증에 구매했어요! 좋네요!!^^
9788931459715,10,"트위터에서 소개받고 구입했는데 공간 구도, 캐릭터 표정, 비율등 다양한 내용이 있어 따라 그리기 쉬워서 초보 연습자에게 너무 좋은거 같아요 초보분들께 강추 해드립니다."
9788931459715,10,다양한 구도나 포즈를 쉽고 간략하게 묘사하는 법을 알려줘요. 따라하기 쉬우면서도 응용하기 편하내요.
9788931459715,8,애니메이션 작화라 그런 지 깔끔하면서도 동세에 주안점을 두고 알려주고 있다. 그래서 크로키 할 때 어떻게 해야 할 지 잘 모르는 분들한테 추천한다.
9788931459715,10,"번역본 나오자마자 구입했습니다. 출판사, 번역자분 감사드려요"
9791186573419,4,가격과 책 볼륨감 만큼의 값어치를 못하는 것 같아요.인터넷에서 흔히 볼 수 있는 자료들과 차이점도 없고 작화나 이미지 할당 크기가 작습니다.그냥 이렇게 만들어 지는구나 정도로 이해하고 넘어가는 책이지 자료라고 하기엔 부실 합니다.예약 구매 아니었으면 구매 안했을 겁니다.
9791186573419,10,스파 5 캐릭터 개발 비화및 구체적인 요소가 있어서 볼만 했습니다. 과거 파이널 파이트 부터 스파 2 까지 개발 비화  프로듀서 들 대화 등이 서술 되어 있어서 좋았습니다.
9791186573419,8,몇몇 오탈자가 보이는게 아쉽네요
9791186573419,10,스파팬으로써 너무 기대됩니다.
9791186573419,10,"이와 같은 명작 게임이 다시 나올 수 있을까... 현존하는 게임은 퍼펙트 아트가 맞지만, 어린 시절의 꿈과 희망은 사라진 지 오래인듯......"
