ISBN13,rating,review
9791165212698,10,몇년동안 이모티콘 만들고싶다 생각만했지 어떻게 해야하는지 막막했는데 이거보니까 진짜 도움되고 좋음. 작가님이 하나하나 꼼꼼하게 잘 써주셔서 궁금증 다 풀림. 아직 다 보지는 못했는데 이미 별점 5임.
9791158463366,10,옥탑빵도 좋아하고 동영상 클래스도 들었었는데 책도 출판하셨다고 해서 주문했어요. 여러가지 그림을 그려볼 수 있고 쉬운 그림부터 강의가 있어서 정말 하루에 하나씩 그려볼 수 있겠어요. 요즘 어디 나가지도 못해서 답답했는데 주말동안 그림 그리면서 힐링할게요. 감사합니다 작가님
9791158463366,10,와이프가 요즘 드로잉 배우고 싶다며 혼자서 끄적끄적 그림 그리던데이책이 많은 도움이 될거 같네요 ^^
9791158463366,10,"아이패드로 보담 작가님의 그림을 배울 수 있다니.이쁜 그림 따라 그려볼 수 있어 좋고, 패드로 간단하게 쉽게 그릴 수 있어 더 좋을것 같아요."
9791158463366,10,웹툰도 너무 재미있게보앗는데요...작가님의 책에는 또 어떤이야기가 담겨져 있울까궁금합니다.함께 담교져있는 일러스트도 너무 궁금해요
9791158463366,10,요즘 같이 집콕 많이 할 때 아이패드로 그림 배우고 싶어 온라인 강좌를 보려고 했더니 생각보다 많이 비싸고 인강의 특성상 잘 안듣게 될 것 같아 고민했는데 이렇게 제가 딱 원하는 책으로 출간되다니 너무 기쁩니다 :) 책 보면서 예쁜 그림 그리고 싶어요!
9791158463366,10,아이패드 구입하고 아직 드로잉을 제대로 해 본 적이 없어서 읽고 싶네요. 별도로 배워야 하나 고민했는데 이 책이 출간되었으니 보다 쉽게 드로잉을 즐길 수 있을 듯해요.기대되고 설레네요^^
9788931556889,10,누구나 쉽고 재미있게 읽을 수 있도록 이미지와 글자들의 배치가 너무 좋고 내용도 쏙쏙 들어왔어요
9791197193521,8,노션에 대해 아주 친절하게 설명해주는 책입니다. 하나하나 세밀하게 그림을 통해서 설명해주기 때문에 아무 것도 모르는 사람도 따라할 수 있습니다. 이런 류의 툴을 처음 접해보는 초심자에게 유용할 것 같습니다.
9791197193521,10,노션을 배우기는 했는데.. 활용을 잘 못하고 있었는데.. ‘한권으로끝내는 노션‘ 책을 보면서  나만의 노션을 만들수 있고 쉽게 따라 할 수 있어서 막히는 부분 없이 만들었던거 같습니다. 노션의 매력또한 잘 어필 되어 있고 노션으로 많은 자료를  한 곳에 모을 수 있어서 많은 도움을 받았습니다..
9791197193521,10,"노션 설치를 하고 어떻게 써야 할지 막막했는데, 책 예제로 쉽게 홈페이지를 구축 했다. ﻿기존에 에버노트를 사용해서 그런지 노션만의 기능을 중점적으로 봤다. 뒷부분은 결과물을 먼저 보여주고 따라 하는 식이었는데, 설정 작업을 세부적으로 안내해서 이해가 쉬웠다."
9791195733781,10,후기쓰려고 로그인한건 또 첨이네요. 방쿤님한테 절하고 싶음 . 후기 끗!
9791195733781,10,쉽게 읽히고 유용한 내용들이 많아요
9791195733781,10,쉽게 읽히는 책
9791162240939,8,이젠 혼자 콘텐츠를 만들어 광고할수 있다.SNS를 통해 광고하면 돈도 안들고 멋진걸 만들면 나의 자존감도 높아진다.이 책을 통해 도움을 받게 되었다.개인적으로 도움이 될 만한 내용과 바로 써먹을수 있는만한 내용이 있다.파워포인트가 있으면 누구나 쉽게 할수 있는 책이다.
9791162240939,2,와 진짜. 책을 비추 눌러주려고 로그인하는건 처음이네. 책값을 못해요.
9791190665049,10,"마케팅을 어떤 방향으로 어떻게 준비하고 실천 해야 하는지 기초부터 차근차근 가르쳐줍니다.홍보를 하려면 사업 아이템의 장점과 단점, 시장에서 강한점과 약한점이 무엇인지 객관적으로 짚어볼줄 알아야 하는데, 이 부분도 함께 다뤄주고있어서 예비 창업자의 입장에서 굉장히 고맙고 유용했습니다."
9791165210915,6,프리미어 프로 사용방법 책이었네요.개인이 사용하기엔 비싼 프로그램인데... 책을 고르는 안목이 부족했네묘
9791166033384,10,"유튜버들만을 위한 것은 아니며, 유튜브나 영상을 시청하는 시청자의 입장에서도 궁금할 수 있는 영역들이 담겨 있습니다. 또한 명예훼손, 저작권침해, 모욕죄 등 많은 사람들이 궁금해 할 수 있는 소재로 구성되어 있으며 법알못들을 위해 아주 친절하고 쉽게 설명되어 있네요, 최고입니다!"
