ISBN13,rating,review
9788970509471,6,잘 설명되어 있으나 개념 예시가 과격하고 시대 착오적이라 문제될 만한 것들이 많아 바꿨으면 좋겠다.
9788970508887,8,책은 쉽고 초보자가 배우기도 적합합니다. 레퍼런스북을 원하는 분이라면 다른책을 추천합니다.
9788970508887,8,이책 수정판 인가요????
9788970508887,10,이거 수정판 맞나요?
9791156644552,10,"이책만 읽고 뭔가를 할 수 있게 된다하기 보다는, 웹페이지가 어떤식으로 구성된다는 대략적인 상식정도를 갖출 수 있다는 느낌이네요.그야말로 초보용 입문서로는 충분한듯 합니다."
9791165214005,10,포토샵과 일러스트레이터의 기능을 이해하고 직접 따라하면서 배우고 활용해볼수 있을것 같아요
9791165214005,10,"포토샵을 배워야겠다고 생각한 것은 꽤 오래 전이었습니다. 10대, 20대를 지나 30대가 되어서야 무작정 따라할 수 있는 책을 만나게 되었네요. 작업 현장에서 연출자가 포토샵에 기본적인 것들만 알아도 이미지를 디자인하는 담당자와 의사소통이 훨씬 편하다는 것을 새삼 깨달았습니다."
9791165214005,10,"요즘에 농사짓는 일상을 유튜브나 블로그에 올려볼까 고민하고 있었는데 역시나 포토샵을 못해서 걱정했는데 이렇게 친절하게 무작정 따라할 수 있는 포토샵 책이 나와서 너무 기뻐요^^ 나이도 많고, 비록 영어도 잘 모르지만 이책을 보면 잘 따라서 할 수 있을 것 같은 희망이 보여서 기대됩니다^^"
9791165214005,10,이 책에는 목차부터 세부적으로 잘 나누어져 있고 또 가장 먼저 알아둬야할 기능들에는 우선 순위를 따로 매겨두어서 독학하기에도 유용할 것 같아 보였다!! 그리고 나같은 ... 컴알못은 단축키가 간절한데 그 단축
9791165214005,10,포토샵을 처음 접하는 초급자부터 모르는 기능 빼고 다 아는 중급자까지 아우를 수 있는 책이다무작정 따라하기 시리즈(이하 무따기)는 정말 말 그대로 독자가 무작정 따라할 수 있도록 예제 파일을 제공할 뿐만 아니라 알기 쉬운 설명과 스크린샷을 순차적으로 보여준다
9791165214005,10,"‘최신 기능을 수록한 가장 완벽한 입문서’라는 말이 무색하지 않을만큼, 쉽고 재미있게 공부할 수 있었어요. 단축키 사진, 우선순위, 학습계획 등을 담은 세심한 입문서 같습니다. 처음에는 어떤 사진으로 어떻게 표현할지도 감이 안왔는데, 설명도 자세하고 예제파일도 첨부해주셔서 좋았어요!"
