ISBN13,rating,review
9788970509570,10,진짜 괜찮은 책. 완전 입문자나 생기초에게는 어려울 수 있지만 c를 몇 번 해본 분들에게는 개념 잘 잡아주고 예제도 명확한 편. 예제를 스스로 이해할 능력이 없는 초급자에게는 힘들 수 있음 근데 타 언어 알고 씨 하는 사람들에게는 추천
9788970509570,2,다른 거 사시는 게 좋습니다.
9788970509570,2,"사지 마세요. 오탈자도 엄청 많고, 연습문제도 지엽적, 비실용적입니다. 차라리 열혈이 낫습니다."
9791156641889,10,e북으로는 안나올까요 ㅠㅜ
9791156642695,10,저는 책 내용이 상당히 좋아서 글올립니다.특히 저자님이 구조적으로 설명하는걸 굉장히 좋아하시는거 좋네요. 저자님 다른 책 뭐쓰셨나 보려고 들어왔다가 쓰네요!
9791156642695,4,예제가 바꼈으면 말을 하던가 한참 본 뒤에 알게하는 책. 조금은 불친절하다. 복사붙혀넣기를 한 경향도 보임
9791156644071,10,600쪽까지 완독했구요. 정말 훌륭한 책입니다. 쉽고 친절하게 설명되어 있어서 이해가 잘 됩니다. 좋은 책 써주셔서 감사합니다.
9791156644071,10,설명이 알기 쉬워서 운영체제를 처음 공부하는 사람들에게 좋은 것 같습니다.
9791156644071,10,이해하기 쉽게 잘 쓰여져 있습니다. 강의 듣는 것처럼 술술 잘 읽힙니다.
9791156644071,10,운영체제를 쉽게 설명하고 있어 도움이 됩니다. 컴퓨터를 전공하는 사람이라면 꼭 한번 읽어볼만 한 책입니다.
9791185475318,4,번역이 엉망이네요. 비문도 많고 오타도 많고. 본문은 참고 읽어줄 수는 있을 정도지만 연습문제는 이해가 힘든 수준입니다. 군데 군데 크리티컬한 오타도 있구요.
9791185475318,6,"내용 자체는 괜찮지만, 번역이 그닥;"
9791185475318,8,3분납 편해요
9791156642459,2,ym3039 이사람이 올리는 책 사지마세요.계절학기 듣는데 수업 다끝나가도록 배송을 안하네요.괜히 피보지 말고 다른 판매자들한테 사세요.
9791185578279,6,책의 구성이랑 내용은 좋으나 초판이라 그런지 중간중간에 오타가 많아서 아쉽네요. 특히 논리부분에서의 오타는 내용을 잘못이해 했다가 2번째 정독할때 발견해서 큰일날뻔 했네요.
9788968484636,8,딥러닝 쉽게 잘 풀어줘서 다음 책 읽는데 수월하다.
9788968484636,10,초반 설명이 빈약한 감이 있으나 그 다음을 알고 싶으신 분들에겐 강력 추천합니다.
9788968484636,6,파이썬 기초를 대충 배우고 독학하는 건데도 저에게는 약간 어렵네요.. 책의 내용만 따라가는데도 출력이 잘 안되는 문제가 있어서 제가 따로 서치를 해서 알아보는 시간이 많이 듭니다
9788968484636,8,"Deep learning의 기본 이론을 알 수 있는 아주 좋은 책입니다. Deep learning을 처음 공부하시는 분에게는 기초부터 공부를 시작할 수 있도록 도와 주고,Deep learning을 이미 공부하신 분에게는 기초에 대한 정리를 도와 줄 수 있는 책입니다.다만, 저에게 아쉬웠던 점은 받은 책에 문제가 있어서."
9788968484636,10,적절한 예제와 구현 방법이 인상에 남음. 다만 실제 개발자가 적용하기엔 부족한 면이 있음. 이론서라고 보고 사시길
9788968484636,10,"내가 책을 읽는게 아니라, 책이 나를 읽는듯합니다.섬세하면서도 남는게 많은 책.저는 이런 책들을 제일 좋아합니다."
9788968484636,10,필독서라고 생각되네요~
9788968484636,10,딥러닝에 대해서 아주 기초부터(파이썬부터) 자세하게 설명되어 있어서 처음 딥러닝을 배우시는 분들께 추천드립니다.
9788968484636,2,소스 다운받는 링크가 접속이 안되는데 어떻게 해야 하나요?
9788968484636,10,"딥 러닝을 제대로 배우기 위한 최고의 입문서실제 동작하는 코드없이 이론만 설명하는 책이나 텐서플로와 같은 라이브러리 사용법 위주의 책과는 달리, 실제로 동작하는 심층신경망이나 CNN 코드를 Python과 Numpy와 같은 기본 라이브러리 만을 이용해서 구현하여 동작 원리를 알 수 있음"
9788968484636,10,단순히 지식만 전달하지 않고 독자를 이해시키는 책. 추천!
9788968484636,10,밑바닥부터 상세하게 꼼꼼히 알려주는 책. 번역도 훌륭.
9788968484636,10,많은 도움이 되었습니다.파이선 코드를 빼고 보셔도 개념등을 잡기 정말 좋은것같아요
9788968484636,10,정말 잘 정리되어있습니다.
9788968484636,10,"입문, 개요로 보기에 무척 좋습니다. 주절주절 말이 많지도 않고 필요한 것만 간략하게 설명하며, 그 중에 독자들이 실수하거나 오해할만한 부분들도 중중간 짚어주는 점이 참 좋습니다.파이썬을 기반으로 하는데, 파이썬을 잘 모르는 사람을 위한 설명도 무척 좋습니다."
9788968484636,10,1. 텐서플로같은 프레임워크를 사용하기 이전에 실제 어떤 알고리즘으로 동작하는지 이해할 수 있다. 2. 특히 cs231n 스탠포드 강좌와 함께 공부하면 더욱 좋을 듯
9788968484636,10,딥러닝 최고의 입문서. 역시 요령피우지 말고 밑바닥부터 시작해야..
9791196918033,10,작가님  정말 사랑합니다♡
9791196918033,10,계속 시리즈 나왔으면 좋겠습니다.
9791196918033,10,이거보다 더 쉽게 설명된 책은 없을거에요.그런데 다른 분들이 말한 것처럼 인쇄 품질이 너무 좋은게 단점입니다. 택배 받고 책 잡고 딱 들자마자 무겁다는 생각이 먼저 들었어요.
9791196918033,8,"CS, 초급QA를 하는 문돌이 비전공자입니다.실무 2년차인데요! 공감하면서 읽는 중 ㅋㅋ내용은 최대한 쉽게 친절하게 설명하려고 노력한 흔적이 보입니다. 전공 개발자는 절대 안 봐도 됩니다.치명적인 단점은 쓸데없이 내지 종이질이 너무 좋아요.가격이 비싼 이유가 종이 때문이 아닐까 합니다"
9791196918033,10,비전공자를 위한 책이지만 전공자도 읽어보면 좋을 책이다.업계에서 일하는 신입이라면 굉장히 도움이 많이 될 것 같다.전반적으로 내용도 쉽고 용어도 상당히 쉽게 설명되어 있다.
9791196918033,10,IT쪽을 종사하지만 항상 뭔가 기초지식이 부족하다고 생각했는데 도움이 많이 되었습니다교양서로 정말 좋습니다
9791196918033,10,지금까지 출판되었던 어떤 IT 교양서적보다 훨씬 쉽게 나왔습니다. 업계 용어가 무심코 간간히 나와 정말로 문외한한테는 생소하거나 어려울 수도 있지만 그럴 감안하더라도 이정도로 쉽게 설명한 책은 못봤습니다!
9791196918033,8,비전공자만 추천... 쉬운 책입니다 이거보다 쉬운 책 없어요 전공자거나 개발을 어느정도라도 접한 분은 솔직히 읽을 필요가 없다고 봅니다
9791196918033,8,내용은 좋은데 날로 먹는 흰바탕 페이지나 부분이 너무 많습니다.
9791196918033,10,텀블벅으로 먼저 구매해서 읽었는데 주변에 IT지인이 없는 비전공자가 읽어두면 대강의 IT의 뼈대 정도 잡으실수 있으실 겁니다.
9791196918033,6,표지 디자인이 좀 비호감. 동영상 소개 말고 미리보기 원함.
9791196918033,8,서점가서 감당할 수 있는 지식수준인지 보고 겟할지 말지 해야겠어요. IT는 정말이지 넘나 어려워요 ㅠㅠ
9791196918033,10,"매번 혼자서만 고민하고 어려워했던 저에게 단비처럼 다가왔습니다. 예시를 들어 실무자에게 와닿게, 굉장히 쉽게 설명해주는 책입니다."
9791156643753,10,프로그래머라면 반드시 알아야하는 알고리즘!어떻게 하면 코딩의 문제를 해결할 수 있을까? 바로 기본 지식이 부족하다면 ˝관계중심으로 배우는 알고리즘˝을 펴서 학습 순서에 따라 자신이 필요로 하는 chapter의 부분을 익히도록 하자.
9788964212134,10,컴퓨터구조의 클래식
9788964212134,10,정말로 내용이 잘나와 있는 좋은 책입니다.
9788964212134,10,"번역을 잘 하려고 노력한 흔적이 보이고, 학교에서 구조론 배울때 궁금했던 부분 긁어주는 책. 입문자용은 아니라서 읽고 싶으면 학교에서 구조론 과목 먼저 수강하고 보길."
9788964212134,10,좋은 책입니다
9791162243664,10,"머신러닝, 딥러닝 입문, 기본서 3권 정도 봤는데 이 책이 최고입니다!! 설명 자체도 쉽게 이해되게 썼지만, 여러 새로운 개념을 소개하는 순서가 어느 책보다도 체계적이라 초보자가 헷갈리지 않고 머리 속에 개념을 그리며 따라갈 수 있습니다. 정말 강력 추천합니다!! 저자님께 감사를 표합니다!!"
9791162243664,10,책의 내용이 충실하고 저자분께서 줌으로 무료강의를 해주고 계셔서.. 책값에 비해 많이 누리는 것같아서 평 잘 안쓰는데 남겨봄.
9791156643043,8,"심도있는 전문지식까지 다루고 있어 비전공자에겐 다소 어려울 수 있다. 내용 구성, 순서가 좋고 해당 분야에 대해 깊이 다룬다는 점이 이 책의 장점이라고 생각한다. 다만, 다른 IT COOKBOOK과 마찬가지로 연습문제 답안이 없는 점이 너무 아쉽다."
9788960552890,8,누가 이 책이 좋아서 봅니까? 보라고 하니깐 보죠 ㅠㅠ
9788960552890,10,책이 많이 두꺼워요. 분철하는게 좋을듯.
9788998756314,2,상식적으로.. 문제를 제시하면 최소한 답이라도 있어야 하는데.. 그것도 없네요..책에 없어서 출판사 자료실까지 뒤졌는데도 없네요.개인적으로 공부하실 분들은 이 책은 거르고 사시는게 나을거 같네요.
9788998756314,2,새 책이 25000원인데 중고사이트에도 25000원에 팔다니 뭐죠?..좀 더 싸게 구입하고싶은데 어디서 구매해야 돠죠?
9788998756314,8,컴퓨터에 대해서 공부하려고 샀는데 열심히 공부할게요~~
9791156644590,10,책 설명과 예제가 친절해서 좋습니다. 단점이라면 대학교재용으로 나와서 연습문제답은 안 주어집니다. 전 독학용으로 사서 문제는 안풀었는데 사기 전 참고하시기 바랍니다.
9791156644354,8,마이크로소프트 sql 서버 두 권짜리보다 나음
