ISBN13,rating,review
9788970509570,10,진짜 괜찮은 책. 완전 입문자나 생기초에게는 어려울 수 있지만 c를 몇 번 해본 분들에게는 개념 잘 잡아주고 예제도 명확한 편. 예제를 스스로 이해할 능력이 없는 초급자에게는 힘들 수 있음 근데 타 언어 알고 씨 하는 사람들에게는 추천
9788970509570,2,다른 거 사시는 게 좋습니다.
9788970509570,2,"사지 마세요. 오탈자도 엄청 많고, 연습문제도 지엽적, 비실용적입니다. 차라리 열혈이 낫습니다."
9791156644668,10,"파이썬 입문서로 매우 훌륭하다. 친절한 해설과 쉬운 설명이 돋보인다. 난이도 역시 적절하다. GUI 부분 tkinter.Listbox, text, scrolledtext 부분은 미흡하다. grid() 역시 외면당하고 있다. DB 부분도 보강되어야 한다. MySQL/MariaDB도 포함되어야 한다. PyAudio, PyGame도 제외되면 안 된다."
9791156644668,2,아무리 대학강의용 교재라지만 시중판매를 한다면 독학하는 사람들을 위해 연습문제 해답은 제공해야하는거 아닙니까?
9788970508931,8,다좋은데 연습문제 해설지가 있었으면 좋겠음.....왜 안만들었는지 모르겠네요 설명은 입문자를 위한다고 하는데 왜 문제 해설은...... 근데 설명은 잘 되어있네요 입문자가 보기에 좋습니다 해설지 줘요ㅠ 책을 좀 보다보니 부분부분 설명이 아쉬운 부분들이 있어요..그래도 나름 괜찮은것 같습니다
9788970508931,10,이 책 정말 쉽고 재밌습니다. 아이들이 봐도 좋을 것 같네요.
9788970508931,10,파이썬으로 처음 코딩에 입문하는 이에게 적극 권하고 싶은 책입니다. 구체적으로 어떤 걸 만들건지 목표를 먼저 알려주고 나서 코딩을 가르치는 식으로 되어 있는 것이 큰 장점입니다.
9788970508931,10,수업교재라서 주문했어요:)
9788970509471,6,잘 설명되어 있으나 개념 예시가 과격하고 시대 착오적이라 문제될 만한 것들이 많아 바꿨으면 좋겠다.
9788970509433,10,객관적으로 이 책 정말 좋은 c   입문서입니다.정말 고퀄리티로 만들어졌고 컬러인쇄이라서 공부효율이 매우 높습니다.필자와 편집자가 엄청 공들인 것이 느껴집니다. - 대학생
9791162241882,8,하나도 모르고 시작했음에도 불구하고 쉽게 배웠다.
9791162241882,10,잘 봤어요 저는 복습할 겸 사서 금방 봤네요. 처음 프로그래밍 하시는 분들도 잘 따라갈 수 있을 것 같네요.
9791162241882,10,코딩은 처음접해보는데 쉽게 적혀있어 잘 따라가는중입니다!
9791162241882,10,유튜브에 있는 강의랑 같이 보면 더욱 도움되는 책. 입문서로 정말좋아요.
9791162241882,10,"처음 시작하는 초보자와 독학자를 위한 맞춤형 파이썬 입문서.7단계에 걸친 반복학습을 통해 이론과 실기의 두마리 토끼를 잡을수 있게 해주며,‘혼공‘하는 이들을 위한 학습사이트 지원 등의 배려가 돋보인다."
9791162241882,10,프로그래밍 언어를 처음 공부하는 나에게 알맞은 책. 가독성도 좋고 용어설명과 동영상강의까지 있어서 좋았어요. 처음엔 빌려서 보다가 결국 구입을 했네요. 혼자서 시작하기에 정말 좋았습니다!
9791162241882,10,코딩을 1도 모르는 사람에게 잘 갈고 다져 떠먹어준다 그냥 입만 벌리면 코딩의 세계를 맛볼 수 있다
9791162241882,10,공부는 혼자하는 것이지만 다양한 방식으로 함께하는 선생님도 충분하다.
9791162241882,10,"불가능하게만 보였던 파이썬 독학, 이 한 권으로 해낼 수 있습니다."
9791162241882,10,"‘나 혼자 사는‘ 시대. 혼술, 혼밥, 혼행을 넘어 이제는 ‘혼공파‘!"
9791162241882,10,혼자 공부해야 할 때 가장 어렵고 답답한 것은 시작을 어떤 책과 함께할지 입니다. 가르쳐주는 이가 없을 때 필요했던 내용을 꼼꼼하게 짚어주고 수록한 책은 많지 않습니다. 함께하며 도움받기 좋은 책입니다.
9791162241882,10,"우러러만 봤던 파이썬, 야, 너두 이 책 하나면 독학할 수 있어!"
9791162241882,10,파이썬 말로만 들어봤지 ? 궁금하시다구요 ? 저도 그래요 . 과연 파이썬이란 악마와 관계된것일까요 ? 클릭
9791162241882,10,저같은 기계치도 혼자서 공부하는데 전혀 어려움이 없을 정도로 설명이 너무너무 잘 되어있습니다. 파이썬 입문자의 마음을 파악하고 써주셔서 감사해요. 파이썬 초보님들에게 적극 추천합니다.
9791162241882,10,파이썬 기초이용자에게 하나부터 차근차근 알려주는 초보자를 위한 파이썬 지침서. 또한 저자의 유투브 강의를 통한 파이썬을 쉽고 이해할 수 있어 초보 파이썬 유저에게 매우 유용한 도서이다.
9791162241882,8,"이제는 제 2외국어가 아닌 프로그래밍 언어가 필요하다는 걸 코로나 이후로 더 절실히 느끼고 있는 1인으로 파이썬 기초를 이 책으로 시작하게 되었는데요, 쉬운 설명과 함께 동영상도 볼 수 있어서 시작하기 편해요"
9791162241882,2,같은 출판사인 한빛 미디어의 혼자 공부 하는 C 언어를 보고 만족하여 같은 혼자 공부하는 시리즈인 이 책을 사게 되었다.전체적인 평으로는 개념설명이 크게 부실함.혼자 공부하는 C언어의 저자인 서현우 저자분과 비교됨.이 책을 입문서로 쓸 경우 다른 책을 한권더 병행해서 보는것을 추천함
9791162241882,10,"제목 그대로, 혼자 파이썬 공부하기 딱인 책. 책 설명도 괜찮고 이해를 도와주는 강의나 예제소스도 잘 구현되어 있어서, 파이썬 첫 스타트를 시작하기에 아주 제격이라고 생각한다."
9791162241882,10,"IT전문 기술서는 입문자나 초보자에게는 초반 몇 장에만 흔적이 남고 나머지는 깨끗한 상태가 되기 쉬운데, 이 책은 단계와 구간마다 고비들과 어려움을 넘고 나아가서 혼자서 완독, 완공할 수 있어서 좋네요."
9791162241882,10,"윤인성님의 책은 늘 입문자와 초보자의 관점에서 많은 도움이 된다. 상세하고 친절한 설명, 그리고 하나하나씩 세세하게 알려주는 과정은 타의 추종을 불허한다고 본다. 파이썬의 입문서이자 초급 서적으로 최고다."
9791162241882,10,파이썬을 처음 접하는 분들에게 추천하는 도서입니다. 핵심 키워드가 따로 정리되어 있어서 잊었던 내용들을 상기시키기 편리했습니다. 몇몇 문제들의 난이도가 높았지만 초보자에게 크게 어렵지 않은 정도입니다
9791162241882,10,무엇보다도 여러가지 타입을 혼용해서 쓸 수 있는 점이 신기하고 반복문과 만나면 파워풀 해지는 자료형과 리스트가 내포가 되어있어 유용하게 읽었다
9791162241882,10,코딩에 대해 관심은 많지만 따로 학원을 다니기는 싫으신 분들은 이 책으로 하시면 좋을것같습니다. 설명 후 직접 코딩을 해보는 과정으로 초보자들도 쉽게 할 수 있을 듯한 책이였습니다.
9791162241882,10,"가장 좋은 교재는 어려움을 겪을 수 있는 것들을 미리 짚어주고, 복잡한 것을 단순화 시켜주고, 비슷한 것들을 비교에 줌으로써 스스로 설 수 있게 만드는 궁극적 목표를 달성하도록 하는 것이다."
9791162241882,10,"혼자서도 학습할 수 있도록 제시한 로드맵과 첫 입문시 생소한 용어들에 대한 자세한 설명과  예제들,  챕터 마지막에  핵심포인트 정리 및 복습할 수 있는 마무리문제까지~ 파이썬입문자의  나침반같은 책!"
9791162241882,10,좋았습니다 이 책 추천합니다
9791162241882,10,공부는 혼자 하는것이라지만 어떻게 해야 하는지 잘 알지 못합니다이책에서는 혼자 공부하는 방법을 알려주는 책으로 특히 독학 공부생이라면 참고해볼 책입니다
9791162241882,10,"컴퓨터용 언어가 몇 가지 있는데, 그 중 하나가 파이썬이다. 컴퓨터 비전공자이다 보니, 이러한 언어를 이해함에 있어 어려움이 많은 편인데, 이렇게 혼자서도 익혀나갈 수 있게끔 하는 책의 존재 자체가 감사하다."
9791162241882,10,"어디서부터 시작할지조차 모르는 프로그래밍 언어입문자를 위한 책이라는 생각이 듭니다.책 자체가 쉽기도 할 뿐더러 저자 직강 동영상, 학습사이트가 이해를 돕습니다.다만 함수 내용이 다소 적은게 아쉽습니다."
9791162241882,10,타사도서보다 충실한 내용이 기대됩니다
9791162241882,10,공부하는 시간은 누가 만들어주는 것이 아니라 결국 자기와의 싸움인 것을 모두가 알고 있을 것입니다.혼자와의 싸움에서 많은 유혹을 이기고 공부하려는 자세가 필요한 듯 합니다
9791162241882,6,분명 어제까지는 이해했던 건데 오늘 다시 보니 모르겠어서 억울하고 답답할 때 펼쳐보면 좋을 책!
9791162241882,10,파이썬을 첫시작하려는 개발자입니다.초보로 돌아가 새로 공부하려면 어디서부터 시작할지 막막합니다.시중책들은 입문이라면서 무시무시한 분량에 읽기 싫어지는데 조금씩 학습분량까지 추천하는 책이니 기대됩니다
9791162241882,8,혼자 공부하는데 적절한 구성이네요.
9791162241882,10,"파이썬같이 이런 만능의... 다재다능한 언어에 대해서는 Fun하고, Cool해야 되죠. 당신도 Sexy하게 이 책으로 공부해야 할겁니다."
9791162241882,10,이건 뭐지? 같은 궁금증이 생기면 그에 대한 답도 책 어딘가에 있어서 좋습니다
9791162241882,10,힘들지만 혼자서 해내야하는 이유
9791162241882,10,파이썬이라고 하면 햇볕에 파이를 쬐면 파이썬이라는 드립밖에 몰랐던 제가 이걸 읽고 파이썬이 뭔지 알게 되었습니다.혼자 공부할 때 이것만큼 유용한 교과서가 또 없을 것 같네요!
9791162241882,10,파이썬은 비교적 쉬운 기초 컴퓨터 알고리즘 언어로써 최근 널리 주목받고 있다. 또한 빅데이터 머신러닝 분석에 있어서 널리 활용되고 있어서 많은 사람들이 관심을 가지고 이에 관련 서적들이 많이 출간되고 있다.
