ISBN13,rating,review
9788928326600,10,단계별로 풀어나가면서 수학의 자신감을 얻을 수 있어 좋았어요. 쎈연산과 함께요.
9788926159231,10,수학이 중요한 5학년... 연산으로  기본을 잘다지기위해  선택했어요.  기초부터  차근차근 알려줘서 원리를  이해하게끔하는  연산서입니다
9791125959274,2,금요일오후12시57분에 주문 완료했는데 현제까지도 안오고있음. 지금은 월요일 오후1시반.이게어찌 하루 배송인가
9788926159705,10,고학년이 될수록 시간은 부족하고 과목은 많아서고민인데 통합본은 요점 정리도 잘되어 있고 양도 적당해서 3학년부터 계속 이용중입니다.
9788926158975,10,예습복습으로 딱좋아요~~기본과정 예습하고 심화로복습해요!!
9788926158975,10,최상위로  가기위해 한번더  풀고갑니다..  기본개념도  잘알려주고  응용문제도  잘되있어  아이 혼자 스스로  풀기에  딱좋아요.. 지루하지도 않게 풀었답니다
9788926158975,10,기본응용이라 개념서와 응용이 합해진 적절한 문제집인것 같아요.어느부분이 부족하지 않아 맞춤학습플랜으로 적절하네요.아이가 스스로 할수 있게 스케쥴표도 되어 있어 좋은것 같아요^^
9788926158975,10,"아이가 도움없이 혼자 공부할수 있는 문제집, 기본, 응용문제가 골고루 들어있어서 신학기 준비하기에 좋아요.문제수도 적당하고 풀이공간도 넉넉해서 선택한문제집인데 적극 추천합니다~"
9788926158975,10,디딤돌기본 유형5-14학년 아이 예습용으로 사용중이예요. 기본과 유형을 탄탄하게  잡을 수있어서 마음에 들어요. 문제가 난이도 별로 골고루 접하고 넘어갈수 있어서 부족한 부분은 체크해두고 다시 한번 풀어보게 하는중이예요. 기본을 많이 풀리기 보단 많은 유형접하기에 좋아요.
9788926158975,10,아주 크게 어렵지 않고 기본에 충실한 문제집이라 매학기 시작을 기본 응용으로 하고 있습니다.기본 개념문제와 응용문제의 양이 적당하다 생각되요. 여기에 연산을 추가 하면 딱 교과 수학은 그걸로 완성되는 느낌입니다. 디딤돌 수학문제집 자체가 여러 단계로 나뉘어 있어서 연결해 나가기 좋아요.
9788954756204,10,굿입니다~~
9788954756204,8,굿굿~
9788954756204,10,요즘 같은 코로나 시대애 아이들에게 필요한 기본서이지요
9788954756204,10,굿입니다
9788954756204,10,굿
9788928326716,10,신사고 쎈연산! 믿고풀고있는 연산이지요~ 1학년때부터 5학년이 되는 지금까지 쭈욱 풀고있어요!! 교과서에 맞는 연산이라 많이 도움받고있고 매일 꾸준히 풀기에 좋아요!하루 푸는 연산량도 적당해서 좋아요. 덕분에 연산 느리던 아이의 실력이 많이 늘었어요. 수답쎈이다~ 맞는 말이예용!!
9788928326716,10,"매일매일 질리지 않게 적당한 분량으로 구성되어 있어, 아이 혼자 꾸준히 할수 있는것 같아요.수학의 기초인 연산을 매일매일 쌓는단 느낌으로 하기에 딱맞는 학습지 인것 같아 적극 추천합니다!"
9788928326716,10,"예비 초4학년이고 수학을 좋아하는 아이3, 4학년 연산도 쎈연산으로 했기에 5학년 과정을 선행하는중이라 5학년용 쎈연산이 마침 기분좋게 당첨이 되었네요2021년도 학교수업이 어떻게 될지 불안하지만5학년 1학기 과정도 매일매일 꾸준하게 연산을 하게 됨으로써 실력도 향상되고 즐겁게 공부할수 있을것 같네요​"
9788928326716,8,괜찮은 것 같아요. 쎈수학보다 연산을 사서 매일 조금씩 숙제처럼 하고 있어요.
9791162720448,10,"집에서 매일 조금씩 읽고 풀게 하고 있는데, 아이가 큰부담없이 해나갈수 있어 좋네요. 이런류의 자습용 독해교재가 많아서 가정학습용으로 활용할 수 있어 좋네요."
9791129703996,10,초1 아들이 형아 따라 역사탐방을 몇번 다니더니 한국사에 관심을 많이 갖더라구요. 통사를 많이 궁금해해서 한국사 독해문제집을 이걸로 사줬는데 아이가 재미있다고 하루에 2~3 꼭지씩 풀어나가네요^^ 금방 1권 다 풀고 2권 풀려구요. 동기부여도 확실히 되고 참 좋아요^^
9791129703996,10,하루15분 꾸준히 공부할 수 있어 아이 집중력에도 도움이 되네요~
9791129703996,10,1일 1독 매일 아이가 10분식 꾸준히 할 수 있어 좋은 것 같아요계속 이어서 해보려고 해요
9791129703996,8,역사책 보기 전에 간단하게 한번 쭈욱 보고 핵심내용 파악하라고 구입했습니다우선 1권 구입 했는데 나머지도 구입 하려고 합니다
9791129703996,10,지루하지 않게 그리고 질리지않게 하루 딱 할 수있는 분량만큼만 학습할 수 있게 구성된 메가스터디 초등 독해 시리즈 한국사 1일 1독해! 핵심만 쏙쏙! 이해하기 쉽게 한국사를 체계적으로 학습할 수 있는 환경을 조성해 주는 교재라 엄마마음에 쏟 듭니다.
9791129703996,10,공부 습관 부담 없이 잡기 최적화예요
9791129703996,10,단계별로 되어 있어서 아이 수준에 맞게 선택할 수 있고 독해력과 역사지식 학습습관까지 기를 수 있어서 마음에 들어요 아이가 쉽고 재미있다고 금방 한권 풀어버리네요^^ 완전 만족!!
9791129703996,10,너무좋아요.1일1독해시리즈3단계까지 모두 사서 풀리고 있는데..한국사도 너무 마음에 드네요~^^초2라 한국사책 조금씩 읽히고 있는데 간단하게 확인도 되고 엄마로썬 대만족입니다.
9788954747141,10,"5학년 올라가는 아이 겨울방학 때 동영상 강의랑 같이 보라고 구매했습니다. 사회나 역사를 어려워하는 아이인데, 재미있고 쉽게 시작하니 거부감이 덜하지 않을까 기대합니다. 동영상이 제공되니 연계해서 분량에 맞게 활동북까지 해나가고 있습니다. 사실 이걸 쓰는 지금 1권은 스스로 다 했어요."
