ISBN13,rating,review
9788928326716,10,신사고 쎈연산! 믿고풀고있는 연산이지요~ 1학년때부터 5학년이 되는 지금까지 쭈욱 풀고있어요!! 교과서에 맞는 연산이라 많이 도움받고있고 매일 꾸준히 풀기에 좋아요!하루 푸는 연산량도 적당해서 좋아요. 덕분에 연산 느리던 아이의 실력이 많이 늘었어요. 수답쎈이다~ 맞는 말이예용!!
9788928326716,10,"매일매일 질리지 않게 적당한 분량으로 구성되어 있어, 아이 혼자 꾸준히 할수 있는것 같아요.수학의 기초인 연산을 매일매일 쌓는단 느낌으로 하기에 딱맞는 학습지 인것 같아 적극 추천합니다!"
9788928326716,10,"예비 초4학년이고 수학을 좋아하는 아이3, 4학년 연산도 쎈연산으로 했기에 5학년 과정을 선행하는중이라 5학년용 쎈연산이 마침 기분좋게 당첨이 되었네요2021년도 학교수업이 어떻게 될지 불안하지만5학년 1학기 과정도 매일매일 꾸준하게 연산을 하게 됨으로써 실력도 향상되고 즐겁게 공부할수 있을것 같네요​"
9788928326716,8,괜찮은 것 같아요. 쎈수학보다 연산을 사서 매일 조금씩 숙제처럼 하고 있어요.
9788928323364,10,그동안 연산을 따로하진 않았는데 4학년부터는 해야할것같아 시작했어요. 두 페이지가 하루치씩 되어있어 부담없이 할수있어 좋아요. 어렵지 않아 방학동안 다 끝내는 것을 목표로 하기도 좋네요~~
9788928323364,10,매학년 매학기 쎈으로 공부하고 있어요~특히 쎈 개념을 토대로 쎈연산 꾸준히 풀리니 아이가 계산도 척척 해내는게 안하면 안되겠더라구요~문제집 구성이나 난이도가 좋아요^^
9788928323364,10,"수학 문제집 하나만으로는 부족한 느낌인데, 연산수학이 있으니 채워지네요."
9788962226881,10,항상 쓰던 연산책 빠른배송 잘 받았습니다
9788962226881,10,대한민국 넘버원 연산 기적의 계산법 7살때부터 쭉 꾸준히 시켰더니 이제는 수학은 걱정 안합니다. 너무나 재밌게 스스로 열심히 잘하는지요. 7살때부터 초등3학년이 된 지금까지 나이만큼이나 초등수학 실력도 쑥쑥 컸답니다. 앞으로 연산은 기적의 계산법으로!!
9788962226874,10,"반복해서 가르치는 수학, 주입식 교육용 수학책입니다."
9788962226874,8,아이가 열심히 풀고 있네요만족합니다
9788962226874,10,이제 2학년에 올라가니 미리 풀어보면 좋을 것 같네요 기적의 계산법 좋아요 재밋게 문제풀이 할수 있고 흥미도 잃지 않게 해주는 것 같아요
9788962226874,10,"원리를 이해하면서 즐길 수 있게 되어있고, 반복 연산이 지루하지 않아서 아이가 열심히 풀어내니 좋네요"
9788962226874,10,"아직도 초등연산 무조건 많이 풀려야 좋다, 무조건 빨리 풀어야 좋다고 생각하는 초등맘들에게 발상의 전환을 주는 초등연산문제집이라서 추천해요"
9788962226874,10,계산하는 게 익숙해지고 재밌어요.
9788928323357,10,"저희아이가 직접 활용해보니,​자신없던 가로셈이나, 인강을 잘 안들을려고 했었는데 요번에 무료 인강을 접하고 개념잡기에 들어가서 좋았어요​특히나 문제를 읽어보지 않고 마구잡이로 풀다보니 실수가 잦아 문제의 요점을 모르고 풀 때가 많았는데​확실히 한 문제도 꼼꼼하게 읽고 풀어요"
9788928323357,10,매일 해야하는 연산..너무지겨워하는 아이..쎈연산은 그렇게 문제가 많지도 작지도 않게 적당히..연산문제집이지만 개념 QR동영상에..교과서 연계 문제 까지..지루하지 않게 매일 한장씩 스스로 잘 하네요
9788928323357,10,하루 두바닥으로 공부양이 적당하고실력향상에 도움이 됩니다.공부하는 학생이 흥미를 가질 수 있도록배운 내용부터 순서가 시작됩니다.아이가 스트레스받지않고 즐겁게 공부합니다.
9788928323357,10,하루에 2장씩 풀면 아주 좋은 교재입니다. 문제를 풀고 나서 설명하기 쉽고 이해하기 좋은 로직으로 구성되어 있습니다.
9788962226867,10,2학년인데 복습용으로 구입했어요 수학은 기초가 참 중요하네요
9788962226867,10,단순반복 수학교재입니다. 구몬수학스타일
9788962226867,10,복습용으로 구매했어요 아이가 기적의 계산법을 너무 재미있어 해서 문제풀이를 반복합니다 복습하면 더 좋을 것 같아 구매했어요~
9788962226867,10,예비초등 아이를 위해 연산학습을 조금씩 해볼까해서 구입한 책입니다.어떤책에서 보고 기적의 계산법이라는것을 알게되었는데 아직 풀기전이지만 얼핏 둘러보니 연산학습은 확실히 될것같습니다.
9788962226867,10,우리집 6세 아주 잘보고 있는 책입니다. 인정. 일단 덧셈과 뺄셈은 기적의 계산법으로 땟어요. 앞으로 갈길이 멀지만.. 기적의 계산법과 함께 하려고해요!
9788962226867,10,믿고 보는 기적의 계산법!!역시 연산하면 기적의 계산법입니다.일단 초등1학년이라서 그런지 1권은 너무 너무 쉽고 재미있다고 계속 더 풀려고 하네요^^
9788962226867,10,기적의계산법을 하면서 점점 속도가 나는것을 학력진단표를 체크하면서 확인할 수 있고 부족한 부분을 체크하면서 집중할 수 있어 좋았어요~
9791189719579,8,분수 개념 잡으려 구입했어요 문제집처럼 딱딱하지 않고 컬러풀 해서 아이가 잘풀어요
