ISBN13,rating,review
9788954755894,10,가성비면에서나 여러가지로 좋은 듯 해요. 책도 짜임새 있는 편입니다. 추천드려요.
9788974577575,10,정말 well made 문법 교재입니다.강의와 함께  한다면 최고의 효과 일듯 합니다.^^
9788974577575,10,아이가 자신감 생길 수 있게 쉽게 시작했어요. 지금껏 사용하던 어휘가 왜 그랬는지 알아가는 재미가 있나봐요.더 열심히 하면서 단계 올려가야죠~
9788974577575,10,문법 시작전에 방학을 이용한 엄마표노출로 활용하고 있어요!! 동영상도 있어서 어렵지 않게 노출하기 좋은 교재네요
9788974577575,10,겨울방학동안 아이와 함께 어렵지 않게 문법을 공부하기에 적합한 책인것 같아요.
9788974577575,10,영문법을 처음 접하는 아들에게 많은 도움을 줄 교재인것 같네요. 쉽고 재미나게 영문법을 시작해볼수 있겠어요.
9788974577575,10,"겨울방학, 문법을 차근차근 해주고 싶은데 이 만한 교재가 없을거 같아요. 기대만땅입니다^^"
9788974577575,8,초등학교 5학년인데 문법 개념이 아직 없어서 집에서 슬슬 풀리려고 샀어요. 5학년에게는 난이도가 좀 쉽긴 한데 기초 다진다고 생각하고 빠르게 진행해보려합니다.
9788974577575,10,문법공부 시작 좋아요
9788954746274,8,"기초가 없는 아이들이 보기에는 어려워요.. 하지만, 기초가 튼튼하고 좀더 영어 문법에 대한 개념을 확실히 하고 싶은 친구들한테는 좋습니다. EBS 강의는 보너스구요."
9788954746274,10,6학년 ebs초등 강의중에 문법을 처음 접하는 아들에게 주려고 샀습니다.  근데 살짝 어려운 듯하여 엄마인 제가 듣고 있습니다.  너무 쉽게 귀에 쏙쏙들어옵니다.  문법의 아주 기초 강의를 듣고 나서 한단계 업그레이드하여 아이가 들으면 좋을 것 같습니다.
9788954746274,6,괜찮은듯
9788928330898,10,4학년되는 영어무식자가 했습니다A단계는 3학년 수준이지만 영어를 모르기때문에 그냥 햏어요카톡 친구들이 나와서 재미있게 공부를 할 수 있어서 좋아요아이도 거부감없이 재미나게 매일 공부합니다영어를 처음 시작하는 아이에게 딱이에요추천합니다~
9788928330898,10,영어공부 기초 할려구 샀어요
9791195495092,6,3~4학년용이지만 영어 레벨이 낮은 아이들에겐 부적합. 영어를 어느정도 잘하는 중상이상 레벨 아이들에게 적합한듯. 단어가 제법 어려운 것들이 많음.
9791195495092,10,"영어를 시작할때 영어단어가 무엇보다 중요하잖아요. 그런데 경선식 초등 3,4는 해마암기법을 통해서 보다 쉽게 영어단어와 뜻을 접목시킬 수 있어서, 아이가 부담스러워 하지 않는거 같더라구요. 저도 같이 공부중입니다."
9791195495092,10,다시 복습 시킬려고 재구매했습니다.우리 딸이 기존의 책을 사용하기 싫다고 해서 새 책으로 다시 구매 합니다.  공부한다고 하는데 사줘야지요...ㅎㅎㅎ 암요 열 번이라도...
9791195495092,2,200몇십 페이지 부터 그림이 비는곳이 있는데그림으로 구현을 못해서 그림이 없는 부분이 있다는답변을 알리딘 측으로부터 받았습니다사실이라면 문제집 취지에 맞지않는것 같은데요알고 구매하셔야 할것같아요저는 반품했습니다
9791195495092,10,"3,5학년인데 매일 매일 잘 봅니다."
9791195495092,10,단어 외우는데 집중도 잘하고 쉽게 암기가 되는거 같아 좋아요
9791195495092,10,아이가 영어학원을 싫어해서 첫교재로 구매했습니다. 샘플강의를 재미있어해서 강의도 구매합니다.
9791195495092,10,별5개 입니다. 완전 강추합니다! 조카 겨울방학 때 영어 공부할려고 샘플 강의 1강 보여주었는 데 집중도 잘하고 암기도 너무 잘하게 되어서 기쁜 마음으로 교재 급하게 주문하였습니다. 초등학생들에게 영어 흥미를 줄려면 이 교재부터 시작하면서 강의 경선식 선생님꺼 들으면 완전 좋은거 같아요~
9791195495092,10,재밌는 단어장 찾다가 알게되었어요.아들이 3학년인데 재밌다고 해요.제가 봐도 재밌고 오래 기억되네요.4학년되기 전에 한권 마스터 하려구요.온라인 강의도 있어서 12월부터 방학동안 강의도 수강하면서재밌게 영어학습 할것같아요~^^
9791195495092,8,상황과 연관지어 영어 단어를 외우니 기억이 더 잘 남는거 같네요. 참 재미있게 단어장을 만든것 같아요.
9791195495092,10,재미있게 잘보네요
9791189902001,10,영단어 암기에 부담을 많이 갖던 아이였는데 재미있고 즐겁다고 합니다.  이제 중학으로 넘어갑니다.^^
9791189902001,4,아이 영단어 공부시키려고 샀는데 억지스러운 표현이 많아 오히려 방해되는 부분도 있어요.비추합니다.
9791189902001,10,단어암기하기 훨신 편해졌습니다.
9791189902001,10,재미있게 오래남는 단어외우기학습될거 같아요..강의도 신청했다 게으름에 못했지만 앞으로 열심히 하려구요
