ISBN13,rating,review
9788954745024,10,EBS 강의가 맘에 들어 구매합니다.
9788954745000,8,동영상 강의를 듣고 맘에 들어 구매하였는데 좋은것같아요~~
9788954745000,10,동생이 중 1이라 주문해줬어요~:)
9788954745048,10,겨울방학 ebs중학 뉴런으로 자기주도학습 습관 잡아주려고 노력중입니다. 인강 구성도 좋고 교재 구성도 너무 좋아요. 한 강의 들을때 마다 한땀 한땀 배경 지식을 채워간다고 생각하고 멍때리지 말고 집중해서 우리 아이가 인강을 완료했으면 좋겠어요.
9788954745017,10,잘보고공부합니다이해안되면 다시보고 풀이가 잘되어있습니다 학원가지않아도 충분이 이해가되네요  여러번 반복되고 강사님도 넘 잘가르쳐요
9788954745017,10,온라인 강의로 두번 완강하고 복습 겸 테스트를 위해 주문합니다. EBS 시리즈 매우 만족합니다.
9788954745017,10,동생이 중 1이라 주문해줬어요~:)
9788954747240,10,교재 구성은 좋은데 아이가 잘할수 있을지가 걱정이네요 성실히 해야 좋을텐뎈ㅋㅋ책구성은 좋습니다.만족합니다
9788954750875,10,중학교 들어가는 딸아이를 위한 어휘가 독해다.아무래도 읽기 능력은 어휘력에 따라 달라지는것같다.다양한 어휘를 만나볼 수 있어서 좋다.무료로 제공되는 강의와 함께 하니 더욱도 이해하기도 쉽다
9788954747264,10,아직 풀지는 않았지만 뉴런 일학년껏도 해봐서 이번에도 좋을거같아요 그리고 알라딘 쿠폰 덕분에 더 싸게 샀어요 감사합니다
9788954747264,10,ebs뉴런수학2 손석민선생님 강의를 들으면서 교재를 푸니까 문제긴 술술 풀리는 기분이다. 역시 ebs뉴런수학 짱이다학원에 가지 않고도 집에서 하루 40분만 투자하면 인생이 달라질것같다
9788954747264,10,아이가 선택한 것이라 기대 만땅입니다~
9788954747257,10,기대한 만큼이에요!! 책 내용도 좋은데 인강도 무료로 들을수 있고... 책 잘 쓸게요!
9788954747257,10,기대되는 책입니다~ 아이가 선택한 책인 만큼 아이에게 도움 되면 좋겠어요~
9788954745031,8,ebs 인강을 들으면서 혼자서 스스로 예습할 수 있는 교재 입니다.  선행학습용으로도 좋습니다.
9788954746274,8,"기초가 없는 아이들이 보기에는 어려워요.. 하지만, 기초가 튼튼하고 좀더 영어 문법에 대한 개념을 확실히 하고 싶은 친구들한테는 좋습니다. EBS 강의는 보너스구요."
9788954746274,10,6학년 ebs초등 강의중에 문법을 처음 접하는 아들에게 주려고 샀습니다.  근데 살짝 어려운 듯하여 엄마인 제가 듣고 있습니다.  너무 쉽게 귀에 쏙쏙들어옵니다.  문법의 아주 기초 강의를 듣고 나서 한단계 업그레이드하여 아이가 들으면 좋을 것 같습니다.
9788954746274,6,괜찮은듯
9788954744980,10,매일 두 쪽씩  꾸준히 풀고 있어요.무료강의도 들을 수 있고 무엇보다 문제구성이 좋아서 적극 추천합니다~
9788954743075,10,학원 선생님께서 선택 교재로  구입하였습니다.잘 사용하겠습니다  감사합니다.
9788954735049,10,초등학생인데 중학교 대비해서 하고 있어요. 회화 내용이라 재밌어하고 또 회화에 많은 도움이 되는거 같아요
9788954735049,6,듣기 뿐 아니라 이 한권으로 스피킹과 문법도 조금 나갈 수 있어서어 좋았습니다.
9788954735049,10,듣기평가 교재로써 아주 훌륭합니다. 특히 ebs중학과 연계해서 설명을 들을 수 있어서 더 좋구요. 자기주도적 학습에 만점입니다!
9788954735049,10,영어 듣기 훈련뿐 아니라 생활에 바로 쓸수 있는 표현들이 주옥 같더군요~ 만족해요~
9788954747271,10,"뉴런 수학2 상, 하를 같이 사고 싶어해서 주문해 줍니다. 아이가 선택한 만큼 도움되길 바랍니다."
9788954746281,10,정승익 그래머코치의 기초편을 듣고 이어서 들으려고 샀습니다.  6학년 아들에게 듣게하려고 샀는데 엄마인 제가 들어도 너무 좋아서 제가 듣고 있습니다.
9788954746281,8,학원 도움을 받지 않고 힘들지만 묵묵하게 영어 공부를 해가려는 고1 아들에게좀 더 힘이 되주고 싶어서 ebs강의를 둘러본 후 적당한 선생님 강의를 수강신청 한 후아들에게 선물?해 주었습니다~기본 수준부터 시작해서 자신감을 얻을 수 있기를 바라봅니다~
9788954737647,8,재미있는 강의에 즐겁게 영문법을 시작합니다. 강의 도중 광고가 많은 점은 별로...
9788954737647,8,영어 기초가 없는 중학생들이 공부하고 있습니다. 칼라풀하고 글씨도 크며 공부하기에 좋으네요!!!
9788954737647,10,"부담없이 영어 문법을 제대로 공부할 수 있는 적합한 책이라고 생각해요. 1,2권 모두 구입했습니다."
9788954737647,8,EBS의 좋은 점은 동영상 강의를 함께 할 수 있다는 것이지요. 하지만 동영상 업데이트가 느린 단점도..있어서
9788954737647,10,처음 영문법을 시작하기 좋은 교재입니다. 강의도 쉽고 자세하게 되어있어 아이도 진도를 따라가기 좋다고 합니다.  중학교 입학전 기초를 탄탄하게 다지기에 더 없이 좋은 교재인것 같습니다.
9788954737647,10,초등학교 과정에서 처음 문법을 접하는 학생에게 없어서는 안될 문법서입니다.강력 추천합니다.
9788954737654,10,문법을 많이 어려워해서 기초부터 공부하려고 하는데 이 책이 제격이라고 생각합니다. 열심히 공부하겠습니다.
9788954737654,8,초등학교 5학년 아이의 영어 교육을 위해 구매하였습니다.EBS 기초영문법1권을 잘 마무리 하여 2권을 구매하였습니다.아이가 잘 따라가 줄 것을 기대합니다.
9788954743280,2,너무얇아요ㅠㅠ정말그냥훑어보기좋은책이네요ㅠㅠ생각없이샀다가~~ㅠㅠ
9788954751100,10,우리아이가 문제가 체계적으로 잘 나와있고 교과연계도 잘 되어 있다며 좋아합니다~~^^
9788954747110,10,초등 고학년 리딩 교재로 가장 기본적인것으로 샀어요.이비에스 강의도 함께 들으려고 강의 교재로 구매했어요
