ISBN13,rating,review
9788954750875,10,중학교 들어가는 딸아이를 위한 어휘가 독해다.아무래도 읽기 능력은 어휘력에 따라 달라지는것같다.다양한 어휘를 만나볼 수 있어서 좋다.무료로 제공되는 강의와 함께 하니 더욱도 이해하기도 쉽다
9788963915067,10,중등 논술을 준비하기 위해 구입했는데 내용이 알차고 좋네요.
9788963915067,10,중학교 학생들이 논술에 대해 재미있게 공부할 수 있는 책.
9788963915067,10,"논술 교재는 참 어렵다. 너무 많은  것을 다루거나, 너무 자료가 없거나, 너무 산만하거나, 너무 단순하다.논술 그 자체가 그렇다.논술은 그 자체가 세상의 모든 것을 포함하기 때문에 어디에서 어떻게 갈피를 잡아야 할지 난감할 때가 많다.상황이 이렇다 보니 논술 교재도 말만 논술 교재지,"
9788997524365,2,시간이늦어통화도 못하고 기분 나빠미치겠네요책주문하고 이런경우도 있네요 목요일까지 다시보내주세요 금요일사용해야 됩니다 교재용으로 사용할거라  2권 추가주문했는데 의심스럽네요어떻게 이럴수가 있나요 고객을 물로 보는것도 아니고
9788997524372,10,우리 사회의 최근 이슈 종합판이다. 각 주제별 이슈 전달에 그치지 않고 이슈에 대한 찬반 입장의 기사를 제시해 독자의 입체적 접근을 돕는다. 중등 수행평가와 토론 논술 대비용이지만 성인 상식의 지평을 넓히는 데도 충분한 퀄리티다. 이 책을 읽은 중학생과 논리로 맞짱 뜨면 성인도 쩔쩔 매겠다
9791196045418,6,이전 책에서 개념을 익히고 이 책을 통해 다양한 에제문제를 접하며 어떤문제가 나와도 하나씩 스스로 풀어나갈 수 있게되었습니다.
9791196045418,8,논술천재책을 보고 도움을 받아서 워크북도 구매했어요. 실제예제가 많아서 논술실력이 좋아졌어요.
9791196045401,8,논술에 대한 개념도 알고 기출문제도 풀고 연습하면서 짧은 시간 안에 효율적으로 생각하는 능력이 많이 향상되었습니다. 새로운 문제가 나와도 풀 수 있는 자신감이 생겼습니다.
9791196045401,10,학원을 다니기에는 어려움이 있어서 유튜브 강의를 보면서 이번 여름방학에는 이 책을 보면서 논술을 준비할려고 합니다.
9791196045401,8,강의를 보면서 논술 공부를 할 수 있어서 더 빨리 이해가 되고 내용이 머리 속에 잘 들어왔어요.기본 개념도 이해하고 글을 어떻게 써야 하는지도 알게 되었습니다. 유튜브에 다른 강의들도 있어서 많은 정보를 얻을 수 있어서 좋았습니다.
9788993972115,6,가장 추천하고 싶은 양서다
