ISBN13,rating,review
9788954743075,10,학원 선생님께서 선택 교재로  구입하였습니다.잘 사용하겠습니다  감사합니다.
9788968060830,10,기초 다지고 기본기 쌓기에 딱인것 같아요 굿
9788954743280,2,너무얇아요ㅠㅠ정말그냥훑어보기좋은책이네요ㅠㅠ생각없이샀다가~~ㅠㅠ
9788974579005,10,"많이 어렵지도 않고 주요문장들을 세세하게 다시한번 볼 수가 있어서 좋고,해설이 잘 되어있어서 독학하는데 이해하기도 쉬웠다.진짜진짜 좋은 문제집!"
9788954741545,10,"다른 어떤 수능과목보다 국어는 생각보다 쉽지 않습니다. 이유는 개념이 약해서입니다. 그 개념을 잡는데 도움을 주는 기초학습서가 국공따입니다. 기초부터 실력까지 향상시켜주는, 그러면서도 쉬운 예와 삽화를 곁들여 재미있게 공부할 수 있도록 도와주는 친구같은 책입니다."
9788968061837,10,"그동안 영어 단어만 알고 말하다가 완성된 문장으로 연습하니처음에는 힘들어 했지만, 패턴을 파악하고 나서는 너무 재밌어 하네요~"
9788968061837,10,"공통점을 가진 동사들을 묶어서 , 형식에 따른 문장의 구조를 제대로 익혀나가기서술형기초를 닦기에  딱 인것같은 EGU 문장형식 알맞은 답을 찾고 다음에는  빈칸을 채워 문장을 완성해나가는 단계별 문제라 더 좋았습니다"
9788968061837,10,서술형기초세우기시리즈로EGU문장형식은두번째이고EGU영단어&품사는첫번째이다.첫번째부터차근차근했으면좋았겠지만학원에서배우는문법이문장형식과함께품사를다루기때문에두번째EGU문장형식을선택했고책을받자마자탁월한선택이었다는생각이들었다.
9788968061820,10,품사에 대해 쉽게 설명되어 있어 아이와 영어공부하기 좋은 것 같아요^^그리고 영단어와 품사를 함께 학습할 수 있어 꾸준히 공부하면 더 좋을 것 같습니다아이들이 찾기놀이하듯 품사를 찾는 모습에 흐뭇하더라구요~생각보다 어려워하지 않고 즐겁게 품사를 잘 찾았답니다
9788968061820,10,영단어와 품사를 동시에 학습함으로써 문법에 쉽게 접근할 수 있도록 도와주고 서술형 기본기를 다지게 해 주는 문제집입니다.
9788968061820,10,영어공부는 정말 꾸준히 하는것이 답이더라구요.아이도 학습하면서 어려운점 없이 술술 풀이하면서 익혀진다고 하더라구요.그러면서 신이나서 공부를 하니 다행이더라구요.매일 또박또박 쓰고 익히는 문제집으로 좋아요.영단어와 품사유형의 문제풀이로 더욱 알차게 같이 공부할수 있었어요.
9791188808342,10,‘수포‘는 주로 산수에서 수학으로 넘어갈 때 시작된다.산수는 생활밀착형인데 반해 수학은 안드로메다 외계어로 느껴지기 때문.학교는 동기부여 없이 당연히 수학을 공부해야 하는 것으로 치고 무작정 주입한다.책은 왜 수학을 해야하는지 원숭이도 알아먹을만큼 쉽게 보여준다.충분하다.
9788928330461,8,여러 권을 따로 보지 않고 한 권이라서 좋습니다. 개념들을 사전식으로 찾아볼 수 있는 것도 좋고요. 각 개념에 대한 설명도 자세하고 여백도 적당히 있어서 메모 하기도 편합니다.개인차겠지만 저는 표지나 종이질 모두 만족합니다.
9788928330461,6,책을 문제집처럼 만들어놔서 좀 보다가 버리게끔 책표지가 허접합니다.종이질은 성경책 느낌남조심해서 안보면 책 금방 거덜날듯명색이 사전인데 가격 좀 더 올리고 양장본에 종이질 좀 높였으면 훨신 더 좋았을것같네요내용은 좋아여
9791170312055,10,"리딩싹 1,2 을 무난히 풀었을 정도의 실력을 갖춘 중학생들에게 수등모의고사 문제처럼 꾸며진 책을 찾고 있었는데, 이 책이 가장 좋을 것 같아요. 고1학력평가모의고사 기출문제가 실려 있어서 유형별 문제 풀이 요령도 익히고, 미리 예비고 선행도 할 수 있어서 좋습니다."
9791170312055,8,중학생이 고등 모의고사 준비 하는데 도움이 되는 책이에요. 모의고사 유형별 문제를 풀면서 함께 실려있는 기출 문제를 비교 분석하는 것도 좋을 것 같네요. 중학생을 대상으로 쉽게 접근한 것이 가장 맘에 들어요. 유형별 문제 풀이 방법도 자세히 분석해 놓아서 도움이 많이 될것 같아요. 강력 추천
9791162402658,10,3월 모고 대비를 위해서 풀기 좋은 것 같습니다.
9791164136100,10,이 책은 유형별로 나뉘어져 있는 것 뿐만 아니라 무엇보다도 끊어읽기 독해 연습을 할 수 있어서 그 점이 제일 마음에 듭니다. 공부하기 편하게 되어있어서 좋네요. 리딩바이트 시리즈 전체적으로 마음에 듭니다.
