ISBN13,rating,review
9788928326341,10,중학교 수학교재 중에서 많이 선택하는 책이죠~ 상위권으로 가는 길목에 있는 책입니다.
9791125948650,10,2021년 개정판인가요?
9791125948650,6,2020년판 맞나요?
9791162275276,2,2018개정버전이 있는데 (2021)이라 하시고 2009년 예전 버전을 파시네요 ㅠㅠ
9791162275276,10,공부 잘하고 있어요.
9788928326662,10,쎈 조앙용
9791162276242,10,딸  선행 학습 하려고 구입합니다~ 단원별로 교과 내용이 정리되어 있고 쏙쏙용어 미니북에  교과서에 나오는 주요 용어들이 잘 설명되어 있어서 유용한거 같고 실력 쌓기 문제와 서술형 문제  단원 마무리   시험 대비 문제와   마무리 문제까지 다양하게 구성되어 있어서 좋은것 같아요~
9788954747240,10,교재 구성은 좋은데 아이가 잘할수 있을지가 걱정이네요 성실히 해야 좋을텐뎈ㅋㅋ책구성은 좋습니다.만족합니다
9788900434965,10,도움이 됨니다
9788900434965,10,강남인강도 가끔 들으려고 연계되는 교재 구매했습니다.구성이 좋은 듯 합니다
9788900434965,10,좋아요
9788900434965,10,과학교재로 좋아요. 분리가 되어있어서 갖고 다니기도 좋구요.
9788960764354,10,당일 주문 당일배송 너무 좋아요~~
9788960764354,8,최상위권 학생들은 꼭 풀려보는.믿고 푸는 책입니다ㅡ강사경력 20년 이상의 학원장이 추전합니다.
9788960764354,10,중등1과정을 블랙라벨로 심화&마무리하였습니다. 기본문제인 1스탭부터 유형 중상의 2스탭 그리고 심화의 3스탭까지 흐름있는 구성의 블랙라벨로 중2과정도 믿고 사용해보려합니다.
9791165751531,10,내신준비를위한 문제집
9788954747264,10,아직 풀지는 않았지만 뉴런 일학년껏도 해봐서 이번에도 좋을거같아요 그리고 알라딘 쿠폰 덕분에 더 싸게 샀어요 감사합니다
9788954747264,10,ebs뉴런수학2 손석민선생님 강의를 들으면서 교재를 푸니까 문제긴 술술 풀리는 기분이다. 역시 ebs뉴런수학 짱이다학원에 가지 않고도 집에서 하루 40분만 투자하면 인생이 달라질것같다
9788954747264,10,아이가 선택한 것이라 기대 만땅입니다~
9791162338469,10,학원 교재로 잘 사용하고 있습니다
9788954747257,10,기대한 만큼이에요!! 책 내용도 좋은데 인강도 무료로 들을수 있고... 책 잘 쓸게요!
9788954747257,10,기대되는 책입니다~ 아이가 선택한 책인 만큼 아이에게 도움 되면 좋겠어요~
9791162276495,10,중간고사대비용으로 구매했습니다.
9791125946434,10,"예습용 기본교재로 추천합니다.현재 중1인데 내년 2학년 수학을 예습하기위해 선택한 교재입니다.개념설명 후 기본문제를 푸는것으로 1권이 끝나고, 개념드릴이라는 두번째 교재로 문제만을 반복해서 풀 수 있어 오히려 한번에 양을 많이푸는 것보다 괜찮은 것 같습니다."
9791125946434,10,"큰아이 개념문제집 이것저것 많이 써봤는데요. 까칠한아이가 개념서로 결정한건 그나마 깔끔하게 정리되어 이해하기 쉬운게 체크체크라고 이걸로 무조건 개념을 먼저잡고 심화서로 넘어가더라구요. 그래서인지, 동생에게는 바로 체크체크로 개념잡으라고해서 이걸로 선행을 시키고 있어요. 굿입니다"
9788967700515,10,동생한테 급하게 필요했는데 배송이 엄청 빠르고 좋았습니다
9788905049300,10,논술샘이 콕 찍어서 사라고 해서 구매했어요.배송도 빠르고 좋아요.
9788959904235,10,믿을수 있는 숨마 주니어입니다. 비문학1부터 꾸준히 하고 있어요. 구성 좋고 아이가 내용을 재미있어 합니다.
9788959904235,10,"자기주도학습에 최적화된 교재예요. 자기주도학습 자료로 활용할 수 있도록 지문 해제, 문단 요지, 주제, 정답 풀이, 오답 풀이까지 상세하게 수록돼 있어요. 글감도 문제도 모두 좋아서 꾸준히 풀리고 있어요."
9788959904235,8,독서논술을 가르치는 교사의 입장에서 아이들의 독해력이나 어휘력을 향상하는데 도움이 될 책을 고르다가 선택한 교재다. 학년별로 수준이 정해져 있어서 쉽게 접근할 수 있고 교과과정과 연계도 되어 학생들도 반응이 좋은 편.
9788959904235,10,해설이 잘되어있어서 혼자 공부하는데 있어서 도움이 많이 되네요.
9788961334549,6,"쉬운 것부터 어려운 것까지 단계적으로 혼자서도 충분히 공부할 수 있도록 하였으며, 페이지마다 문제를 푸는 방법과 틀리기 쉬운 부분을 체크하여 개념과 원리를 충실히 익히도록 하였다."
9791195495030,10,"중 1 아들 영어 공부할 때 많은 도움이 될 것 같아서 샀습니다. 단어를 잘 못외우고 자꾸 까먹는 아이인데, 한 번 딱 설명해 주고 이틀 연속으로 시험을 봤는데, 다 기억을 하네요. 좋은 책이예요"
9791195495030,10,기초부터 다시 공부하려고 구매했어요! 한 페이지당 단어가 많지 않아서 보기 좋아요! 강의와 함께 10일 완성을 목표로 아자아자
9791195495030,10,워낙 유명한 경선식 영단어. 이번기회에 열심히 해보렵니다. 화이팅!
9791195495030,8,우연히 영상으로 접하게 되어 초등.중등 아이 위해 구입했어요. 단어 외우기 싫어하는 아이들에게 신세계를 열어줄거라 믿고 있어요^^
