ISBN13,rating,review
9788905049294,10,논술샘이 콕 찍어서 사라고 해서 구매했어요.배송도 빠르고 좋아요.
9791125941255,10,아이가 과학에서 물리영역을 어려워해 고민중이었는데  주변에서 esc를 추천해주더라구요. 문제집을 받아보고 저도 주변에 추천중입니다
9791125941255,10,학년구분없이 중학 과학을 4개영역별로 각각 한권으로 핵심개념과 다양한문제를 쉽고 빠르게 공부할 수 있도록 구성되어 중학교 1~3학년과 고등학생까지도 단기간 과학을 빠르게 공부하고 싶은 학생들에게 강추^^
9788936458812,10,선생님은 ‘인식하지않고 평가하지마라‘고 말씀하셨지만 청년은 사실을 바르게 파악한 다음 평가하는 자세를 잊어서는 안된다.
9788936459673,10,중2 되는 딸아이를 위해서 주문했어요.2019년도 개정교과로 개편되서 새로 주문했는데 잘 읽었으면 좋겠어요.^^배송은 주문 다음날 왔습니다.
9788905048310,2,저는 알라딘 당일배송 속임수에 항의하고 싶어요.배송확률까지 앞세우며 당연한 기대감으로 주문을 하면 영락없이 이틀은 지나야 받게되더군요. 항의를 하니 배송사 책임으로 전가를 하며 취소하고 싶으면 취소하라고 하는 메세지만 돌아옵니다.구매자분들 알라딘 배송 상황을 믿지 마세요.
9791125937692,10,너무 좋아요
9791125937692,10,천천히 쉼호흡하며 문법의 산을 오르게 하네요.
9791125937692,6,"중학생용이지, 고등학생용은 아니다."
9791191042306,6,"가격이 너무 많이 올랐네요.정가 12,000 이었는데."
9788955969023,10,중1 되는 조카에게 선물해주기 딱 좋은 책같아요. 3년 내내 볼 수 있을 책이니까.
9788998160098,10,중학교에서 국어의 개념을 다시 한 번 정리할때 유익한 것 같아요. 아이와 대화하며 공부할때 쓰면 좋아요
9788998160098,10,예비중 아들을 위해 구입하는 책입니다. 기대됩니다
9788959181131,10,"고등학교 큰 아이를 키워보니 다양한 독서가 필요하고, 비문학 지문을 읽고 파악할 수 있는 능력이 아주 중요한다는 걸 알게 되었어요. 중학교 부터 다양한 지문을 접하게 하려고 구입했는데, 지문의 내용이 좋고 양질의 문제도 풀어볼 수 있어 많은 도움이 됩니다."
9791160022162,6,매일 꾸준하게 읽고 배우면 많은 도움이 되는 도서입니다
9791160021608,10,도입부의 역사를 큰 틀과 기록이라는 관점에서 보는 부분이 참 마음에 들었다.이런 숲을 보는 이해가 먼저 되어야 역사를 바라보는 시각이 형성될 것이다.
9791160021646,10,성인이 다 되도록 완전 영알못이라 어떤 기초책을 봐도 이해를 잘 못했었는데 이 책은 진짜 기초부터 배우기에 좋은 책 같아요! 선생님께서 정말 제 옆에서 알려주시는 것 같이 친절하게 되어있어서 더 잘 이해가 됩니다!ㅎ 특히 그냥 넘어갈 수 있는 기본적인 것 까지 알려주셔서 도움이 많이 됩니다!
9791160021646,10,완전 기대됩니다.
9791156361350,6,중1 아이한테는 어려워서 ‘김선생‘님께 수업을 받으며 쓸 워크북 느낌이더군요. 김선생 어휘력 책하고 같이 샀는데 두 권의 내용은 무관하더라구요ㅠ 중1 정도면 옆에서 엄마가 거진 가르쳐주셔야해요. 설명은 적고 심플하고 제시하는 어휘는 많은...단점이 장점이기도 한 책이지만 저는 비추에요.
9791156361350,6,아이 풀리고 있는데.책 내부는 사진 찍어놓은 것과 같아여. 깔끔한 편집입니다. 내부 폰트 사이즈도 적당.다만 설명이 너무 딱딱하고 (가로세로 낱말퀴즈 설명도 마찬가지) 전반적으로 인간이 아니라 로봇이 작업한 책 같아요. 산 게 아까워서 일단 풀리고 있는데. 제가 다 맘이 불편하네요.
9791160020441,8,원리를 알면 답이 보인다. 한자를 하루에 30개씩 30일 동안 효율적으로 공부할 수 있도록 구성되었다.
