ISBN13,rating,review
9791166090059,10,빠른 배송에 내용과 구성이 알차고 좋은거 같아요.O2문제집 강추합니다.
9791166090059,10,과학은 O2를 많이들 하는 것 같아 구매합니다.문제량도 많아서 한권으로 공부해도 충분한 것 같아요.배송도 빠르네요.
9788928326341,10,중학교 수학교재 중에서 많이 선택하는 책이죠~ 상위권으로 가는 길목에 있는 책입니다.
9788928323982,10,초등학생 교재로 적당한듯. 무난히 잘 푸는듯
9788928323982,10,잘 사용합니다~~~
9788928323982,10,구성보고 맘에 들어 아이 사줬는데 아이 말이 이책이 아이들사이에서 유명하다더군요!다 자기 하기 나름이지만 공부하는 아이들이 인정한 교재로 학습하니 더 좋은건 사실이에요^^
9788928323982,8,방학자습
9788928323982,10,쎈 중등 수학 1(상)을 구입했는데 초등학교때 부터 풀리고 있는데 기본부터 심화까지 잘 정리가 되어 있어서 만족하고 있습니다.
9788928323982,10,제가 예전에 풀던 쎈을 동생에게 추천해줬어요~꼼꼼하게 잘 되어있어서 좋다고 하네요^^
9788928323982,10,"문제수는 많지만 확실히 기본에 충실한 문제집.개념은 다른 쉬운 문제집으로 잡고, 문제는 이걸로!학원 안 보내고 중학 수학 집에서 하는 저희 아이에게 딱인 문제집이에요^^"
9788928328116,8,믿고 보는 쎈이라 할 만큼 이만큼 기본기를 다질 수 있는 학습지는 없는듯해요!!! 정말 추천해 드려요! 물론 너무 잘 알려진 책이라 추천은 안 해도 되겠지만..... 그래픽과 디자인도 깔끔하고 문제 풀이도 꼼꼼하게 되있어서 유용해요!!
9791125948650,10,2021년 개정판인가요?
9791125948650,6,2020년판 맞나요?
9791162276259,10,중등 사회는 역시 한끝! 자기주도학습용으로 사용합니다.
9791162726303,10,마더텅  중학영어듣기평가 교재가 보기도 깔끔하고 정돈 잘 되어 있어요. 마더텅으로 공부를 하고 있는데요.단계별로 잘되어 있어서 스스로 하기에 좋은 교재인것같아요.^^
9788959904228,10,숨마주니어 중학 국어 비문학 독해 연습은 예비 중1~중2 대상으로 1일 2지문 25일에완성할 수 있어요중학생 권장 도서 및 추천 도서를 총망라하여 수준에 맞게 단계별로 지문을 구성하고 있어요다양한 독서를 위한 교과서 밖 50개의 글감을 싣고 있답니다친절한 해설책과 함께 자기주도학습이 가능해요
9788959904228,8,"비문학 장르별 (인문/사회/과학/기술/예술 등)으로 구분되어 비문학 독해 하기에 좋아요. 문제 자체는 한 지문당 2-3문제 밖에 없고, 문제 풀이가 아주 상세하게 잘 되어있어요. 근데, 난이도가 쉬운건지, 오답이 별로 없어 문제 풀이를 잘 보게 되지는 않네요. 문제가 좀 더 많이 있음 좋겠어요."
9788959904228,10,아주 좋아요. 빠르고 편하게 배송받았어요.
9788959904228,10,방학동안 비문학독해 해볼려고 주문합니나
9788959904228,10,독서 외에 읽기활동으로 좋을 듯 해서  구매.만족합니다.
9788959904228,10,예비중인데 미리 소문듣고 공부하고 있어요. 구성도 좋고 아이가 스스로 찾아서 하네요.
9788959904228,10,중학생 부터 시작하는 국어 비문학 독해 연습. 쉽고 재밌는 다양한 지문들을 접하며 독해 실력을 키워가요. 독해 핵심 팁과 어휘테스트로 기초를 탄탄하게 쌓을 수 있어요.
9788959904228,6,비문학으로 국어 어휘력 키우기 문단별 요약하기등 중학교에 꼭 필요한 책이라 추천드려요
9788959904228,10,주문하면서도 반신반의했는데 딸아이가 좋아라 하네요..하루에 2장씩 열심히 하고 있는 모습을 보니 구매한 보람이 있네요..
9788959904228,10,"학년 상관 없이 비문학 독해 연습으로 활용하기 좋다. 다양한 지문을 읽어볼 수 있고, 문제의 난이도는 중학생 수준에 맞도록 구성되어 있다."
9791162726440,10,예비지문도 엄청 다양하고 유형이 많고 파트별로 세세히 나누어져있어서 정말 유용한 것 같아요!❤️특히 추천❤️-중학생이여서 기본기를 탄탄히 하고싶은 분-고등학생인데 영문법이 아직 부족하다고 느끼시는분-겨울방학에 대비하고 싶으신 분본 제품을 협찬받아 솔직하게 남긴 후기입니다
9791162726440,10,워크북이 있어서 복습하기도 너무 좋을 것 같아요would should could might 같은 간단한 조동사 뿐 아니라 have p.p같은 문법까지 차근차근 꼼꼼하게 알려줍니다. 기초가 없더라도 차근차근 꼼꼼히 설명해주는 중학 영문법 책 추천드려요.
9791162275276,2,2018개정버전이 있는데 (2021)이라 하시고 2009년 예전 버전을 파시네요 ㅠㅠ
9791162275276,10,공부 잘하고 있어요.
9788928326662,10,쎈 조앙용
9788928328659,10,배송도 빠르고 좋아요
9788961333788,8,개념 원리에서 익힌 개념을 RPM에서 다양한 유형의 문제로 풀어볼 수 있어서 매우 유용합니다.꼼꼼하고 상세하게 정리된 유형별 문제는 개념 원리에서 배운 원리를 적용하고 충분히 응용해볼 수 있어서 좋습니다.
9788961333788,10,"항상 개념나갈 때 숙제용, 유형을 공부하기 위해 나가는 진도책입니다. 적당히 어려운 문제들도 섞여있어 골고루 모든 단계의 문제들을 풀어볼 수 있습니다."
9788961333788,10,빠른 배송 정말정말 감사합니다!!
9788961333788,10,아이가 문제 풀기를 금방 하네요
9788961333788,10,좋아요~
9788928324361,2,많은 도움이 되어 수학 100점 맞고 행복합니다.  다음에도 또 구매해서 열심히 공부하렵니다신사고 쎈 수학 짱짱 짱 땡큐예요 담사합니다~
9791162276242,10,딸  선행 학습 하려고 구입합니다~ 단원별로 교과 내용이 정리되어 있고 쏙쏙용어 미니북에  교과서에 나오는 주요 용어들이 잘 설명되어 있어서 유용한거 같고 실력 쌓기 문제와 서술형 문제  단원 마무리   시험 대비 문제와   마무리 문제까지 다양하게 구성되어 있어서 좋은것 같아요~
9788961333771,8,요약이 너무 깔끔하게 잘 되어 있네요
9788961333771,8,개념에 관련된 기초문제가 좀더 수록되면 좋겠어요. 전체적으로 난이도가 높네요
9788961333771,10,기대갖고 구매했네요
9788961333771,10,잘받았습니다
9788928324019,8,문제 유형도 다양하고 괜찮았어요~ 학생이 풀기 좋은 문제집이에요
9788928324019,6,아이 수학교재로 가장 적합한 내용으로 이루어진 것 같습니다.그래서 그런지 많은 학원에서 추천하는 교재내요~
9788928324019,8,"혼자공부할 적에 개념서로 좋은 듯 합니다. 학원추천교재라 구매합니다,"
9788928324019,10,기초를 다지기에 좋은 문제집인것 같아요
9788900434965,10,도움이 됨니다
