ISBN13,rating,review
9791162726402,10,기본부터 심화까지 어법에서 어휘까지 연습에서 실전으로 내신만점을 잡을 수 있는 절호의 기회! 중학생은 천천히 기본다지기를 할 수 있고 고등학생은 부족했던 부분을 채울 수 있는 책이라고 생각합니다협찬/책만을 제공받아 솔직하게 작성한 후기입니다.
9791162726402,10,"교보문고, YEs24, 인터파크 영문법 교재 판매 1위가 그냥 되는건 아닌거 같네요..이 책 한권으로 자세하게 문법이 소개되어있어서 기초를 다지기에 좋은 교재인거 같아요.문제집 표지에서도 나와 있듯이 중간 기말 고사 대비 문제의 양이 많아서 좋은것 같아요."
9791162726402,10,실용영어에서 내신영어로 넘어가는과정에 설명과 충분한 문제양이 필요해서딱!인 교재네요~!일단 구성과 목차부터영어를 잘하는것과 내신을 위해서 꼭 필요한 problem solving skill먼저1.핵심문법사항암기표 매일 붙여놓고 눈으로 입으로 익히기 딱좋아요
9791158316990,10,공부 잘 하구 있습니다
9791158316990,10,혼자 단어 리스트 뽑아서 공부해봤는데 기억에 잘 남지 않아서 구입했습니다. 항목별로 단어가 구분되어 있고 단어가 난이도 순으로 나열되어 있어서 공부하기 편했습니다. 반복도 여러번 할 수 있는 시스템이라 기억에도 오래남을 것 같습니다. 영단어 공부하려는 분들은 사용해보시면 도움될 듯 해요
9791158316990,8,중학생 영어단어 기초 잡기에 유익한 책입니다.단어와 뜻사이에 섹션으로 깔끔히 구분되어있어 보기도 편하구요.
9791158316990,10,항상 그렇지만 맘에 들어요. 좋습니다. 다른 voca 보다 이게 젤 무난하고 좋은 것 같아요.
9791162726303,10,마더텅  중학영어듣기평가 교재가 보기도 깔끔하고 정돈 잘 되어 있어요. 마더텅으로 공부를 하고 있는데요.단계별로 잘되어 있어서 스스로 하기에 좋은 교재인것같아요.^^
9791158316907,10,학원 교재로 사용하려고 구매했어요. 단어 학습하기 좋은책이에요.단계에 따라 맞게 구매를 하세요. 학원에서 수업 듣고 있어요.
9791158316907,10,예문이 나와 있어서 문장과 단어를 함께 외울수있습니다. 책크기가 손에 들고 다니기에 부담없어요
9791158316907,10,방학동안 열심히 영단어 외우고 수업할때 도움이 많이 됩니다. 어렵지만 외우고 또 외우고. 열심히 하는게 제일인거 같아요.
9791162726440,10,예비지문도 엄청 다양하고 유형이 많고 파트별로 세세히 나누어져있어서 정말 유용한 것 같아요!❤️특히 추천❤️-중학생이여서 기본기를 탄탄히 하고싶은 분-고등학생인데 영문법이 아직 부족하다고 느끼시는분-겨울방학에 대비하고 싶으신 분본 제품을 협찬받아 솔직하게 남긴 후기입니다
9791162726440,10,워크북이 있어서 복습하기도 너무 좋을 것 같아요would should could might 같은 간단한 조동사 뿐 아니라 have p.p같은 문법까지 차근차근 꼼꼼하게 알려줍니다. 기초가 없더라도 차근차근 꼼꼼히 설명해주는 중학 영문법 책 추천드려요.
9791158317331,8,영어 단어 공부 을 위해서  구매 하여 현재 잘사용 하고 있습니다
9791125323600,10,빠른 배송 감사합니다.
9791125324447,8,본문은 좋은데 음원 속도가 너무 느림
9791125324447,8,역시 리딩튜터. 글과 연관된 읽을거리 소개도 좋다. 독해와 어휘만 소개되어 있는 좋은 독해집!
9788968060502,10,중학생 동생 가르치려고 샀는데 진짜 좋네요개인적으로 천일문 본편보다 더 좋은 느낌 문장 구성이랑 단어 전부 안 어렵게 하려고 노력 많이 한 게 느껴질 정도네요
9788968060502,8,혼자서 하려고 샀는데 이해가 안 가는 부분은 있음..조금 더 자세한 설명이 있었으면 좋겠다는 생각ㅠ
9788968060502,10,구문 조립으로 독해 실력의 비약적 향상을 가져온다
9788968060502,10,엄청나게 쉽게 설명되어있고 이해하기 좋습니다. 그리고 정말로 혼자 독학하기에도 좋은 책이에요. 영어에 영자도 모르시는 문들 이 책 강력하게 추천합니다.
9788968060502,10,중학생 동생에게 가르쳐 주려고 샀습니다. 다른 책에 비해 문법용어가 많이 쓰이지 않아서 좋은 거 같아요.
9788968060502,10,아이들 학원 교재로 사용중입니다. 잘 쓰고 있어요~
9788968060502,10,새롭게 시작하는 영어학원에서 새로운 교재를 통해 영어실력을 제대로 향상시켜 볼까나?
9788968060502,10,좋아여 !!! 배송도 되게 빠르게 오고..책 표지도 되게 깔금깔금해요 ㅎㅎ 제가 영문법을 어려워하는데 쉽게 이해할 수 있었어요~
9788968060502,10,영어기초쌓는데 좋을것같네요 배송도 오늘온다고 하니 좋네요
9788968060502,10,영어기초가 많이 부족한데 이책을 통해 기본기를 확실히 잡고싶습니다.
9788900434927,10,"중학생들에게 꼭 필요한 단어가 가장 잘 정리되어있습니다. 단어를 테스트 하는 방법도 다양하게 제공되어 단순암기 테스트만으로 만족하지 못했던 부문까지 해결됩니다. 초6, 중1 학생들에게 방학을 이용해서 두 번 정도 보게하면 중학 어휘의 80프로 이상을 습득할 것 같습니다."
9791125307945,10,워크북이 있어 같은 2회독 하기에 좋습니다. 빠른 진도를 위해서는 워크북을 과제로 내면 비슷한 유형의 문제를 반복학습할 수 있어 좋습니다. 라이팅 부분이 많아 서술형 대비에 좋습니다.다만 아쉬운 점은 관계대
9788954746274,8,"기초가 없는 아이들이 보기에는 어려워요.. 하지만, 기초가 튼튼하고 좀더 영어 문법에 대한 개념을 확실히 하고 싶은 친구들한테는 좋습니다. EBS 강의는 보너스구요."
9788954746274,10,6학년 ebs초등 강의중에 문법을 처음 접하는 아들에게 주려고 샀습니다.  근데 살짝 어려운 듯하여 엄마인 제가 듣고 있습니다.  너무 쉽게 귀에 쏙쏙들어옵니다.  문법의 아주 기초 강의를 듣고 나서 한단계 업그레이드하여 아이가 들으면 좋을 것 같습니다.
9788954746274,6,괜찮은듯
9791125324478,10,선생님 추천으로 구매했는데 만족합니다~
9791125324478,10,배송도 빠르고 좋습니다
9791195495030,10,"중 1 아들 영어 공부할 때 많은 도움이 될 것 같아서 샀습니다. 단어를 잘 못외우고 자꾸 까먹는 아이인데, 한 번 딱 설명해 주고 이틀 연속으로 시험을 봤는데, 다 기억을 하네요. 좋은 책이예요"
9791195495030,10,기초부터 다시 공부하려고 구매했어요! 한 페이지당 단어가 많지 않아서 보기 좋아요! 강의와 함께 10일 완성을 목표로 아자아자
9791195495030,10,워낙 유명한 경선식 영단어. 이번기회에 열심히 해보렵니다. 화이팅!
9791195495030,8,우연히 영상으로 접하게 되어 초등.중등 아이 위해 구입했어요. 단어 외우기 싫어하는 아이들에게 신세계를 열어줄거라 믿고 있어요^^
9791195495030,10,그냥 읽기만 해도 외워지지만 강의는 두말할 필요없이 더욱 좋아요..^^ 아이들에게도 교육적으로도  재미있게 말하듯이 장난하듯이 틀어놓아도 좋을듯합니다.
9791195495030,10,강의 다 끝나고 단어 테스트 해봤는데다 맞았습니다. (안 보고 했습니다.) 해마학습법 때문인지 영단어 외우는 게 쉬워졌네요.ㅎㅎ경선식 중학 영단어 강추입니다.ㅋㅋ
9791195495030,8,외우기 힘든 영단어를 쉽게 암기할 수 있을거 같아서 구입했습니다. 짧은 시간에 많은 단어를 외울 수 있는 아주 좋은 어휘책입니다.
9791195495030,10,"영단어 외우기에 좋다길래 사서 읽었다. 무료강좌가 있어서 들어봤더니 생각보다 효과가 좋아서 정말 놀랐다. 중학교 단어가 다 들어있어서 한권으로 중학단어를 다 끝낼 수 있어서 좋았고, 후기도 많아서 믿을 수 있었다. 학원대신 좋은 방법을 알게되어서 좋다."
9791195495030,10,영단어책 사서 매번 끝까지 본 적이 없었는데 강의와 병행해서 20일 만에 외웠습니다. 영어초보자 분들에게 추천합니다!!!
9791195495030,10,영단어 쭉 훑어보기에 좋은 교재에요.  영어단어 자꾸 까먹으니까 재미있게 읽어보면 기억에 남을 것 같습니다.
9791195495030,8,어떻게든 기억이 나는게 중요하다고 생각해요.약간 유치한 듯 해도 기억이 나면 효과있다고 봐요.
9791195495030,10,중학교 단어부터 복습하는 차원에서 구매했는데 아는 단어가 많지만 모르는 단어도 제법 되더라구요. 해마 학습법으로 외우니 금방 외워져서 재밌었어요.
9791195495030,8,아이가 사달래서.. 사줬어요~ 열심히 하기를 바래요
9791195495030,2,오랜만에봤는데 별로네요
9791195495030,10,내년 중학교를 대비해 구입했는데 아이가 정말 좋아합니다. 홈페이지에서 무료수강3회도 정말 많은 도움이 되어 꾸준이 학습하고 있습니다. 동생도 함께 하는데..해마학습법 정말 신기하네요..ㅎㅎ 열심히 해볼께요~^^ 감사합니다.
9791195495030,10,좋은책이라고 추천받았습니다 공부열심히할게요
9791195495030,10,경선식에듀 해마학습법 유명해서 샀습니다 강의를 들어보니 되게 쉽고 잘 기억할수 있더라구요 영어공부 열심히 하겠습니다 ^^
9791195495030,10,영어 단어 암기에 이렇게나 효과적인 방법이 있다니 열심히 공부해서 꼭 좋은 결과 있도록 할계요.
9791195495030,10,항상 힘든 단어 암기에 영어라는 것에 굴복하고 살았는데..경선식을 통해 그 굴욕에서 벗어나보겠습니다^^
9791195495030,10,학원에서 교재로 사용하고 있는데 해마 연상법으로 인해 짧은시간안에많은 단어를 외울 수 있어 초등 고학년 중등생에게 아주 좋은 단어장입니다.
9791195495030,10,역시 영단어는 경선식이네요. 이번에 표지도 예쁘고 마음에 쏙 들어요. 경선식 중학 단어 책이 집에도 있는데 개정판으로 또 가지고 싶어서 주문했습니다. 새로운책으로 복습하니 좋네요^^
9791195495030,10,암기과목인 영어는 저에게 항상 장벽이 됐는데요. 이번 만큼은 포기하고 싶지 않아 이 책을 선책해보려합니다. 많은 도움이 될 것 같네요~~
9791195495030,10,"중2, 초6 아이를 둔 엄마입니다. 큰 아이는 초등학교때 경선식 단어책으로 엄마와 함께 재미있게 공부했고 중학단어도 틈틈이 봤습니다. 그런데둘째가 책 보는것을 귀찮아하니 동영상을 보라고 권해주네요. 책에 소개된 방법대로 꾸준히 읽게하면 아이들에게 도움이 많이 될듯합니다."
9788954735049,10,초등학생인데 중학교 대비해서 하고 있어요. 회화 내용이라 재밌어하고 또 회화에 많은 도움이 되는거 같아요
9788954735049,6,듣기 뿐 아니라 이 한권으로 스피킹과 문법도 조금 나갈 수 있어서어 좋았습니다.
9788954735049,10,듣기평가 교재로써 아주 훌륭합니다. 특히 ebs중학과 연계해서 설명을 들을 수 있어서 더 좋구요. 자기주도적 학습에 만점입니다!
9788954735049,10,영어 듣기 훈련뿐 아니라 생활에 바로 쓸수 있는 표현들이 주옥 같더군요~ 만족해요~
9791125324461,10,중등 아이들 영어 노출에 적절합니다
9791125312314,10,"이번에 구입해서 받은 기초영어문법책인데, 정말 구입하게 되어서 너무 좋아요(^^). 입문편보다는 자세하고 거기에다 작은 소책자도 있어서 기초영어를 배울때 도움이 많이 되어요(^^)."
9791125312314,10,올해 두권을 선물용으로 구입했습니다.중학교와고등학교에진학하는 기본서로서 좋은것같습니다
9791125307938,8,기초부터 튼튼히!! 차근차근 풀기 너무 좋네요~
