ISBN13,rating,review
9788994254104,10,와 이 책이 아직도 나오는군요.
9788990700506,10,깨끗하네요~
9788990700506,10,토플 베이직 시리즈 들어가기전에 리딩 입문용으로 좋은 책입니다.
9788990700506,10,"쉽게 유형정리가 잘 되어있어서 토플 처음시작하는데 도움이 많이 되었어요, 만족스러운 책입니다."
9788990700506,10,독학으로 공부하기에 딱 알맞은 책!!
9788990700506,10,쉽게 잘 풀이되었습니다.
9788990700506,10,아이엘츠 공부시작하는데 사용하고 잇어요 좋아요
9788990700506,8,특목고 영어성적 대비하기 좋아요 ~ 쉽게 풀이되어있어서 금방따라갈수있어요
9788990700506,10,자신감이 쑥쑥다가옵니다 !!
9788990700506,10,초보라도 겁먹지 말고 자신감을 가지고 도전하자
9788990700506,10,영어공부 리딩의 시작!! 추천합니다 ^.^
9788990700506,10,역시 좋습니다~알차고 쉽고 재미있어요~
9788990700506,10,강의와 함께 들으니 분량도 적당하고 처음 텝스를 공부하는 이들에게 도움이 됩니다^^
9788990700506,8,깔끔하고 좋네요
9788990700506,10,"문법잘 나와있네요 처음하시는 분들에게 강추입니다.
기초없으신분에게 도움될듯"
9788990700506,8,좋네요!!ㅋㅋ 처음하는건데 공부하기도 편하고 좋아요!!
9788990700506,8,초보자들을 위한 입문도서로서 참 괜찮은 책입니다.
9788990700506,10,무엇보다 지루하지 않아서 참 좋습니다^^
9788994254265,8,특목대비에 필요한 책입니다.
9788994254265,8,지루하지만 물리공부를 원하는 학생에게는 꼭 필요한 책입니다
9788994277523,6,문제가 어렵지는 않습니다. 문제 풀이 연습하기에는 나쁘지 않습니다.. 많이 파세요
9788993456615,10,중학교 때 머리싸매고 풀었던 기억나네요. 두고두고 도움이 되는 책입니다.
9788990700483,10,잘 받았습니다 열공할게요!
9788990700483,8,책만와서 아차! 했네요...^^;;
9788990700483,10,처음이시라면 이걸로 튼튼한 도대를 마련하시길 바랍니다.
9788990700483,10,기본쌓기 좋음
9788990700483,10,토플 시작하시는 분은 도움 많이 되실꺼예요. 쉽게 유형정리가 되어있어서 만족했던 책이예요.
9788990700483,10,"책이 배송되자 마자 바로 교재를 펴봤는데 커리큘럼도 좋고
초보자도 쉽게 따라 할 수있게 되어 있어요! 좋은 교재 감사합니다"
9788990700483,8,쉽고 알차요
9788990700483,10,인강 들으면서 혼자 공부하기 좋은책~
9788990700483,8,"좋은구성이나,테이프를 따로구매해야함"
9788990700483,10,해커스는  다 좋아요
9788990700483,8,"해커스로공부하려고하는데,처음부터정리하시는분들에게추천이요~"
9788990700483,8,"정말 고심 끝에 구매한 해커스 리스닝 인트로,
책의 구성에 반해버렸어요~ !"
9788990700483,10,절대로 후회하지 않으실거에요^^**
9788928643776,10,동생이 쓴다고  해서 구매했는데 만족한다고 합니다!
9788994277530,10,"영재학교나 특목고를 준비할 때 파이널로 전체적인 내용을 정리하고 다양한 문제(창의적 문제, 기출 문제 등)를 풀 수 있어 좋습니다."
9788994277431,10,창의력 과학 세페이드 4F 물리 (상) 잘 쓸께요. 창의력 과학 세페이드 4F 물리 (상) 잘 쓸께요.창의력 과학 세페이드 4F 물리 (상) 잘 쓸께요.
9791125332602,10,TiTu 시리즈 중의 하나입니다.기하를 다루고 있는 교재중에서 한글로 번역된것이 이것뿐이네요.내용 하나가 꼭 필요한 내용들로 알차게 포함되어 있습니다.
9791125332602,10,TiTu 교수의 시리즈 중 하나의 기하교재네요맨 처음에 접하면 확실히 어려운 내용들이 많습니다.표지부터 깔끔한 모습을 보이고 있습니다.내용 자체도 깔끔하게 나왔으며 기본 경시에서 심화 경시까지 다뤄질수 있는 문제집입니다.
9788994277592,10,"영재교육원을 준비하기 위해 알아두어야 하는 정보가 제공되어 있으며, 영재성검사와 창의적문제해결력문제뿐만 아니라 면접까지 대비할 수 있는 다양한 기출문제와 예상 문제가 수록되어 있습니다.한 권으로도 충분히 영재교욱원을 준비하는 데 도움이 됩니다."
9788931709575,10,기출문제모음이라 좋아요
9788994254098,10,오 이 책도 번역판이 나왔군요!
9788993077070,10,물리 이렇게 재미있어도 되는 것인지~
9788993077032,8,좋네요. 이해 잘되게 설명을 해서 좋습니다.
