ISBN13,rating,review
9788954756808,2,1:1 문의글도 주문번호 등록이 안되어 부득이 이곳에 글 남깁니다.. 3/9 주문시 3/10도착이라 주문했습니다. 아이 학교에 3/11에 가져가야 하는데 황당합니다수령일자가 늦어질거라면 아예 주문안하고 서점으로 갔습니다. 왜 배송약속이 안지켜지나요? 새벽배송해주세요
9788954756808,10,배송개빠르고 좋네요
9788954756808,10,내용도 좋아요
9788954756822,10,너무 잘 받았어요!
9788954756884,10,기다리겠습니당 파손 없는 상품으로 빠른 배송 부탁드려요 :)
9788954756990,10,모두합격하길..
9788954757003,10,개념 설명이 평가원 감수라 믿을만합니다. 문제도 좋구요~
9788954749343,10,저렴한 가격에 구매했어용
9788954749343,8,감사합니다 잘볼게요
9788954749343,10,배송도 빠르고 가격도 저렴하고 무료강의까지 들을 수 있어서 너무 좋아요^^
9788954743747,10,배송 빠르고 문제집에 강의때문에 문제를 이해하기 쉬워요
9788954743747,10,고1이 공부하기좋은 수준. 짜임새있는 본문 오거나이저와 응용 문제들이 있어 참 좋네요.
9788954743747,10,예비고1  혼자 공부 할수 있도록 잘 되어 있어요체계적으로 볼수 있네요Ebs랑같이 연계해서 공부 합니다
9788954743747,10,빠른 배송에 항상 감사드립니다.늦은 시간도 잊지 않으시고 배송해 주셔서 죄송하고 감사드려요.더 자주 찾아 오겠습니다.
9788954743747,10,빠른 배송 감사합니다~~
9788954743761,8,.
9788954743761,6,교재 싸게 잘 구매해서 기분 좋았었는데 공부 시작하고 보니 정답과 풀이가 누락된 채로 배송됐네요 ;; 처음엔 원래 정답과 풀이가 없는 교재인 줄 알았는데... 인강에서 풀이를 다 해줘서 다행이었어요
9788954743761,10,올림포스는 일단 이비에스에서 나온 것이어서 그런지 더욱 더 믿음이 가는 것 같아요 직접 풀어봤는데 실력이 있는 친구들보다는 한번 개념을 돌렸지만 좀 부족한것 같다 라는 친구나 배웠는데 기억이 안난다는 친구들이 쓰면 좋을 것 같아요!
9788954743761,10,정말 좋은 책 잘 구매했습니다.
9788954756891,10,좋은 제품으로 빠른 배송 부탁드려요 :)
9788954756907,10,좋은 상품으로 빠른 배송 부탁드려요!
9788954756938,10,좋은 책으로 빠른 배송 부탁드려용
9788928330027,6,개정판인데  크기도 커지도 표지가 좀 별루네요    작년에 구입해서 다풀고  복습용으로 샀는데 문제가 꽤 많이 교체됐네요
9788928330027,10,배송이 너무 빠릅니다! 굿
9791161237282,10,고3 되는 아들 영어 단어 공부용으로 구입했습니다. 다른 책들도 많지만 워드 마스터가 수능 연계되는 단어가 많다고 해서 구입했는데 아들도 만족해 합니다. 미니단어장도 있어 편하고 아들이 몇단원정도 외우고 나니 해석 하는데 도움이 제법 된다네요. 계속 복습은 해야 단어 잊어버리지 않는다네요
9791161237282,10,"믿음직스럽고 좋은 단어책. 매일 40개 씩 외우기 좋음.단, BASIC에 비해 테스트량이 현저히 적고, 드물지만 테스트에 안 배운 단어가 나오기도 함. 테스트의 단어부분은 정답표가 아예 없어서 안 배운 단어가 나왔을 때 답을 알 수 없음. 테스트만 모은 별도의 워크북이 있었으면 좋겠음."
9791161237282,10,아들녀석이 학원세 쓰는 교재라고 하여 구매했습니다. 효과는 시험 이후에 나타나겠죠?^^
9791161237282,10,"현 중/고등 학생들에게 인지도가 높은 편이다. MP3와 영단어 테스트 등의 학습지원 서비스가 제공되기 때문에 혼자 학습 확인까지 가능하다. 단어가 품사별 정리 되어 있고, day 하나당 50개씩 나뉘어져 있어서 하루 일정량 단어 외우기에 유용하다. Review test를 통해 자가 확인도 가능하다."
9788954743754,8,좋아좋아요 ㅠ띵ㄹ~
9788954743754,10,수업에 필요해서 급하게 구매를 하였는데 당일에 바로 받아 볼 수 있어서 정말 만족했습니다.책의 구성도 개정 전 교재와 비교했을 때 부족한 것이 없고 오히려 더 만족스러웠습니다.아이들의 실력 향상 및 내신 및 수능에 좋은 영향을 미칠 것 같습니다.
9788928325597,10,문자 받고 취소하고 재구매하였습니다. 급하게 주문하다보니 다른 도서중에서 구매할 책을 결정할 시간이 부족해서 우선 급한 한권만 일바낵 1권과 같이 주문합니다. 조만간 필요한 책들 맞추어 필요한 책들 확인후 같이 주문진행하겠습니다. 수고하세요~~
9791165260613,10,책 참 잘 만든듯합니다.꾸준히 하기 좋게끔 제작되어있고 가시성이 매우 좋네요.
9791165260613,10,기초 다지기에 좋아요
9788954741293,8,reading power 리딩 내용 정말 짱 이네요~~ 열심히 공부해야 겠어요~~ 항상 알라딘 감사합니다~~~~~~~~~~~~~~
9788954741293,8,가르칠때 보고 하려고 중고로  싸게구매했네요답도 적혀있고 좀되어있고앞표지도 구겨졌지만 중고니 만족합니다
9791164749867,10,좋습니다 미리미리 샀어요 어차피 살꺼 미리 조금씩 사놓고 보라고 하는거죠.
9788954755153,2,당일배송 안 되네요. 급하게 필요한 거였으면 난감할 뻔했어요.
9791162274552,10,배송 만족합니다.
9788954741286,10,수업 부교재로 사용하기도 유용하고 모의고사 대비하기도 좋은 것 같아요.
9788954741286,10,학원 교재로 쓸려고 구매했습니다 잘 쓰겠습니다
9788954742047,10,"배송상태 좋음, 급하게 시켰는데 배송 기간 생각보다 빨랐음, 문제 반 답지 반임. 좋음"
9788954742047,6,새건데 하자 있네요 ;;쓰는데 지장 없어서 교환은 안해요 !
9791162274538,10,개념정리하기 좋아요
9791162274538,10,방학때 하려고 구입했어요...
9791162274538,8,개념잡고 문제풀이까지. 내신의 기본입니다.
9791162274538,8,가장 빨리 나오 교재이기도 하지만.. 기존에도 완자 화학을 봤기 때문에 구매하게 되었습니다.
9788968060298,10,"학원 전혀 안 다니고 혼자 영어 공부하고 있는데, 문장이 많다보니까 하나하나 해석하고 구문분석 하면서 조금씩 독해능력이 쌓이는 것 같아요!! 문법은 따로 하나 하시고, 구문편은 천일문이 좋은 것 같습니다"
9788968060298,10,정말 유용하고 좋습니다 기초 잡기에 좋아요 친구들에게도 꼭 추천해주고 싶은 책이네요 굳 ^^
9788968060298,10,문법 한번에 정리할때 유용할듯
9788968060298,10,이 책 외우는 거 아닙니다. 네이버블로그같은 데 막 외우라고 해야되는데 그런 식으로 수능 1등급 맞기 힘듭니다. 해석하면서 눈으로 문장 구조를 익히는 게 중점입니다.
9788968060298,10,영어 공부하는데 있어서 가장 적합한 교재라고 들어서 사게 되었어요  좀더 열심히 해서 영어를 잘하고 싶네요
9788968060298,10,정말 좋아요 영어는 천일문!
9788968060298,8,좋아요
9788968060298,8,책은 문장으로 잘 나왔습니다! 하지만 제가 공부를 안하는군요.
9788968060298,8,개정판
9788968060298,10,완성편을 살껄 싶은 생각이 들어요. 예문이 너무 쉬워서...
9788968060298,10,개정판이 새로 나왔네요. 다시 영어공부 시작하면서 구입합니다.
9788968060298,10,문법공부의 새로운 장을 연 책입니다. 많은 학생들이 이 책의 도움을 받고 실력 향상이 되었으면 좋겠네요.
9788968060298,8,저한텐 책과 해설지로는 좀 부족한 감이 있습니다. 문법이 아니라 구문이해이기 때문에 해설이 자세하지 않은데 홈페이지에서 복습용 파일을 받아서 문장을 외우고 쓰니까 100퍼센트 채워주네요.
9788968060298,10,구성이 단계별로 되어있어 공부하기가 좋고 딱딱한 폰트가 아니라 귀여운 폰트로 되어있어서 보기 좋은 것 같아요! 특히 포인트를 콕콕 집어주어서 머릿속에 정리도 잘 되고 문법이 너무 어려웠는데 도움이 정말 많이 됐어요~
9788968060298,8,"천일문은 학생들이 영어실력을 체계적으로 기를 수 있도록 구성된 책이다. 책의 순서에 따라 문장을 꼼꼼하게 해석하다보면 문장에 대한 분석능력, 구문해석능력을 기를 수 있어 영어를 공부하는 학생들에게 꼭 필요한 책이라 생각한다."
9788968060298,10,"몇 년간 천일문을 중2학생들에게 적용시켜 왔는데, 이번에 새롭게 개정된 책은 좀 더 새로운 문장이 많이 있어서 좋네요. 이전의 책은 적용연습을 시키기 위한 교재로 사용하려고 했더니 기본 문제집까지 함께 나와서 더 좋은 효과를 얻을 수 있을 것 같아 좋습니다."
9788968060298,10,최고 책이네요..!! 영어에서는 한국어와 영어의 차이점을 아는 것이 가장 중요한데...영어에서 가장 중요한 구조분석을 기가 막히게 해 놓았네요...베스트셀러인 이유가 있군요...이 책 한권 공부하면 기본은 탄탄히 다져 지겠네요...그래서 학생들이 좀 더 영어를 쉽게 접근 할 수 있는 책이네요.
9788968060298,10,틈틈히 학교에서 천일문 2.0을 통해 탄탄한 문장구조와 패턴을 가르친 결과 많은 학생들이 문장분석 능력이 좋아지는 것을 느꼈습니다. 그런데 2.0보다 더 체계적으로 만들어졌다니 꼭 접해보고 싶은 책 중 하나네요.
9788968060298,10,기대됩니다!
9788968060298,10,천일문을 중고딩 독해 구문 분석 교재로 사용중인데.. 몇년간 사용하다보니 문장의 간결성 때문에 조금 고민을 했었습니다. 하지만 이번에 새로 개정되어 나온 교재는 50%정도 문장이 교체되었다고 하니 더욱 기대가 됩니다. 교재가 도착하면 제가 먼저 열심히 공부하여 교사용을 만들어야 겠습니다^^
9791165260637,10,배송이 적기에 이루어져 만족합니다.
9791165260637,8,꾸준히 하면 도움이 되겠네요
9791165260637,10,매3비 시리즈 유명하죠 매일 풀다보면 진짜 실력 늡니다해석도 완전 꼼꼼해서 도움될것같네요
9791165260637,8,매일 꾸준히 하면 좋을것같아요˝
9788994845661,10,배송 빠름...마플 시리즈 계속 이용하고 있는데 이번것도 좋을 것으로 생각합니다.
9788954743945,10,분철서비스 안되나요?
9791162402955,10,전체 문제에 대해 첨삭형 해설이 있어서 풀이 후 분석하기에 알맞아요. 설명도 지루하지 않고 포인트 잘 잡아주네요.
9791162402955,10,모고 및 수능 대비로 풀기 좋습니다. 해설도 자세해서 오답 정리할 때 참고하기 괜찮아요.
9791162274521,10,방학때 공부한다고 구입했어요...
9788954750264,10,역시 좋아요.
9788928326167,8,배송이 조금 늦었지만 잘 받았습니다.
9788961334440,10,"문제가 유형별로 정리가 잘 되어있어, 실력향상에 도움이됩니다. 글씨도 작지않고 적당해 눈의 피로감도 덜 합니다. 내신준비도 같이 할수있을것같아 좋습니다."
9788961334440,10,개념원리와 짝입니다~유형별로 되어 있어 좋습니다^^
9788954754484,10,옛날에도 이교재와함께 수능준비했는데 동생도 이걸 듣네요 좋은결과나왔으면..
9788954754484,10,해석공식2.0에 비해 가독성이 훨씬 좋아졌습니다
9788954754484,10,교재에 영혼을 갈아 넣으심..
9788954750776,10,옛날에 수능볼때 나비효과 듣고 개념쌓았는데 동생도 잘 맞는다하네요 이번교재도 참 가독성좋고 지금봐도 이해잘되네요 ㅎ
9788954750776,2,입문편을 사야되는데 개념이라고 써있어서 잘못 사버렸네요 ㅠㅠㅠㅠㅠ
9788954750776,10,잘 썼어요
9788954750776,10,강의랑 같이 공부하니까 넘넘 좋아요 미니과제도 같이 푸시는거 강추!!ㅎㅎ 교재퀄리티도 좋아용
9788954750776,10,윤혜정 선생님 한 번은 뵈어야죠! ㅎㅎ 정말 좋아요!!
9788961334402,10,두권째구입합니다.아이에게 개념원리만한 개념서는 없는듯하네요
9791162402962,10,이거 쓰신 당신 !!!!!! 당신은 천사인가요 요정인가요?!?!?!? 이 귀한책을 널리 전파해주시다니...ㅠㅠ
9791162402962,10,유형이 다양하고 풀이 영상을 같이 볼 수 있어서 좋네요. 해설도 제대롭니다.
9791162402962,10,다양한 유형 및 난이도의 문제가 수록되어 있어서 시험 대비로 풀기 좋습니다.
9791162402917,10,해설 자세해서 좋아요. 시험 대비로 풀기 좋습니다.
9788968060861,10,수능 대비하기에 넘나 좋음.. 홈페이지에서 이벤트 하던뎅 참여 ㄱㄱ
9788968060861,10,수능용 단어장 중 최고인 듯 잘 뽑음
9791162402894,10,해설편에 풀이의 모든 과정이 설명되어 있어서 직접 푼 것과 비교하면서 공부하기 좋습니다. 풀이비법 영상도 도움이 많이 되는 것 같고요.
9791162402894,10,서술형 문제 파트도 있고 문제 구성이 괜찮아서 내신이랑 모고 대비 동시에 하기 좋은 문제집이라고 생각합니다.
9791162402788,8,중2 교재로서 추천합니다.
9791162402788,10,"기출 문제집은 다 거기서 거기인 거 같았는데, 이 교재는 달라요. 독해 유형들을 어떻게 풀어야 하는지 전략을 확실히 알려줘요. 빈칸 유형이면 어떤 단계로 풀어나가는 게 좋은지 강의하듯이 설명해주니 쭉 따라 읽다보면 자연스럽게 익힐 수 있어요."
9791162402788,10,해설지에서 선택지별로 정답인 이유랑 오답인 이유를 자세하게 설명해주고 있어서 좋아요. 문제도 괜찮습니다.
9791162402788,10,자이쌤 팔로우미 설명 너무 좋습니다. 독해 연습하는 데 도움 많이 돼요. 문제 유형도 난이도별로 다양하게 풀어볼 수 있어서 괜찮고요.
9791162402801,10,실제 모의고사를 그대로 수록하고 있어 실전 대비를 위해 풀기 좋습니다. 해설이 자세해서 오답 정리할 때 참고하기 좋아요.
9791162402801,10,기출 문제 혼자 풀어보는데 해설 자세해서 좋아요!
9788928325603,10,딸아이의 교과서가 신사고꺼라서 구매했는데 풀이과정도 쉽게 잘 되어있어서 좋다고 합니다. 학원을 다니고 있어서 학원교재로 공부하다가 학원공부 복습과 선행학습용으로는 좀 늦게 구매했지만 그래도 열심히 풀어보는 딸아이의 성적이 많이 올라서 만족해 하는 모습 보면 좋겠습니다.
9788961333818,8,기본기로 좋은 참고서입니다. 여러 유형과 함께 예제를 풀어볼 수 있어서 좋아요
9791164422883,10,고1 학생들에게 꼭 필요한 단어들만 엄선한 단어장이라 학습 효율을 높여줘서 효율적으로 공부할 수 있겠어요.
9791164422883,10,영어 단어 실력을 쌓는데 있어서 체계적인 학습방법을 제시해 주기 때문에 기대되네요.
9791164422883,10,영어 단어를 효과적으로 학습할 수 있는 구성이 마음에 들어요.
9791164422883,10,고등학교에 들어가 영어를 어떻게 시작해야 할지 모르겠을 때 가장 기본을 도와줄 단어집.
9791164422883,10,영어단어를 효율적으로 공부하고 익힐수 있을것 같아 좋네요
9791164422883,10,영단어를 체계적으로 배울 수 있게 구성 되어 있어서 좋습니다.
9791164422883,10,최신 출제 경향을 파악해서 그런지 더욱 이해하기 쉽습니다.
9791164422883,10,반드시 알아야할 필수 단어를 중심으로 공부하고 핵심을 놓치지 않을 수 있어 유용해요.
9791164422883,10,30일의 학습 스케줄로 3가지의 학습법을 단계적으로 학습할 수 있어 효과적 학습이 가능하네요.
9791164422883,10,단어는 꾸준히 외워야한다고 생각하는데 매일매일 조금씩 보고 이해할 수 있도록 잘 구성되어있는거 같아요
9791164422883,10,고등학교 내신성적을 올리기 위해 꼭 필수로 알아야 할 영어 단어를 보다 효율적으로 공부할 수 있게 된 책이라서 너무 좋습니다.
9791164422883,10,일일 목표량이 정해져 있어 자기주도학습이 가능하며 내신과 수능을 모두 대비할 수 구성으로 되어있습니다.
9788954743990,6,18일 예약배송이더니 너무 늦게 와서 좀 그렇네요 내용이 어렵지 않아요
9788954751360,10,화이팅
9788954751360,10,영어 노베이스면 그냥 이거 사서 공부하길.. 교재도 좋고 강의도 쉽고 재밌고... 최고!!
9788954751360,10,교재 퀄 가격대비 완벽하네요 강의도너무 좋다고 동생이 극찬해요
9788954751360,8,좀 구겨져 왔네요 ;; 신경써주세용 그래도 빨리 왔어용
9788954751360,10,완강했어요. 이 책보고 굳이 숙어집 사서 읽을 필요는 없구나 쭉쭉 해석하고 알려주신 단어 이미지 생각하는 연습하면 되겠구나 깨달았습니다. 정말 잘 가르쳐주십니다 가히 최고.
9788954751360,10,"혹시나 ‘후기 보고 사야지..’ 하시는 분들 그냥 구매버튼 당장 누르세요. 종이 재질이 좋아서 필기감 정말 좋구요. 문장 하나하나 직접 해석해보는 칸, 쌤 말씀 참고해서 수정하는 칸, 문장에 나온 단어 뜻 칸 등등 정말 알차고 가격도 착해요 강의는 뭐 말할 것 없이 최고에요 !!!"
9788954751360,10,빠르고 친절한 배송 감사합니다!!!
9788954751360,10,방학동안 열공할려고 샀습니다. 영어공부하는데 도움이 많이 됏으면 좋겠습니다. 책은 참 좋은 것 같습니다.
9788960763814,10,빠른 배송 감사합니다.
9788960763814,10,심화용 문제집이라 어렵기도 하지만 풀었을때 성취감이 크고 내신에 도움 됩니다.
9788960763814,10,항상 잘 사용하고 있어요.심화용으로  최고..^^
9788960763814,10,어려운 문제를 풀고싶어서 구매했는데 설명도 자세히 들어있고 너무 만족스러워요!
9791162402818,10,"문제 유형이 다양하고 기본 문항부터 2등급, 1등급 고난도 문항을 순차적으로 풀어볼 수 있어서 단계별로 연습하기 적절하네요. 특히 유형 풀이 비법이 설명되어 있은 자이쌤 팔로우미 덕분에 풀이 원리를 파악하는 데 도움 됩니다."
9791162402818,10,"수능 영어 독해 공부에는 자이스토리 교재가 최고에요. 유형별로 중요한 문제들이 잘 정리되어 있고, 풀이 스킬들도 유익해서 좋아요."
9791162402818,10,기출 문제 완전 정복!! 독해 문제 연습하기에 딱 좋은 교재!
9791162402818,10,킬러 문제 해설도 꼼꼼하게 해주고 있어서 시험 대비로 풀기 좋아요.
9791162402771,10,끝까지풀기를바라면서  주문했어요
9791162402771,10,"시험 대비를 위해서 풀기 좋은 문제집이라고 생각합니다. 해설지는 지문 해설이랑 선택지 해설 꼼꼼하게 해주고 있고, 부록으로 있는 단어장도 괜찮아요."
9791162402771,10,"학력평가 기출 문제를 깔끔하게 모아놨어요. 문제는 다른 교재들이랑 비슷한데, 해설 보면 다른 교재들보다 훨씬 자세한 거 같아요! 해설 읽으면 혼자 공부해도 충분하겠어요~"
9791162402771,10,모의고사 준비용 문제집! 혼자서 어떻게 준비해야 하나 막연했는데 도움이 되는 것 같아요. 풀이에 대한 설명 해설도 자세해서 좋고요.
9788954753685,10,강의도 있어서 공부하기 수월해요
