ISBN13,rating,review
9788954750264,10,역시 좋아요.
9791161238609,6,이거 개정전인줄 알았네 ㅠㅠㅠ 표지...... 왜이렇게구린가요 작년 수학 상하 표지가 훨이뻐요 아쉽 문제퀄 좋음
9788961334167,10,역시 수학문제집은 개념원리이다. 개념원리로 4행시 간다. 개:개념이 설명 잘 되어있어요 념:념념굳~(yum yum good~) 원:원래 풍산자 풀었는데 리:리(이)제부턴 개념원리로~
9788961334167,10,좋아요
9788968060830,10,기초 다지고 기본기 쌓기에 딱인것 같아요 굿
9791161232881,6,해설집이랑 가격 더하면 가격이 2만원이네 ㅋㅋㅋㅋㅋㅋ 문제 많은 마플도 이정도 안하는데 ㅋㅋ
9791161232881,10,빠른 배송 감사합니다.
9791161232881,8,선행학습할때 유용한 것 같습니다 책이 무거워서 들고다니기 좀 불편하긴해요 ㅠ
9791156200291,10,만족도 최강인 교재인듯...교육과정에서 쉽게 찾을수 없는 내용도 수록되어 있어 좋아요
9791189719593,10,좋아요 예문도 지문도 엄선해서 뽑은게 느껴집니다흥미진진입니다
9791189719593,10,받았는데요 중고등학생뿐만 아니라 온 가족이 다 봐도 좋은 책이네요! 열심히 봐야겠습니다~
9788963918310,10,많은 내용이 잘 정리되어 잇네요! 고3때 잘 쓰겠습니다 ㅎㅎ
9791161232898,6,일단 이걸 따로 구매해야하는게ㅠ 좀 별로고요풀이집 풀이가 자세하지가 않고 너무 어려워요..책 따로 풀이집 따로 구매하면 거의 2만원이네요ㅠ
9788963916453,10,글과 그림이 좀 작아서 아쉽지만 알찬 구성이 너무 맘에 들어서 구매했어요. 추천합니다.
9788963916453,10,이해하기 쉬운 그림체  정확한 교과서 개념 설명   어떤 강의도 호환되는 디테일   책의 존재를 모르는 사람은 있어도알고도 안사는 사람은 없을 책입니다.부탁인데 현대시도 만들어주세요.너무좋습니다.
9788963916453,8,"고전시가를 그림으로 이해하기 쉽게 풀어쓴 책. 총 81작품이 수록되어 있고 배경설화, 핵심정리는 다른 고전시가책과 차이점이 없다.고전시가가 어려우면 이 책을 사서 만화책처럼 공부하는 것도 좋아요.다만, 2015년도 버전이라 개정할 필요가 있다고 생각해 별 4점 드립니다."
9788963916453,10,2018개정도 다시 나오나요?기다렸다 사야하남..
9788963916453,10,어려운 고전시가를 읽기가 쉽지않은데 만화로 되어있어서 구입하자마자 먼저 읽고 재밌다고 좋아합니다. 도움이되길 바랍니다.
9788963916453,10,매지컬 고삼즈 잘 보고 있습니다 :)
9788963916453,10,"넘 재밌습니다^^ 고민거리였던 고전시가가 이제 우습고 가벼워졌습니다. 세리 선생님, 고맙습니당^^!"
9788900445466,10,자세한이론설명 마음에듭니다. 좋네용
9791161238616,10,이투스교재 믿을만 하죠
9791162402429,10,개념이 정말 쉽게 설명되어 있어요. 사진이나 그림 자료가 많아서 눈에 잘 들어오는 듯요. 학교 셤 대비 문제들도 많이 있고요.
9791162402634,8,내용도 좋고 설명도 자세해요. 그래도 생각보다 문제가 많지 않아요~
9791162402634,10,국어 중에서 비문학이 가장 어렵다고 생각했는데 이건 지문 독해 연습을 직접 해볼 수 있어서 좋네요. 설명도 친절하고 만족합니다.
9791162402634,10,설명이 자세해서 좋네요. 문제들도 괜찮아요.
9788905049515,10,새책 맞구요아들 책으로 구입했는데당일배송이라고 해놓고정작 필요한때 배송이 안됐네요아들공부에 지장있었습니다차라리 100%배송이란 말을 하질 말지그것빼곤 만족해요
9788959904617,10,친절한 수학기본서
9791125937692,10,너무 좋아요
9791125937692,10,천천히 쉼호흡하며 문법의 산을 오르게 하네요.
9791125937692,6,"중학생용이지, 고등학생용은 아니다."
9788986451009,10,누가 뭐라하든 영문법의 바이블은 성문이죠!!!아무리 시대가 변할지라도 불변하지 않는 진리는 성문종합영어
9788986451009,6,문법서로는 낙제지만 독해서로는 그럭저럭 볼만합니다. 특히 옛글투를 익히는데 도움이 많이 됩니다.유투브에 무료강의까지 있어 혼자 공부하기에도 적절합니다.
9788986451009,10,과거 회상하면서 다시 봅니다. 현대 문법에서 중요하지 않은 것도 꽤 되지만 예문과 주옥같은 독해문들은 시절이 지나도 빛을 발휘합니다.
9788986451009,10,대한민국 영어교육을 이끌었던 영어교육의 살아있는 신화라고 표현해도 좋을 책입니다. 일단 책에 실린 주옥같은 명문들은 이 책이 왜 시간이 지나도 탐독할 가치가 있는가를 말해줍니다. 다음 개정 땐 이 책의 백미인 장문독해를 더 보강하는 게 낫지 않을까 하는 생각이 듭니다.
9788986451009,10,수험영어를 준비하는 수험생 아니면 영어에 대한 내용을 좀 더 알고자 하는 독자들에게는 도움이 되는 좋은 영어서적
9788986451009,10,책 잘 받았습니다.책 상태도 양호하구요~ 배송도 빨리 수령하였습니다.책 내용을 정말로 영어의 바이블 답게 알찬 내용으로 구성되어 있구요~영어의 문법은 성문 종합영어만 보면 될 것 같습니다.
9788986451009,6,문법적인 사항도 자세히 설명되어있고 문장이 좋은듯
9788986451009,8,옛날의 교재이긴 하나 아직도 정통으로 수업하는 선생님들이 계시네요. 학원수업교재로 구입합니다.
9788986451009,10,이제는 누구도 문법을 이 책으로 공부하지 않습니다. 하지만 예문만은 훌륭하네요. 예문만으로도 값어치가 있습니다.
9788986451009,10,대물림하면서 보는 영어의 영원한 고전!
9788986451009,10,"성문 기초 , 기본, 종합 3권을 한꺼번에 보는데 문법 열번 보면 안 넘어가지는 않겠지요 그 날이 올 때까지 열심히...."
9788986451009,10,소장하기위한 책으로 산 책...아 옛적때 보던 책인데...
9788986451009,10,영어공부의 정석 성문종합영어로 울아이 고등준비합니다.
9788986451009,10,"일반적으로 참고서를 사면 아깝다는 생각을 하게 되는데, 이 책은 전혀 그런 생각이 들지 않게 하는 책입니다."
