ISBN13,rating,review
9788954756808,2,1:1 문의글도 주문번호 등록이 안되어 부득이 이곳에 글 남깁니다.. 3/9 주문시 3/10도착이라 주문했습니다. 아이 학교에 3/11에 가져가야 하는데 황당합니다수령일자가 늦어질거라면 아예 주문안하고 서점으로 갔습니다. 왜 배송약속이 안지켜지나요? 새벽배송해주세요
9788954756808,10,배송개빠르고 좋네요
9788954756808,10,내용도 좋아요
9788954756822,10,너무 잘 받았어요!
9788954756884,10,기다리겠습니당 파손 없는 상품으로 빠른 배송 부탁드려요 :)
9788954756990,10,모두합격하길..
9788954757003,10,개념 설명이 평가원 감수라 믿을만합니다. 문제도 좋구요~
9788954749343,10,저렴한 가격에 구매했어용
9788954749343,8,감사합니다 잘볼게요
9788954749343,10,배송도 빠르고 가격도 저렴하고 무료강의까지 들을 수 있어서 너무 좋아요^^
9788954743747,10,배송 빠르고 문제집에 강의때문에 문제를 이해하기 쉬워요
9788954743747,10,고1이 공부하기좋은 수준. 짜임새있는 본문 오거나이저와 응용 문제들이 있어 참 좋네요.
9788954743747,10,예비고1  혼자 공부 할수 있도록 잘 되어 있어요체계적으로 볼수 있네요Ebs랑같이 연계해서 공부 합니다
9788954743747,10,빠른 배송에 항상 감사드립니다.늦은 시간도 잊지 않으시고 배송해 주셔서 죄송하고 감사드려요.더 자주 찾아 오겠습니다.
9788954743747,10,빠른 배송 감사합니다~~
9788954743761,8,.
9788954743761,6,교재 싸게 잘 구매해서 기분 좋았었는데 공부 시작하고 보니 정답과 풀이가 누락된 채로 배송됐네요 ;; 처음엔 원래 정답과 풀이가 없는 교재인 줄 알았는데... 인강에서 풀이를 다 해줘서 다행이었어요
9788954743761,10,올림포스는 일단 이비에스에서 나온 것이어서 그런지 더욱 더 믿음이 가는 것 같아요 직접 풀어봤는데 실력이 있는 친구들보다는 한번 개념을 돌렸지만 좀 부족한것 같다 라는 친구나 배웠는데 기억이 안난다는 친구들이 쓰면 좋을 것 같아요!
9788954743761,10,정말 좋은 책 잘 구매했습니다.
9788954756891,10,좋은 제품으로 빠른 배송 부탁드려요 :)
9788954756907,10,좋은 상품으로 빠른 배송 부탁드려요!
9788954756938,10,좋은 책으로 빠른 배송 부탁드려용
9791161237282,10,고3 되는 아들 영어 단어 공부용으로 구입했습니다. 다른 책들도 많지만 워드 마스터가 수능 연계되는 단어가 많다고 해서 구입했는데 아들도 만족해 합니다. 미니단어장도 있어 편하고 아들이 몇단원정도 외우고 나니 해석 하는데 도움이 제법 된다네요. 계속 복습은 해야 단어 잊어버리지 않는다네요
9791161237282,10,"믿음직스럽고 좋은 단어책. 매일 40개 씩 외우기 좋음.단, BASIC에 비해 테스트량이 현저히 적고, 드물지만 테스트에 안 배운 단어가 나오기도 함. 테스트의 단어부분은 정답표가 아예 없어서 안 배운 단어가 나왔을 때 답을 알 수 없음. 테스트만 모은 별도의 워크북이 있었으면 좋겠음."
9791161237282,10,아들녀석이 학원세 쓰는 교재라고 하여 구매했습니다. 효과는 시험 이후에 나타나겠죠?^^
9791161237282,10,"현 중/고등 학생들에게 인지도가 높은 편이다. MP3와 영단어 테스트 등의 학습지원 서비스가 제공되기 때문에 혼자 학습 확인까지 가능하다. 단어가 품사별 정리 되어 있고, day 하나당 50개씩 나뉘어져 있어서 하루 일정량 단어 외우기에 유용하다. Review test를 통해 자가 확인도 가능하다."
9788954743754,8,좋아좋아요 ㅠ띵ㄹ~
9788954743754,10,수업에 필요해서 급하게 구매를 하였는데 당일에 바로 받아 볼 수 있어서 정말 만족했습니다.책의 구성도 개정 전 교재와 비교했을 때 부족한 것이 없고 오히려 더 만족스러웠습니다.아이들의 실력 향상 및 내신 및 수능에 좋은 영향을 미칠 것 같습니다.
9791165260613,10,책 참 잘 만든듯합니다.꾸준히 하기 좋게끔 제작되어있고 가시성이 매우 좋네요.
9791165260613,10,기초 다지기에 좋아요
9788954755153,2,당일배송 안 되네요. 급하게 필요한 거였으면 난감할 뻔했어요.
9791165260637,10,배송이 적기에 이루어져 만족합니다.
9791165260637,8,꾸준히 하면 도움이 되겠네요
9791165260637,10,매3비 시리즈 유명하죠 매일 풀다보면 진짜 실력 늡니다해석도 완전 꼼꼼해서 도움될것같네요
9791165260637,8,매일 꾸준히 하면 좋을것같아요˝
9788954743945,10,분철서비스 안되나요?
9791162402955,10,전체 문제에 대해 첨삭형 해설이 있어서 풀이 후 분석하기에 알맞아요. 설명도 지루하지 않고 포인트 잘 잡아주네요.
9791162402955,10,모고 및 수능 대비로 풀기 좋습니다. 해설도 자세해서 오답 정리할 때 참고하기 괜찮아요.
9788954754484,10,옛날에도 이교재와함께 수능준비했는데 동생도 이걸 듣네요 좋은결과나왔으면..
9788954754484,10,해석공식2.0에 비해 가독성이 훨씬 좋아졌습니다
9788954754484,10,교재에 영혼을 갈아 넣으심..
9788954750776,10,옛날에 수능볼때 나비효과 듣고 개념쌓았는데 동생도 잘 맞는다하네요 이번교재도 참 가독성좋고 지금봐도 이해잘되네요 ㅎ
9788954750776,2,입문편을 사야되는데 개념이라고 써있어서 잘못 사버렸네요 ㅠㅠㅠㅠㅠ
9788954750776,10,잘 썼어요
9788954750776,10,강의랑 같이 공부하니까 넘넘 좋아요 미니과제도 같이 푸시는거 강추!!ㅎㅎ 교재퀄리티도 좋아용
9788954750776,10,윤혜정 선생님 한 번은 뵈어야죠! ㅎㅎ 정말 좋아요!!
9791162402962,10,이거 쓰신 당신 !!!!!! 당신은 천사인가요 요정인가요?!?!?!? 이 귀한책을 널리 전파해주시다니...ㅠㅠ
9791162402962,10,유형이 다양하고 풀이 영상을 같이 볼 수 있어서 좋네요. 해설도 제대롭니다.
9791162402962,10,다양한 유형 및 난이도의 문제가 수록되어 있어서 시험 대비로 풀기 좋습니다.
9791162402917,10,해설 자세해서 좋아요. 시험 대비로 풀기 좋습니다.
9788968060861,10,수능 대비하기에 넘나 좋음.. 홈페이지에서 이벤트 하던뎅 참여 ㄱㄱ
9788968060861,10,수능용 단어장 중 최고인 듯 잘 뽑음
9791162402894,10,해설편에 풀이의 모든 과정이 설명되어 있어서 직접 푼 것과 비교하면서 공부하기 좋습니다. 풀이비법 영상도 도움이 많이 되는 것 같고요.
9791162402894,10,서술형 문제 파트도 있고 문제 구성이 괜찮아서 내신이랑 모고 대비 동시에 하기 좋은 문제집이라고 생각합니다.
9791162402788,8,중2 교재로서 추천합니다.
9791162402788,10,"기출 문제집은 다 거기서 거기인 거 같았는데, 이 교재는 달라요. 독해 유형들을 어떻게 풀어야 하는지 전략을 확실히 알려줘요. 빈칸 유형이면 어떤 단계로 풀어나가는 게 좋은지 강의하듯이 설명해주니 쭉 따라 읽다보면 자연스럽게 익힐 수 있어요."
9791162402788,10,해설지에서 선택지별로 정답인 이유랑 오답인 이유를 자세하게 설명해주고 있어서 좋아요. 문제도 괜찮습니다.
9791162402788,10,자이쌤 팔로우미 설명 너무 좋습니다. 독해 연습하는 데 도움 많이 돼요. 문제 유형도 난이도별로 다양하게 풀어볼 수 있어서 괜찮고요.
9791162402801,10,실제 모의고사를 그대로 수록하고 있어 실전 대비를 위해 풀기 좋습니다. 해설이 자세해서 오답 정리할 때 참고하기 좋아요.
9791162402801,10,기출 문제 혼자 풀어보는데 해설 자세해서 좋아요!
9791164422883,10,고1 학생들에게 꼭 필요한 단어들만 엄선한 단어장이라 학습 효율을 높여줘서 효율적으로 공부할 수 있겠어요.
9791164422883,10,영어 단어 실력을 쌓는데 있어서 체계적인 학습방법을 제시해 주기 때문에 기대되네요.
9791164422883,10,영어 단어를 효과적으로 학습할 수 있는 구성이 마음에 들어요.
9791164422883,10,고등학교에 들어가 영어를 어떻게 시작해야 할지 모르겠을 때 가장 기본을 도와줄 단어집.
9791164422883,10,영어단어를 효율적으로 공부하고 익힐수 있을것 같아 좋네요
9791164422883,10,영단어를 체계적으로 배울 수 있게 구성 되어 있어서 좋습니다.
9791164422883,10,최신 출제 경향을 파악해서 그런지 더욱 이해하기 쉽습니다.
9791164422883,10,반드시 알아야할 필수 단어를 중심으로 공부하고 핵심을 놓치지 않을 수 있어 유용해요.
9791164422883,10,30일의 학습 스케줄로 3가지의 학습법을 단계적으로 학습할 수 있어 효과적 학습이 가능하네요.
9791164422883,10,단어는 꾸준히 외워야한다고 생각하는데 매일매일 조금씩 보고 이해할 수 있도록 잘 구성되어있는거 같아요
9791164422883,10,고등학교 내신성적을 올리기 위해 꼭 필수로 알아야 할 영어 단어를 보다 효율적으로 공부할 수 있게 된 책이라서 너무 좋습니다.
9791164422883,10,일일 목표량이 정해져 있어 자기주도학습이 가능하며 내신과 수능을 모두 대비할 수 구성으로 되어있습니다.
9788954743990,6,18일 예약배송이더니 너무 늦게 와서 좀 그렇네요 내용이 어렵지 않아요
9788954751360,10,화이팅
9788954751360,10,영어 노베이스면 그냥 이거 사서 공부하길.. 교재도 좋고 강의도 쉽고 재밌고... 최고!!
9788954751360,10,교재 퀄 가격대비 완벽하네요 강의도너무 좋다고 동생이 극찬해요
9788954751360,8,좀 구겨져 왔네요 ;; 신경써주세용 그래도 빨리 왔어용
9788954751360,10,완강했어요. 이 책보고 굳이 숙어집 사서 읽을 필요는 없구나 쭉쭉 해석하고 알려주신 단어 이미지 생각하는 연습하면 되겠구나 깨달았습니다. 정말 잘 가르쳐주십니다 가히 최고.
9788954751360,10,"혹시나 ‘후기 보고 사야지..’ 하시는 분들 그냥 구매버튼 당장 누르세요. 종이 재질이 좋아서 필기감 정말 좋구요. 문장 하나하나 직접 해석해보는 칸, 쌤 말씀 참고해서 수정하는 칸, 문장에 나온 단어 뜻 칸 등등 정말 알차고 가격도 착해요 강의는 뭐 말할 것 없이 최고에요 !!!"
9788954751360,10,빠르고 친절한 배송 감사합니다!!!
9788954751360,10,방학동안 열공할려고 샀습니다. 영어공부하는데 도움이 많이 됏으면 좋겠습니다. 책은 참 좋은 것 같습니다.
9791162402818,10,"문제 유형이 다양하고 기본 문항부터 2등급, 1등급 고난도 문항을 순차적으로 풀어볼 수 있어서 단계별로 연습하기 적절하네요. 특히 유형 풀이 비법이 설명되어 있은 자이쌤 팔로우미 덕분에 풀이 원리를 파악하는 데 도움 됩니다."
9791162402818,10,"수능 영어 독해 공부에는 자이스토리 교재가 최고에요. 유형별로 중요한 문제들이 잘 정리되어 있고, 풀이 스킬들도 유익해서 좋아요."
9791162402818,10,기출 문제 완전 정복!! 독해 문제 연습하기에 딱 좋은 교재!
9791162402818,10,킬러 문제 해설도 꼼꼼하게 해주고 있어서 시험 대비로 풀기 좋아요.
9791162402771,10,끝까지풀기를바라면서  주문했어요
9791162402771,10,"시험 대비를 위해서 풀기 좋은 문제집이라고 생각합니다. 해설지는 지문 해설이랑 선택지 해설 꼼꼼하게 해주고 있고, 부록으로 있는 단어장도 괜찮아요."
9791162402771,10,"학력평가 기출 문제를 깔끔하게 모아놨어요. 문제는 다른 교재들이랑 비슷한데, 해설 보면 다른 교재들보다 훨씬 자세한 거 같아요! 해설 읽으면 혼자 공부해도 충분하겠어요~"
9791162402771,10,모의고사 준비용 문제집! 혼자서 어떻게 준비해야 하나 막연했는데 도움이 되는 것 같아요. 풀이에 대한 설명 해설도 자세해서 좋고요.
9788954753685,10,강의도 있어서 공부하기 수월해요
9791162403075,10,개념만 형식적으로 설명하지 않고 풀이 원리를 디테일하게 설명하고 있어서 문풀 후 정리할 때 도움이 많이 됩니다. 사진이나 자료도 생각보다 다양하네요.
9791162403075,10,"최신 출제 경향도 체크해주고 있고, 고난도 문제는 특별 해설까지 수록해서 자세하게 설명해주고 있어서 시험 대비로 풀기 좋은 문제집이라고 생각합니다."
9791162402979,10,풀이 해설 섬세해요. 답을 도출하는 풀이 과정이 순서대로 설명되어 있어서 혼자 풀이하고 분석하기에 알맞은 것 같습니다.
9791162402979,10,유형별로 기출문제가 수록되어 있어서 취약 유형을 집중적으로 공부하기 좋습니다. 해설도 자세해서 괜찮아요.
9791162402870,10,이보다 더 완벽한 기출 해설은 없을 듯
9791162402870,10,완전완전 레전드책입니다 !!!!
9791162402870,10,타출판사 기출문제와 달리 글의 내용정리도 잘되어있고 특히 문제 푸는스킬도 정리가 되었습니다 혼자 공부할수있도록 해설지가 정말 풍부하게 잘되어있어요.  서점에 가셔서 꼭 체크해볼것... 기출문제의 해설끝판왕입니다
9791162402870,10,다른 기출문제집과 다르게 독해공식과 풀이공식이 세밀하게 설명되어 있습니다. 유형별로 수능 예측하는 부분도 좋고 전체적으로 풀이 설명이 좋네요.
9791162402870,10,문제 유형별 특징이랑 풀이 팁을 제시해주고 있어서 시험 대비로 풀기 좋다고 생각합니다.
9788954750783,10,책 한권으로 뮨학 비문학 화작 독서 문법 개념 다 훑어볼수있어서 좋아요
9791162727713,10,최고의 수준의 품질입니다!!
9791162402665,10,실제 시험지 구성이라 실전 대비하기에 아주 좋네요!
9791162402665,10,해설이 자세해서 좋아요. 시험 대비로 풀기 좋습니다.
9791162402665,10,해설이 구체적으로 설명돼 있어요. 실제 시험처럼 문제를 풀어본 뒤에 첨삭 내용을 가지고 보충 정리하기에 적절한 것 같아요. 굿굿
9791158318178,10,수능 1등급 도저 가능할 것같아요.
9791158318178,10,역시 워드마스터는 실망시키지 않아요 고득점을 위해 하이퍼도 마스터해야겠어요^^
9791158318178,8,학원교재라 구입했습니다.
9791158318178,10,난이도 있는 단어학습에 좋은것 같아요. 단어마다 다양한뜻이 나와있고 또 예문들이 단어뜻에 맞게나와있으니 독해에도 많은 도움이 될것 같습니다. 구성이나 내용이 알차고 좋아요~
9791162403082,10,"개념 정리도 깔끔하게 잘 되어있고, 해설지도 함정 파트나 문제 풀 때 주의해야 하는 사항 등을 자세히 설명해주고 있어서 좋습니다."
9791162403082,10,기출 해설은 역시 자이스토리. 문제마다 풀이 키포인트와 그 근거를 명확하게 설명한다. 답보다 답 찾는 방법 을 공부할 수 있는 기출서다.
9791162402986,10,유형별 기출을 난이도 순으로 다양하게 풀어볼 수 있어서 좋아요. 해설도 모든 문제의 모든 풀이를 볼 수 있어서 굿. 큐알코드 같은 경우 잘 사용 안 했었는데 이것도 풀이과정 볼 수 있고 생각보다 간편해서 좋네요.
9791162402986,10,해설이 자세해서 좋습니다. 특히 킬러 문제들은 해설을 더 자세하게 해주고 있어서 문제를 확실히 이해하고 넘어갈 수 있어요.
9788965423805,4,"책 자체는 괜찮습니다. 오히려 단어별로 그림이 있는게 더 좋았습니다. 로그인 없이 파일을 받아볼 수 있던 것도 좋았고요.상단에 단어시험지 제작서비스를 제공한다고 되어 있습니다. 실제로 제가 들어가보니, 교사 전용이더군요.개인적으로 공부하실 분은 이 점 고려하셔서 구매하시기 바랍니다."
9788965423805,10,해커스의 ‘그림보카 어플‘을 통해서 학습효과를 봤었기에 <해커스보카 어원>도 기대를 품게 만든다. 단어의 뜻이 금방 이해되는 그림과 다양한 유형의 테스트를 통해 학습효과도 배가될 것으로 보여진다. 덤으로 워크북과 미니단어장까지 꼼꼼하게 챙겨주는 센스에 학습플랜까지 있다니 감동이다.
9788965423805,10,영어는 역시 해커스죠. 해커스 노랭이를 한번쯤 들어봤던 사람들이면 믿고 살것같은 해커스. 깔끔한 디자인에 삽화들은 왜이리귀여운가요 ㅋㅋㅋ 교재살때 디자인을 가장먼저 보게되는사람이라 손이 안갈수가 없네요. 단어도 단어지만 부록도 다의어와 혼동어휘 등 알차게 되어있어요. 해커스 최고
9788965423805,10,해커스 보카 어원편은 단어를 무작정 외우게 한다기보다는단어가 어원으로 정리되어 있어서 외우기 편할거 같네요.모르는 단어가 있어도 이 책에서 공부한 어원으로 추리할 수 있어서 좋을거 같습니다.
9791162726365,6,영어듣기문제를반영했다고하니듣기24회좋아요
9791162726365,10,영어듣기의 절대강자
9791195495078,10,좋아용
9791195495078,10,좋습니다
9791195495078,10,혼자 외우는 영단어 지긋지긋하고 너무 답답해서 구입한 책입니다.인강이랑 들으면 시너지효과가 엄청 좋을거같네요너무 만족스러운 책입니다.
9791195495078,10,유명한 경선식을 이제야 알게되다니...땅을 쳤어요.책기다리면서 홈피가서 무료3강을 내리보면서 감탄 또 감탄....한번 쭈욱 보았는데 80%이상 기억나요.일주일에 한번씩만 복습하면 1년 뒤에도 기억나겠어요. 대박인걸요
9791195495078,10,해피투게더 보고 인상적이어서 책 구매했었는데 연상되는 방식으로는 이 만한 게 없겠습니다. 한번 쭉 보고 복습하는 걸 3번 정도 반복했더니 기억이 오래 남고 좋습니다
9791195495078,10,단어가 쉽게 읽여요 영어 좋습니다.를 공부하기 싫어했는데 책을 보며 호기심으로 구매했고 단어를 이렇게 쉽게 영상으로 이해하면서 외울수 있다는 사실이 너무 좋았습니다. 이 책으로 좋은 영어 점수 받았서 어느 누구에도 추천합니다
9791195495078,10,안들어본 사람은 있어도 한 번 들으면 헤어나올 수 없는 경선식 영단어 인강... 단어 인강으로 외우는거 정말 강추합니다. 누구는 단어를 인강까지 듣냐고 하지만 똑같은 30분으로 더 오랫동안 기억할 수 있다고 장담해요!!
9791195495078,10,"좋아요 깔끔하게 잘정리되어있고, 특히 단어암기하기가 아주 편합니다.그리고 재미있게 암기할수있는점이 아주좋은것같습니다.무작정외우기보단 기억에 더오래남고 좋아요~~"
9791195495078,10,손가락이 아프지 않아요.  연상하고 기억하고 하니까 쉽게 외워져요기존에 단어집 몇개 사서 외었는데 몇일 안가고 못외우겠더라구요 생각하고 상상하면서 하니까 외우는 속도도 기억도 좋아요
