ISBN13,rating,review
9791165260613,10,책 참 잘 만든듯합니다.꾸준히 하기 좋게끔 제작되어있고 가시성이 매우 좋네요.
9791165260613,10,기초 다지기에 좋아요
9788954742047,10,"배송상태 좋음, 급하게 시켰는데 배송 기간 생각보다 빨랐음, 문제 반 답지 반임. 좋음"
9788954742047,6,새건데 하자 있네요 ;;쓰는데 지장 없어서 교환은 안해요 !
9791165260637,10,배송이 적기에 이루어져 만족합니다.
9791165260637,8,꾸준히 하면 도움이 되겠네요
9791165260637,10,매3비 시리즈 유명하죠 매일 풀다보면 진짜 실력 늡니다해석도 완전 꼼꼼해서 도움될것같네요
9791165260637,8,매일 꾸준히 하면 좋을것같아요˝
9791162402955,10,전체 문제에 대해 첨삭형 해설이 있어서 풀이 후 분석하기에 알맞아요. 설명도 지루하지 않고 포인트 잘 잡아주네요.
9791162402955,10,모고 및 수능 대비로 풀기 좋습니다. 해설도 자세해서 오답 정리할 때 참고하기 괜찮아요.
9791162402962,10,이거 쓰신 당신 !!!!!! 당신은 천사인가요 요정인가요?!?!?!? 이 귀한책을 널리 전파해주시다니...ㅠㅠ
9791162402962,10,유형이 다양하고 풀이 영상을 같이 볼 수 있어서 좋네요. 해설도 제대롭니다.
9791162402962,10,다양한 유형 및 난이도의 문제가 수록되어 있어서 시험 대비로 풀기 좋습니다.
9791162402917,10,해설 자세해서 좋아요. 시험 대비로 풀기 좋습니다.
9791162402894,10,해설편에 풀이의 모든 과정이 설명되어 있어서 직접 푼 것과 비교하면서 공부하기 좋습니다. 풀이비법 영상도 도움이 많이 되는 것 같고요.
9791162402894,10,서술형 문제 파트도 있고 문제 구성이 괜찮아서 내신이랑 모고 대비 동시에 하기 좋은 문제집이라고 생각합니다.
9791162402788,8,중2 교재로서 추천합니다.
