ISBN13,rating,review
9791190931359,10,한 번 정리로 수능 과목이 머릿속에 통째로 복사되는 성적이 오르는 공부 비결을 2020학년도 수능 만점자가 직접 경험할 수 있는 고등학교 공부법을 알려준다.
9788969523860,8,"고2,3 학년을 주로 맡고 있는 현직 일반고 교사 입장에선 다 아는 얘기고, 해당 학교상황과는 약간 차이가 있는 부분들도 있지만, 전체적으로 솔직하게 쓰여있고 맞는 얘기들이 많아서 입시를 처음 경험하는 중3, 고1 학부모와 입시 경험이 없는 고1 담임에겐 좋은 참고자료가 될 듯하다."
9788969523860,10,비싼 돈 주고 입시컨설팅 받는 것보다 이 책 한권 보는 게 훨씬 낫네요. 강추합니다
9791158741082,10,서류부터 면접까지 시기적으로 필요한 부분을 콕콕 집어서 준비하기에 좋습니다
9791158741082,10,전문가의 코칭으로 의대입시에 많은 도움이 될것 같아요
9791158741082,10,파트별로 알찬 정보가 우리아이 입시 방향 설정에 좋아요
9791158741082,10,전반적이 의대입시의 흐름을 안내해주니 유용해요
9791158741082,10,서류부터 면접까지 분석한 부분을 참고하다보니 역시 학종은 고1부터 아니 입학전부터 방향을 잡는것이 중요함을 다시 느낍니다.
9791190538183,6,중학배치고사 1등으로 들어간 애가 무슨 꼴등외고 배치고사 꼴등한거 가지고 계속 꼴등인지 아나보네 얼마 안있다 친 중간고사에서 바로 80등으로 올랐다그 뒤로 쭉 전교2등한번 뒤에서 2번째 꼴등한거 가지고 사람 현혹하지마라
9791190538183,10,공부하면서 잠시 쉴때 읽으면 좋을듯요. 진짜 영준님 존경합니다.
9791190356992,10,내게 맞는 공부법을 찾을 수 있을 것 같단 자신감을 심어 준다.
9791190356992,10,책을 읽으면서 생각한것은 부모님의 잔소리보다는 아이 스스로가 자신의 인생을 설계할수 있도록 도와주는것이 성적을 상승하는것에 조금 더 도움을 줄 수 있지 않을까 싶다.
9791190356992,10,누군가의 공부 방법을 익히기 위한 책이 아닌..공부를 하겠다는 마음을 먹게하는 책이 아닐까 싶습니다.아이들이 읽어본다면 공부를 해야겠다는 전환점을 맞이할 수 있지 않을까 싶습니다.
9791190356992,10,작년에 다큐프로그램에서 본 내용이 이상깊어서 책으로 만나봤는데 역시나 좋네요~
9791190356992,10,공부법에 관한 내용들은 읽어보면 도움이 된다. 물론 개인별 동기부여와 주어진 상황은 다르겠지만 본인만의 효율적인 방법을 찾아가는 과정이 가장 중요할 것같다. 이 책을 읽고시행착오가 있었지만 성공적인 공부법을 찾아낼수있으면 좋겠다.
9791190356992,10,공부비결의 진짜 핵심을 알려주는 책
