ISBN13,rating,review
9788954677257,10,"아, 나는 범속하여 비교를 벗어나지 못한다. 도무지 안 할 수 없다. 심채경 선생의 이 책을  <랩걸  >보다 삼만배 재밌게, 오만배 아름다움을 느끼며 읽었다.  좋은 글이  가진 인력, 진실한  몰두가 드러내는 광휘, 선택한 궤도를 성실하게 걷는 연구자로서의 태도까지 경건하게, 또 소박하게 별같다."
9788954677257,10,낭만은 생각만큼 아름다운 건 아니지만 생각보다 따뜻하다. 벌써 올해의 책~
9788954677257,10,주간 문학동네 연재될 때부터 계속 계속 기다렸던 책인데 드디어 나와서 너무 기뻐요. 문학동네 선생님들 제발 책이 나왔다고 더 시끄럽고 크게 알려주세요...... 심채경 교수님 책은 전 국민이 읽어야 합니다ㅠㅠㅠㅠㅠ
9788934991366,10,영향력 있는 인물인 빌 게이츠가 환경에 대한 문제제기와 아이디어 제공을 해주어 고맙다
9788934991366,10,"환경을 주제로 하지만, 신기하게도 이 책을 읽다보면 빌 게이츠가 왜 세계적인 기업가가 되었는지 알게된다."
9788934991366,10,기대되는 책입니다
9788934991366,10,빌 게이츠의 기후 재앙을 피하는 법은 도무지 가시화되지 않는(혹은 그러고 싶지 않은) 문제를 탁월한 솜씨로 현실로 끌고 온다.
9788934991366,10,괜찮은책으로보이네요
9788934991366,10,"여성분들도 책 많이 읽으시네.... 북극 빙하, 미국 폭풍, 태풍, 일본 지진, 인도네시아 쓰나미 등등.... 예전보다 더 심해 지고 있기는 합니다."
9788934991366,2,빌게이츠.. 믿고 거름.
9788934991366,8,환경에 관심이 많아 기대되는 책이네요.중학교 아이와 함께 읽어보려합니다
9788934991366,10,기후와 환경 문제 진짜 어렵긴한데 빌 게이츠라면 뭔가 해결 가능할 것 같기도함
9788934991366,10,"점점 더 환경에 관심을 가지게 되는 저에게, 딱 필요한 책이었어요. 특히 환경하면 떠오르는 추상적인 얘기들과 달리, 명확한 목표와 실현 가능한 방법들을 제시한 점이 좋았습니다.  우리가 가진 기술들을 어떻게 활용할 수 있을까.. 읽는 내내 고민해보았습니다."
9791159711862,4,출고 빨리 부탁드립니다!
9788962184297,8,명성한 만큼 좋은교재인건 맞지만 이책으로만 학습하기엔 부족한거같다
9788962184297,10,책 잘받았습니당
9791188731022,10,개정은 드럽게 많이하고 가격도 그지같고
9791166890000,10,마케팅이 좀 자기계발서인 것처럼 되어서 아쉽지만 실제로는 인간 및 조직을 이론적으로 해석한 책입니다. 그러나 예시가 굉장히 풍부하게 제시되어있어서 이해하기 쉽고 딱딱한 교과서 느낌은 들지 않습니다.
9788983711892,6,뒤로 갈수록 흡입력이 떨어져 대충읽었다. 중반까지는 시간가는줄 모르고 읽었는데..
9788983711892,10,원서와 대조하며 몇 페이지를 읽어 봤는데 직역은 아니더군요. 풀어쓰기도 있고 살짝 의역도 있지만 일반 독자의 이해를 돕기 위해 고심을 한 정성이 엿보이는 초월번역에 가깝습니다. 번역 문체도 아름답네요. 근래 만난 역서 중에서 가장 뛰어난 번역이라 생각합니다. 감사합니다.
9788983711892,10,"별, 지구, 우주, 인간, 생물체  이 모든것 즉 존재의 기원에 대해 다룬책으로 그 광범위함에는 놀랍다다만 지구의 탄생은 먼 별로부터 왔다. 인간은 작은 미생물로부터 진화했다는 내용은진화론과 빅뱅을 전제로한 확실치 않은 이론으로 출발하여 이또한 믿음으로 읽어야 이해된다."
9788983711892,10,중간에 고비가 있었지만 다 읽을 수 있었음. 생각보다 잘 읽힘. 배울 거 많음
9788983711892,10,전 아직 못읽고 울딸 읽고있어요. 유시민님이 추천해서 저돛곧 도전!
9788983711892,2,책 내용은 좋은데 이렇게 검수를 안할일인가... 너무 뻔한 오타에 감사합니다.그리고 <이런식으로 되어있는부분이 많네요 문장다음에 띄어쓰기하는건 초등학생도 아는 상식인데...아쉽습니다ㅠ
9788983711892,10,코스모스의 바다에  온마음을 던져 몰입해 보았다.
9788983711892,10,어릴때부터 늘 읽고싶었던 책인데 이것저것 한다고 나중에 읽자하던걸 드디어 사서 읽어봤네요. 여러번읽어보고싶은 책이네요. 읽는 내내 뭐랄까 기분이 황홀한느낌.?  그러면서도 다읽고나니 나란 존재에 대해 다시 생각해보게 되는..
9788983711892,10,"#2020_09이책은100자평도 턱없이모자라다.읽는내내 우주 삼라만상은 저절로 이루어지는 것은 절대없고.우리들 모두는 하나로 연결되어있다는 믿음이 폭발한다.절대 외롭지 않다.지금의 전세계적인 코로나 바이러스 시국에서 가장 시의적절하다.그어떤 문제,난관,어려움도 문제없다.성경보다 일독을권함"
9788983711892,10,우주를 알면 인생관도 달라집니다.
9788983711892,6,별과 인간의 탄생에서 죽음까지 아우르는 대서사시. 크리스쳔으로서 불편한 부분도 약간 있었지만 꽤 흥미로운 책이었다. 불교 윤회사상이 코스모스와 잘 어울리는듯
9788983711892,10,인생책 발견! 과학에 관심을 가지려던 시기에 유시민 작가님 추천으로 읽고 완전 반해 주변에 모두 사게 한 책입니다. 칼 세이건이 들려주는 서사는 경이롭고 성스럽습니다.  이 책 한권이 이어준 독서가 저에게는 굉장히 많습니다. 두고두고 계속 읽고 싶은 책이네요.
9788983711892,10,꼭 다시 읽어볼 책우주과학 + 물리학 + 유전학 + 생물학 + 인물 + 역사 + 뇌과학 등 모든 학문의 총집합체
