ISBN13,rating,review
9791136731890,10,더특ㅠㅠ하아...ㅠ초판이라도 구해야죵..!!
9791136731890,10,빨리 왔으면 좋겠어요ㅠㅠ
9791162541968,2,노오력하고 모올입해야만 되는 건지
9791162541968,8,개인적으로 서문부터 흥미로웠고 밑줄 친 부분이 정말 많았다 실천포인트로 주는 내용들은 저자가 꼭 해보라는 응원의 메시지 같았다 ˝당신은 언제든 몰입 상태에 들어가는 법을 이제 안다. 무엇을 하든 완전히 빠져들 수 있다.˝ 이 말을 끝으로 책을 덮을 때가 시작이다
9791162541968,2,허풍을 엄청나게 떠나 영양가 없음. 당연하게도 해외 서적 사이트에서 평이 좋지 않다. 차라리 조지 레오나르드의 ‘달인‘이 더 와닿았다.
9791162541968,10,한계를 마주하고 답답했다면 이 책을 권하고 싶어요. 유익한 내용이 많아요. 두고두고 읽고 싶은 책.
9791162541968,10,나의 변화를 꿈꾸는 사람. 그만큼 간절하며 도전할 용기가 있는 사람에게는 정말 추천하고싶다.  다소 어려울수도 많은 부담감이 있을수도 있겠지만 그만큼 이 책 한 권에 다 담아 전해주고픈 작가의 의도는 너무 감사할 뿐.. 20분 단위로 끈어읽지않아도 저절로 그럴수 밖에 없었다.
9791162541968,2,알라딘 편집장님 이 책을 알라딘 전면에 홍보하시는 이유가......? 또 열정드립 하는 자기계발서 나왔네요.
9791162541968,10,안된다는 생각을 단 한번 이겨낸 순간 모든것이 쉽고 단순해졌다! 이 문구가 저를 책을 읽고싶게 하게끔 만든 문구예요.
9791162541968,10,"저자의 성공 모델인 리미트리스 모델의 핵심은 마인드셋, 동기, 방법이다. 학습방법의 학습을 통해 나의 한계를 극복하고 진정한 자기계발에 성공하자!"
9791162541968,10,"잠재력과 개발되지 않은 강인함, 지능, 집중력과 같은 잠재력을 발현시키는데 도움을 주는 책"
9791162541968,10,원제랑 너무 상관없는 번역제목이 안타깝다 담백하게 무한함으로 하던가 아니면 반어법으로 한계점이라고 하는게 더 나을듯...
9791162541968,10,아주 책을 씹어먹은 기분이었다. 정말 책을 야무지게 습득했다는 느낌을 체감하였다. ˝아! 책은 이렇게 읽혀야 되는구나! 맛깔난다˝ 하고 마지막 표지를 닫았다.
9791162541968,8,실천만 하면 참 좋은 내용들이 많습니다
9791162541968,10,나의 열정을 찾고 그것에 최대한 몰입하자. 스스로 만든 한계를 초월하라.뇌학습 방법의 학습이 여기에 있다.
9791162541968,10,"책을 읽고 나의 한계점을 돌아보게 되었다.나의 한계를 내가 감히 정할 수 있는것일까?책에서는 말한다.나의 개인적 결점이나 능력부족으로 실패한 것이아니라고,,,내가 나를 어떠한 틀에 가두어두고 어떠한 행동이나 말에 제한을 두고 있었다.성공의 공식이 그대로 녹아있는책 ,인정!"
9791162541968,8,내용은 도움될만한 내용들이 정말 많다. 유익한 책이다. 그러나 제목을 원제와는 상관없는 ˝마지막 몰입˝이라고 했는지 모르겠다.
9791162541968,8,세계적인 브레인 코치 짐 퀵의 이야기다. ‘학업지진아‘에서 세계 상위 1%가 극찬한 최고의 두뇌전문가가 된 과정이 담겨있다.
9791162541968,10,"자기계발서를 읽으면 가장 좋은 점은 책속에서 만나는 전문가들의 짧고 임팩트 있는 소중한 정보다 임상신경 과학자, 동기부여 강연가, 회복력 전문가 , 신경과학자, 통합영양학자, 심리학교수등 많은 세계의 분야별 전문가들의 조언을 듣고 짐퀵에게 브레인 코칭을 받았다^^"
9788965422785,10,어휘 중요하지!
9788965422785,10,토익을 공부하기위해서는 꼭 봐야할 책 적극추천합니다
9788965422785,10,"토익 단어 공부하려고 구매했는데, 생각보다 괜찮네요. 만족스럽습니다."
9788965422785,10,"Day가 시작할때마다 짧은 만화 한 페이지로 시작해서 단어를 유추해볼 수 있고 재미있어서 좋아요! 단어 의미도 여러가지 써있고, 숙어 표현도 나와있어서 유익합니다."
9788965422785,10,괜히 좋다는 말이 있는게 아니네요!패러프레이징 어구부터 상세한 설명까지너무 마음에 듭니다ㅠㅠㅠ흑흑알라딘의 파워배송과 짱짱 좋은 책에 힘입어토익 만점 노리겠습니당~~~! 최고
9788965422785,10,토익 공부하려고 책 샀는데 너무 좋아요
9788965422785,10,영어단어책 필요해서구매했어용
9788965422785,10,08%의 경쟁률을 뚫고 배송이 당일배송 실패랍니다. 행복하네요 여기서 운이 매우 없었으니 다른 일에는 행운이 많을듯해요 감사해요
9788965422785,10,구성이 백화사전 수준이네요..토익공부하는 동안은 필수 백퍼 외워야죠..공부는 책이 중요한데...공부하면서 의심을 안하고 열심히만 하면 되는 책인것 같습니다.
9788965422785,10,잘 받았어요 받았어요 받았어요 받았어요 받았어요 받았어요 받았어요 받았어요 받았어요 받았어요 받았어요 받았어요 받았어요 받았어요 받았어요 받았어요 받았어요
9788965422785,8,수능 끝나고 영어 토익이나 준비하려고 샀습니다! 무난합니다!
9791160023176,8,좋아요
9791160023176,10,초보자들을 위한 좋은책인거같아요이해하기도 쉽고 잘 읽혀서 좋아요
9791160023176,10,쉽게 설명되어 있어 주식 초보자들에게 좋은 책이네요
9791160023176,2,로리 어린이의 합성어로 어린이를 성적대상화하고 그 행위를 희화하는 일베 용어에서 유래된 말을 버젓이 책 제목에.. 또 그 책이 베스트셀러고 잘 돌아간다 출판계
9791160023176,10,주식을 1년 정도 열심히 했는데요. 이 책을 읽어보니 제가 모르던 내용들이 있었네요. 역시 공부를 해야..
9791160023176,10,매일 아침 삼프로티비에서 전겨 마감시화 방송을 시청하면서 많은 도움과 10여년 만의 주식 투자를 즐겁게 할 수 있는 인사이트를 제시해주는 염부장님의 책이 나왔다는 소식에 주문하고 받아서 금방 읽어버렸습니다. 아주 기초적인 질문부터 제법 심도 있는 질문까지.. 큰 공부가 되었습니다.
9791160023176,10,진짜 쉽게 읽혀요
9791160023176,10,주식에 관한 관심이 조금이라도 있다면 염블리를 모를 사람은 아마도 없을 것이다. 그가 펼치는 주식 시장에 대한 정보가 모두 이책에 담겨있다. 주저하지 말고 그냥 사서 보시기를..!!  그냥 굿이다 !
9791160023176,10,"좋은 책은 독자들이 먼저 알아보는 것 같습니다. 이 책과 함께 저자가 출연하는 유튜브 방송을 함께 시청한다면, 변화하는 주식 시장을 좀 더 잘 이해할 수 있으리라 확신합니다. 대박 보다는 손해를 보지않는 안정적인 투자를 할 수 있는 기본기를 다지는데 매우 도움이 되는 책이라 생각합니다. :)"
9791160023176,8,잘 봤어요. 쉽고 재밌게 써주셔서 완전 생초보인데 어렵지 않게 이해했습니다!
9791160023176,10,공짜로 마감시황방송 듣고 큰도움 받고 있는게 너무 감사하고 미안해서 책 구매했습니다^^
9791160023176,10,주식을 하면서 궁금한 점들이 담긴 이 책을 읽으면서 지식을 공부하고 소액부터 시작하며 마인드를 바꾸는 것이 좋지 않을까 하는 게 생각이며 네이버나 서점 순위에 상위권으로 등록될 만큼 많은 이들이 읽고 있지만 많은 분들이 이 책을 읽으며 많은 분들이 성공하시면 좋겠다
9791160023176,10,"주식에 대한 책은 많지만 알찬 책은 없었는데, 이 책은 기초부터 탄탄하게 잡아주서 좋았어요!"
9791160023176,10,몰랐던 것들을 하나하나 알아가는 재미가 있었습니다. 꼭 필요한 내용들이었기에 정말 좋은시간 보냈습니다.
9791160023176,10,#주린이가가장알고싶은최다질문TOP77 의차례를 보면 주식용어에서부터 주식개념을 파악할 수 있게 해준다. 요즘은 글자보다는 동영상이 보편화된 시대에 맞추어 주요 질문에 대해서는 동영상 강의를 찾기 쉽게 QR코드로 제시해 주고 있다.
9791160023176,6,제가 궁금해하는 일반 주식 상식을 알려줄 책입니다. 이분 강의를 많이 듣는데 궁금했거든요. 배송은 조금 느렸지만 500원 받아서 좋습니다.
9791160023176,10,염블리가 추천한 삼성전기 두배먹고 익절함 염블리 만세 익절한 돈으로 책 살게요
9791160023176,10,주식 처음 접하는 사람에게 필요한 내용을 쉽게 이해하도록 정리를 너무 잘하셨습니다.
9791160023176,10,염승환님 싸인도 있고 잘 읽고 있어요~
9791160023176,8,"<주린이가 가장 알고 싶은 최다질문 TOP 77>에는 주식투자를 하며 꼭 알아야 하거나 이해하기 어려운 내용에는 동영상 강의를 통해 이해를 도와주며, 주식투자에 대해 잘 성명되어 있어 주식투자에 대한 궁금증에 도움이 된다."
9791160023176,10,"주식 2년 하면서도 기업에 대한 정확한 평가가 아닌, 그날그날 휩쓸리듯 매매했던 주린이입니다. 유튜브 방송으로 많은 걸 배웁니다. 내가 하는 건 도박이 아니라 투자라는 것도 슬슬 깨달아갑니다."
9791160023176,10,책 내용은 좋았는데 인쇄상태가 좋지않은 페이지가 많아서 가독성을 떨어뜨리네요. 이런 인쇄상태는 세로쓰기책 이후로 첨보는듯. 출판사는 기본에 충실했으면 합니다.
9791160023176,8,"주식 방송을 들으며 어려운 내용이 많았는데 이 책은 주식 상식 필독서인것 같습니다. 책이 두꺼운데 술술 잘읽혀요. 내가 뭘 아는지 모르는지, 어떤것부터 공부해야할지 모르겠다면 단연 이책으로 시작하세요. 앞으로 방송청취가 기대돼요! 활자가 미세하게 깨져 흐릿해 별하나 뺍니다.. 개선 되겠죠~"
9791160023176,10,"염승환부장님 영상보면, 상업성이 없고~ 정직한 지식을 나눠준다고 느낄 수 있지요. 일확천금이나, 극비 노하우를 원한다면 비추. 믿을 수 있는 지식을 원한다면 추천."
9791160023176,10,염블리님 최고예요~~
9791160023176,10,너무 이해하기 쉽고 읽기 편하게 잘 쓰셨네요.
9791160023176,10,"제목에 ˝주린이˝가 적혀 있었지만, 내용은 10년차가 되어도 놓치고 있던 내용들이 나왔네요"
9791160023176,10,어려운 용어들을  쉽게 이해할 수있게 설명해주셔서 소설책 처럼  잘 넘어가고  주린이에게는 필독서입니다
9791160023176,8,선물용으로 구매해서 들추다 읽게되네요. 평소방송모습 그대로 내용  성실하고 꼼꼼하고 기초 탄탄합니다. 아는데 설명 못하는 머리속 안개를 걷어줍니다. 2년전 오프 강의서 뵐때 수줍어 하시며 진지하게 답변해주신 모습 그대롭니다. 계속 성장하시길 바랍니다.
9791160023176,10,염블리님이 저희에게 어떤 이야기를 해주실지 눈빠지게 기다리고 있습니다.
9791160023176,10,염블리님 책! 주린이에게 꼭 필요한 바이블이 될 거예요~얼른 읽고 싶어요~
9791160023176,10,염부장님 승진 축하드립니다.
9791160023176,10,염블리기다리고 있습니다^^
9791160023176,10,올 한해 다들 부자 됩시다.
9791160023176,10,얼른 나와라 ㅜㅜ 18일에 출발한다네 ㅜㅜ
9791160023176,2,너무 평범한 내용을 과장되게 서술하고 실질적 도움은 되지 않는 내용뿐이네요.
9791160023176,10,염블리님 매일 시황분석 방송 너무 감사하고 덕분에 수익도 많이 냈습니다만 시장은 조정이 올 것이 분명하고 주린이가 아닌 장기투자자로 남으려면 체계적으로 기초부터 공부해야겠다고 마음먹던 차에 염부장님 책 출간 소식을 듣고 망설임없이 주문했습니다. 필요한 시기에 필요한 책 감사합니다
9791160023176,10,염블리~너무 감사드려요
9791160023176,10,염부장님이시면~ 믿고 주문이요~~~^^b
9791160023176,10,믿고보는 염블리님! 얼른 읽고 싶어요
9791165341909,10,"책을 읽는 내내 조용한 12월의 밤, 포근한 소파에 파묻혀 따뜻한 코코아를 마시는 기분이 들게 한다."
9791165341909,2,초등학생 수준의 책이예요.. 이 책 재미있다고 하는 사람하고는 책 이야기는 안하려해요.다 듣고 보고 한 듯 한 내용 짜집기..읽는 동안 괜찮아 지겠지 괜찮아 지겠지 하는 동안 끝나버렸어요.. 전자책 도서 목록에서도 지워버렸어요.. 아 왜 베스트 셀러 일까... 읽은 시간이 너무 아까웠어요
9791165341909,2,"베스트셀러면 사는,읽어보려고 하는 습관 버려야지세상 유치해서 나름 한 독서 하는데~ 읽다가 포기.이건 정말 책 값 아깝다."
9791165341909,10,"원래 꿈을 잘 안 꾸지만 가끔이라도 꿈을 꾸게 되는 날이면, 어젯밤에 달러구트 꿈 백화점에서 어떤 꿈을 살까 고민하지 않았을까 하는 재밌는 상상을 하게 됐다.읽은 후에 여운이 길게 남아서, 꿈꾸는 날마다 문득문득 생각나서 다시 읽어보게 되는 것 같다.다만 가끔 조금 더 풀어내도 좋았을텐데"
9791165341909,8,꿈과 현실이라는 두 공간을 친숙한 주제로 엮어내는 상상력이 돋보인다. 그 중간중간에서 삶에 던지는 은은한 메시지가 배어나와 이야기를 더 풍성하게 한다. 환상적이면서도 낯설지 않은 동화같은 스토리텔링으로 이루어진 예쁜 소설. 읽다보면 어느새 꿈을 주문하고 있는 내 자신을 발견하게 된다.
9791165341909,10,갈수록 빠져드는 소설이었어요.. 밤에 자는걸 아까웠던 제게 성인이지만 자야하는 이유를 만들어준거같아요
9791165341909,4,돈과 시간이 아까웠음
9791165341909,6,어떻게보면 유치하고 어떻게 보면 인생의 1/3 을 보내는 시간들에 대해 의미를 부여하게 되고.
9791165341909,10,이 소설은 꿈 같은 무의식에 관한  책으로  너무 재미있어서 5점 드리고요. 하루만에 다 읽었어요.  이미예 작가님 좋은 책을 만들어주셔서 고맙습니다.
9791165341909,10,때때로 우리는 이런 판타지를 내가 모르는 나의 평행 세계에 있기를 바랄 때가 있죠!
9791165341909,10,아이 어른 모두에게 좋은 동화라고 생각.꿈 백화점이 정말 있었으면 좋겠다라고 상상하게 만든다.
9791165341909,10,쉽게 읽혀지면서 자기 전에 읽기 좋은 따뜻한 이야기
9791165341909,2,"베스트셀러라 샀는데 .. ㅎㅎ이야기는 별루, 책장 넘기는게 힘들고, 이게 머지 왜 베스트 셀러일까 마지막까지 그냥 돈주고 산 게 아까워 노력하고 노력해서 읽은책느끼는것도 남는것도 없는 책 .. 아무것도 남지 않음"
9791165341909,6,술술읽힙니다. 나름 재밌었음
9791165341909,10,책을 읽는내내“설렘”이네요.
9791165341909,6,내용이 신선해서 좋았어요. 판타지 소설 그닥 안좋아하지만 재밌게 읽었습니다. 다만 내용이 가면갈수록 예상되고 그래서 엄청 재밌진 않았어요ㅠ
9791165341909,6,한국도 이런 판타지 문학이 나올 수 있는 시장이 되었구나 라는 생각을 하면서 놀랐지만 그 깊이감 부족에는 많이 아쉬웠다. 작가님의 더욱 좋을 글을 앞으로도 많이 만날 수 있기를...
