ISBN13,rating,review
9788970509570,10,진짜 괜찮은 책. 완전 입문자나 생기초에게는 어려울 수 있지만 c를 몇 번 해본 분들에게는 개념 잘 잡아주고 예제도 명확한 편. 예제를 스스로 이해할 능력이 없는 초급자에게는 힘들 수 있음 근데 타 언어 알고 씨 하는 사람들에게는 추천
9788970509570,2,다른 거 사시는 게 좋습니다.
9788970509570,2,"사지 마세요. 오탈자도 엄청 많고, 연습문제도 지엽적, 비실용적입니다. 차라리 열혈이 낫습니다."
9791159711862,4,출고 빨리 부탁드립니다!
9788962184358,10,대학교에서 사라고 해서 삼
9788962184358,10,선생님께 추천 받아 구입했습니다. 영재학교 합격 후 화학 공부 하는 데 많은 도움을 받을 것 같아 기대가 됩니다. 열심히 공부해 꿈을 꼭 이루겠습니다.
9791156644668,10,"파이썬 입문서로 매우 훌륭하다. 친절한 해설과 쉬운 설명이 돋보인다. 난이도 역시 적절하다. GUI 부분 tkinter.Listbox, text, scrolledtext 부분은 미흡하다. grid() 역시 외면당하고 있다. DB 부분도 보강되어야 한다. MySQL/MariaDB도 포함되어야 한다. PyAudio, PyGame도 제외되면 안 된다."
9791156644668,2,아무리 대학강의용 교재라지만 시중판매를 한다면 독학하는 사람들을 위해 연습문제 해답은 제공해야하는거 아닙니까?
9791185994598,10,미시경제학의 스테디셀러. 30년전에도 이 책으로 공부했는데 대학생 자녀가 이 책으로 공부하다니...
9791158082086,10,양질의 문제들과 이론설명들 좋네요 ㅎ
9791156641889,10,e북으로는 안나올까요 ㅠㅜ
9788963309262,8,공부하기엔 정말 좋은 이론서입니다
9788963309262,10,심리치료의 흐름과 핵심을 제대로 그리고 쉽게 이해할 수 있도록 내용과 구성 모두 훌륭하다
9788963309262,8,제목만 봐도 어렵겠구나가 느껴지는 책이지만 한 장 한 장 넘기면서 알아가는 뿌듯함은 좋은 것 같습니다..공부를 하기위한 교재로 구입했지만 나름대로 읽어가면서 느껴지는 부분이 많은것이 장점인것 같네요..
9788963309262,8,심리치료이론에 대한 이해에 도움이 되며 무엇보다 정신분석 치료에서부터 자아초월 심리치료에 이르기까지 각 치료적 입장에 대해 자세히 알 수 있는 이론서이다.
9788963309262,10,구매평을 보고 저도 구입을 했고 책을 보는데 참 잘되어있네요.
9788963309262,10,믿고 사는 책이었습니다~! 재미있게 잘 읽히네요. 두께가 있지만 무리없이 읽었습니다!
9788963309262,8,권석만 교수만큼 상담이론을 잘 알고 잘 쓴 개론서는 없다. 그의 지적인 탄탄함과 깔끔한 정리는 감탄할 정도임.
9788963309262,10,비슷한 내용이라 생각했는데.. 정말 구입하길 잘했고.. 천천이 지금도 잘 읽고 있습니다.
9788963309262,10,"많은 심리치료 상담 교과서들중에 가독성이 좋고 그 내용이 충실하며, 체계적으로 정리할 수 있는 명저중의 명저"
9788963309262,10,잘 쓰여진 상담이론 책
9788962184297,8,명성한 만큼 좋은교재인건 맞지만 이책으로만 학습하기엔 부족한거같다
9788962184297,10,책 잘받았습니당
9788999716362,10,전공서적으로 구입했습니다. 설명이 잘 되어있어 만족합니다.
9791188731022,10,개정은 드럽게 많이하고 가격도 그지같고
9788970509433,10,객관적으로 이 책 정말 좋은 c   입문서입니다.정말 고퀄리티로 만들어졌고 컬러인쇄이라서 공부효율이 매우 높습니다.필자와 편집자가 엄청 공들인 것이 느껴집니다. - 대학생
9788963306094,10,중고책인데 상태가 무척 깨끗해서 맘에 들어요빠른배송 감사드립니다
9788963306094,8,교직과목 때문에 샀는데 좋은 거 같네요~
9788963306094,10,특수아동에 대해 잘 설명된 책
9788963306094,8,정말 빨리 도착하네요~~^^
9788963306094,10,학교책이라 구입합니다! A      화이팅!
9788963306094,10,학교 교직과목 교재^^ 표가 많아서 암기에 좋음.
9788999701733,10,이상심리학 입문은 이 책으로 시작이라고 입을 모은다.
9788999701733,8,교재라서 보고 있는데 괜찮은 것 같아요
9788999701733,10,이상심리학 책 중 가장 편하게 씌여있어요 ~ 굿 !!
9788999701733,10,대학원에서 이상심리 교재로 구입하게 된 책입니다. 상담심리 공부를 시작하는 초심자들이 쉽게 이해할 수 있도록 설명되어 있으며 이상행동에 대한 구체적인 사례가 실려있어 이상행동에 대한 이해에 큰 도움을 되었습니다.
9788999701733,8,졸업한지 오랜만에 접하는데 쉽게 되어있고 특히 dsm-5와 관련 보완되어 있어서 좋습니다.
9788999701733,10,전공서적인데도 굉장히 읽기 편했습니다. 잘 봤어요. 구성도 매우 체계적입니다!
9788999701733,10,상담과 심리치료를 위해 필수적으로 이해해야할 이상심리. 체계적이고 훌륭한 정리에 많은 도움이 된다.
9791159095788,8,1970년대 후반 초판이 나온 후 현재 11판에 이른 물리화학 업계 표준(?) 교과서. 내용이 점점 많아지고 두꺼워지면서 내용은 고전적인 내용으로 채워 교재로 쓰기에는 약간 부담스러운 책이 되어가고 있었다. 11판 번역판은 본문 800여페이지로 얇아지고 산뜻해졌다.
9788999715747,10,교육학 개론 책이 필요하면 고민없이.성태제교수님책 고르면 된다.다른책과 비교해보시라.
9791132101727,10,좋아요 가끔 해석에 에상한거 몇개가있기는 한데 그냥 이해가능한 정도에서 오타 조금 있어서 괜찮습니다. 책은 깔끔하게 잘되있어요!
9788932473901,2,"번역상태가 심각하며, 판본이 바뀌어도 개선되지 않고 있다고 알고 있습니다.그렇다면 값싼 중고로 읽는 것이 합리적이지 않을까요. (한 번 짤린 평인데 명분으로 지적한 부분을 수정해서 다시 올립니다 ^.^ 관계자님 괜찮죠?)"
9788932473901,2,번역 왜그래요 진짜..
9788932473901,8,이기적유전자.불멸의 복제자.유전자의 긴팔과 확장된표현으로  설명되는 생명현상에 대한 해설.종의기원을 먼저 읽을까.이책을 먼저 읽을까 고민하다 이책을 먼저 읽었습니다. 다윈이 기대됩니다.
9788932473901,10,"왜 명작 고전, 필독 과학 교양서로 손꼽히는지 알겠네요... 양도 많고 내용이 어려워 완독하는게 특히 힘들긴 했지만 평소 궁금해 했던 것들에 대해 명쾌한 답을 내려주었습니다."
9788932473901,10,꼭 한 번 읽어보고 싶었던 책이라 기대가 큽니다.
9788932473901,10,인간의 근원적인 질문을 품고있는 작품. 개정판이라고 하니 더욱더 설레입니다.
9788932473901,10,"오해가 많은 이기적 유전자, 아주 옛날 다른 번역판으로 읽었는데 이 버전으로 읽어봐야겠다."
9788932473901,10,이제는 도킨스와 대화할 마음의 준비자세 완료...그의 세계속으로 빠져보고 싶다
9788932473901,10,"명성과 권위가 있는만큼 꼭 한번은 도전해서 읽어보고 싶은 책, 각오하고 시작해보렵니다~!!"
9788932473901,10,한 권의 책으로 인생관이 하루 아침에 바뀐다니 정말 읽어보고 싶군요.
9788932473901,10,과학 교과서의 바이블 이기적 유전자 를 통해 인간과 과학이 공존하는 혜안을 갖고 싶습니다
9788932473901,10,현대 생물학의 새로운 지평을 연 세계적인 석학 리처드 도킨스의 대표작. 기대됩니다.
9788932473901,10,좋아요
9788932473901,6,재미있고 의미있는 책이긴 한데 저자의 문체인지 번역의 문제인지 나에겐 너무 장황하게 느껴졌다.
9788932473901,2,"다들 읽어야 한다, 읽을 만하다 하던데, 진짜 그러가요? 표지만 다를 뿐 번역가도 같고 출판사도 같은 책을 소장 중인데, 진짜 무슨 말인지 모르겠어요. 번역이 난해한 건지 도킨스가 말을 어렵게 한 건지. 내가 무식한 건지"
9788932473901,8,"어렵다. 한장 한장이 어렵다. 식탁에 두고 하루에 두페이지씩이라도 읽기 위해 노력했다. 읽고 싶어서 읽는 게 아니라, 노력해야지 읽을 수 있는 문장이다. 그럼에도 노력할 가치가 있다."
9788932473901,10,첫번째 읽을때는 도대체 무슨말인지 못알아먹었고 두번째 읽을때는 뇌가 녹아내리는것 같았으며 세번째 읽을때가 되어서야 그 뜻을 이해하고 활자의 의미와 결을 느낄수 있게 되었습니다 제 시야를 정말 많이 넓혀주었습니다
9788932473901,10,"도킨스의 이 책은 누구나 다 들어본 책이지만, 읽기 쉬운 책은 아닙니다. 기본적으로 치밀한 논증을 바탕으로 하기 때문입니다. 글을 분석적으로(논리적으로 치밀하게) 읽어보고 싶다면 좋은 선택입니다. 그의 글이 큰 지적 즐거움을 가져다준다는 점은 확실합니다."
9788932473901,8,중간중간 배어나오는 영국인 특유의 시니컬함과 위트는 덤~
9788932473901,6,어렵지만 읽을만한 책독자를 의해 좀더 쉽게 썼으면 좋았겠다
9788932473901,8,고등학교 필독서입니다. 책이 두꺼워 읽기가 힘들것 같네요.
9788932473901,4,코스모스 읽고 과학에 대한 흥미가 커졌는데 이 책 읽고 과학이 싫어지고  독서 흐름 완전끊김.과학에 흥미를 붙이게 되는 초심자가 읽으면 안되는책.재미 없고 읽다가 짜증나고 진도 안나가고몇번을 읽어도 무슨 말인지 이해가 안됨활자중독자를 난독증 환자로 만들어 주는 책임
9788932473901,2,번역보면 한숨만. 동아출판 이기적인 유전자가 여전히 구하기힘든 이유
9788932473901,4,아주 오래전에 홍영남이 번역한 책을 읽다가 짜증이 나서 책을 덮었다가 다시 읽어보려고 하니 여전히 화가 난다 .평소에 과학에 관한 책을 즐겨봐서 웬만한 내용은 이해가 되는데 홍영남의 번역은 정말 수준이하라는 생각이다 집중도를 떨어뜨리는 번역.  나만의 생각이 아닌듯해 위로가 된다
9788932473901,2,최악의 번역번역 다시해서 출간하시오이런 번역은 죄짓는 일이오당최 읽을수가 없소
9788932473901,8,제 전공이 아니라 어렵긴했지만 다 읽고나니 살아있는 모든것들에 다른 관점을 갖게 되네요. 읽어봅직합니다.
