ISBN13,rating,review
9788937413711,10,무조건 믿고 보는 김혼비
9788937413711,10,기대됩니다!
9791197360404,10,전 책을  별로좋아하지 않는사람입니다 .하지만 조영권 작가님 중국집 책부터 경양식집에서  이책까지 지루하지않고 음식사진과 피아노조율이란 매력적인 직업의 컨텐츠에 접목시켜 좋은것같아요 이제 세권째가 어떤작품일지 기대됩니다 화이팅~.^
9791197360404,10,라디오에서 며칠 전 우연히 듣고 읽어봤네요. 경양식 추억 돋네요. 몇군데 가보고 싶어지네요.
9791197360404,8,"인스타 맛집에 아주 질렸는데 이런 오래된 식당 소개 반갑다. 식당 소개도 좋지만 피아노 조율사 18년, 직장인의 애환도 함께 볼 수 있어서 좋았다. 근데 소개한 식당 한 군데도 가보지 못했는데 가보기 전에 없어지면 어쩌나 걱정이네..."
9791197360404,8,책 자체는 좋았다. 그런데 책 읽고 책에 나온 식당을 4곳 찾아갔는데 책에서 묘사한 그런 느낌은 아니었다...
9791197360404,10,"평소에 구독하던 블로그의 주인분께서 쓰신 책인데다, 경양식 매니아인지라 반갑게 텀블벅 펀딩했었습니다. 블로그 포스트들처럼 언제나 식사에 진심인 분이시기에 정보들도 알차고 가독성도 좋아서 술술 읽힙니다. sns 맛집에 지친 노포 매니아들에게 강추해요"
9791197360404,10,"군침이도네요,,,아저씨의 담담하고 담백하면서도 신난 말투가 잘 살아있어서 읽는 동안 덩달아 즐겁고 흐뭇했어요. <중국집> 재밌게 읽어서 또 샀는데, 그때 느꼈던 저자분의 매력이 그대로 살아있으면서 옛날 경양식이라니 신선했어요. 지난번에 없던 인터뷰 섹션까지 생겨서 더 유익했네요! 츄릅"
9791197360404,10,소재랑 분위기가 일본인줄 알았는데 한국책일 줄이야 ㅎㅎ꼭 읽어보고 싶네요!!
9788972916529,10,김은희 작가님이 방송에서 추천해주셔서 보게되었는데 진짜 재밌어요. 읽고나면 동네 뒷산이라도 걷고싶어질거에요.
9788972916529,2,커버 디자인을 대체 무슨 생각으로..?
9788972916529,10,역시 최애 작가님이라 신작 나온 것 보고 묻지도 따지지도 않고 구매했어요. 입담 세계 최고 브라이슨 님!
9788972916529,10,기대되는책
9788972916529,10,가장  재미있게  읽은  여행기    도서관에서    두번이나  대여해  다시  읽은  기억이  새롭다
9788972916529,8,기대되는책입니다
9788972916529,6,왠지진지할듯함
9788972916529,8,이 책의 100자평이 별로 없는 이유는 사람들이 이미 구판을 사서 다 읽었기 때문입니다. 제가 읽은 여행기 중 가장 유쾌했습니다. 강력 추천합니다.
9788972916529,10,여행기에 그림이나 사진한장 없이 오로지 저자의 말로 여행을 이끌어가는 방식이 좋다. 세상에서 가장 재밌는 여행작가이자 세상에서 가장 불친절한 여행작가. 좋은책이다.
9788972916529,10,"여행지에서 읽었다. 생각보다 힘든 여행이었는데, 사서 고생하는 작가의 발랄한 고행담이 내가 처했던 상황을 전혀 다르게-발랄하게-해석할 수 있게 해줬다. 역시 일체유심조가 맞긴 한 모양이다."
9788972916529,8,책 내용은 참 재밌으나 군데군데 글꼴이 다른 글자들이 눈에 띄네요. 편집자가 놀면서 일한 듯.
9791196975258,10,출시되자마자 구매해서 읽어봤어요!중간 중간 ˝아!˝ 하고 감탄하게 만드는 글이 있어서처음엔 가볍게 한번 보고 두번째 읽을 때는밑줄도 쳐가면서 읽고 있습니다뭔가 그 지역에 대한 자세한 설명을 더한 여행기라기 보다는작가님이 느꼈던 일화?를 압축해 놓은 듯 해요재밌습니다!
9791196975258,10,"화려하지 않지만, 여행기 속에서 만나는 여유로움이 읽는 내내 나도 가고싶다라고 느낄만큼 설레임을 느꼈습니다. 빡빡한 삶 속에서 한 달에 한 번, 내 자신을 마주할 수 있는 느긋한 일본전국여행을 제대로 느낄 수 있었습니다. ^^"
9791196975258,10,마스다 미리 작가님의 첫 혼자 여행 이야기! 혼자여행하며 느끼는 다양한 감정들이 완전 공감됩니다~게다가 귀여운 만화까지 들어 있어서 보는 재미 두배!
9788954655972,8,"점점 더 사회적으로 나에게 부여된 정체성이 때로 감옥처럼 느껴지는 순간이 많아지면서, 여행은 내가 누구인지를 확인하기 위해서가 아니라 내가 누구인지를 잠시 잊어버리러 떠나는 것이 되어가고 있다. (p.180)"
9788954655972,10,명절이 껴있지만 빠른배송 해주셨어요 ~지인이 추천해줘서 읽어보고싶어서 구매했어요
9788954655972,6,여행은 일상의 부재
9788954655972,10,좋아서 두 번 읽었는데 또 읽고 싶네요.
9788954655972,6,"부산에 내려가는 길, ktx에서 펼쳤던 책.좋지도 나쁘지도 않은 심심한 책이다."
9788954655972,8,여행의 이유는 수만가지. 각자가 느끼는 것도 가지가지. 여행 가면 돌아오고 싶은건 매한가지. 코로나 때문에 여행 못하는 요즘은 그리웁지.
9788954655972,10,여행 다녀 온 후에 읽으며 웃을 수 있단 책입니다. 나의 여행 때 에피소드도 떠오르며 많은 공감할 수 있어요.
9788954655972,10,김영하 작가의 여행기를 통해 지난 나의 여행을 돌아보게 되었다 어떤 의미였는지 내 무엇을 변화시켰는지. 책을 덮고 난 후 이제는 나의 여행기를 돌아보고 싶다.
9788954655972,10,"여행의 이유보다는 여행의 의미가 더 맞는듯. 첨엔 가볍게 볼 생각으로 펼쳤는데 의외로 여행에대한 깊은 고찰이 있어 쉽게 읽혀지지는 않았다. 여행이란 무엇이며 그 의미가 무엇이길래 인류는 여행을 하고싶어하는지, 그 여행을 통해 얻게되는건 무엇인지 잘 알게해준 책."
9788954655972,10,"첫장부터 끝장까지, 자기가 그림자처럼 여겨졌다는 미국에서의 일상이 와닿았던 책."
9788954655972,10,김영하 작가님 소설도 에세이도 다 좋은..
9788954655972,8,"김영하의 소설은 정말 재미있다. 그의 소설은 최고다. 그러나 산문집은 글쎄다, 잘 읽히지 않았고 특히 이번 산문집에는 그 특유의 유머도 별로 없어서 나에겐 기대 이하였다."
9788954655972,10,나의 이야기
9788954655972,8,밑줄긋고  싶은 글이 많은 책.
9788954655972,8,여행을 떠나는 길에 읽었어요. 여행이 한층 풍요로워 좋았습니다.
9788954655972,8,세상을  살아가는  이유중에  하나~나를  위한  시간과 공간여행~ 꼭 필요한 거같다.바쁘다는  핑계로 세상을 넘  건조하게 산거같다.인생  뭐  있어~ 욕심을  내보자~
9788954655972,2,수식어 많은 글은 싫어하지만ᆢ내용이 없어도 너무 없다.
9788954655972,10,담백하다. 물 흐르듯이 자연스러운 문장과 함께 김영하의 머릿속에 ‘동기화‘되는 느낌이다. 작가 김영하의 매력에 흠뻑 빠져들게 된다. 내 여행의 이유도 그처럼 다채롭고 묵직해지는 계기가 될 성싶다.
9788954655972,8,"I am comforted from knowing that I am just a different person after reading this book, and am trying to accept that difference."
9788954655972,8,작가의 여행 경험을 모두 사용한 여행의 이유에 관한 뻔하지 않은 다차원적 접근. .
9788954655972,10,김영하작가의 책은 장르불문하고 일단 재밌다. 글도 가독성이 높아 술술 읽혀 마음만 먹으면 앉은 자리에서 다 읽을 수 있다. 여행이라는 단어 하나로 이렇게 넓은 이야기를 풀어내는 지식이 감탄스럽다.
9788954655972,8,"여행지에 따라 somebody가 되기도 하고, nobody가 되기도 한다는 부분에서 김영하 작가의 통찰력이 대단하다고 느꼈음."
9788954655972,2,"구매후 아직까지 다 못읽은 책.  작가의 추억을 끄집어 낸 내용인데, 읽으면서 이해할려고 하면 벌써 작가는 멀리 가있음. 따라갈수가 없고 집중이 안됨."
9788954655972,4,"책을 받아드는 순간부터 실망스럽다. 책의 완성도, 표지, 어느 것 하나 공들인 흔적이 없다. 이렇게 소홀한 책을 작가의 명성만 믿고 독자 앞에 내놓은 출판사나 작가에게 적잖이 화가 난다.포장의 초라함을 내용의 성대함으로 만회할 수 있을지..."
9788954655972,2,김영하의 글은 읽기에 속도가 나지 않는다. 소설이든 에세이든. 이유가 뭘까?
9788954655972,8,유명한 작가인데 이유가 있구나. 재밌었다.
9788954655972,8,그 흔한 감상적인 여행 에세이가 아니고 자기 고유한 생각이 드러난 글이어서 좋았다. 다만 초반부의 맛깔스러움이 뒤로 갈수록 밋밋해지는 느낌이어서 아쉬웠다.
9788954655972,8,계속 구매를 미루고 있던 찰나에 부산 여행 계획을 빌미로 구입했다. 여행지에서 읽으려 했것만 그 순간을 참지 못하고 읽는와중에 리뷰도
9788954655972,2,올해 TV매체 덕을 가장 많이 본 작가의 책. 베스트셀러가 되려면 글을 잘쓰기보다 열심히 TV출연을 많이해야한다는 걸일깨워줬다.
9788954655972,6,딱 제목만큼의 책이었다. 약간은 식상한 느낌이라 실망 한스푼.. 좋은 기억으로 남을 김영하 작가님의 책을 만날수 있기를..
9788954655972,6,단숨에 다읽어 내려갔다. 왜일까?  재미가없다...  난여행책 자주읽는데 이런건진몰랐다...ㅜㅠ
9788954655972,8,여행의 순간에 존재할 때에 비로소 삶이 새롭게 시작됨을 느낀다. 작가님 삶의 결에서 동질감을 느끼며 위로를 받았다. 여행이 함축하는 다양한 의미를 생각할 수 있는 행복한 시간이었다.
9788954655972,2,작가만 보고 예약구매는 이책으로 끝입니다그리고 명성에 맞는 책가격이네요.....심하다는 생각 안드시나요??
9788954655972,8,이제 기발한 소설보다는여유로운 산문이 더 김영하의 몸에 맞는 듯합니다.
9788954655972,8,쉽게 넘어가는 듯 하면서도...한편으로 머리가 복잡하기도 했던 책
9788954655972,10,가볍게 읽히면서도 공감되는...
9788954655972,10,제목만봐도 설레임. 보고싶었던 책 이제서야 읽게되었네요.
9788954655972,6,문득문득 떠나고 싶다 라는 생각을
9788954655972,8,김영하의 책을 많이 읽진 못했지만 이 책 한 권으로 왜 사람들이 그의 글을 사랑하는지 알 수 있었다. 에세이로서 갖춰야 할 요소들을 두루 갖춘 간결한 책. 가독성 좋은 글의 미덕이란 바로 이 책을 두고 하는 말일지도.
9788954655972,10,얄미운 김영하. 외국에 살며 한동안 한국책은 읽지않고 지냈다. 하지만 이 짧은 책을 읽은 후 아름다운 한국어를 더 읽고 싶은 갈망에 며칠을 쩔쩔 맸다. 지긋지긋한 집구석일지언정 내가 태어난 나라에서 나의 언어만 쓰며 살고 싶다는 해묵은 욕망을 김영하의 다정한 글이 사정없이 자극한 것이다.
9788954655972,8,"‘세련된‘ 작가의  ‘세련된‘  산문, ‘말끔한 ‘ 작가의 ‘말끔한‘ 이야기. 이 책은 이렇게 정리해본다."
9788954655972,6,"[여행의 이유](203p)-김영하  어둠이 빛의 부재라면, 여행은 일상의 부재다."
9788954655972,10,"여행하는 인간, 호모 비아토르"
