ISBN13,rating,review
9788928326341,10,중학교 수학교재 중에서 많이 선택하는 책이죠~ 상위권으로 가는 길목에 있는 책입니다.
9791166090059,10,빠른 배송에 내용과 구성이 알차고 좋은거 같아요.O2문제집 강추합니다.
9791166090059,10,과학은 O2를 많이들 하는 것 같아 구매합니다.문제량도 많아서 한권으로 공부해도 충분한 것 같아요.배송도 빠르네요.
9788928323982,10,초등학생 교재로 적당한듯. 무난히 잘 푸는듯
9788928323982,10,잘 사용합니다~~~
9788928323982,10,구성보고 맘에 들어 아이 사줬는데 아이 말이 이책이 아이들사이에서 유명하다더군요!다 자기 하기 나름이지만 공부하는 아이들이 인정한 교재로 학습하니 더 좋은건 사실이에요^^
9788928323982,8,방학자습
9788928323982,10,쎈 중등 수학 1(상)을 구입했는데 초등학교때 부터 풀리고 있는데 기본부터 심화까지 잘 정리가 되어 있어서 만족하고 있습니다.
9788928323982,10,제가 예전에 풀던 쎈을 동생에게 추천해줬어요~꼼꼼하게 잘 되어있어서 좋다고 하네요^^
9788928323982,10,"문제수는 많지만 확실히 기본에 충실한 문제집.개념은 다른 쉬운 문제집으로 잡고, 문제는 이걸로!학원 안 보내고 중학 수학 집에서 하는 저희 아이에게 딱인 문제집이에요^^"
9788928328116,8,믿고 보는 쎈이라 할 만큼 이만큼 기본기를 다질 수 있는 학습지는 없는듯해요!!! 정말 추천해 드려요! 물론 너무 잘 알려진 책이라 추천은 안 해도 되겠지만..... 그래픽과 디자인도 깔끔하고 문제 풀이도 꼼꼼하게 되있어서 유용해요!!
9791162726402,10,기본부터 심화까지 어법에서 어휘까지 연습에서 실전으로 내신만점을 잡을 수 있는 절호의 기회! 중학생은 천천히 기본다지기를 할 수 있고 고등학생은 부족했던 부분을 채울 수 있는 책이라고 생각합니다협찬/책만을 제공받아 솔직하게 작성한 후기입니다.
9791162726402,10,"교보문고, YEs24, 인터파크 영문법 교재 판매 1위가 그냥 되는건 아닌거 같네요..이 책 한권으로 자세하게 문법이 소개되어있어서 기초를 다지기에 좋은 교재인거 같아요.문제집 표지에서도 나와 있듯이 중간 기말 고사 대비 문제의 양이 많아서 좋은것 같아요."
9791162726402,10,실용영어에서 내신영어로 넘어가는과정에 설명과 충분한 문제양이 필요해서딱!인 교재네요~!일단 구성과 목차부터영어를 잘하는것과 내신을 위해서 꼭 필요한 problem solving skill먼저1.핵심문법사항암기표 매일 붙여놓고 눈으로 입으로 익히기 딱좋아요
9791125948650,10,2021년 개정판인가요?
9791125948650,6,2020년판 맞나요?
9791162276259,10,중등 사회는 역시 한끝! 자기주도학습용으로 사용합니다.
9788954745024,10,EBS 강의가 맘에 들어 구매합니다.
9791158316990,10,공부 잘 하구 있습니다
9791158316990,10,혼자 단어 리스트 뽑아서 공부해봤는데 기억에 잘 남지 않아서 구입했습니다. 항목별로 단어가 구분되어 있고 단어가 난이도 순으로 나열되어 있어서 공부하기 편했습니다. 반복도 여러번 할 수 있는 시스템이라 기억에도 오래남을 것 같습니다. 영단어 공부하려는 분들은 사용해보시면 도움될 듯 해요
9791158316990,8,중학생 영어단어 기초 잡기에 유익한 책입니다.단어와 뜻사이에 섹션으로 깔끔히 구분되어있어 보기도 편하구요.
9791158316990,10,항상 그렇지만 맘에 들어요. 좋습니다. 다른 voca 보다 이게 젤 무난하고 좋은 것 같아요.
9788954745000,8,동영상 강의를 듣고 맘에 들어 구매하였는데 좋은것같아요~~
9788954745000,10,동생이 중 1이라 주문해줬어요~:)
9788959904228,10,숨마주니어 중학 국어 비문학 독해 연습은 예비 중1~중2 대상으로 1일 2지문 25일에완성할 수 있어요중학생 권장 도서 및 추천 도서를 총망라하여 수준에 맞게 단계별로 지문을 구성하고 있어요다양한 독서를 위한 교과서 밖 50개의 글감을 싣고 있답니다친절한 해설책과 함께 자기주도학습이 가능해요
9788959904228,8,"비문학 장르별 (인문/사회/과학/기술/예술 등)으로 구분되어 비문학 독해 하기에 좋아요. 문제 자체는 한 지문당 2-3문제 밖에 없고, 문제 풀이가 아주 상세하게 잘 되어있어요. 근데, 난이도가 쉬운건지, 오답이 별로 없어 문제 풀이를 잘 보게 되지는 않네요. 문제가 좀 더 많이 있음 좋겠어요."
9788959904228,10,아주 좋아요. 빠르고 편하게 배송받았어요.
9788959904228,10,방학동안 비문학독해 해볼려고 주문합니나
9788959904228,10,독서 외에 읽기활동으로 좋을 듯 해서  구매.만족합니다.
9788959904228,10,예비중인데 미리 소문듣고 공부하고 있어요. 구성도 좋고 아이가 스스로 찾아서 하네요.
9788959904228,10,중학생 부터 시작하는 국어 비문학 독해 연습. 쉽고 재밌는 다양한 지문들을 접하며 독해 실력을 키워가요. 독해 핵심 팁과 어휘테스트로 기초를 탄탄하게 쌓을 수 있어요.
