순번/순위,구분,상품명,ISBN,ISBN13,부가기호,출판사/제작사,저자/아티스트,정가,판매가,할인액,할인율,마일리지,출간일,세일즈포인트
1,가정/요리/뷰티,요리 마법사 아하부장의 매직 레시피,K692739917,9791188801084,13590,프롬비,아하부장 지음,17500,15750,1750,10%,870점,20210314,12850
2,가정/요리/뷰티,오늘의 일인분 일식,K782635825,9791188601233,13590,참돌,"베터홈 협회 지음, 이진숙 옮김",4400,3960,440,10%,220점,20190617,16014
3,가정/요리/뷰티,유아식 레시피북,8969524479,9788969524478,13590,경향BP,BLW 연구소 지음,18800,16920,1880,10%,940점,20210303,11210
4,가정/요리/뷰티,엄마 박완서의 부엌 : 정확하고 완전한 사랑의 기억,K752737256,9791191187564,3810,세미콜론,호원숙 지음,11200,10080,1120,10%,560점,20210122,18760
5,가정/요리/뷰티,나를 바꾼 기록 생활,K382738822,9791190473552,3810,뜻밖,신미경 지음,13000,11700,1300,10%,650점,20210205,12805
6,가정/요리/뷰티,맛있게 살 빠지는 고단백 저탄수화물 다이어트 레시피,K532639637,9791197035234,13590,비에이블,미니 박지우 지음,17500,15750,1750,10%,870점,20200528,32615
7,가정/요리/뷰티,세계 식생활과 문화,8981604061,9788981604066,93590,파워북,최정희 외 지음,23000,20700,2300,10%,"1,150점",20190830,6199
8,가정/요리/뷰티,고급 영양학,8936316249,9788936316242,93590,교문사,변기원 외 지음,29000,29000,0,0%,0점,20170227,6762
9,가정/요리/뷰티,홀그레인 비건 베이킹,K222738323,9791185473741,13590,레시피팩토리,김문정 지음,15800,14220,1580,10%,790점,20210218,6620
10,가정/요리/뷰티,라면 : 지금 물 올리러 갑니다,K662739133,9791191187694,3810,세미콜론,윤이나 지음,11200,10080,1120,10%,560점,20210305,4330
11,가정/요리/뷰티,New 피부과학,899303396X,9788993033960,93510,메디시언,권혜영 지음,20000,19000,1000,5%,"1,000점",20160301,5426
12,가정/요리/뷰티,간식을 부탁해,8927413989,9788927413981,13590,예문사,"보쿠 지음, 안은정 옮김",9800,8820,980,10%,490점,20150605,3471
13,가정/요리/뷰티,Marie Claire Fashion Shows : 2021 S/S,K482736871,9772234522009,,mck(잡지),마리끌레르 편집부 지음,12000,11400,600,5%,330점,20201130,7195
14,가정/요리/뷰티,세탁 살림 백과,8960305723,9788960305724,13590,황금부엉이,"설재원 지음, 김미선",15500,13950,1550,10%,770점,20210303,3100
15,가정/요리/뷰티,조선왕조 궁중음식,8985719092,9788985719094,3590,궁중음식연구원,한복려.정길자 지음,35000,31500,3500,10%,"1,750점",20150306,5572
16,가정/요리/뷰티,이해하기 쉬운 식품학,8981602328,9788981602321,93590,파워북,이경애 외 지음,23000,23000,0,0%,"1,150점",20190905,4156
17,가정/요리/뷰티,프로페셔널 바리스타,K402738229,9791196740504,3570,커피사이언스,"Scott Rao 지음, 송주빈 옮김",25000,23750,1250,5%,"1,250점",20210302,6690
18,가정/요리/뷰티,샌드위치의 모든 것,8965183278,9788965183273,13590,경향미디어,조윤화 지음,13800,12420,1380,10%,690점,20210120,9890
19,가정/요리/뷰티,나만의 고양이 자수,K662530032,9791195761180,13630,북스토리라이프,"Applemints 지음, 이은정 옮김",7500,6750,750,10%,370점,20170330,5766
20,가정/요리/뷰티,감각적인 니터를 위한 손뜨개 모티브 & 에징 300,8998317729,9788998317720,14630,참돌,일본 보그사 지음,4400,3960,440,10%,220점,20150925,22003
21,가정/요리/뷰티,세상 쉽고 맛있는 튼이 이유식,K972534201,9791196533007,13590,서사원,정주희 지음,22000,19800,2200,10%,"1,100점",20190103,19121
22,가정/요리/뷰티,어쩌다 커피생활자,K302738923,9791187616962,3810,북핀,"나카가와 와니.나카가와 쿄코 지음, 김진아 옮김",13000,11700,1300,10%,650점,20210225,3375
23,가정/요리/뷰티,아메토라 : 일본은 어떻게 아메리칸 스타일을 구원했는가,K282738186,9791189356439,3590,워크룸프레스(Workroom),"W. 데이비드 막스 지음, 박세진 옮김",20000,18000,2000,10%,"1,000점",20201231,8935
24,가정/요리/뷰티,밀레니얼 세대의 결혼과 가족,K342632956,9791162262771,93330,시그마프레스,어울림경영연구소 지음,15000,15000,0,0%,450점,20200901,2697
25,가정/요리/뷰티,건강가정론 (조희금 외),8959124508,9788959124503,93590,도서출판 신정,조희금 외 지음,21000,21000,0,0%,0점,20180313,3347
26,가정/요리/뷰티,do eat again,K002738181,9791190179607,13590,서사원,윤은혜 지음,19800,17820,1980,10%,990점,20210208,8280
27,가정/요리/뷰티,원예와 웰빙,8971075856,9788971075852,3520,쿠북(건국대학교출판부),강훈 외 지음,16000,15200,800,5%,800점,20150302,2345
28,가정/요리/뷰티,훠궈 : 내가 사랑하는 빨강,K642739133,9791191187687,3810,세미콜론,허윤선 지음,11200,10080,1120,10%,560점,20210305,2580
29,가정/요리/뷰티,나를 닮은 집+,K032535416,9791160070491,13610,한즈미디어(한스미디어),"주부의벗사 편집부 지음, 김현영 옮김",7000,6300,700,10%,350점,20160926,3467
30,가정/요리/뷰티,두피.모발관리학,K792535898,9791186739228,93510,메디시언,임은진 외 7명 지음,20000,19000,1000,5%,"1,000점",20180110,2488
31,가정/요리/뷰티,하루 3분 바라만 보면 눈이 좋아지는 책,K362738287,9791188364237,3510,유나,"히비노 사와코.하야시다 야스타카 지음, 권효정 옮김",9000,8100,900,10%,450점,20210120,3500
32,가정/요리/뷰티,귀여운 강아지 에코 수세미 100,K812534020,9791188601165,13630,참돌,"애플민트 지음, 고심설 옮김, 조수연 감수",3300,2970,330,10%,160점,20181218,13058
33,가정/요리/뷰티,노엘블랑의 브런치 카페 레시피,K342738627,9791170263944,13590,팜파스,구성희 지음,32000,28800,3200,10%,"1,600점",20210225,2800
34,가정/요리/뷰티,마망갸또 캐러멜 디저트 Maman Gateau Caramel Desserts,K972738426,9791164261611,13590,더테이블,피윤정 지음,37000,33300,3700,10%,"1,850점",20210226,3310
35,가정/요리/뷰티,종이접기 스킬업,8997772376,9788997772377,,한국종이접기협회,김진우 외 지음,22000,22000,0,0%,0점,20210120,6605
36,가정/요리/뷰티,와인 폴리 (매그넘 에디션),8931461798,9788931461794,13590,영진.com(영진닷컴),"Madeline Puckette.Justin Hammack 지음, 차승은 옮김",30000,27000,3000,10%,"1,500점",20200106,12534
37,가정/요리/뷰티,초보자를 위한 유럽식 태팅레이스,8998317788,9788998317782,13630,참돌,"후지시게 수미 지음, 김수정 옮김, 김지희 감수",4400,3960,440,10%,220점,20160215,4858
38,가정/요리/뷰티,케이라플레르 플라워 코스,K152738629,9791160075816,13630,한즈미디어(한스미디어),김애진 지음,32000,28800,3200,10%,"1,600점",20210305,2440
39,가정/요리/뷰티,의류재료학,8947273511,9788947273510,93590,형설출판사,송경헌 외 지음,33000,33000,0,0%,"1,650점",20130225,2332
40,가정/요리/뷰티,레이스 손뜨개 모티브와 도일리 100,K852738996,9791187616979,13630,북핀,일본보그사 지음,20000,18000,2000,10%,"1,000점",20210225,2670
41,가정/요리/뷰티,좋아하는 물건과 가볍게 살고 싶어,K082739917,9791160321197,13590,싸이프레스,밀리카 지음,16800,15120,1680,10%,840점,20210310,1710
42,가정/요리/뷰티,집밥이 더 맛있어지는 명랑쌤 비법 국물요리,K132736715,9791185473673,13590,레시피팩토리,명랑쌤(이혜원) 지음,13800,12420,1380,10%,690점,20201210,11965
43,가정/요리/뷰티,결혼학개론,K392737355,9791135493669,3190,비잉(Being),"벨린다 루스콤 지음, 박선영 옮김",16800,15120,1680,10%,840점,20210120,7880
44,가정/요리/뷰티,집밥이 편해지는 명랑쌤 비법 밑반찬,K012639960,9791185473598,13590,레시피팩토리,명랑쌤(이혜원) 지음,13800,12420,1380,10%,690점,20200416,16908
45,가정/요리/뷰티,한 그릇 뚝딱 이유식,8997195026,9788997195022,13590,청림Life,오상민.박현영 지음,28000,25200,2800,10%,"1,400점",20170205,18701
46,가정/요리/뷰티,꽃 모티브 & 에징 손뜨개 60,896952052X,9788969520524,13590,경향BP,"무라바야시 카즈코 지음, 박재영 옮김",3600,3240,360,10%,180점,20141231,17848
47,가정/요리/뷰티,이해하기 쉬운 식품분석,8981602352,9788981602352,93590,파워북,이수정 외 지음,21000,21000,0,0%,"1,050점",20170305,2181
