순번/순위,구분,상품명,ISBN,ISBN13,부가기호,출판사/제작사,저자/아티스트,정가,판매가,할인액,할인율,마일리지,출간일,세일즈포인트
1,건강/취미/레저,아르센 벵거 자서전 My Life in Red and White,K192739031,9791160075793,3690,한즈미디어(한스미디어),"아르센 벵거 지음, 이성모 옮김",22000,19800,2200,10%,"1,100점",20210310,29940
2,건강/취미/레저,자아와 명상 1 워크북,K592534155,9791195522897,3220,아름다운인연,동국대학교 자아와 명상 교재편찬위원회 지음,6000,5400,600,10%,60점,20190225,17735
3,건강/취미/레저,조금씩 천천히 자연식물식,K402738421,9791136260895,3510,니들북,이의철 지음,18700,16830,1870,10%,930점,20210222,10630
4,건강/취미/레저,2021 K리그 스카우팅리포트,K702739039,9791188073665,3690,브레인스토어,히든풋볼.손수호 지음,28000,25200,2800,10%,"1,400점",20210326,5550
5,건강/취미/레저,꽃도감,K452738329,9791160075755,13630,한즈미디어(한스미디어),"방현희 옮김, 몽소 플레르 감수",22000,19800,2200,10%,"1,100점",20210217,6330
6,건강/취미/레저,맛있게 살 빠지는 고단백 저탄수화물 다이어트 레시피,K532639637,9791197035234,13590,비에이블,미니 박지우 지음,17500,15750,1750,10%,870점,20200528,32615
7,건강/취미/레저,백년운동,K812636693,9791196834005,3470,아티잔,정선근 지음,19500,17550,1950,10%,970점,20191101,38416
8,건강/취미/레저,호흡의 기술,K672738021,9791189799366,3510,북트리거,"제임스 네스터 지음, 승영조 옮김",19500,17550,1950,10%,970점,20210219,7775
9,건강/취미/레저,자아와 명상 2 워크북,K132635654,9791196791704,3220,아름다운인연,동국대학교 자아와 명상 교재편찬위원회 지음,5500,4950,550,10%,50점,20190825,8691
10,건강/취미/레저,영양교육과 상담,8936317709,9788936317706,93590,교문사,서정숙 외 지음,23000,23000,0,0%,690점,20180831,5697
11,건강/취미/레저,크툴루의 부름 : 수호자 룰북,8988060393,9788988060391,93690,초여명,"샌디 피터슨 외 지음, 박나림 옮김",38000,34200,3800,10%,"1,900점",20161102,36746
12,건강/취미/레저,인세인 2,K082533053,9791188546039,93690,TRPG Club(티알피지클럽),"카와시마 토이치로 원작, 유범 옮김",18000,18000,0,0%,900점,20180127,14455
13,건강/취미/레저,손글씨 레시피,K822633473,9791196870553,13640,시월,나인 지음,16000,14400,1600,10%,800점,20200930,32631
14,건강/취미/레저,나도 손글씨 바르게 쓰면 소원이 없겠네,K372636781,9791188007394,14640,한빛라이프,유한빈(펜크래프트) 지음,12000,10800,1200,10%,600점,20191009,33594
15,건강/취미/레저,나는 질병없이 살기로 했다,K752530057,9791187330011,13510,사이몬북스,"하비 다이아몬드 지음, 강신원 옮김",15000,13500,1500,10%,750점,20170415,13447
16,건강/취미/레저,아직 끝이 아니다,8968970874,9788968970870,3840,가연,김연경 지음,14800,13320,1480,10%,740점,20210312,3630
17,건강/취미/레저,노화의 종말,8960518026,9788960518025,3510,부키,"데이비드 A. 싱클레어.매슈 D. 러플랜트 지음, 이한음 옮김",22000,19800,2200,10%,"1,100점",20200730,33573
18,건강/취미/레저,나만의 고양이 자수,K662530032,9791195761180,13630,북스토리라이프,"Applemints 지음, 이은정 옮김",7500,6750,750,10%,370점,20170330,5766
19,건강/취미/레저,교양인을 위한 21세기 영양과 건강 이야기,8961542443,9788961542449,3590,라이프사이언스,최혜미 지음,19000,19000,0,0%,0점,20160910,3985
20,건강/취미/레저,감각적인 니터를 위한 손뜨개 모티브 & 에징 300,8998317729,9788998317720,14630,참돌,일본 보그사 지음,4400,3960,440,10%,220점,20150925,22003
21,건강/취미/레저,2021 데미안 탁상달력,K522633324,8809529011809,1,북엔(BOOK&_),미르북컴퍼니 편집부 지음,7500,4500,3000,40%,50점,20201115,34470
22,건강/취미/레저,바쁜 사람은 단순하게 운동합니다,K072738931,9791190313773,3510,웨일북,박정은 지음,13000,11700,1300,10%,650점,20210305,3080
23,건강/취미/레저,스쿼트 바이블,K682738229,9791190868105,13690,대성의학사,"아론 호식 외 지음, 백재현 옮김, 박현진 감수",30000,30000,0,0%,300점,20210208,3090
24,건강/취미/레저,식사가 최고의 투자입니다,K802737455,9791191013108,13510,북라이프,"미쓰오 다다시 지음, 최화연 옮김",13800,12420,1380,10%,690점,20210126,4850
25,건강/취미/레저,2021 안녕 앤 탁상달력,K112735118,8809529011823,1,북엔(BOOK&_),북엔 편집부 지음,7500,4500,3000,40%,50점,20201112,23125
26,건강/취미/레저,인세인 1,K922533053,9791188546022,93690,TRPG Club(티알피지클럽),"카와시마 토이치로 원작, 유범 옮김",18000,18000,0,0%,900점,20180127,15982
27,건강/취미/레저,설채현 선생님의 강아지 마음 사전,8934990651,9788934990659,73810,주니어김영사,"설채현 지음, 낭소 그림",12800,11520,1280,10%,640점,20210204,3330
28,건강/취미/레저,최신 집단정신치료의 이론과 실제,8992141335,9788992141338,93510,하나의학사,"어빈 D.얄롬.Molyn Leszcz 지음, 장성숙.최혜림 옮김",37000,37000,0,0%,"1,850점",20080825,4597
29,건강/취미/레저,백년 목,8983718684,9788983718686,3510,사이언스북스,정선근 지음,17500,15750,1750,10%,870점,20171130,20291
30,건강/취미/레저,하루 3분 바라만 보면 눈이 좋아지는 책,K362738287,9791188364237,3510,유나,"히비노 사와코.하야시다 야스타카 지음, 권효정 옮김",9000,8100,900,10%,450점,20210120,3500
31,건강/취미/레저,귀여운 강아지 에코 수세미 100,K812534020,9791188601165,13630,참돌,"애플민트 지음, 고심설 옮김, 조수연 감수",3300,2970,330,10%,160점,20181218,13058
32,건강/취미/레저,이해하기 쉬운 단체급식관리,8981602670,9788981602673,93590,파워북,윤지현 외 지음,22000,22000,0,0%,0점,20190305,2716
33,건강/취미/레저,종이접기 스킬업,8997772376,9788997772377,,한국종이접기협회,김진우 외 지음,22000,22000,0,0%,0점,20210120,6605
34,건강/취미/레저,요가의 과학,K292737777,9791190403399,14510,사이언스북스,"앤 스완슨 지음, 권기호 옮김",19900,17910,1990,10%,990점,20210101,10345
35,건강/취미/레저,맛있는 수채화 캘리그라피,8965182700,9788965182702,13650,경향미디어,이명선 지음,3600,3240,360,10%,180점,20181205,7427
36,건강/취미/레저,운동검사.운동처방지침,K362532353,9791186089873,93510,한미의학,"ACSM 지음, 김완수 옮김",26000,26000,0,0%,0점,20180510,4308
37,건강/취미/레저,환자 혁명,8967441797,9788967441791,3510,에디터,조한경 지음,15000,13500,1500,10%,750점,20171111,32261
38,건강/취미/레저,생애주기영양학,8981602808,9788981602802,93590,파워북,구재옥 외 지음,24000,24000,0,0%,0점,20190305,3523
39,건강/취미/레저,호르몬과 건강의 비밀,K302737809,9791191280319,3510,현대지성,"요하네스 뷔머 지음, 배명자 옮김",12000,10800,1200,10%,600점,20201230,5610
40,건강/취미/레저,코로나 미스터리,8967442297,9788967442293,3510,에디터,김상수 지음,15000,13500,1500,10%,750점,20201215,14640
41,건강/취미/레저,초보자를 위한 유럽식 태팅레이스,8998317788,9788998317782,13630,참돌,"후지시게 수미 지음, 김수정 옮김, 김지희 감수",4400,3960,440,10%,220점,20160215,4858
42,건강/취미/레저,케이라플레르 플라워 코스,K152738629,9791160075816,13630,한즈미디어(한스미디어),김애진 지음,32000,28800,3200,10%,"1,600점",20210305,2440
43,건강/취미/레저,마도서대전 TRPG 마기카로기아 기본 룰북,K232633693,9791188546275,,TRPG Club(티알피지클럽),"카와시마 토이치로 지음, 유범 옮김",32000,32000,0,0%,"1,600점",20200731,7087
44,건강/취미/레저,피아스코,8988060261,9788988060261,93690,초여명,"제이슨 모닝스타 지음, 김성일 옮김",16000,14400,1600,10%,800점,20150227,13496
45,건강/취미/레저,무조건 살 빠지는 다이어트,K362738527,9791157686926,13510,동양북스(동양문고),김미경(킴스헬스톡) 지음,13800,12420,1380,10%,690점,20210320,1550
46,건강/취미/레저,레이스 손뜨개 모티브와 도일리 100,K852738996,9791187616979,13630,북핀,일본보그사 지음,20000,18000,2000,10%,"1,000점",20210225,2670
47,건강/취미/레저,달리기의 과학,K232737777,9791190403405,14510,사이언스북스,"크리스 네이피어.제리 지애크 지음, 김호정 옮김",19900,17910,1990,10%,990점,20210101,5255
48,건강/취미/레저,지방 대사 켜는 스위치온 다이어트,K632532720,9791196334703,13510,루미너스,박용우 지음,14000,12600,1400,10%,700점,20180325,14159
49,건강/취미/레저,크툴루의 부름 : 수호자 룰북 (양장),8988060490,9788988060490,93690,초여명,"샌디 피터슨 외 지음, 박나림 옮김",44000,39600,4400,10%,"2,200점",20180302,14243
50,건강/취미/레저,밤의 숨소리,K962738024,9791190299206,3190,FIKA(피카),치아(治我) 지음,16500,14850,1650,10%,820점,20210226,2990
51,건강/취미/레저,나도 손글씨 바르게 쓰면 소원이 없겠네 : 핸디 워크북 (스프링),K482637807,8809592740019,1,한빛라이프,유한빈(펜크래프트) 지음,8800,7920,880,10%,400점,20200204,24459
52,건강/취미/레저,동의학 기초이론 도표해,8930317111,9788930317115,94510,집문당,최훈.최전.박성훈 지음,60000,60000,0,0%,0점,20160310,1391
53,건강/취미/레저,꽃 모티브 & 에징 손뜨개 60,896952052X,9788969520524,13590,경향BP,"무라바야시 카즈코 지음, 박재영 옮김",3600,3240,360,10%,180점,20141231,17848
54,건강/취미/레저,New 근육운동가이드,8978494382,9788978494380,13510,삼호미디어,"프레데릭 데라비에 지음, 이신언 옮김",22000,19800,2200,10%,"1,100점",20161230,12156
55,건강/취미/레저,21세기 영양학,8936315951,9788936315955,93590,교문사,최혜미 외 지음,30000,30000,0,0%,900점,20160906,3182
56,건강/취미/레저,다이어트 불변의 법칙,899591243X,9788995912430,13510,사이몬북스,"하비 다이아몬드 지음, 강신원 옮김, 이의철 감수",13000,11700,1300,10%,650점,20160501,14512
57,건강/취미/레저,건강을 위한 식생활과 영양,8981604428,9788981604424,,파워북,백희영 외 지음,20000,18000,2000,10%,"1,000점",20210305,1530
58,건강/취미/레저,염증 없는 식사,895467707X,9788954677073,13590,테이스트북스,"닥터 윌 콜 지음, 정연주 옮김",18800,16920,1880,10%,940점,20210127,3860
59,건강/취미/레저,문올로지 오라클카드 공식 한국판,K072738381,9791160075588,10180,한즈미디어(한스미디어),"야스민 볼런드 지음, 송민경 옮김, 닉스 로언 일러스트",28000,25200,2800,10%,"1,400점",20210125,3860
60,건강/취미/레저,"아무튼, 뜨개",K732736874,9791188343379,2810,제철소,서라미 지음,9900,8910,990,10%,490점,20201127,9585
61,건강/취미/레저,정원가의 열두 달,K502635416,9791195760947,3890,펜연필독약,"카렐 차페크 지음, 요제프 차페크 그림, 배경린 옮김, 조혜령 감수",12500,11250,1250,10%,620점,20190620,9739
62,건강/취미/레저,새로 쓰는 지역사회 영양학 (장남수 외),8936316303,9788936316303,93590,교문사,장남수 외 지음,22500,22500,0,0%,670점,20170801,1913
63,건강/취미/레저,5분 컬러링북 : 동물 컬러링,K922738827,9791190779265,14650,진선아트북,김충원 지음,12000,10800,1200,10%,600점,20210216,1740
64,건강/취미/레저,내 강아지 마음 상담소,K292636998,9791196719425,13490,혜다,강형욱 지음,14800,13320,1480,10%,740점,20191115,12646
65,건강/취미/레저,따뜻한 물 6잔의 기적,K062635516,9791196692001,13510,한스컨텐츠(Hantz),조옥구 지음,13000,11700,1300,10%,650점,20190614,1498
66,건강/취미/레저,하루 7분: 요가 스트레칭,8998317966,9788998317966,14510,참돌,"바카리 시사코 지음, 래티티아 살라 그림, 김수진 옮김, 김태희 감수",3300,2970,330,10%,160점,20170731,12931
67,건강/취미/레저,초보 니터를 위한 스탠다드 여성 니트,8998317281,9788998317287,14630,참돌,"시모다 나오코 지음, 김수정 옮김, 송영예 감수",4400,3960,440,10%,220점,20141231,6504
68,건강/취미/레저,의사들도 모르는 기적의 간 청소,8967440723,9788967440725,3510,에디터,"안드레아스 모리츠 지음, 정진근 옮김, 전홍준 감수",16000,14400,1600,10%,800점,20150107,6785
69,건강/취미/레저,의사의 반란,8967440111,9788967440114,3510,에디터,신우섭 지음,14000,12600,1400,10%,700점,20130408,7101
70,건강/취미/레저,애완동물학,893810818X,9788938108180,93510,동일출판사,김옥진 지음,23000,23000,0,0%,"1,150점",20120805,1473
71,건강/취미/레저,요가 디피카,8995797029,9788995797020,3510,선요가,"B.K.S.아헹가 지음, 현천 옮김",24000,21600,2400,10%,"1,200점",19970705,11098
72,건강/취미/레저,반려동물과 이별한 사람을 위한 책,K352738795,9791191393002,3180,포르체,"이학범 지음, 김건종 감수",16000,14400,1600,10%,800점,20210210,2345
73,건강/취미/레저,당신이 살찌는 이유,8970673970,9788970673974,13510,성안북스,진소희 지음,18000,16200,1800,10%,900점,20210112,10190
74,건강/취미/레저,고급영양학,8981603111,9788981603113,93590,파워북,구재옥 외 지음,25000,25000,0,0%,0점,20190305,2112
75,건강/취미/레저,보건교육과 건강증진,8956294445,9788956294445,93510,계축문화사,김명 외 지음,23000,23000,0,0%,0점,20170120,1612
76,건강/취미/레저,생각이 필요한 HACCP,8971407050,9788971407059,93510,수학사,서울대학교 농업생명과학대학 농생명공학부식품위생학실 지음,23000,23000,0,0%,0점,20160825,1502
77,건강/취미/레저,코바늘 다육이,K672738024,9791165794170,13590,미호,"엠마 바남 지음, 송민경 옮김",15000,13500,1500,10%,750점,20210209,1810
78,건강/취미/레저,섭식일기,K142738021,9791190422628,3810,오월의봄,최미랑 지음,12000,10800,1200,10%,600점,20210209,2630
79,건강/취미/레저,슈퍼 휴먼 SUPER HUMAN,K222736775,9791188102075,3510,베리북,"데이브 아스프리 지음, 김보은 옮김",18800,16920,1880,10%,940점,20201224,5755
