순번/순위,구분,상품명,ISBN,ISBN13,부가기호,출판사/제작사,저자/아티스트,정가,판매가,할인액,할인율,마일리지,출간일,세일즈포인트
1,경제경영,주택과 세금,K192739134,9791163060390,13320,DTW(더존테크윌),국세청 부동산납세과 지음,7000,7000,0,0%,0점,20210303,79200
2,경제경영,주린이가 가장 알고 싶은 최다질문 TOP 77,K682737326,9791160023176,3320,메이트북스,염승환 지음,18000,16200,1800,10%,900점,20210120,239600
3,경제경영,나의 첫 투자 수업 1 : 마인드편,K562738128,9791187993797,3320,트러스트북스,김정환.김이안 지음,17000,15300,1700,10%,850점,20210209,56780
4,경제경영,2030 축의 전환,8901246082,9788901246086,3320,리더스북,"마우로 기옌 지음, 우진하 옮김",18000,16200,1800,10%,900점,20201016,240662
5,경제경영,"빌 게이츠, 기후재앙을 피하는 법",8934991364,9788934991366,3300,김영사,"빌 게이츠 지음, 김민주.이엽 옮김",17800,16020,1780,10%,890점,20210216,56080
6,경제경영,나의 첫 투자 수업 2 : 투자편,K852738128,9791187993803,3320,트러스트북스,김정환.김이안 지음,17000,15300,1700,10%,850점,20210224,54400
7,경제경영,강방천의 관점,8947546984,9788947546980,3320,한국경제신문,강방천 지음,25000,22500,2500,10%,"1,250점",20210303,19950
8,경제경영,미시경제학,K682534224,9791185994598,93320,문우사(도서출판),이준구 지음,37000,37000,0,0%,"1,110점",20190211,22468
9,경제경영,돈의 심리학,K412737326,9791191056372,3320,인플루엔셜(주),"모건 하우절 지음, 이지연 옮김",19800,17820,1980,10%,990점,20210113,68905
10,경제경영,IT 좀 아는 사람,K792737250,9791155813355,3320,윌북,"닐 메타 외 지음, 김고명 옮김",17800,16020,1780,10%,890점,20210120,29100
11,경제경영,IFRS 중급회계,8955406622,9788955406627,93320,탐진,신현걸.최창규.김현식 지음,57000,57000,0,0%,"2,850점",20210106,15160
12,경제경영,메타버스,K432736724,9791189580575,3320,플랜비디자인,김상균 지음,17000,15300,1700,10%,850점,20201218,33255
13,경제경영,디 앤서,K962738588,9791156758662,3320,푸른숲,뉴욕주민 지음,16000,14400,1600,10%,800점,20210205,35365
14,경제경영,대한민국 부동산 미래지도 세트 - 전2권,K202738226,9791157844852,14320,한빛비즈,김학렬 지음,33500,30150,3350,10%,"1,670점",20210304,30980
15,경제경영,전설로 떠나는 월가의 영웅 (2017 최신개정판),8957821171,9788957821176,13320,국일증권경제연구소,"피터 린치.존 로스차일드 지음, 이건 옮김",23000,20700,2300,10%,"1,150점",20170417,86512
16,경제경영,주식 공부 5일 완성,K612737052,9791162541869,3320,비즈니스북스,박민수(샌드 타이거 샤크) 지음,18000,16200,1800,10%,900점,20210118,45325
17,경제경영,뉴욕주민의 진짜 미국식 주식투자,K992736716,9791162541807,3320,비즈니스북스,뉴욕주민 지음,23000,20700,2300,10%,"1,150점",20201216,76280
18,경제경영,돈의 속성 (100쇄 기념 에디션),K312633112,9791188331796,3320,스노우폭스북스,김승호 지음,16800,15120,1680,10%,840점,20200615,178865
19,경제경영,주식투자 무작정 따라하기,K982636921,9791165210144,13320,길벗,윤재수 지음,18000,16200,1800,10%,900점,20191220,128824
20,경제경영,돈의 시나리오,K622737957,9791130634432,3320,다산북스,김종봉.제갈현열 지음,17000,15300,1700,10%,850점,20210113,69700
21,경제경영,"제프 베조스, 발명과 방황",K422738429,9791191425581,3320,위즈덤하우스,"제프 베조스 지음, 월터 아이작슨 서문, 이영래 옮김",22000,19800,2200,10%,"1,100점",20210219,16520
22,경제경영,트렌드 코리아 2021,8959896837,9788959896837,13320,미래의창,김난도 외 지음,18000,16200,1800,10%,900점,20201012,179841
23,경제경영,생활 속 회계,K302739937,9791158291990,93320,오래,정도진 외 지음,15000,15000,0,0%,750점,20210315,9220
24,경제경영,IFRS 밀레니엄 회계원리,8955406118,9788955406115,93320,탐진,신현걸 지음,32000,32000,0,0%,"1,600점",20200106,11454
25,경제경영,주식시장의 17가지 미신,K002738839,9791190977173,3320,페이지2(page2),"켄 피셔.라라 호프만스 지음, 이건 옮김",17000,15300,1700,10%,850점,20210225,6900
26,경제경영,거시경제학,K052637310,9791162262542,93320,시그마프레스,"그레고리 맨큐 지음, 이병락 옮김",43000,43000,0,0%,"1,290점",20200305,11899
27,경제경영,주린이도 술술 읽는 친절한 주식책,K912632497,9791160022988,3320,메이트북스,최정희.이슬기 지음,15000,13500,1500,10%,750점,20200901,100861
28,경제경영,마케팅원론,8958534397,9788958534396,93320,학현사,안광호 외 지음,35000,35000,0,0%,0점,20180210,11005
29,경제경영,경제금융용어 700선,K012632571,9791155383933,3320,한국은행,한국은행 편집부 엮음,8000,8000,0,0%,240점,20200818,18573
30,경제경영,트리플 버블,K722738927,9791185785431,3320,인사이트앤뷰,한상완.조병학 지음,19000,17100,1900,10%,950점,20210217,9815
31,경제경영,버블 : 부의 대전환,K812738481,9791130635293,3320,브라이트(다산북스),"존 D. 터너 & 윌리엄 퀸 지음, 최지수 옮김",18000,16200,1800,10%,900점,20210127,24520
32,경제경영,현명한 투자자,8957821309,9788957821305,3320,국일증권경제연구소,"벤저민 그레이엄 지음, 이건 옮김, 신진오 감수",23000,20700,2300,10%,"1,150점",20200526,50511
33,경제경영,K-IFRS 중급재무회계 해답,895501757X,9788955017571,94320,신영사,송인만 외 지음,10000,10000,0,0%,300점,20210215,6910
34,경제경영,에센스 재무관리,K312635441,9791162880876,93320,유원북스,김영규.감형규.신용재 외,34000,34000,0,0%,"1,020점",20190809,8296
35,경제경영,행동경제학,8901248689,9788901248684,3320,웅진지식하우스,"리처드 H. 탈러 지음, 박세연 옮김",28000,25200,2800,10%,"1,400점",20210311,7600
36,경제경영,2021 상장 기업 업종 지도,K082737467,9791188754366,3320,에프엔미디어,박찬일 지음,16000,14400,1600,10%,800점,20210101,52005
37,경제경영,부의 진리,K212738823,9791170431695,3320,원앤원북스,이영주 지음,17000,15300,1700,10%,850점,20210223,16360
38,경제경영,재무제표 모르면 주식투자 절대로 하지마라,K042636037,9791190242271,13320,베가북스,사경인 지음,19800,17820,1980,10%,990점,20200110,75502
39,경제경영,미쉬킨의 화폐와 금융,K212737152,9789813136885,93320,피어슨에듀케이션코리아,"Frederic S. Mishkin 지음, 이명훈 외 옮김",40000,36000,4000,10%,"2,000점",20210101,8195
40,경제경영,평생 부자로 사는 주식투자,K472737258,9791197001918,3320,모루,남석관 지음,16800,15120,1680,10%,840점,20210120,20570
41,경제경영,존리의 금융문맹 탈출,K542633100,9791190242516,3320,베가북스,존 리 지음,16000,14400,1600,10%,800점,20201012,85881
42,경제경영,New 회계원리,K032637709,9791196933609,93320,창민사,김권중 지음,32000,32000,0,0%,960점,20200210,7908
43,경제경영,"주식의 시대, 투자의 자세",K432738584,9791190977098,3320,페이지2(page2),김동환.김한진.윤지호 지음,17000,15300,1700,10%,850점,20210205,18830
44,경제경영,경영학의 이해 (William G. Nickels 외),K912535582,9791186689103,93320,생능출판사,"William G. Nickels 외 지음, 권구혁 외 옮김",31000,31000,0,0%,930점,20160711,8693
45,경제경영,기본투자론,K172637819,9791132102274,93320,한국맥그로힐,"Zvi Boodie.Alex Kane.Alan Marcus 지음, 남상구.최승두 옮김",38000,38000,0,0%,"1,140점",20200103,7067
46,경제경영,STEP 4 전수환 경영학 핵심요약노트 STEP 4,K522534148,9791196384173,93320,밀더북,전수환 지음,20000,18000,2000,10%,"1,000점",20190218,18426
47,경제경영,부의 추월차선,8994702342,9788994702346,13320,토트,"엠제이 드마코 지음, 신소영 옮김",15000,13500,1500,10%,750점,20130820,79270
48,경제경영,EBS 다큐프라임 자본주의,8957365796,9788957365793,3320,가나출판사,EBS 자본주의 제작팀 지음,17000,15300,1700,10%,850점,20130927,24145
49,경제경영,IFRS 회계원리,8955017170,9788955017175,94320,신영사,반선섭 외 지음,30000,30000,0,0%,900점,20200215,7213
50,경제경영,경제학 들어가기,K612536589,9791185994345,93320,문우사(도서출판),이준구.이창용,33000,33000,0,0%,0점,20170222,8271
51,경제경영,폴 크루그먼의 경제학의 향연,8985989162,9788985989169,3320,부키,"폴 크루그먼 지음, 김이수.오승훈 옮김",16000,14400,1600,10%,800점,19971110,10347
52,경제경영,부의 인문학,8995563508,9788995563502,3320,오픈마인드,브라운스톤 지음,15000,13500,1500,10%,750점,20191004,69792
53,경제경영,"한눈에 쏙쏙, 주린이 주식 과외하기",8969524525,9788969524522,3320,경향BP,장우진 지음,16500,14850,1650,10%,820점,20210311,5220
54,경제경영,서비스 마케팅,895853477X,9788958534778,94320,학현사,이유재 지음,38000,38000,0,0%,"1,140점",20190810,6924
55,경제경영,부의 대이동,K922631278,9791196831080,3320,페이지2(page2),오건영 지음,17000,15300,1700,10%,850점,20200723,77565
56,경제경영,부자 아빠 가난한 아빠 1 (20주년 특별 기념판),K162532501,9791158883591,3320,민음인,"로버트 기요사키 지음, 안진환 옮김",15800,14220,1580,10%,790점,20180222,59390
57,경제경영,부자들은 이런 주식을 삽니다,K632738833,9791191425604,3320,위즈덤하우스,김현준 지음,18000,16200,1800,10%,900점,20210225,9100
58,경제경영,워런 버핏 바이블 (리커버 에디션),K182736717,9791188754007,3320,에프엔미디어,"워런 버핏.리처드 코너스 지음, 이건 옮김, 신진오 감수",28000,25200,2800,10%,"1,400점",20171215,29061
59,경제경영,사용자 중심의 Smart 원가회계,K322738185,9791162881255,93320,유원북스,서강관리회계연구회 지음,29000,29000,0,0%,870점,20210130,4725
60,경제경영,유머의 마법,K572739018,9791135495915,3320,안드로메디안,"제니퍼 에이커.나오미 백도나스 지음, 김영옥 옮김",17800,16020,1780,10%,890점,20210303,4820
61,경제경영,내러티브 경제학,8925589087,9788925589084,3320,알에이치코리아(RHK),"로버트 J. 실러 지음, 박슬라 옮김",22000,19800,2200,10%,"1,100점",20210226,5220
62,경제경영,마흔 살 경제적 자유 프로젝트,K132738734,9791165214784,3320,더퀘스트,박상태(생각실현가) 지음,16000,14400,1600,10%,800점,20210226,5540
63,경제경영,존리의 부자되기 습관 (20만부 기념 리커버 에디션),K702633200,9791187481720,13320,지식노마드,존 리 지음,15000,13500,1500,10%,750점,20201007,78595
64,경제경영,엑시트 EXIT,K662735148,9791187799146,13320,지혜로,송희창(송사무장) 지음,17000,15300,1700,10%,850점,20201123,42485
65,경제경영,컨버전스 2030,K422738791,9791162541944,3320,비즈니스북스,"피터 디아만디스.스티븐 코틀러 지음, 박영준 옮김",19800,17820,1980,10%,990점,20210208,15375
66,경제경영,무역상무,8944505004,9788944505003,93320,삼영사,오원석.박광서 지음,36000,36000,0,0%,"1,800점",20200225,5022
67,경제경영,위기의 징조들,K382738422,9791191328042,3320,이레미디어,"벤 S. 버냉키.티모시 가이트너.헨리 M. 폴슨 주니어 지음, 마경환 옮김",17800,16020,1780,10%,890점,20210308,6340
68,경제경영,왕초보도 바로 돈 버는 부동산 경매의 기술,K372738121,9791162541982,3320,비즈니스북스,정민우.유근용 지음,19000,17100,1900,10%,950점,20210219,7480
69,경제경영,소비자행동,K262636741,9791189295035,93320,집현재,이학식 외 지음,35000,35000,0,0%,"1,050점",20200122,7162
70,경제경영,"돈, 뜨겁게 사랑하고 차갑게 다루어라",8959893544,9788959893546,4320,미래의창,"앙드레 코스톨라니 지음, 김재경 옮김",12000,10800,1200,10%,600점,20150930,45869
71,경제경영,박곰희 투자법,K412736970,9791191056334,3320,인플루엔셜(주),박곰희 지음,17500,15750,1750,10%,870점,20201210,28585
72,경제경영,순서 파괴,K972738931,9791130635651,3320,다산북스,"콜린 브라이어.빌 카 지음, 유정식 옮김",19800,17820,1980,10%,990점,20210226,6560
73,경제경영,미국주식 처음공부,K962737460,9791188279463,3320,이레미디어,수미숨(상의민).애나정 지음,18500,16650,1850,10%,920점,20210120,20555
74,경제경영,승무원 이미지메이킹,K662536281,9791156855637,93320,한올출판사,최승리 외 지음,16000,16000,0,0%,800점,20170225,6319
75,경제경영,경제기사 궁금증 300문 300답,K272636413,9791196719432,3320,혜다,곽해선 지음,19800,17820,1980,10%,990점,20191225,30468
76,경제경영,돈 공부는 처음이라,K852534252,9791130620893,3320,다산북스,김종봉.제갈현열 지음,16000,14400,1600,10%,800점,20190222,26002
77,경제경영,IFRS 중급회계 (정운오 외),894200928X,9788942009282,93320,경문사,정운오 외 지음,49000,49000,0,0%,"1,470점",20210227,4800
78,경제경영,경제학원론,K272534351,9791162261460,93320,시그마프레스,"대런 애쓰모글루 외 지음, 손광락 외 옮김",38000,38000,0,0%,"1,140점",20190225,5722
79,경제경영,클라우스 슈밥의 위대한 리셋,K902738280,9791129707079,3320,메가스터디북스,"클라우스 슈밥.티에리 말르레 지음, 이진원 옮김",18000,16200,1800,10%,900점,20210201,11225
80,경제경영,초예측,8901229617,9788901229614,3300,웅진지식하우스,"유발 하라리 외 지음, 오노 가즈모토 엮음, 정현옥 옮김",15000,13500,1500,10%,750점,20190208,17821
81,경제경영,월급쟁이 부자로 은퇴하라,8925566516,9788925566511,3320,알에이치코리아(RHK),너나위 지음,18000,16200,1800,10%,900점,20190522,16492
82,경제경영,인적자원개발의 기초,K192637010,9791130309637,93370,박영사,임세영 지음,12000,12000,0,0%,360점,20200220,4454
83,경제경영,온라인 창업 마스터,K332739232,9791197359200,13320,모던스튜디오,이종구 지음,18000,16200,1800,10%,900점,20210228,3820
84,경제경영,미국 주식으로 부자 되기,8969524460,9788969524461,3320,경향BP,김훈(미주부) 지음,16500,14850,1650,10%,820점,20210203,12650
85,경제경영,사장의 탄생,K682738124,9791190030847,3200,어크로스,"데이비드 색스 지음, 이승연 옮김",17800,16020,1780,10%,890점,20210210,6220
86,경제경영,생산운영관리,K132534658,9791132101765,93320,한국맥그로힐,"William J. Stevenson 지음, 강종열 외 옮김",39000,39000,0,0%,0점,20190227,4308
87,경제경영,켈러의 경영경제통계학,8962184222,9788962184228,93310,Cengage Learning Korea,"Gerald Keller 지음, 이상규 옮김",43000,43000,0,0%,0점,20180101,5631
88,경제경영,엄마의 주식 공부,K232738929,9791190776455,3320,카시오페아,엄지언 지음,16800,15120,1680,10%,840점,20210219,7770
89,경제경영,관리회계원리,8955017448,9788955017441,93320,신영사,최종원 지음,30000,30000,0,0%,900점,20210115,3900
90,경제경영,친절한 회계원리,8955405898,9788955405897,93320,탐진,전규안.이용규.오웅락 지음,25000,25000,0,0%,"1,250점",20200303,4535
91,경제경영,확신,K572738321,9791130634579,3190,다산북스,"롭 무어 지음, 이진원 옮김",17000,15300,1700,10%,850점,20210217,5370
92,경제경영,"실전 광고학개론, 광고의 8원칙",K812735344,9791197220500,3320,대한출판사,오두환 지음,15000,13500,1500,10%,750점,20201123,13690
93,경제경영,AI 최강의 수업,K942735488,9791164841905,3550,매일경제신문사,김진형 지음,17000,15300,1700,10%,850점,20201120,11710
94,경제경영,적자의 본질,898602229X,9788986022292,3320,비즈니스맵,"스테파니 켈튼 지음, 이가영 옮김",17800,16020,1780,10%,890점,20210222,3900
95,경제경영,세계미래보고서 2021 (포스트 코로나 특별판),K732633601,9791162541722,3320,비즈니스북스,박영숙.제롬 글렌 지음,17800,16020,1780,10%,890점,20201022,55790
96,경제경영,IFRS 회계원리,8955017618,9788955017618,93320,신영사,이강일 외 지음,32000,32000,0,0%,960점,20210215,3320
97,경제경영,부자의 공식,K032737463,9791190242684,3320,베가북스,이정윤 지음,18000,16200,1800,10%,900점,20201221,23670
98,경제경영,규칙 없음,8925599635,9788925599632,3320,알에이치코리아(RHK),"리드 헤이스팅스.에린 메이어 지음, 이경남 옮김",25000,22500,2500,10%,"1,250점",20200908,51041
99,경제경영,진짜 부자들의 돈 쓰는 법,8947546909,9788947546904,3320,한국경제신문i,"사토 도미오 지음, 최윤경 옮김",15000,13500,1500,10%,150점,20210225,5830
100,경제경영,카지노산업의 이해,8945691596,9788945691590,93320,대왕사,이충기.권경상.김기엽 지음,19000,19000,0,0%,570점,20200820,3319
101,경제경영,싱글맘 부동산 경매로 홀로서기,K622638501,9791187799139,13320,지혜로,이선미 지음,16000,14400,1600,10%,800점,20200309,23392
102,경제경영,넛지,8901227541,9788901227542,3320,리더스북,"리처드 H. 탈러 외 지음, 안진환 옮김, 최정규",18000,16200,1800,10%,900점,20181123,60382
103,경제경영,생각에 관한 생각,8934981210,9788934981213,3320,김영사,"대니얼 카너먼 지음, 이창신 옮김",25000,22500,2500,10%,"1,250점",20180330,28726
104,경제경영,국제경제학 : 이론과 정책,8968665567,9788968665561,93320,시그마프레스,"폴 크루그먼 외 지음, 강정모 외 옮김",39000,39000,0,0%,"1,170점",20150825,5426
105,경제경영,위대한 기업에 투자하라,8991378021,9788991378025,3320,굿모닝북스,"필립 피셔 지음, 박정태 옮김",12000,10800,1200,10%,600점,20050610,26958
106,경제경영,광고관리,8958535210,9788958535218,,학현사,안광호.이유재.유창조 지음,35000,35000,0,0%,"1,050점",20200830,3868
107,경제경영,회계학원론,8990359090,9788990359094,93320,창민사,김병조.김호중.한봉희 지음,30000,30000,0,0%,900점,20190825,3936
108,경제경영,유저 리서치,K562738629,9791188314713,,유엑스리뷰,"스테파니 마시 지음, 서예리 옮김, 유엑스리뷰 리서치랩 감수",29000,26100,2900,10%,"1,450점",20210302,3520
109,경제경영,전인구의 주식투자 일주일 만에 뽀개기,K312738791,9791157746941,13320,아라크네,전인구 지음,22000,19800,2200,10%,"1,100점",20210215,8740
110,경제경영,New 회계원리 해답,K182637709,9791196933616,93320,창민사,김권중 지음,8000,8000,0,0%,240점,20200210,4533
111,경제경영,강흥보의 ETF 투자 특강,K452738024,9791160075724,13320,한즈미디어(한스미디어),강흥보 지음,17500,15750,1750,10%,870점,20210219,5400
112,경제경영,사용자 중심의 Smart 원가회계 : 해답집,K452738185,9791162881262,93320,유원북스,서강관리회계연구회 엮음,8000,8000,0,0%,240점,20210130,2760
113,경제경영,경영학원론,K072635141,9791187106111,93320,라온,임창희 지음,28000,28000,0,0%,840점,20190905,3530
114,경제경영,대한민국 역세권 투자지도,K302738120,9791170431770,3320,원앤원북스,표찬(밴더빌트) 지음,23000,20700,2300,10%,"1,150점",20210215,3620
115,경제경영,주식 차트 절대비기 300선!,K472635616,9791196524463,3320,(주)이상미디랩,이상우 지음,27000,24300,2700,10%,"1,350점",20190614,12392
116,경제경영,테크노믹스 시대의 부의 지도,K062737369,9791160023169,3320,메이트북스,박상현.고태봉 지음,17000,15300,1700,10%,850점,20210105,16045
