순번/순위,구분,상품명,ISBN,ISBN13,부가기호,출판사/제작사,저자/아티스트,정가,판매가,할인액,할인율,마일리지,출간일,세일즈포인트
1,고전,인간 실격,893746103X,9788937461033,4830,민음사,"다자이 오사무 지음, 김춘미 옮김",8000,7200,800,10%,400점,20040515,58485
2,고전,오만과 편견,8954648320,9788954648325,4840,문학동네,"제인 오스틴 지음, 류경희 옮김",14500,13050,1450,10%,720점,20170922,13590
3,고전,멋진 신세계,8973814729,9788973814725,3840,(주)태일소담출판사,"올더스 헉슬리 지음, 안정효 옮김",13800,12420,1380,10%,690점,20150612,59210
4,고전,동물농장,893746005X,9788937460050,4840,민음사,"조지 오웰 지음, 도정일 옮김",7000,6300,700,10%,350점,19980805,80250
5,고전,돈키호테 1~2 (리커버 특별판 + 세트 박스) - 전2권,K312737053,S000832736970,,열린책들,"미겔 데 세르반테스 사아베드라 지음, 안영옥 옮김",33600,30240,3360,10%,"1,680점",20201220,24390
6,고전,침묵의 봄,8962630613,9788962630619,3300,에코리브르,"레이첼 카슨 지음, 김은령 옮김, 홍욱희 감수",18000,16200,1800,10%,900점,20111230,60235
7,고전,페스트,8937462672,9788937462672,4800,민음사,"알베르 카뮈 지음, 김화영 옮김",13000,11700,1300,10%,650점,20110325,87360
8,고전,어린 왕자,8932917248,9788932917245,3860,열린책들,"앙투안 드 생텍쥐페리 지음, 황현산 옮김",9800,8820,980,10%,490점,20151020,90179
9,고전,데미안,8937460440,9788937460449,4850,민음사,"헤르만 헤세 지음, 전영애 옮김",8000,7200,800,10%,400점,20001220,94667
10,고전,1984,8937460777,9788937460777,4840,민음사,"조지 오웰 지음, 정회성 옮김",9500,8550,950,10%,470점,20030616,63449
11,고전,자유론,K612532131,9791159312236,4160,책세상,"존 스튜어트 밀 지음, 서병훈 옮김",8900,8010,890,10%,440점,20180330,29499
12,고전,위대한 개츠비,8937460750,9788937460753,4840,민음사,"F. 스콧 피츠제럴드 지음, 김욱동 옮김",8000,7200,800,10%,400점,20101208,36859
13,고전,오만과 편견,8937460882,9788937460883,4840,민음사,제인 오스틴 지음,11000,9900,1100,10%,550점,20030920,48393
14,고전,논어,K702737267,9791197278112,4100,홍익,"공자 지음, 오세진 옮김",16000,14400,1600,10%,800점,20201231,9260
15,고전,동서양 인문고전선독,K142533342,9791187892885,3800,전북대학교출판문화원,황갑연 외 지음,16000,16000,0,0%,800점,20180720,5378
16,고전,이방인,8937443848,9788937443848,,민음사,"알베르 카뮈 지음, 김화영 옮김",9000,8100,900,10%,450점,20190902,41391
17,고전,농담,8937460297,9788937460296,4860,민음사,"밀란 쿤데라 지음, 방미경 옮김",12000,10800,1200,10%,600점,19990625,14699
18,고전,브람스를 좋아하세요...,893746179X,9788937461798,4800,민음사,"프랑수아즈 사강 지음, 김남주 옮김",7500,6750,750,10%,370점,20080502,49099
