순번/순위,구분,상품명,ISBN,ISBN13,부가기호,출판사/제작사,저자/아티스트,정가,판매가,할인액,할인율,마일리지,출간일,세일즈포인트
1,과학,천문학자는 별을 보지 않는다,8954677258,9788954677257,3810,문학동네,심채경 지음,15000,13500,1500,10%,750점,20210222,48830
2,과학,"빌 게이츠, 기후재앙을 피하는 법",8934991364,9788934991366,3300,김영사,"빌 게이츠 지음, 김민주.이엽 옮김",17800,16020,1780,10%,890점,20210216,56080
3,과학,대학물리학 - 전2권,K022635170,9791159711862,93420,북스힐,"Raymond A. Serway 외 지음, 대학물리학 교재편찬위원회 옮김",48000,48000,0,0%,"2,400점",20190305,31014
4,과학,맥머리의 유기화학,896218429X,9788962184297,93430,사이플러스,"John McMurry 지음, 화학교재연구회 엮음",55000,55000,0,0%,0점,20180209,19504
5,과학,실버버그의 일반화학,K722534035,9791188731022,93430,사이플러스,"Martin S. Silberberg 지음, 화학교재연구회 옮김",52000,52000,0,0%,"1,560점",20190301,13837
6,과학,휴먼 네트워크,K912738628,9791166890000,3330,바다출판사,"매슈 O. 잭슨 지음, 박선진 옮김",19800,17820,1980,10%,990점,20210226,13300
7,과학,코스모스,8983711892,9788983711892,3400,사이언스북스,"칼 세이건 지음, 홍승수 옮김",18500,16650,1850,10%,920점,20061220,162604
8,과학,이기적 유전자,8932473900,9788932473901,3470,을유문화사,"리처드 도킨스 지음, 홍영남.이상임 옮김",20000,18000,2000,10%,"1,000점",20181020,88322
9,과학,회로이론,K002434423,9791185475189,93560,퍼스트북,"J. David Irwin 외 지음, 정찬수 외 옮김",38000,38000,0,0%,0점,20160224,11132
10,과학,엔드 오브 타임,K812738799,9791164137411,3420,와이즈베리,"브라이언 그린 지음, 박병철 옮김",22000,19800,2200,10%,"1,100점",20210215,22330
11,과학,창의적 공학설계,K242631175,9791156644934,93560,한빛아카데미(교재),김은경 지음,23000,23000,0,0%,"1,150점",20200710,11641
12,과학,McMurry 핵심일반화학,K472637004,9791158082499,93430,자유아카데미,"John McMurry 지음, 화학교재연구회 옮김",39000,39000,0,0%,"1,170점",20200305,12063
13,과학,줌달의 대학 기초화학,8962184818,9788962184815,93430,사이플러스,"Steven S. Zumdahl.Donald J. Decoste 지음, 화학교재연구회 옮김",39000,39000,0,0%,"1,170점",20200302,10398
14,과학,더 이상한 수학책,K112738626,9791191013122,3410,북라이프,"벤 올린 지음, 이경민 옮김",22000,19800,2200,10%,"1,100점",20210302,9430
15,과학,"신, 만들어진 위험",8934989653,9788934989653,3400,김영사,"리처드 도킨스 지음, 김명주 옮김",16800,15120,1680,10%,840점,20210201,37385
16,과학,핵심 대학물리학,K632635076,9791159711909,93420,북스힐,"Raymond A. Serway.John W. Jewett 지음, 대학물리학교재편찬위원회 ",38000,38000,0,0%,"1,900점",20190305,9452
17,과학,재료과학과 공학,K192738285,9791162263044,93550,시그마프레스,"William D. Callister 외 지음, 박인규.이재갑.김용석 옮김",42000,42000,0,0%,"1,260점",20210125,7975
18,과학,운명의 과학,K412639809,9791135462252,3470,브론스테인,"한나 크리츨로우 지음, 김성훈 옮김",18800,16920,1880,10%,940점,20200429,24759
19,과학,마스터톤의 일반화학,8962184478,9788962184471,93430,센게이지러닝(Cengage Learning),"William L. Masterton 지음, 화학교재연구회 옮김",43000,43000,0,0%,0점,20190301,9743
20,과학,최신분석화학,8973385976,9788973385973,93430,자유아카데미,"DANIEL C. HARRIS 지음,박정학 외 옮김",40000,40000,0,0%,"2,000점",20130201,10966
21,과학,최신 대학물리학 - 전2권,8955268807,9788955268805,93420,북스힐,"Raymond A. Serway 외 지음, 대학물리학교재편찬위원회 옮김",39000,39000,0,0%,"1,950점",20140301,10971
22,과학,일반물리학,K522635076,9791159711893,93420,북스힐,"Raymond A. Serway 지음, 일반물리학교재 편찬위원회 옮김",38000,38000,0,0%,"1,900점",20190305,11692
23,과학,4차 산업혁명 시대의 이산수학,8970509801,9788970509808,93410,생능출판사,김대수 지음,29000,29000,0,0%,870점,20190610,9853
24,과학,화공양론강의,K462637113,9789813136915,93430,사이플러스,"David M. Himmelblau 외 지음, 신재순 외 옮김",37000,37000,0,0%,0점,20200201,8485
25,과학,전자기학,K032434423,9791185504544,93560,진샘미디어,"Mattew N.O. Sadiku 지음, 전계석 외 옮김",37000,37000,0,0%,0점,20160215,7911
26,과학,침묵의 봄,8962630613,9788962630619,3300,에코리브르,"레이첼 카슨 지음, 김은령 옮김, 홍욱희 감수",18000,16200,1800,10%,900점,20111230,60235
27,과학,최신 송배전 공학,8938111245,9788938111241,93560,동일출판사,송길영 지음,29000,26100,2900,10%,"1,450점",20180305,9629
28,과학,선형대수학 Express,8970507582,9788970507583,93410,생능출판사,김대수 지음,27000,27000,0,0%,"1,350점",20130125,7734
29,과학,캠벨 생명과학,8968240906,9788968240904,93470,바이오사이언스,"Jane B. Reece 외 지음, 전상학 옮김",60000,60000,0,0%,0점,20190530,13725
30,과학,화학공정계산,8964212851,9788964212851,93570,한티미디어,Richard M. Felder.Ronald W. Rousseau.Lisa G. Bulla,37000,37000,0,0%,"1,110점",20170228,7016
31,과학,기초전자실험 with PSpice,K732535071,9791156642589,93560,한빛아카데미(교재),홍순관 지음,17000,17000,0,0%,0점,20160610,8047
32,과학,꽃도감,K452738329,9791160075755,13630,한즈미디어(한스미디어),"방현희 옮김, 몽소 플레르 감수",22000,19800,2200,10%,"1,100점",20210217,6330
33,과학,생화학,8961543067,9788961543064,93430,라이프사이언스,"Mary K. Campbell 외 지음, 곽한식 외 옮김",45000,45000,0,0%,0점,20190901,6579
34,과학,마이크로전자회로 (Razavi),8964212223,9788964212226,93560,한티미디어,"버자드 라자비 지음, 김철우 외 옮김",40000,40000,0,0%,"2,000점",20150216,6680
35,과학,호흡의 기술,K672738021,9791189799366,3510,북트리거,"제임스 네스터 지음, 승영조 옮김",19500,17550,1950,10%,970점,20210219,7775
36,과학,전자회로,K272534356,9791185475462,93560,퍼스트북,"Thomas L. Floyd 지음, 손상희 외 옮김",38000,38000,0,0%,0점,20190225,6677
37,과학,디지털 논리회로,8970508627,9788970508627,93560,생능출판사,김종현 지음,28000,28000,0,0%,"1,400점",20160205,7221
38,과학,핵심이 보이는 제어공학,K082532435,9791156643845,93560,한빛아카데미(교재),김성중 지음,26000,26000,0,0%,0점,20180228,6131
39,과학,MATLAB으로 배우는 공학수학,K822532434,9791156643869,93560,한빛아카데미(교재),소상균 지음,28000,28000,0,0%,0점,20180405,5049
40,과학,제대로 시작하는 기초 통계학 : Excel 활용,K332736714,9791156645153,93310,한빛아카데미,노경섭 지음,25000,22500,2500,10%,750점,20210106,5700
41,과학,제어시스템공학,K272530935,9791156005094,93560,홍릉(홍릉과학출판사),"Norman S. Nise 지음, 박진배 외 옮김",39000,39000,0,0%,"1,170점",20170228,5590
42,과학,핵심 화학반응공학,K422638305,9791190017053,93430,한티에듀,"H. Scott Fogler 지음, 이윤우 옮김",35000,35000,0,0%,"1,050점",20200220,4888
43,과학,맥머리의 유기화학강의,8962184397,9788962184396,93430,사이플러스,"John McMurry 지음, 화학교재연구회 엮음",35000,35000,0,0%,0점,20180823,5281
44,과학,생명이란 무엇인가,8972917303,9788972917304,3470,까치,"폴 너스 지음, 이한음 옮김",16000,14400,1600,10%,800점,20210115,17575
45,과학,줌달의 기본 일반화학,8962184826,9788962184822,,센게이지러닝(Cengage Learning),"Steven S. Zumdahl 지음, 화학교재연구회 옮김",42000,42000,0,0%,"1,260점",20201218,4125
46,과학,미적분학 1+,8952117875,9788952117878,94410,서울대학교출판문화원,김홍종 지음,18000,18000,0,0%,900점,20160125,7205
47,과학,회로이론 Circuits,1156641195,9791156641193,93560,한빛아카데미(교재),"Fawwaz T. Ulaby 외 지음, 박병국 외 옮김",34000,34000,0,0%,0점,20140728,5282
48,과학,떨림과 울림,8962622505,9788962622508,3400,동아시아,김상욱 지음,15000,13500,1500,10%,750점,20181107,34593
49,과학,대학물리학,K362638125,9791159712685,93420,북스힐,권민정 외 지음,26000,26000,0,0%,"1,300점",20200215,5216
50,과학,세상을 바꾸는 생명과학,8961543261,9788961543262,93470,라이프사이언스,서영훈 외 지음,29000,29000,0,0%,870점,20200901,5704
51,과학,Smith 유기화학,K572637004,9791158082420,93430,자유아카데미,유기화학교재연구회 옮김,53000,53000,0,0%,"1,590점",20200205,5402
