순번/순위,구분,상품명,ISBN,ISBN13,부가기호,출판사/제작사,저자/아티스트,정가,판매가,할인액,할인율,마일리지,출간일,세일즈포인트
1,국내도서,주술회전 13,K412739038,9791136731890,,서울미디어코믹스(서울문화사),"아쿠타미 게게 지음, 이정운 옮김",5000,4500,500,10%,250점,20210319,116870
2,국내도서,이상한 과자 가게 전천당 10,K742739914,9791164063581,74830,길벗스쿨,"히로시마 레이코 지음, 쟈쟈 그림, 김정화 옮김",12000,10800,1200,10%,600점,20210308,73400
3,국내도서,주택과 세금,K192739134,9791163060390,13320,DTW(더존테크윌),국세청 부동산납세과 지음,7000,7000,0,0%,0점,20210303,79200
4,국내도서,마지막 몰입,K152738321,9791162541968,3190,비즈니스북스,"짐 퀵 지음, 김미정 옮김",16800,15120,1680,10%,840점,20210223,60070
5,국내도서,해커스 토익 기출 보카 TOEIC VOCA 단어장,8965422787,9788965422785,13740,해커스어학연구소(Hackers),데이빗 조 (David Cho) 지음,12900,11610,1290,10%,640점,20190102,289980
6,국내도서,주린이가 가장 알고 싶은 최다질문 TOP 77,K682737326,9791160023176,3320,메이트북스,염승환 지음,18000,16200,1800,10%,900점,20210120,239600
7,국내도서,달러구트 꿈 백화점,K392630952,9791165341909,3810,팩토리나인,이미예 지음,13800,12420,1380,10%,690점,20200708,374943
8,국내도서,흔한남매 7,K602738939,9791164137527,77810,아이세움,"흔한남매 원작, 유난희 그림, 백난도 글, 흔한컴퍼니 감수",12000,10800,1200,10%,600점,20210311,68550
9,국내도서,맨큐의 경제학,8962185024,9788962185027,93320,Cengage Learning,"그레고리 맨큐 지음, 김경환 & 김종석 옮김",45000,45000,0,0%,"1,350점",20210226,48220
10,국내도서,천문학자는 별을 보지 않는다,8954677258,9788954677257,3810,문학동네,심채경 지음,15000,13500,1500,10%,750점,20210222,48830
11,국내도서,공정하다는 착각,K092633826,9791164136452,3300,와이즈베리,"마이클 샌델 지음, 함규진 옮김",18000,16200,1800,10%,900점,20201201,251757
12,국내도서,푸른 사자 와니니 3,893644316X,9788936443160,73810,창비,"이현 지음, 오윤화 그림",10800,9720,1080,10%,540점,20210219,65330
13,국내도서,2021 수제비 정보처리기사 실기 (1권+2권 합본세트) 2020년 기출 문제 수록,K482738447,9791157675807,13000,건기원,NCS 정보처리기술사 연구회 지음,33000,29700,3300,10%,"1,650점",20210310,51300
14,국내도서,미분적분학,K832738321,9791160733853,93410,경문사(경문북스),"James Stewart 외 지음, 수학교재편찬위원회 옮김",45000,45000,0,0%,"1,350점",20210302,34620
15,국내도서,2021 선재국어 나침판 실전 모의고사 Vol.1,K592738529,9791165764272,13710,에스티유니타스,이선재 지음,21000,18900,2100,10%,0점,20210225,51540
16,국내도서,"2021 큰별쌤 최태성의 별★별한국사 한국사능력검정시험 심화(1, 2, 3급) 상",K192738029,9791165985110,13910,이투스북,최태성 지음,15000,13500,1500,10%,750점,20210201,51935
17,국내도서,아르센 벵거 자서전 My Life in Red and White,K192739031,9791160075793,3690,한즈미디어(한스미디어),"아르센 벵거 지음, 이성모 옮김",22000,19800,2200,10%,"1,100점",20210310,29940
18,국내도서,어린이라는 세계,K132633125,9791160946918,3810,사계절,김소영 지음,15000,13500,1500,10%,750점,20201116,170611
19,국내도서,나의 첫 투자 수업 1 : 마인드편,K562738128,9791187993797,3320,트러스트북스,김정환.김이안 지음,17000,15300,1700,10%,850점,20210209,56780
20,국내도서,2030 축의 전환,8901246082,9788901246086,3320,리더스북,"마우로 기옌 지음, 우진하 옮김",18000,16200,1800,10%,900점,20201016,240662
21,국내도서,Kreyszig 공업수학 (상),8993543879,9788993543872,94410,텍스트북스(TextBook),"Erwin Kreyszig 지음, 서진헌 외 옮김",29000,29000,0,0%,870점,20200115,41090
22,국내도서,"빌 게이츠, 기후재앙을 피하는 법",8934991364,9788934991366,3300,김영사,"빌 게이츠 지음, 김민주.이엽 옮김",17800,16020,1780,10%,890점,20210216,56080
23,국내도서,모래알만 한 진실이라도,8933871551,9788933871553,3810,세계사,박완서 지음,16000,14400,1600,10%,800점,20201207,133540
24,국내도서,ETS 토익 정기시험 기출문제집 1000 Vol. 2 Reading (리딩),8917232191,9788917232196,14740,(주)YBM(와이비엠),ETS 엮음,17800,16020,1780,10%,890점,20191216,186360
25,국내도서,쉽게 풀어쓴 C언어 Express,8970509577,9788970509570,93000,생능출판사,천인국 지음,30000,30000,0,0%,900점,20180820,39154
26,국내도서,나의 첫 투자 수업 2 : 투자편,K852738128,9791187993803,3320,트러스트북스,김정환.김이안 지음,17000,15300,1700,10%,850점,20210224,54400
27,국내도서,New Everyday English Book 1,8976681878,9788976681874,3740,신구문화사,English Textbook Committee 지음,15000,14250,750,5%,450점,20120310,30558
28,국내도서,ETS 토익 정기시험 기출문제집 1000 Vol. 2 Listening (리스닝),8917232183,9788917232189,13740,(주)YBM(와이비엠),ETS 엮음,17800,16020,1780,10%,890점,20191216,171622
29,국내도서,휴먼카인드,K892738525,9791191056471,3900,인플루엔셜(주),"뤼트허르 브레흐만 지음, 조현욱 옮김",22000,19800,2200,10%,"1,100점",20210302,35040
30,국내도서,"2021 큰별쌤 최태성의 별★별한국사 한국사능력검정시험 심화(1, 2, 3급) 하",K202738029,9791165985127,13910,이투스북,최태성 지음,14000,12600,1400,10%,700점,20210201,45530
31,국내도서,평범한 결혼생활,K182738738,9791197346576,3810,토스트,임경선 지음,15000,13500,1500,10%,750점,20210311,49110
32,국내도서,나의 히어로 아카데미아 29 (특장판),K682739235,,,서울미디어코믹스(서울문화사),호리코시 코헤이 지음,5000,4500,500,10%,250점,20210308,50380
33,국내도서,미네르바 인문 읽기와 쓰기,K062530539,9791159011733,13710,한국외국어대학교출판부 지식출판원(HUINE),미네르바 교양대학 교재편찬위원회 지음,18000,17100,900,5%,900점,20170227,28940
34,국내도서,대학물리학 - 전2권,K022635170,9791159711862,93420,북스힐,"Raymond A. Serway 외 지음, 대학물리학 교재편찬위원회 옮김",48000,48000,0,0%,"2,400점",20190305,31014
35,국내도서,공학수학 1,8993543690,9788993543698,94410,텍스트북스(TextBook),"Dennis G. Zill & Warren S. Wright 지음, 고형종 외 옮김",32000,32000,0,0%,960점,20180227,29011
36,국내도서,푸른 사자 와니니,8936442805,9788936442804,73810,창비,"이현 지음, 오윤화 그림",10800,9720,1080,10%,540점,20150625,101011
37,국내도서,줌달의 일반화학 (Zumdahl),8962184354,9788962184358,93430,Cengage Learning Korea,"Steven S. Zumdahl 지음, 화학교재연구회 옮김",53000,53000,0,0%,0점,20190218,34550
38,국내도서,어떻게 말해줘야 할까,8934986654,9788934986652,13590,김영사,"오은영 지음, 차상미 그림",17500,15750,1750,10%,870점,20201025,235981
39,국내도서,파친코 1,8970129812,9788970129815,4840,문학사상사,"이민진 지음, 이미정 옮김",14500,13050,1450,10%,720점,20180323,90835
40,국내도서,"알폰스 무하, 새로운 스타일의 탄생",8925589109,9788925589107,3600,알에이치코리아(RHK),장우진 지음,16800,15120,1680,10%,840점,20210215,48490
41,국내도서,흔한남매 불꽃 튀는 우리말 1,K312738420,9791130635712,77700,다산어린이,"한은호 지음, 유희석 그림, 흔한컴퍼니 감수, 흔한남매 원작",13000,11700,1300,10%,650점,20210304,37340
42,국내도서,파친코 2,8970129820,9788970129822,4840,문학사상사,"이민진 지음, 이미정 옮김",14500,13050,1450,10%,720점,20180323,85688
43,국내도서,수학 잘하는 아이는 이렇게 공부합니다,K912738686,9791196848194,3370,블루무스,류승재 지음,16800,15120,1680,10%,840점,20210212,47260
44,국내도서,귀멸의 칼날 10,K412636660,9791134821791,,학산문화사(만화),고토게 코요하루 지음,5000,4500,500,10%,250점,20190917,42542
45,국내도서,절대 배신하지 않는 공부의 기술,8901248751,9788901248752,3190,웅진지식하우스,이상욱 지음,15500,13950,1550,10%,770점,20210223,24980
46,국내도서,그녀는 다 계획이 있다,K182738525,9791136264473,3830,하빌리스,"히가시노 게이고 지음, 양윤옥 옮김",15800,14220,1580,10%,790점,20210226,30520
47,국내도서,C언어로 쉽게 풀어쓴 자료구조,8970509712,9788970509716,93560,생능출판사,천인국.공용해.하상호 지음,29000,29000,0,0%,870점,20190222,28216
48,국내도서,긴긴밤,8954677150,9788954677158,73810,문학동네,루리 지음,11500,10350,1150,10%,570점,20210203,52880
49,국내도서,2021 이동기 영어 실전동형 모의고사 Vol.1 - 전3권,K152738839,9791165764739,13740,에스티유니타스,이동기 지음,16000,14400,1600,10%,0점,20210302,24130
50,국내도서,귀멸의 칼날 22,K722738483,9791134875046,,학산문화사(만화),고토게 코요하루 지음,5000,4500,500,10%,250점,20210128,47690
51,국내도서,귀멸의 칼날 8,K312636376,9791134841393,7650,학산문화사(만화),고토게 코요하루 지음,5000,4500,500,10%,250점,20190418,41873
52,국내도서,신비 1,8925588943,9788925588940,7810,알에이치코리아(RHK),반지 지음,15000,13500,1500,10%,750점,20210308,21420
53,국내도서,"1일 1페이지, 세상에서 가장 짧은 심리 수업 365",K112738822,9791191308440,4030,위즈덤하우스,정여울 지음,16000,14400,1600,10%,800점,20210205,40660
54,국내도서,2021 큰별쌤 최태성의 별★별한국사 기출 500제 한국사능력검정시험 심화(1.2.3급),K622736811,9791165982089,13910,이투스북,최태성 지음,19000,17100,1900,10%,950점,20201216,82370
55,국내도서,해커스 토익 RC 리딩 READING,8965423341,9788965423348,13740,해커스어학연구소(Hackers),데이빗 조 (David Cho) 지음,18800,16920,1880,10%,940점,20200102,106148
56,국내도서,아버지에게 갔었어,8936434462,9788936434465,3810,창비,신경숙 지음,14000,12600,1400,10%,700점,20210305,21290
57,국내도서,고래별 3,8925589095,9788925589091,7810,알에이치코리아(RHK),나윤희 지음,15000,13500,1500,10%,750점,20210228,46020
58,국내도서,New Everyday English Book 3,8976681894,9788976681898,3740,신구문화사,English Textbook Committee 지음,15000,14250,750,5%,450점,20120310,19106
59,국내도서,미라클 모닝,K902434025,9791157841110,13320,한빛비즈,"할 엘로드 지음, 김현수 옮김",12000,10800,1200,10%,600점,20160222,57292
60,국내도서,2021 이동기 영어 기적의 특강,K912738683,9791165764494,13740,에스티유니타스,이동기 지음,14000,12600,1400,10%,0점,20210208,39065
61,국내도서,귀멸의 칼날 20,K672633807,9791134866259,,학산문화사(만화),고토게 코요하루 지음,5000,4500,500,10%,250점,20200924,38641
62,국내도서,귀멸의 칼날 9,K332636376,9791134841409,7650,학산문화사(만화),고토게 코요하루 지음,5000,4500,500,10%,250점,20190418,37179
63,국내도서,귀멸의 칼날 13,K742636028,9791134841768,,학산문화사(만화),고토게 코요하루 지음,5000,4500,500,10%,250점,20191224,37436
64,국내도서,해커스 토익 스타트 리딩 RC,8965423376,9788965423379,13740,해커스어학연구소(Hackers),데이빗 조 (David Cho) 지음,14900,13410,1490,10%,740점,20200102,79478
