순번/순위,구분,상품명,ISBN,ISBN13,부가기호,출판사/제작사,저자/아티스트,정가,판매가,할인액,할인율,마일리지,출간일,세일즈포인트
1,달력/기타,2021 데미안 탁상달력,K522633324,8809529011809,1,북엔(BOOK&_),미르북컴퍼니 편집부 지음,7500,4500,3000,40%,50점,20201115,34470
2,달력/기타,2021 안녕 앤 탁상달력,K112735118,8809529011823,1,북엔(BOOK&_),북엔 편집부 지음,7500,4500,3000,40%,50점,20201112,23125
3,달력/기타,"[크림] 혼자공부 스터디체커 플래너 (6개월용, 스터디플래너, 만년형)",K182736438,8809675464818,1,인디고(주),인디고(주) 편집부 지음,12500,11250,1250,10%,625점,20201210,2410
4,달력/기타,카드캡터 체리 스티커 50장 세트 1 (핑크케이스),K342639416,8809474873125,1,아르누보,CLAMP 그림,12000,6000,6000,50%,0점,20200511,2885
5,달력/기타,2021 맘마미아 가계부,K302633271,8809479180112,1,진서원,맘마미아 지음,12000,10800,1200,10%,540점,20200911,20978
6,달력/기타,카드캡터 체리 마스킹 테이프 3,K332639036,8809474875167,1,아르누보,CLAMP 그림,5000,1900,3100,62%,0점,20200518,3385
7,달력/기타,미라클 모닝 다이어리,K162639038,8809729440003,1,한빛비즈,"할 엘로드 지음, 이현주 옮김",16000,10400,5600,35%,110점,20200530,4995
8,달력/기타,[블루] 기본 스터디 플래너 (4개월 학생 공시생 취준생),K652735244,8809675464870,1,인디고(주),인디고(주) 편집부 지음,7800,7020,780,10%,390점,20201115,2010
9,달력/기타,2021 어린 왕자 탁상달력 (일반형),K942633229,8809529011717,1,북엔(BOOK&_),미르북컴퍼니 편집부 지음,7500,4500,3000,40%,50점,20201106,9021
10,달력/기타,"나태주, 시간의 쉼표",K262633328,9791164389551,810,서울문화사,나태주 지음,15800,14220,1580,10%,790점,20201118,8808
11,달력/기타,가장 심플한 다이어리 2021,K632633600,8809474876010,1,참돌,참돌 편집부 지음,10000,5800,4200,42%,60점,20201008,7115
12,달력/기타,카드캡터 체리 마스킹 테이프 1,K232639036,8809474875143,1,아르누보,CLAMP 그림,8000,1900,6100,76%,0점,20200518,1986
13,달력/기타,"[민트] 혼자공부 스터디체커 플래너 (6개월용, 스터디플래너, 만년형)",K002736438,8809675464795,1,인디고(주),인디고(주) 편집부 지음,12500,11250,1250,10%,625점,20201210,1450
