순번/순위,구분,상품명,ISBN,ISBN13,부가기호,출판사/제작사,저자/아티스트,정가,판매가,할인액,할인율,마일리지,출간일,세일즈포인트
1,대학교재/전문서적,맨큐의 경제학,8962185024,9788962185027,93320,Cengage Learning,"그레고리 맨큐 지음, 김경환 & 김종석 옮김",45000,45000,0,0%,"1,350점",20210226,48220
2,대학교재/전문서적,미분적분학,K832738321,9791160733853,93410,경문사(경문북스),"James Stewart 외 지음, 수학교재편찬위원회 옮김",45000,45000,0,0%,"1,350점",20210302,34620
3,대학교재/전문서적,Kreyszig 공업수학 (상),8993543879,9788993543872,94410,텍스트북스(TextBook),"Erwin Kreyszig 지음, 서진헌 외 옮김",29000,29000,0,0%,870점,20200115,41090
4,대학교재/전문서적,쉽게 풀어쓴 C언어 Express,8970509577,9788970509570,93000,생능출판사,천인국 지음,30000,30000,0,0%,900점,20180820,39154
5,대학교재/전문서적,New Everyday English Book 1,8976681878,9788976681874,3740,신구문화사,English Textbook Committee 지음,15000,14250,750,5%,450점,20120310,30558
6,대학교재/전문서적,미네르바 인문 읽기와 쓰기,K062530539,9791159011733,13710,한국외국어대학교출판부 지식출판원(HUINE),미네르바 교양대학 교재편찬위원회 지음,18000,17100,900,5%,900점,20170227,28940
7,대학교재/전문서적,대학물리학 - 전2권,K022635170,9791159711862,93420,북스힐,"Raymond A. Serway 외 지음, 대학물리학 교재편찬위원회 옮김",48000,48000,0,0%,"2,400점",20190305,31014
8,대학교재/전문서적,공학수학 1,8993543690,9788993543698,94410,텍스트북스(TextBook),"Dennis G. Zill & Warren S. Wright 지음, 고형종 외 옮김",32000,32000,0,0%,960점,20180227,29011
9,대학교재/전문서적,줌달의 일반화학 (Zumdahl),8962184354,9788962184358,93430,Cengage Learning Korea,"Steven S. Zumdahl 지음, 화학교재연구회 옮김",53000,53000,0,0%,0점,20190218,34550
10,대학교재/전문서적,C언어로 쉽게 풀어쓴 자료구조,8970509712,9788970509716,93560,생능출판사,천인국.공용해.하상호 지음,29000,29000,0,0%,870점,20190222,28216
11,대학교재/전문서적,New Everyday English Book 3,8976681894,9788976681898,3740,신구문화사,English Textbook Committee 지음,15000,14250,750,5%,450점,20120310,19106
12,대학교재/전문서적,파이썬 for Beginner,K512636304,9791156644668,93000,한빛아카데미(교재),우재남 지음,23000,23000,0,0%,"1,150점",20200106,21743
13,대학교재/전문서적,미시경제학,K682534224,9791185994598,93320,문우사(도서출판),이준구 지음,37000,37000,0,0%,"1,110점",20190211,22468
