순번/순위,구분,상품명,ISBN,ISBN13,부가기호,출판사/제작사,저자/아티스트,정가,판매가,할인액,할인율,마일리지,출간일,세일즈포인트
1,만화,주술회전 13,K412739038,9791136731890,,서울미디어코믹스(서울문화사),"아쿠타미 게게 지음, 이정운 옮김",5000,4500,500,10%,250점,20210319,116870
2,만화,나의 히어로 아카데미아 29 (특장판),K682739235,,,서울미디어코믹스(서울문화사),호리코시 코헤이 지음,5000,4500,500,10%,250점,20210308,50380
3,만화,귀멸의 칼날 10,K412636660,9791134821791,,학산문화사(만화),고토게 코요하루 지음,5000,4500,500,10%,250점,20190917,42542
4,만화,귀멸의 칼날 22,K722738483,9791134875046,,학산문화사(만화),고토게 코요하루 지음,5000,4500,500,10%,250점,20210128,47690
5,만화,귀멸의 칼날 8,K312636376,9791134841393,7650,학산문화사(만화),고토게 코요하루 지음,5000,4500,500,10%,250점,20190418,41873
6,만화,신비 1,8925588943,9788925588940,7810,알에이치코리아(RHK),반지 지음,15000,13500,1500,10%,750점,20210308,21420
7,만화,고래별 3,8925589095,9788925589091,7810,알에이치코리아(RHK),나윤희 지음,15000,13500,1500,10%,750점,20210228,46020
8,만화,귀멸의 칼날 20,K672633807,9791134866259,,학산문화사(만화),고토게 코요하루 지음,5000,4500,500,10%,250점,20200924,38641
9,만화,귀멸의 칼날 9,K332636376,9791134841409,7650,학산문화사(만화),고토게 코요하루 지음,5000,4500,500,10%,250점,20190418,37179
10,만화,귀멸의 칼날 13,K742636028,9791134841768,,학산문화사(만화),고토게 코요하루 지음,5000,4500,500,10%,250점,20191224,37436
11,만화,귀멸의 칼날 7,K392636376,9791134841386,7650,학산문화사(만화),고토게 코요하루 지음,5000,4500,500,10%,250점,20190221,36100
12,만화,귀멸의 칼날 19,K762631685,9791134860615,,학산문화사(만화),고토게 코요하루 지음,5000,4500,500,10%,250점,20200716,37158
13,만화,귀멸의 칼날 11,K442636189,9791134826468,,학산문화사(만화),고토게 코요하루 지음,5000,4500,500,10%,250점,20191017,37868
14,만화,귀멸의 칼날 21,K672735141,9791134872564,,학산문화사(만화),고토게 코요하루 지음,5000,4500,500,10%,250점,20201126,40080
15,만화,귀멸의 칼날 18,K552639539,9791134858100,,학산문화사(만화),고토게 코요하루 지음,5000,4500,500,10%,250점,20200522,36383
16,만화,귀멸의 칼날 16,K012638403,9791134854133,,학산문화사(만화),고토게 코요하루 지음,5000,4500,500,10%,250점,20200306,36930
17,만화,귀멸의 칼날 12,K352636208,9791134829827,,학산문화사(만화),고토게 코요하루 지음,5000,4500,500,10%,250점,20191125,37515
18,만화,귀멸의 칼날 17,K442639083,9791134855475,,학산문화사(만화),고토게 코요하루 지음,5000,4500,500,10%,250점,20200420,36535
19,만화,귀멸의 칼날 14,K372636235,9791134845247,,학산문화사(만화),고토게 코요하루 지음,5000,4500,500,10%,250점,20200115,36962
20,만화,귀멸의 칼날 15,K912637109,9791134848378,,학산문화사(만화),고토게 코요하루 지음,5000,4500,500,10%,250점,20200207,35922
21,만화,나의 마녀 3,8954677185,9788954677189,7810,문학동네,"해윤 지음, MAS 그림",14000,12600,1400,10%,700점,20210226,52360
22,만화,귀멸의 칼날 3,K392636879,9791134841348,,학산문화사(만화),고토게 코요하루 지음,5000,4500,500,10%,250점,20171229,30610
23,만화,귀멸의 칼날 5,K332636879,9791134841362,,학산문화사(만화),고토게 코요하루 지음,5000,4500,500,10%,250점,20180726,30551
24,만화,귀멸의 칼날 1,K792636075,9791134841324,,학산문화사(만화),고토게 코요하루 지음,5000,4500,500,10%,250점,20170920,33772
25,만화,귀멸의 칼날 4,K642636979,9791134841355,,학산문화사(만화),고토게 코요하루 지음,5000,4500,500,10%,250점,20180413,30357
26,만화,귀멸의 칼날 6,K072636275,9791134841379,7650,학산문화사(만화),고토게 코요하루 지음,5000,4500,500,10%,250점,20181016,30495
27,만화,귀멸의 칼날 2,K912636771,9791134841331,7650,학산문화사(만화),고토게 코요하루 지음,5000,4500,500,10%,250점,20170512,32361
28,만화,어제 뭐 먹었어? 17,K382738035,9791128370472,47830,삼양출판사(만화),"요시나가 후미 지음, 노미영 옮김",6000,5400,600,10%,300점,20210218,13080
29,만화,심야식당 23,K182738931,9791136264435,,미우(대원씨아이),"아베 야로 지음, 장지연 옮김",8500,7650,850,10%,420점,20210226,13090
30,만화,주술회전 12,K262738829,9791136730756,,서울미디어코믹스(서울문화사),"아쿠타미 게게 지음, 이정운 옮김",5000,4500,500,10%,250점,20210226,76425
31,만화,이세린 가이드,K572738287,9791188605170,,코난북스,김정연 지음,15000,13500,1500,10%,750점,20210201,27595
32,만화,코미 양은 커뮤증입니다 17,K182738356,9791166114922,7830,㈜소미미디어,"오다 토모히토 지음, 김현주 옮김",5000,4500,500,10%,250점,20210305,10820
33,만화,귀멸의 칼날 공식 팬북,K772633807,9791134858117,,학산문화사(만화),고토게 코요하루 지음,9500,8550,950,10%,470점,20200924,25031
34,만화,하나노이 군과 상사병 7 (일러스트 + 단행본 미수록 만화 포함 특장판),K692738832,9791136266460,,대원씨아이(만화),모리노 메구미 지음,8000,7200,800,10%,400점,20210311,12730
35,만화,진격의 거인 후회없는 선택 1~2 세트 - 전2권 (완결),K062535326,9791125603429,7650,학산문화사(만화),"스루가 히카루 지음, 이사야마 하지메",7200,6480,720,10%,360점,20161012,24281
36,만화,이누야샤 와이드판 4,K522739936,9791134875787,,학산문화사(만화),다카하시 루미코 지음,15000,13500,1500,10%,750점,20210304,5790
37,만화,이누야샤 와이드판 3,K572739936,9791134875770,,학산문화사(만화),다카하시 루미코 지음,15000,13500,1500,10%,750점,20210304,5820
38,만화,총몽 화성전기 3,8954677282,9788954677288,7830,문학동네,"기시로 유키토 지음, 주원일 옮김",9000,8100,900,10%,450점,20210308,6670
39,만화,나의 히어로 아카데미아 공식 캐릭터북 Ultra Archive 2,K862738834,9791136730626,,서울미디어코믹스(서울문화사),"호리코시 코헤이 지음, 오경화 옮김",10000,9000,1000,10%,500점,20210225,11750
40,만화,"괴롭히지 말아요, 나가토로 양 9",K122739134,9791166115073,7830,㈜소미미디어,"나나시 지음, 김현주 옮김",5000,4500,500,10%,250점,20210312,6810
41,만화,당신의 향수 1,8954677142,9788954677141,7810,문학동네,호우 지음,15000,13500,1500,10%,750점,20210305,6080
42,만화,만화 악역의 엔딩은 죽음뿐 1 (아크릴 스탠드 + 대형 일러스트 보드 + 캐릭터 카드 2종 + 명장면·명대사 엽서 3종 한정판),K802738228,9791191363548,4810,디앤씨웹툰비즈,"수월 지음, 권겨을 원작",27000,24300,2700,10%,"1,350점",20210226,26190
43,만화,마른 가지에 바람처럼 1,K022739011,9791190153676,7810,영컴(YOUNG COM),"달새울 지음, 화음 그림",14000,12600,1400,10%,700점,20210310,6430
44,만화,내 마음의 위험한 녀석 3,K312738487,9791166113659,"
07830",㈜소미미디어,"사쿠라이 노리오 지음, 김현주 옮김",5500,4950,550,10%,270점,20210205,13520
45,만화,하이큐!! 45,K412737694,9791136255822,,대원씨아이(만화),후루다테 하루이치 지음,5000,4500,500,10%,250점,20201224,53635
46,만화,최애의 아이 1,K102738920,9791136263858,,대원씨아이(만화),"아카사카 아카 지음, 요코야리 멘고 그림",5500,4950,550,10%,270점,20210225,15295
47,만화,변덕쟁이 오렌지로드 애장판 5,K882738834,9791136731012,,서울미디어코믹스(서울문화사),"마츠모토 이즈미 지음, 김수연 옮김",11000,9900,1100,10%,550점,20210225,8070
48,만화,독점 마이 히어로 10 (200P 소책자 모음집 + 일러스트 카드 2장 + 투명 스티커 포함 한정판),K082738627,9791165916480,,조은세상(북두),아리이 메메코 지음,12000,10800,1200,10%,600점,20210226,9810
49,만화,월간순정 노자키 군 12,K972737663,9791134872885,,학산문화사(만화),츠바키 이즈미 글.그림,5500,4950,550,10%,270점,20201222,26930
50,만화,주술회전 0 : 외전,K512635899,9791164035281,,서울미디어코믹스(서울문화사),"아쿠타미 게게 지음, 이정운 옮김",5000,4500,500,10%,250점,20190425,32003
51,만화,드래곤볼 슈퍼 14,K052738220,9791136731203,,서울미디어코믹스(서울문화사),"토리야마 아키라 지음, 토요타로 그림",5000,4500,500,10%,250점,20210210,13125
52,만화,건방진 그 녀석 19,K532739936,9791134872557,,학산문화사(만화),"미유키 미츠바치 지음, 이슬 옮김",5000,4500,500,10%,250점,20210304,5420
53,만화,주술회전 2,K692635872,9791164035076,,서울미디어코믹스(서울문화사),"아쿠타미 게게 지음, 이정운 옮김",5000,4500,500,10%,250점,20190329,26780
54,만화,주술회전 7,K822636425,9791165018795,,서울미디어코믹스(서울문화사),"아쿠타미 게게 지음, 이정운 옮김",5000,4500,500,10%,250점,20191231,26162
55,만화,주술회전 4,K512635109,9791164035601,,서울미디어코믹스(서울문화사),"아쿠타미 게게 지음, 이정운 옮김",5000,4500,500,10%,250점,20190522,26226
56,만화,재혼황후 3,K482738326,9791190153652,7810,영컴(YOUNG COM),"히어리 지음, 숨풀 그림, 알파타르트 원작",13000,11700,1300,10%,650점,20210303,7590
57,만화,손끝과 연연 2,K672738626,9791134868970,,학산문화사(만화),모리시타 수 지음,5000,4500,500,10%,250점,20210223,7470
58,만화,마녀의 여행 1,K502739134,9791166115172,7830,㈜소미미디어,"나나오 이츠키 지음, 아즈루 그림, 이신 옮김, 시라이시 죠우기 원작",5500,4950,550,10%,270점,20210311,4350
59,만화,스바루와 스우 씨 4,K302739134,9791166115349,"07830
",㈜소미미디어,"타카하시 나츠코 지음, 김현주 옮김",5500,4950,550,10%,270점,20210312,4440
60,만화,드래곤 퀘스트 다이의 대모험 신장채록판 4,K442738834,9791136255778,,대원씨아이(만화),"산조 리쿠 지음, 이나다 코지 그림, 호리이 유지 감수",10000,9000,1000,10%,500점,20210225,7180
61,만화,고바야시네 메이드래곤 8,K852739038,9791191225358,7830,길찾기,"쿨교신자 지음, 채다인 옮김",7000,6300,700,10%,350점,20210304,4110
62,만화,본좌 티처 28,K582738626,9791134870959,,학산문화사(만화),츠바키 이즈미 지음,5000,4500,500,10%,250점,20210223,7540
63,만화,극락왕생 2,8954676391,9788954676397,7810,문학동네,고사리박사 지음,12000,10800,1200,10%,600점,20210120,35715
64,만화,약속의 네버랜드 20,K462738488,9791134872816,,학산문화사(만화),"시라이 카이우 지음, 데미즈 포스카 그림",5500,4950,550,10%,270점,20210127,17670
65,만화,흑집사 30,K562738388,9791134875602,,학산문화사(만화),야나 토보소 지음,5000,4500,500,10%,250점,20210126,15515
66,만화,이야기의 집,K232737558,9791160075601,13650,한즈미디어(한스미디어),"요시다 세이지 지음, 김재훈 옮김",22000,19800,2200,10%,"1,100점",20210120,14525
67,만화,고바야시네 메이드래곤 7,K682739038,9791191225341,7830,길찾기,"쿨교신자 지음, 채다인 옮김",7000,6300,700,10%,350점,20210304,3960
