순번/순위,구분,상품명,ISBN,ISBN13,부가기호,출판사/제작사,저자/아티스트,정가,판매가,할인액,할인율,마일리지,출간일,세일즈포인트
1,사회과학,공정하다는 착각,K092633826,9791164136452,3300,와이즈베리,"마이클 샌델 지음, 함규진 옮김",18000,16200,1800,10%,900점,20201201,251757
2,사회과학,"빌 게이츠, 기후재앙을 피하는 법",8934991364,9788934991366,3300,김영사,"빌 게이츠 지음, 김민주.이엽 옮김",17800,16020,1780,10%,890점,20210216,56080
3,사회과학,수학 잘하는 아이는 이렇게 공부합니다,K912738686,9791196848194,3370,블루무스,류승재 지음,16800,15120,1680,10%,840점,20210212,47260
4,사회과학,정의란 무엇인가,8937834790,9788937834790,3300,와이즈베리,"마이클 샌델 지음, 김명철 옮김, 김선욱 감수",15000,13500,1500,10%,750점,20141120,89286
5,사회과학,메타버스,K432736724,9791189580575,3320,플랜비디자인,김상균 지음,17000,15300,1700,10%,850점,20201218,33255
6,사회과학,휴먼 네트워크,K912738628,9791166890000,3330,바다출판사,"매슈 O. 잭슨 지음, 박선진 옮김",19800,17820,1980,10%,990점,20210226,13300
7,사회과학,사이보그가 되다,K892737124,9791160947045,3300,사계절,김초엽.김원영 지음,17800,16020,1780,10%,890점,20210115,39405
8,사회과학,2019 한국인의 법과 생활,8996100749,9788996100744,13360,법무부,법무부 지음,17000,17000,0,0%,170점,20190228,17984
9,사회과학,사회복지실천의 이해 (엄명용 외),8999720977,9788999720970,93330,학지사,엄명용.김성천.윤혜미 지음,23000,23000,0,0%,690점,20200420,11819
10,사회과학,사회복지학개론 (권중돈 외),8999717666,9788999717666,93330,학지사,권중돈 외 지음,22000,22000,0,0%,660점,20190315,12534
11,사회과학,영유아교수학습방법론,K222636030,9791161055039,93370,공동체,서동미 외 지음,20000,20000,0,0%,600점,20191230,13646
12,사회과학,사회복지 프로그램 개발과 평가,8999712397,9788999712395,93330,학지사,조성우 외 지음,20000,20000,0,0%,600점,20180220,12295
13,사회과학,국어 교육의 이해,K872434424,9791185617664,93710,사회평론아카데미,최미숙 외 지음,28000,28000,0,0%,840점,20160225,14823
