순번/순위,구분,상품명,ISBN,ISBN13,부가기호,출판사/제작사,저자/아티스트,정가,판매가,할인액,할인율,마일리지,출간일,세일즈포인트
1,소설/시/희곡,달러구트 꿈 백화점,K392630952,9791165341909,3810,팩토리나인,이미예 지음,13800,12420,1380,10%,690점,20200708,374943
2,소설/시/희곡,파친코 1,8970129812,9788970129815,4840,문학사상사,"이민진 지음, 이미정 옮김",14500,13050,1450,10%,720점,20180323,90835
3,소설/시/희곡,파친코 2,8970129820,9788970129822,4840,문학사상사,"이민진 지음, 이미정 옮김",14500,13050,1450,10%,720점,20180323,85688
4,소설/시/희곡,그녀는 다 계획이 있다,K182738525,9791136264473,3830,하빌리스,"히가시노 게이고 지음, 양윤옥 옮김",15800,14220,1580,10%,790점,20210226,30520
5,소설/시/희곡,아버지에게 갔었어,8936434462,9788936434465,3810,창비,신경숙 지음,14000,12600,1400,10%,700점,20210305,21290
6,소설/시/희곡,내가 되는 꿈,K892738836,9791190885621,4810,현대문학,최진영 지음,14000,12600,1400,10%,700점,20210225,19590
7,소설/시/희곡,아몬드 (양장),8936434268,9788936434267,3810,창비,손원평 지음,12000,10800,1200,10%,600점,20170331,136777
8,소설/시/희곡,글쓰기에 대하여,K402738423,9791189336325,3800,프시케의숲,"마거릿 애트우드 지음, 박설영 옮김",16000,14400,1600,10%,800점,20210301,26670
9,소설/시/희곡,"시선으로부터,",8954672213,9788954672214,3810,문학동네,정세랑 지음,14000,12600,1400,10%,700점,20200605,180311
10,소설/시/희곡,우리가 빛의 속도로 갈 수 없다면,K462635914,9791190090018,3810,허블,김초엽 지음,14000,12600,1400,10%,700점,20190624,165006
11,소설/시/희곡,마녀의 여행 8,K742739030,9791166114663,,㈜소미미디어,"시라이시 죠우기 지음, 아즈루 그림, 이신 옮김",9800,8820,980,10%,490점,20210311,13100
12,소설/시/희곡,두 번째 엔딩 (양장),8936434454,9788936434458,3810,창비,김려령 외 지음,13000,11700,1300,10%,650점,20210219,22700
13,소설/시/희곡,스노볼 드라이브,8937473313,9788937473319,4810,민음사,조예은 지음,13000,11700,1300,10%,650점,20210215,16490
14,소설/시/희곡,애린 왕자,K062737858,9791197182204,,이팝,"앙투안 드 생텍쥐페리 저자, 최현애 역자",9900,8910,990,10%,490점,20210105,67790
15,소설/시/희곡,요리코를 위해,K612638684,9791196814342,3830,모모,"노리즈키 린타로 지음, 이기웅 옮김",15000,13500,1500,10%,750점,20200304,18700
