순번/순위,구분,상품명,ISBN,ISBN13,부가기호,출판사/제작사,저자/아티스트,정가,판매가,할인액,할인율,마일리지,출간일,세일즈포인트
1,수험서/자격증,2021 선재국어 나침판 실전 모의고사 Vol.1,K592738529,9791165764272,13710,에스티유니타스,이선재 지음,21000,18900,2100,10%,0점,20210225,51540
2,수험서/자격증,"2021 큰별쌤 최태성의 별★별한국사 한국사능력검정시험 심화(1, 2, 3급) 상",K192738029,9791165985110,13910,이투스북,최태성 지음,15000,13500,1500,10%,750점,20210201,51935
3,수험서/자격증,"2021 큰별쌤 최태성의 별★별한국사 한국사능력검정시험 심화(1, 2, 3급) 하",K202738029,9791165985127,13910,이투스북,최태성 지음,14000,12600,1400,10%,700점,20210201,45530
4,수험서/자격증,2021 이동기 영어 실전동형 모의고사 Vol.1 - 전3권,K152738839,9791165764739,13740,에스티유니타스,이동기 지음,16000,14400,1600,10%,0점,20210302,24130
5,수험서/자격증,2021 큰별쌤 최태성의 별★별한국사 기출 500제 한국사능력검정시험 심화(1.2.3급),K622736811,9791165982089,13910,이투스북,최태성 지음,19000,17100,1900,10%,950점,20201216,82370
6,수험서/자격증,2021 이동기 영어 기적의 특강,K912738683,9791165764494,13740,에스티유니타스,이동기 지음,14000,12600,1400,10%,0점,20210208,39065
7,수험서/자격증,2021 세법개론 - 전2권,K792738830,9791161371641,94360,상경사,임상엽.정정운 지음,61000,61000,0,0%,"1,830점",20210225,14820
8,수험서/자격증,2021 해커스공기업 단기 합격 NCS 통합 기본서 직업기초능력평가 + 직무수행능력평가,8969652051,9788969652058,13320,해커스공기업,김소원 외 지음,21900,19710,2190,10%,"1,090점",20210104,31370
9,수험서/자격증,2021 전한길 한국사 합격생 필기노트 (10쇄),K422631618,9791197133503,13910,전한길한국사,전한길 지음,14000,12600,1400,10%,700점,20210210,81949
10,수험서/자격증,2021 고종훈 한국사 동형모의고사 시즌 1,K142738289,9791161011356,13910,발해북스,고종훈 지음,15000,13500,1500,10%,750점,20210125,26550
11,수험서/자격증,2021 산업안전기사 실기 + 무료동영상 + 핸드북,K572738734,9791158138011,13550,구민사,최윤정 지음,34000,30600,3400,10%,"1,700점",20210215,15340
12,수험서/자격증,2021 이동기 영어 실전체감 동형모의고사,K432738585,9791165764500,13740,에스티유니타스,이동기 지음,10500,9450,1050,10%,0점,20210209,24240
13,수험서/자격증,데이터베이스 개론,K002534127,9791156644316,93000,한빛아카데미(교재),김연희 지음,27000,27000,0,0%,0점,20190103,14408
14,수험서/자격증,"2020 에듀윌 한국사 능력 검정시험 2주끝장 심화(1, 2, 3급)",K002638324,9791136004482,13910,에듀윌,에듀윌 한국사교육연구소 지음,21000,18900,2100,10%,"1,050점",20200325,64084
15,수험서/자격증,2021 전한길 한국사 4.0 실전동형 모의고사,K512737693,9791197133589,13910,메가스터디교육(공무원),전한길 지음,20000,18000,2000,10%,"1,000점",20210110,22575
16,수험서/자격증,2021 해커스공무원 실전동형모의고사 영어 1,K772738422,9791166620683,13740,해커스공무원,해커스 공무원시험연구소 지음,17900,16110,1790,10%,890점,20210225,10300
17,수험서/자격증,2021 심우철 실전동형 모의고사 Season 1,K352737803,9791162050989,13740,심슨북스,심우철 지음,14000,12600,1400,10%,700점,20210113,22135
18,수험서/자격증,보카바이블 (VOCA Bible) 4.0 (A권 + B권),8994553096,9788994553092,13740,스텝업,허민 지음,32000,28800,3200,10%,"1,600점",20180612,39797
19,수험서/자격증,2021 해커스공무원 실전동형모의고사 국어 1,K712738422,9791166620676,13710,해커스공무원,해커스 공무원시험연구소 지음,17900,16110,1790,10%,890점,20210225,9290
20,수험서/자격증,2021 민준호 사회 진도별.동형 모의고사,K792633113,9791190680066,13300,호인북스,민준호 지음,20000,19000,1000,5%,"1,000점",20201030,17763
21,수험서/자격증,2021 선재국어 한 권으로 정리하는 마무리,K322633112,9791165762773,13710,에스티유니타스,이선재 지음,23000,20700,2300,10%,0점,20201110,36147
22,수험서/자격증,2021 써니 행정법총론 실전동형 모의고사,K782739232,9791160182668,13360,지금(도서출판),박준철 지음,10000,9000,1000,10%,500점,20210319,8450
