순번/순위,구분,상품명,ISBN,ISBN13,부가기호,출판사/제작사,저자/아티스트,정가,판매가,할인액,할인율,마일리지,출간일,세일즈포인트
1,어린이,이상한 과자 가게 전천당 10,K742739914,9791164063581,74830,길벗스쿨,"히로시마 레이코 지음, 쟈쟈 그림, 김정화 옮김",12000,10800,1200,10%,600점,20210308,73400
2,어린이,흔한남매 7,K602738939,9791164137527,77810,아이세움,"흔한남매 원작, 유난희 그림, 백난도 글, 흔한컴퍼니 감수",12000,10800,1200,10%,600점,20210311,68550
3,어린이,푸른 사자 와니니 3,893644316X,9788936443160,73810,창비,"이현 지음, 오윤화 그림",10800,9720,1080,10%,540점,20210219,65330
4,어린이,푸른 사자 와니니,8936442805,9788936442804,73810,창비,"이현 지음, 오윤화 그림",10800,9720,1080,10%,540점,20150625,101011
5,어린이,흔한남매 불꽃 튀는 우리말 1,K312738420,9791130635712,77700,다산어린이,"한은호 지음, 유희석 그림, 흔한컴퍼니 감수, 흔한남매 원작",13000,11700,1300,10%,650점,20210304,37340
6,어린이,긴긴밤,8954677150,9788954677158,73810,문학동네,루리 지음,11500,10350,1150,10%,570점,20210203,52880
7,어린이,만복이네 떡집,8949161346,9788949161341,74800,비룡소,"김리리 지음, 이승현 그림",9500,8550,950,10%,470점,20100528,98793
8,어린이,푸른 사자 와니니 2,8936443054,9788936443054,73810,창비,"이현 지음, 오윤화 그림",10800,9720,1080,10%,540점,20190823,60404
9,어린이,"그리스 로마 신화 21 : 신이 선택한 인간, 헤라클레스의 탄생",8950971569,9788950971564,74800,아울북,"박시연 지음, 최우빈 그림, 김헌 감수",12000,10800,1200,10%,600점,20210224,23170
10,어린이,말뜻을 알면 개념이 쏙쏙 잡히는 과학,8997592661,9788997592661,64800,참돌어린이,"김은희 지음, 신동민 그림",3300,2970,330,10%,160점,20141117,19579
11,어린이,과학 개념 연구소 1 : 물질.생명,8949153815,9788949153810,74400,비룡소,"이정아 지음, 나인완 그림, 노석구 감수",12500,11250,1250,10%,620점,20210203,16505
12,어린이,나는 3학년 2반 7번 애벌레,8936414089,9788936414085,73810,창비,"김원아 지음, 이주희 그림",9000,8100,900,10%,450점,20160325,25954
13,어린이,어린이 과학동아 Vol.05 : 2021.03.01,K522738930,9771739361205,,동아사이언스(잡지),과학동아 편집부 지음,11000,10450,550,5%,320점,20210225,9780
14,어린이,더우면 벗으면 되지,8934988916,9788934988915,77830,주니어김영사,"요시타케 신스케 지음, 양지연 옮김",11800,10620,1180,10%,590점,20210217,12810
15,어린이,말뜻을 알면 개념이 쏙쏙 잡히는 사회,K212533650,9791158280710,64800,참돌어린이,"김은희 지음, 유영근 그림",3300,2970,330,10%,160점,20150512,17340
