순번/순위,구분,상품명,ISBN,ISBN13,부가기호,출판사/제작사,저자/아티스트,정가,판매가,할인액,할인율,마일리지,출간일,세일즈포인트
1,에세이,천문학자는 별을 보지 않는다,8954677258,9788954677257,3810,문학동네,심채경 지음,15000,13500,1500,10%,750점,20210222,48830
2,에세이,어린이라는 세계,K132633125,9791160946918,3810,사계절,김소영 지음,15000,13500,1500,10%,750점,20201116,170611
3,에세이,모래알만 한 진실이라도,8933871551,9788933871553,3810,세계사,박완서 지음,16000,14400,1600,10%,800점,20201207,133540
4,에세이,평범한 결혼생활,K182738738,9791197346576,3810,토스트,임경선 지음,15000,13500,1500,10%,750점,20210311,49110
5,에세이,기록하기로 했습니다.,K532738184,9791160805390,3810,휴머니스트,김신지 지음,14000,12600,1400,10%,700점,20210209,37660
6,에세이,다다다,K332738938,9791191114102,3810,복복서가,김영하 지음,33000,29700,3300,10%,"1,650점",20210226,25150
7,에세이,죽으려고 살기를 그만두었다,K052738039,9791189623050,3800,봄알람,허새로미 지음,13000,11700,1300,10%,650점,20210228,17160
8,에세이,전국축제자랑,893741371X,9788937413711,3810,민음사,김혼비.박태하 지음,15000,13500,1500,10%,750점,20210226,15050
9,에세이,조금 알고 적당히 모르는 오십이 되었다,8935213403,9788935213405,3320,청림출판,이주희 지음,14500,13050,1450,10%,720점,20210217,17925
10,에세이,책의 말들,K442738385,9791189683825,4800,유유,김겨울 지음,13000,11700,1300,10%,650점,20210204,27905
11,에세이,그늘까지도 인생이니까,8960906646,9788960906648,3810,마음산책,박용만 지음,16000,14400,1600,10%,800점,20210220,11380
12,에세이,서점 일기,K502737352,9791155100936,3840,여름언덕,"숀 비텔 지음, 김마림 옮김",18000,16200,1800,10%,900점,20210120,36735
13,에세이,아이에게 배우는 아빠,8936514717,9788936514716,3230,홍성사,이재철 지음,15000,13500,1500,10%,750점,20210126,30775
14,에세이,보통의 언어들 (별밤 리커버),K612738833,9791190786355,3810,위즈덤하우스,김이나 지음,14500,13050,1450,10%,720점,20200527,70046
15,에세이,좋은 사람에게만 좋은 사람이면 돼,K652632615,9791190908634,3810,위즈덤하우스,김재식 지음,14800,13320,1480,10%,740점,20200901,46579
16,에세이,우리가 사랑한 내일들,K952737453,9791160404531,3810,한겨레출판,유선애 지음,16000,14400,1600,10%,800점,20210118,40800
17,에세이,실패를 사랑하는 직업,8960906603,9788960906600,3810,마음산책,요조 (Yozoh) 지음,14000,12600,1400,10%,700점,20210130,28305
18,에세이,미친 세상을 이해하는 척하는 방법,8932920796,9788932920795,3880,열린책들,"움베르토 에코 지음, 박종대 옮김",14800,13320,1480,10%,740점,20210130,22205
19,에세이,명랑한 은둔자,K332632851,9791189932671,3840,바다출판사,"캐럴라인 냅 지음, 김명남 옮김",16000,14400,1600,10%,800점,20200904,83539
20,에세이,움베르토 에코 특별판 박스 세트 - 전2권,8932920931,9788932920931,3880,열린책들,"움베르토 에코 지음, 박종대.이세욱 옮김",29600,26640,2960,10%,"1,480점",20210130,31305
21,에세이,음악의 언어,K672738795,9791190999045,3670,시간의흐름,송은혜 지음,14000,12600,1400,10%,700점,20210131,14880
22,에세이,엄마 박완서의 부엌 : 정확하고 완전한 사랑의 기억,K752737256,9791191187564,3810,세미콜론,호원숙 지음,11200,10080,1120,10%,560점,20210122,18760
23,에세이,에세이 만드는 법,K692739366,9791189683849,4810,유유,이연실 지음,10000,9000,1000,10%,500점,20210304,11800
24,에세이,나를 바꾼 기록 생활,K382738822,9791190473552,3810,뜻밖,신미경 지음,13000,11700,1300,10%,650점,20210205,12805
25,에세이,나는 나로 살기로 했다 (100만부 기념 클래식 에디션),K162638125,9791187119845,3810,마음의숲,김수현 지음,13800,12420,1380,10%,690점,20161125,96768
26,에세이,어떤 죽음이 삶에게 말했다,8965964237,9788965964230,3810,흐름출판,김범석 지음,15000,13500,1500,10%,750점,20210118,22070
27,에세이,경양식집에서,K532738025,9791197360404,,린틴틴,"조영권 지음, 이윤희 그림",16000,14400,1600,10%,800점,20210129,11905
28,에세이,예진문의 취미기록,K432738228,9791190641357,3810,책밥,문예진 지음,13500,12150,1350,10%,670점,20210222,16870
29,에세이,그림책이라는 산,K212739019,9791189499150,3810,만만한책방,고정순 지음,15000,13500,1500,10%,750점,20210312,5130
30,에세이,마음이 흐르는 대로,K432735348,9791130632506,3810,다산북스,지나영 지음,16000,14400,1600,10%,800점,20201123,23655
31,에세이,연중무휴의 사랑,K742738838,9791197320439,3810,사이드웨이,임지은 지음,15000,13500,1500,10%,750점,20210226,8670
32,에세이,더 좋은 곳으로 가자,8954677835,9788954677837,3810,문학동네,정문정 지음,14500,13050,1450,10%,720점,20210310,4360
33,에세이,망월폐견,K172738899,9791190473569,3300,새움,전우용 지음,17000,15300,1700,10%,850점,20210208,14500
34,에세이,나는 내가 싫고 좋고 이상하고,8954677231,9788954677233,3810,문학동네,백은선 지음,13500,12150,1350,10%,670점,20210305,4500
35,에세이,나는 나무처럼 살고 싶다 (10만 부 기념 스페셜 에디션),K832738380,9791190538268,3190,메이븐,우종영 지음,16000,14400,1600,10%,800점,20210208,9735
36,에세이,떠난 후에 남겨진 것들,8935213284,9788935213283,3810,청림출판,김새별.전애원 지음,14500,13050,1450,10%,720점,20200929,11307
37,에세이,나를 부르는 숲,8972916528,9788972916529,3840,까치,"빌 브라이슨 지음, 홍은택 옮김",13500,12150,1350,10%,670점,20180108,37865
38,에세이,혼자 여행을 다녀왔습니다,K812738105,9791196975258,3830,북포레스트,"마스다 미리 지음, 이소담 옮김",14000,12600,1400,10%,700점,20210205,12525
39,에세이,그때의 나에게 해주고 싶은 이야기,8947546844,9788947546843,3810,한국경제신문,투에고 지음,15000,13500,1500,10%,750점,20201228,13550
40,에세이,소란스러운 세상 속 혼자를 위한 책,K572738481,9791155813379,3800,윌북,"데비 텅 지음, 최세희 옮김",13800,12420,1380,10%,690점,20210130,9480
41,에세이,찾을 수 있다면 어떻게든 읽을 겁니다,K782738187,9791158888381,3840,황금가지,"어슐러 K. 르 귄 지음, 이수현 옮김",16800,15120,1680,10%,840점,20210129,11210
42,에세이,보이지 않는 잉크,K012738323,9791189932961,3840,바다출판사,"토니 모리슨 지음, 이다희 옮김",18500,16650,1850,10%,920점,20210129,6650
43,에세이,앞으로 올 사랑,K492736439,9791186602577,3810,위고,정혜윤 지음,15000,13500,1500,10%,750점,20201205,15370
44,에세이,그렇게 말해줘서 고마워,K602633404,9791190299145,3810,FIKA(피카),김유진 지음,14800,13320,1480,10%,740점,20201015,32271
45,에세이,"그냥, 사람",K292633501,9791186372791,3810,봄날의책,홍은전 지음,13000,11700,1300,10%,650점,20200925,23262
46,에세이,이상하고 자유로운 할머니가 되고 싶어,K422639110,9791190030472,3810,어크로스,무루(박서영) 지음,14000,12600,1400,10%,700점,20200512,33693
47,에세이,라면 : 지금 물 올리러 갑니다,K662739133,9791191187694,3810,세미콜론,윤이나 지음,11200,10080,1120,10%,560점,20210305,4330
48,에세이,사랑의 기술,8931011628,9788931011623,3180,문예출판사,"에리히 프롬 지음, 황문수 옮김",12000,10800,1200,10%,600점,20190819,23794
49,에세이,오후의 글쓰기,K352738328,9791191209778,3800,큐리어스(Qrious),이은경 지음,13800,12420,1380,10%,690점,20210222,4590
